time	V(vout)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	3.748960e+000
1.999999943436137e-009	4.997921e+000
1.479999958142742e-007	4.849415e+000
2.939999916851123e-007	4.705923e+000
4.399999875559503e-007	4.567446e+000
5.859999834267884e-007	4.433984e+000
7.319999792976264e-007	4.305538e+000
8.779999751684645e-007	4.182106e+000
1.023999971039302e-006	4.063690e+000
2.047999942078604e-006	3.324055e+000
3.631234925749123e-006	2.431871e+000
5.349526434372474e-006	1.743341e+000
7.390692079498679e-006	1.213340e+000
9.532382386629520e-006	8.871071e-001
1.207813790043168e-005	6.995758e-001
1.481490838548676e-005	6.432672e-001
1.795188174261504e-005	6.860312e-001
2.118390606157155e-005	7.928496e-001
2.441718224140535e-005	9.325220e-001
2.837144408490288e-005	1.119489e+000
3.542995197613489e-005	1.450238e+000
4.732595208117774e-005	1.948308e+000
7.111795229126345e-005	2.746267e+000
1.029082271853573e-004	3.513470e+000
1.406645940351835e-004	4.102865e+000
1.815066775162545e-004	4.481077e+000
2.310261171144044e-004	4.730280e+000
2.898153093476951e-004	4.875583e+000
3.656249848861668e-004	4.953659e+000
4.620116411087220e-004	4.986910e+000
5.980818600528253e-004	4.997804e+000
8.003647561963791e-004	4.999927e+000
1.166362938793895e-003	5.000006e+000

