second,Volt
-133.00E-06,-17.96865E-03
-132.00E-06,-12.10928E-03
-131.00E-06,-19.92178E-03
-130.00E-06,-19.92178E-03
-129.00E-06,-6.24990E-03
-128.00E-06,-17.96865E-03
-127.00E-06,-14.06240E-03
-126.00E-06,-23.82803E-03
-125.00E-06,-10.15615E-03
-124.00E-06,-17.96865E-03
-123.00E-06,-16.01553E-03
-122.00E-06,-21.87490E-03
-121.00E-06,-14.06240E-03
-120.00E-06,-16.01553E-03
-119.00E-06,-16.01553E-03
-118.00E-06,-19.92178E-03
-117.00E-06,-16.01553E-03
-116.00E-06,-16.01553E-03
-115.00E-06,-16.01553E-03
-114.00E-06,-19.92178E-03
-113.00E-06,-17.96865E-03
-112.00E-06,-14.06240E-03
-111.00E-06,-16.01553E-03
-110.00E-06,-17.96865E-03
-109.00E-06,-16.01553E-03
-108.00E-06,-16.01553E-03
-107.00E-06,-14.06240E-03
-106.00E-06,-19.92178E-03
-105.00E-06,-16.01553E-03
-104.00E-06,-14.06240E-03
-103.00E-06,-16.01553E-03
-102.00E-06,-17.96865E-03
-101.00E-06,-14.06240E-03
-100.00E-06,-12.10928E-03
-99.00E-06,-21.87490E-03
-98.00E-06,-14.06240E-03
-97.00E-06,-17.96865E-03
-96.00E-06,-17.96865E-03
-95.00E-06,-16.01553E-03
-94.00E-06,-23.82803E-03
-93.00E-06,-16.01553E-03
-92.00E-06,-14.06240E-03
-91.00E-06,-16.01553E-03
-90.00E-06,-21.87490E-03
-89.00E-06,-16.01553E-03
-88.00E-06,-16.01553E-03
-87.00E-06,-17.96865E-03
-86.00E-06,-19.92178E-03
-85.00E-06,-17.96865E-03
-84.00E-06,-16.01553E-03
-83.00E-06,-17.96865E-03
-82.00E-06,-25.78115E-03
-81.00E-06,-23.82803E-03
-80.00E-06,-2.34365E-03
-79.00E-06,-23.82803E-03
-78.00E-06,-16.01553E-03
-77.00E-06,-17.96865E-03
-76.00E-06,-14.06240E-03
-75.00E-06,-21.87490E-03
-74.00E-06,-17.96865E-03
-73.00E-06,-21.87490E-03
-72.00E-06,-17.96865E-03
-71.00E-06,-17.96865E-03
-70.00E-06,-21.87490E-03
-69.00E-06,-16.01553E-03
-68.00E-06,-19.92178E-03
-67.00E-06,-17.96865E-03
-66.00E-06,-19.92178E-03
-65.00E-06,-19.92178E-03
