time	V(n006)
0.000000000000000e+000	-5.000000e+000
9.999999999999999e-012	-5.000000e+000
2.000000000000000e-011	-4.999985e+000
2.029608250834051e-007	-4.407474e+000
4.059016501668101e-007	-3.845552e+000
6.088424752502151e-007	-3.314216e+000
8.117833003336202e-007	-2.813469e+000
1.014724125417025e-006	-2.343309e+000
1.217664950500430e-006	-1.903737e+000
1.420605775583835e-006	-1.494753e+000
1.620605775583835e-006	-1.111667e+000
1.720605775583834e-006	-9.286832e-001
1.820605775583834e-006	-7.511777e-001
1.920605775583834e-006	-5.789868e-001
2.020605775583834e-006	-4.119512e-001
2.120605775583834e-006	-2.499168e-001
2.220605775583834e-006	-9.273363e-002
2.320605775583834e-006	5.974343e-002
2.420605775583834e-006	2.076553e-001
2.520605775583834e-006	3.511387e-001
2.620605775583833e-006	4.903261e-001
2.720605775583833e-006	6.253463e-001
2.820605775583833e-006	7.563240e-001
3.020605775583833e-006	1.006632e+000
3.220605775583833e-006	1.242176e+000
3.520605775583832e-006	1.569701e+000
3.820605775583833e-006	1.868679e+000
4.120605775583832e-006	2.141598e+000
4.420605775583832e-006	2.386599e+000
4.720605775583832e-006	2.614157e+000
5.020605775583831e-006	2.824271e+000
5.320605775583831e-006	3.016942e+000
5.620605775583831e-006	3.192169e+000
5.920605775583831e-006	3.349953e+000
6.220605775583830e-006	3.490293e+000
6.520605775583830e-006	3.619694e+000
6.820605775583831e-006	3.739882e+000
7.120605775583831e-006	3.850857e+000
7.420605775583832e-006	3.952619e+000
7.720605775583833e-006	4.045167e+000
8.020605775583834e-006	4.128503e+000
8.320605775583833e-006	4.202626e+000
8.620605775583835e-006	4.270971e+000
8.920605775583837e-006	4.334450e+000
9.220605775583839e-006	4.393063e+000
9.520605775583841e-006	4.446810e+000
9.820605775583844e-006	4.495691e+000
1.012060577558385e-005	4.539706e+000
1.042060577558385e-005	4.578855e+000
1.072060577558385e-005	4.614952e+000
1.102060577558385e-005	4.648480e+000
1.132060577558386e-005	4.679437e+000
1.162060577558386e-005	4.707824e+000
1.192060577558386e-005	4.733642e+000
1.222060577558386e-005	4.756889e+000
1.252060577558386e-005	4.777566e+000
1.282060577558387e-005	4.796631e+000
1.312060577558387e-005	4.814340e+000
1.342060577558387e-005	4.830690e+000
1.372060577558387e-005	4.845683e+000
1.402060577558388e-005	4.859319e+000
1.432060577558388e-005	4.871597e+000
1.462060577558388e-005	4.882518e+000
1.492060577558388e-005	4.892588e+000
1.522060577558388e-005	4.901941e+000
1.552060577558387e-005	4.910577e+000
1.582060577558387e-005	4.918495e+000
1.612060577558387e-005	4.925697e+000
1.642060577558387e-005	4.932182e+000
1.672060577558387e-005	4.937950e+000
1.702060577558387e-005	4.943269e+000
1.732060577558386e-005	4.948209e+000
1.762060577558386e-005	4.952770e+000
1.792060577558386e-005	4.956952e+000
1.822060577558386e-005	4.960756e+000
1.852060577558385e-005	4.964181e+000
1.882060577558385e-005	4.967227e+000
1.910766495050044e-005	4.969923e+000
1.939472412541704e-005	4.972433e+000
1.968178330033363e-005	4.974759e+000
1.996884247525022e-005	4.976899e+000
2.025590165016681e-005	4.978855e+000
2.054296082508341e-005	4.980626e+000
2.083002000000000e-005	4.982212e+000
2.083003000000000e-005	4.982196e+000
2.103072388570518e-005	4.397007e+000
2.123141777141036e-005	3.841742e+000
2.143211165711554e-005	3.316400e+000
2.163280554282072e-005	2.820982e+000
2.183349942852591e-005	2.355488e+000
2.203419331423108e-005	1.919917e+000
2.223488719993627e-005	1.514269e+000
2.243488719993626e-005	1.130033e+000
2.253488719993626e-005	9.464989e-001
2.263488719993626e-005	7.684599e-001
2.273488719993626e-005	5.957515e-001
2.283488719993626e-005	4.282141e-001
2.293488719993626e-005	2.656927e-001
2.303488719993626e-005	1.080372e-001
2.313488719993626e-005	-4.489800e-002
2.323488719993626e-005	-1.932544e-001
2.333488719993626e-005	-3.371689e-001
2.343488719993626e-005	-4.767746e-001
2.353488719993625e-005	-6.122005e-001
2.363488719993625e-005	-7.435718e-001
2.383488719993625e-005	-9.946322e-001
2.403488719993625e-005	-1.230884e+000
2.433488719993625e-005	-1.559393e+000
2.463488719993624e-005	-1.859269e+000
