Freq.	V(vo)
1.00000000000000e+003	(-1.11098902883534e+000dB,-6.42386220994116e-002°)
1.25892541179417e+003	(-1.11098892138286e+000dB,-8.08716440314591e-002°)
1.58489319246111e+003	(-1.11098875108452e+000dB,-1.01811388219933e-001°)
1.99526231496888e+003	(-1.11098848118572e+000dB,-1.28172984653486e-001°)
2.51188643150958e+003	(-1.11098805343981e+000dB,-1.61360308919059e-001°)
3.16227766016838e+003	(-1.11098737554547e+000dB,-2.03140755833602e-001°)
3.98107170553497e+003	(-1.11098630124891e+000dB,-2.55739383880094e-001°)
5.01187233627272e+003	(-1.11098459883866e+000dB,-3.21957456004359e-001°)
6.30957344480193e+003	(-1.11098190129065e+000dB,-4.05321713488211e-001°)
7.94328234724282e+003	(-1.11097762744825e+000dB,-5.10272380131578e-001°)
1.00000000000000e+004	(-1.11097085758979e+000dB,-6.42400004123057e-001°)
1.25892541179417e+004	(-1.11096013744475e+000dB,-8.08743940746810e-001°)
1.58489319246111e+004	(-1.11094317066512e+000dB,-1.01816875111332e+000°)
1.99526231496888e+004	(-1.11091633917489e+000dB,-1.28183931915465e+000°)
2.51188643150958e+004	(-1.11087396244178e+000dB,-1.61382149915722e+000°)
3.16227766016838e+004	(-1.11080717240345e+000dB,-2.03184329091800e+000°)
3.98107170553497e+004	(-1.11070225319545e+000dB,-2.55826307319938e+000°)
5.01187233627273e+004	(-1.11053831843892e+000dB,-3.22130838404191e+000°)
6.30957344480194e+004	(-1.11028440548479e+000dB,-4.05667490102718e+000°)
7.94328234724282e+004	(-1.10989681890646e+000dB,-5.10961766777745e+000°)
1.00000000000000e+005	(-1.10931981855240e+000dB,-6.43773834967225e+000°)
1.25892541179417e+005	(-1.10849902522146e+000dB,-8.11479765639656e+000°)
1.58489319246111e+005	(-1.10743363682148e+000dB,-1.02361045675370e+001°)
1.99526231496888e+005	(-1.10633706052542e+000dB,-1.29264258171735e+001°)
2.51188643150958e+005	(-1.10608707895343e+000dB,-1.63520165436419e+001°)
3.16227766016838e+005	(-1.10942817573702e+000dB,-2.07393250732278e+001°)
3.98107170553498e+005	(-1.12408107539815e+000dB,-2.64036556385118e+001°)
5.01187233627273e+005	(-1.17051212553302e+000dB,-3.37885561446709e+001°)
6.30957344480194e+005	(-1.30015675975075e+000dB,-4.34986624235251e+001°)
7.94328234724282e+005	(-1.63201457883437e+000dB,-5.62390054987561e+001°)
1.00000000000000e+006	(-2.39823892265559e+000dB,-7.24178369221310e+001°)
