Freq.	V(vin)/I(R3)
1.00000000000000e+001	(9.12758116480419e+001dB,1.79993292687785e+002°)
1.25892541179417e+001	(9.12758115949624e+001dB,1.79991555994253e+002°)
1.58489319246111e+001	(9.12758115108370e+001dB,1.79989369626678e+002°)
1.99526231496888e+001	(9.12758113775073e+001dB,1.79986617153068e+002°)
2.51188643150958e+001	(9.12758111661939e+001dB,1.79983151994275e+002°)
3.16227766016838e+001	(9.12758108312848e+001dB,1.79978789618173e+002°)
3.98107170553497e+001	(9.12758103004898e+001dB,1.79973297712755e+002°)
5.01187233627272e+001	(9.12758094592364e+001dB,1.79966383814892e+002°)
6.30957344480194e+001	(9.12758081259401e+001dB,1.79957679736019e+002°)
7.94328234724282e+001	(9.12758060128088e+001dB,1.79946721955614e+002°)
1.00000000000000e+002	(9.12758026637236e+001dB,1.79932926938723e+002°)
1.25892541179417e+002	(9.12757973557873e+001dB,1.79915560063988e+002°)
1.58489319246111e+002	(9.12757889432898e+001dB,1.79893696509121e+002°)
1.99526231496888e+002	(9.12757756104168e+001dB,1.79866172014215e+002°)
2.51188643150958e+002	(9.12757544793301e+001dB,1.79831520907522e+002°)
3.16227766016838e+002	(9.12757209890481e+001dB,1.79787898106684e+002°)
3.98107170553498e+002	(9.12756679111144e+001dB,1.79732980968319e+002°)
5.01187233627273e+002	(9.12755837897315e+001dB,1.79663845812150e+002°)
6.30957344480194e+002	(9.12754504700237e+001dB,1.79576812650050e+002°)
7.94328234724282e+002	(9.12752391818181e+001dB,1.79467250062443e+002°)
1.00000000000000e+003	(9.12749043359165e+001dB,1.79329330252252e+002°)
1.25892541179417e+003	(9.12743736995361e+001dB,1.79155722071875e+002°)
1.58489319246111e+003	(9.12735328447288e+001dB,1.78937207349286e+002°)
1.99526231496888e+003	(9.12722005492028e+001dB,1.78662203413797e+002°)
2.51188643150958e+003	(9.12700899306670e+001dB,1.78316173023087e+002°)
3.16227766016838e+003	(9.12667471530782e+001dB,1.77880903429513e+002°)
3.98107170553498e+003	(9.12614550433756e+001dB,1.77333642250275e+002°)
5.01187233627273e+003	(9.12530822324998e+001dB,1.76646095474183e+002°)
6.30957344480194e+003	(9.12398487775725e+001dB,1.75783334704357e+002°)
7.94328234724283e+003	(9.12189663497460e+001dB,1.74702749680918e+002°)
1.00000000000000e+004	(9.11860964660565e+001dB,1.73353358805452e+002°)
1.25892541179417e+004	(9.11345604558757e+001dB,1.71676118724437e+002°)
1.58489319246112e+004	(9.10542485121460e+001dB,1.69606433013070e+002°)
1.99526231496888e+004	(9.09302547252615e+001dB,1.67080880649462e+002°)
2.51188643150958e+004	(9.07414866082380e+001dB,1.64051044146133e+002°)
3.16227766016839e+004	(9.04599460655876e+001dB,1.60507293509274e+002°)
3.98107170553498e+004	(9.00520059081027e+001dB,1.56512401371201e+002°)
5.01187233627273e+004	(8.94833204079277e+001dB,1.52236593897642e+002°)
6.30957344480195e+004	(8.87279470926265e+001dB,1.47974045953179e+002°)
7.94328234724283e+004	(8.77792631577510e+001dB,1.44117776692527e+002°)
1.00000000000000e+005	(8.66574241876165e+001dB,1.41089029040047e+002°)
1.25892541179417e+005	(8.54092395782506e+001dB,1.39248128338536e+002°)
1.58489319246112e+005	(8.41011253434081e+001dB,1.38822890863862e+002°)
1.99526231496888e+005	(8.28088021831723e+001dB,1.39869614282779e+002°)
2.51188643150959e+005	(8.16061129772690e+001dB,1.42262347717753e+002°)
3.16227766016839e+005	(8.05534519720463e+001dB,1.45709912898701e+002°)
3.98107170553498e+005	(7.96874721370373e+001dB,1.49809698920152e+002°)
5.01187233627273e+005	(7.90162391393918e+001dB,1.54135264973111e+002°)
6.30957344480195e+005	(7.85229306024527e+001dB,1.58326365109126e+002°)
7.94328234724283e+005	(7.81760127296317e+001dB,1.62142064615646e+002°)
1.00000000000000e+006	(7.79401907008210e+001dB,1.65464026743058e+002°)
1.25892541179417e+006	(7.77837955772243e+001dB,1.68267305141751e+002°)
1.58489319246112e+006	(7.76818391938554e+001dB,1.70583379344854e+002°)
1.99526231496888e+006	(7.76161347131061e+001dB,1.72470289411323e+002°)
2.51188643150959e+006	(7.75741125059108e+001dB,1.73993575445710e+002°)
3.00000000000000e+006	(7.75524628193435e+001dB,1.74959894545190e+002°)
