Freq.	V(vin)/I(R3)
1.00000000000000e+001	(9.14805955782220e+001dB,1.79999961982527e+002°)
1.25892541179417e+001	(9.14805955778667e+001dB,1.79999952138837e+002°)
1.58489319246111e+001	(9.14805955773036e+001dB,1.79999939746366e+002°)
1.99526231496888e+001	(9.14805955764112e+001dB,1.79999924145171e+002°)
2.51188643150958e+001	(9.14805955749968e+001dB,1.79999904504430e+002°)
3.16227766016838e+001	(9.14805955727552e+001dB,1.79999879778205e+002°)
3.98107170553497e+001	(9.14805955692025e+001dB,1.79999848649737e+002°)
5.01187233627272e+001	(9.14805955635718e+001dB,1.79999809461328e+002°)
6.30957344480194e+001	(9.14805955546478e+001dB,1.79999760126063e+002°)
7.94328234724282e+001	(9.14805955405042e+001dB,1.79999698016683e+002°)
1.00000000000000e+002	(9.14805955180881e+001dB,1.79999619825684e+002°)
1.25892541179417e+002	(9.14805954825609e+001dB,1.79999521389202e+002°)
1.58489319246111e+002	(9.14805954262543e+001dB,1.79999397465323e+002°)
1.99526231496888e+002	(9.14805953370146e+001dB,1.79999241455018e+002°)
2.51188643150958e+002	(9.14805951955798e+001dB,1.79999045050909e+002°)
3.16227766016838e+002	(9.14805949714221e+001dB,1.79998797795237e+002°)
3.98107170553498e+002	(9.14805946161600e+001dB,1.79998486523679e+002°)
5.01187233627273e+002	(9.14805940531169e+001dB,1.79998094665764e+002°)
6.30957344480194e+002	(9.14805931607772e+001dB,1.79997601365346e+002°)
7.94328234724282e+002	(9.14805917465736e+001dB,1.79996980375761e+002°)
1.00000000000000e+003	(9.14805895053608e+001dB,1.79996198673693e+002°)
1.25892541179417e+003	(9.14805859536520e+001dB,1.79995214723708e+002°)
1.58489319246111e+003	(9.14805803255127e+001dB,1.79993976312490e+002°)
1.99526231496888e+003	(9.14805714078727e+001dB,1.79992417860299e+002°)
2.51188643150958e+003	(9.14805572802898e+001dB,1.79990457111933e+002°)
3.16227766016838e+003	(9.14805349044480e+001dB,1.79987991121352e+002°)
3.98107170553498e+003	(9.14804994784269e+001dB,1.79984891495253e+002°)
5.01187233627273e+003	(9.14804434254626e+001dB,1.79980998996134e+002°)
6.30957344480194e+003	(9.14803548215806e+001dB,1.79976117912118e+002°)
7.94328234724283e+003	(9.14802149788262e+001dB,1.79970011244446e+002°)
1.00000000000000e+004	(9.14799948002697e+001dB,1.79962399042084e+002°)
1.25892541179417e+004	(9.14796494541314e+001dB,1.79952964619152e+002°)
1.58489319246112e+004	(9.14791110102950e+001dB,1.79941377606973e+002°)
1.99526231496888e+004	(9.14782792679082e+001dB,1.79927349342000e+002°)
2.51188643150958e+004	(9.14770127356556e+001dB,1.79910743910439e+002°)
3.16227766016839e+004	(9.14751255893816e+001dB,1.79891770709136e+002°)
3.98107170553498e+004	(9.14724028551245e+001dB,1.79871262627495e+002°)
5.01187233627273e+004	(9.14686517370459e+001dB,1.79850964260238e+002°)
6.30957344480195e+004	(9.14637996090477e+001dB,1.79833602980999e+002°)
7.94328234724283e+004	(9.14580107735526e+001dB,1.79822405082409e+002°)
1.00000000000000e+005	(9.14517351826982e+001dB,1.79819947270111e+002°)
1.25892541179417e+005	(9.14456010488100e+001dB,1.79826906947297e+002°)
1.58489319246112e+005	(9.14401842832627e+001dB,1.79841697123913e+002°)
1.99526231496888e+005	(9.14358162699614e+001dB,1.79861317682078e+002°)
2.51188643150959e+005	(9.14325495243848e+001dB,1.79882676794080e+002°)
3.16227766016839e+005	(9.14302494660375e+001dB,1.79903474757447e+002°)
3.98107170553498e+005	(9.14287109064323e+001dB,1.79922406261158e+002°)
5.01187233627273e+005	(9.14277366426274e+001dB,1.79938949179590e+002°)
6.30957344480195e+005	(9.14271707716888e+001dB,1.79953050115877e+002°)
7.94328234724283e+005	(9.14269024039105e+001dB,1.79964863708992e+002°)
1.00000000000000e+006	(9.14268549092119e+001dB,1.79974585329944e+002°)
1.25892541179417e+006	(9.14269700715641e+001dB,1.79982375372108e+002°)
1.58489319246112e+006	(9.14271940766912e+001dB,1.79988365303485e+002°)
1.99526231496888e+006	(9.14274719711011e+001dB,1.79992716334354e+002°)
2.51188643150959e+006	(9.14277530393713e+001dB,1.79995670620440e+002°)
3.00000000000000e+006	(9.14279482879341e+001dB,1.79997192175694e+002°)
