Freq.	V(vin)/I(R3)
1.00000000000000e+001	(9.12758162079497e+001dB,1.79993322682113e+002°)
1.25892541179417e+001	(9.12758161556734e+001dB,1.79991593754873e+002°)
1.58489319246111e+001	(9.12758160728211e+001dB,1.79989417164480e+002°)
1.99526231496888e+001	(9.12758159415090e+001dB,1.79986676999609e+002°)
2.51188643150958e+001	(9.12758157333934e+001dB,1.79983227336596e+002°)
3.16227766016838e+001	(9.12758154035524e+001dB,1.79978884468512e+002°)
3.98107170553497e+001	(9.12758148807897e+001dB,1.79973417122215e+002°)
5.01187233627272e+001	(9.12758140522668e+001dB,1.79966534142407e+002°)
6.30957344480194e+001	(9.12758127391468e+001dB,1.79957868986975e+002°)
7.94328234724282e+001	(9.12758106579928e+001dB,1.79946960208105e+002°)
1.00000000000000e+002	(9.12758073595881e+001dB,1.79933226880148e+002°)
1.25892541179417e+002	(9.12758021319747e+001dB,1.79915937666489e+002°)
1.58489319246111e+002	(9.12757938467797e+001dB,1.79894171879753e+002°)
1.99526231496888e+002	(9.12757807156658e+001dB,1.79866770464893e+002°)
2.51188643150958e+002	(9.12757599043413e+001dB,1.79832274301330e+002°)
3.16227766016838e+002	(9.12757269208368e+001dB,1.79788846551432e+002°)
3.98107170553498e+002	(9.12756746460632e+001dB,1.79734174945894e+002°)
5.01187233627273e+002	(9.12755917975323e+001dB,1.79665348853832e+002°)
6.30957344480194e+002	(9.12754604949807e+001dB,1.79578704693784e+002°)
7.94328234724282e+002	(9.12752524033043e+001dB,1.79469631657974e+002°)
1.00000000000000e+003	(9.12749226224356e+001dB,1.79332327812337e+002°)
1.25892541179417e+003	(9.12744000107675e+001dB,1.79159494398005e+002°)
1.58489319246111e+003	(9.12735718671820e+001dB,1.78941953677403e+002°)
1.99526231496888e+003	(9.12722596997901e+001dB,1.78668173205563e+002°)
2.51188643150958e+003	(9.12701809375537e+001dB,1.78323677621252e+002°)
3.16227766016838e+003	(9.12668885368791e+001dB,1.77890329400528e+002°)
3.98107170553498e+003	(9.12616759889568e+001dB,1.77345465553221e+002°)
5.01187233627273e+003	(9.12534285745278e+001dB,1.76660894137018e+002°)
6.30957344480194e+003	(9.12403921137780e+001dB,1.75801794743148e+002°)
7.94328234724283e+003	(9.12198175693849e+001dB,1.74725653322214e+002°)
1.00000000000000e+004	(9.11874249788997e+001dB,1.73381533738837e+002°)
1.25892541179417e+004	(9.11366194404334e+001dB,1.71710309868820e+002°)
1.58489319246112e+004	(9.10574030212266e+001dB,1.69647033905516e+002°)
1.99526231496888e+004	(9.09350006652703e+001dB,1.67127439762913e+002°)
2.51188643150958e+004	(9.07484311623342e+001dB,1.64101480392802e+002°)
3.16227766016839e+004	(9.04696960527308e+001dB,1.60556906286777e+002°)
3.98107170553498e+004	(9.00649027074195e+001dB,1.56553164620814e+002°)
5.01187233627273e+004	(8.94990273786861e+001dB,1.52257811463047e+002°)
6.30957344480195e+004	(8.87450876411220e+001dB,1.47965517636681e+002°)
7.94328234724283e+004	(8.77955007224118e+001dB,1.44075028033558e+002°)
1.00000000000000e+005	(8.66702172512858e+001dB,1.41017346620126e+002°)
1.25892541179417e+005	(8.54169112705765e+001dB,1.39161632481201e+002°)
1.58489319246112e+005	(8.41035049717826e+001dB,1.38738728824748e+002°)
1.99526231496888e+005	(8.28070694620646e+001dB,1.39801375282711e+002°)
2.51188643150959e+005	(8.16021129784551e+001dB,1.42216427521873e+002°)
3.16227766016839e+005	(8.05489564371167e+001dB,1.45685551319897e+002°)
3.98107170553498e+005	(7.96836911914747e+001dB,1.49801440102035e+002°)
5.01187233627273e+005	(7.90136760503923e+001dB,1.54136178550602e+002°)
6.30957344480195e+005	(7.85215222089952e+001dB,1.58330636982381e+002°)
7.94328234724283e+005	(7.81754078533591e+001dB,1.62146217056592e+002°)
1.00000000000000e+006	(7.79400110155555e+001dB,1.65466800824297e+002°)
