Freq.	V(out)/V(in)
1.00000000000000e-005	(1.13036015869766e+002dB,1.79607593502331e+002°)
1.02329299228075e-005	(1.13036006269391e+002dB,1.79598453476694e+002°)
1.04712854805090e-005	(1.13035996216587e+002dB,1.79589100573671e+002°)
1.07151930523761e-005	(1.13035985690033e+002dB,1.79579529836223e+002°)
1.09647819614318e-005	(1.13035974667406e+002dB,1.79569736191958e+002°)
1.12201845430196e-005	(1.13035963125328e+002dB,1.79559714450445e+002°)
1.14815362149688e-005	(1.13035951039321e+002dB,1.79549459300479e+002°)
1.17489755493953e-005	(1.13035938383755e+002dB,1.79538965307273e+002°)
1.20226443461741e-005	(1.13035925131790e+002dB,1.79528226909591e+002°)
1.23026877081238e-005	(1.13035911255322e+002dB,1.79517238416812e+002°)
1.25892541179417e-005	(1.13035896724925e+002dB,1.79505994005927e+002°)
1.28824955169313e-005	(1.13035881509782e+002dB,1.79494487718467e+002°)
1.31825673855641e-005	(1.13035865577629e+002dB,1.79482713457360e+002°)
1.34896288259165e-005	(1.13035848894680e+002dB,1.79470664983718e+002°)
1.38038426460288e-005	(1.13035831425556e+002dB,1.79458335913544e+002°)
1.41253754462275e-005	(1.13035813133213e+002dB,1.79445719714373e+002°)
1.44543977074593e-005	(1.13035793978861e+002dB,1.79432809701825e+002°)
1.47910838816821e-005	(1.13035773921883e+002dB,1.79419599036088e+002°)
1.51356124843621e-005	(1.13035752919747e+002dB,1.79406080718312e+002°)
1.54881661891248e-005	(1.13035730927921e+002dB,1.79392247586930e+002°)
1.58489319246111e-005	(1.13035707899771e+002dB,1.79378092313889e+002°)
1.62181009735893e-005	(1.13035683786468e+002dB,1.79363607400790e+002°)
1.65958690743756e-005	(1.13035658536884e+002dB,1.79348785174951e+002°)
1.69824365246174e-005	(1.13035632097482e+002dB,1.79333617785372e+002°)
1.73780082874937e-005	(1.13035604412201e+002dB,1.79318097198610e+002°)
1.77827941003892e-005	(1.13035575422342e+002dB,1.79302215194562e+002°)
1.81970085860998e-005	(1.13035545066440e+002dB,1.79285963362146e+002°)
1.86208713666287e-005	(1.13035513280137e+002dB,1.79269333094892e+002°)
1.90546071796325e-005	(1.13035479996040e+002dB,1.79252315586427e+002°)
1.94984459975804e-005	(1.13035445143586e+002dB,1.79234901825860e+002°)
1.99526231496888e-005	(1.13035408648886e+002dB,1.79217082593061e+002°)
2.04173794466953e-005	(1.13035370434572e+002dB,1.79198848453831e+002°)
2.08929613085404e-005	(1.13035330419634e+002dB,1.79180189754971e+002°)
2.13796208950223e-005	(1.13035288519245e+002dB,1.79161096619233e+002°)
2.18776162394955e-005	(1.13035244644585e+002dB,1.79141558940154e+002°)
2.23872113856834e-005	(1.13035198702650e+002dB,1.79121566376784e+002°)
2.29086765276777e-005	(1.13035150596060e+002dB,1.79101108348285e+002°)
2.34422881531992e-005	(1.13035100222847e+002dB,1.79080174028418e+002°)
2.39883291901949e-005	(1.13035047476245e+002dB,1.79058752339899e+002°)
2.45470891568503e-005	(1.13034992244457e+002dB,1.79036831948636e+002°)
2.51188643150958e-005	(1.13034934410429e+002dB,1.79014401257828e+002°)
2.57039578276886e-005	(1.13034873851593e+002dB,1.78991448401946e+002°)
2.63026799189538e-005	(1.13034810439611e+002dB,1.78967961240566e+002°)
2.69153480392691e-005	(1.13034744040108e+002dB,1.78943927352077e+002°)
2.75422870333816e-005	(1.13034674512380e+002dB,1.78919334027244e+002°)
2.81838293126445e-005	(1.13034601709104e+002dB,1.78894168262631e+002°)
2.88403150312660e-005	(1.13034525476024e+002dB,1.78868416753877e+002°)
2.95120922666638e-005	(1.13034445651623e+002dB,1.78842065888831e+002°)
3.01995172040201e-005	(1.13034362066787e+002dB,1.78815101740531e+002°)
3.09029543251359e-005	(1.13034274544443e+002dB,1.78787510060031e+002°)
3.16227766016837e-005	(1.13034182899189e+002dB,1.78759276269074e+002°)
3.23593656929628e-005	(1.13034086936899e+002dB,1.78730385452611e+002°)
3.31131121482591e-005	(1.13033986454319e+002dB,1.78700822351147e+002°)
3.38844156139202e-005	(1.13033881238632e+002dB,1.78670571352935e+002°)
3.46736850452531e-005	(1.13033771067015e+002dB,1.78639616485997e+002°)
3.54813389233575e-005	(1.13033655706165e+002dB,1.78607941409975e+002°)
3.63078054770101e-005	(1.13033534911810e+002dB,1.78575529407816e+002°)
3.71535229097172e-005	(1.13033408428193e+002dB,1.78542363377272e+002°)
3.80189396320561e-005	(1.13033275987535e+002dB,1.78508425822232e+002°)
3.89045144994280e-005	(1.13033137309469e+002dB,1.78473698843862e+002°)
3.98107170553497e-005	(1.13032992100454e+002dB,1.78438164131576e+002°)
4.07380277804112e-005	(1.13032840053153e+002dB,1.78401802953808e+002°)
4.16869383470335e-005	(1.13032680845788e+002dB,1.78364596148600e+002°)
4.26579518801592e-005	(1.13032514141466e+002dB,1.78326524114005e+002°)
4.36515832240165e-005	(1.13032339587470e+002dB,1.78287566798284e+002°)
