Freq.	V(outder)/V(VIN)
1.00000000000000e+001	(-4.58667216077420e+001dB,-9.00000455032057e+001°)
1.02329299228075e+001	(-4.56667216061109e+001dB,-9.00000465631115e+001°)
1.04712854805090e+001	(-4.54667216044031e+001dB,-9.00000476477057e+001°)
1.07151930523761e+001	(-4.52667216026147e+001dB,-9.00000487575633e+001°)
1.09647819614319e+001	(-4.50667216007420e+001dB,-9.00000498932729e+001°)
1.12201845430196e+001	(-4.48667215987811e+001dB,-9.00000510554365e+001°)
1.14815362149688e+001	(-4.46667215967278e+001dB,-9.00000522446704e+001°)
1.17489755493953e+001	(-4.44667215945777e+001dB,-9.00000534616051e+001°)
1.20226443461741e+001	(-4.42667215923263e+001dB,-9.00000547068858e+001°)
1.23026877081238e+001	(-4.40667215899687e+001dB,-9.00000559811729e+001°)
1.25892541179417e+001	(-4.38667215875001e+001dB,-9.00000572851419e+001°)
1.28824955169313e+001	(-4.36667215849151e+001dB,-9.00000586194843e+001°)
1.31825673855641e+001	(-4.34667215822083e+001dB,-9.00000599849075e+001°)
1.34896288259165e+001	(-4.32667215793739e+001dB,-9.00000613821355e+001°)
1.38038426460288e+001	(-4.30667215764060e+001dB,-9.00000628119091e+001°)
1.41253754462275e+001	(-4.28667215732981e+001dB,-9.00000642749864e+001°)
1.44543977074593e+001	(-4.26667215700438e+001dB,-9.00000657721432e+001°)
1.47910838816821e+001	(-4.24667215666362e+001dB,-9.00000673041732e+001°)
1.51356124843621e+001	(-4.22667215630679e+001dB,-9.00000688718888e+001°)
1.54881661891248e+001	(-4.20667215593314e+001dB,-9.00000704761212e+001°)
1.58489319246111e+001	(-4.18667215554189e+001dB,-9.00000721177209e+001°)
1.62181009735893e+001	(-4.16667215513220e+001dB,-9.00000737975584e+001°)
1.65958690743756e+001	(-4.14667215470320e+001dB,-9.00000755165244e+001°)
1.69824365246174e+001	(-4.12667215425398e+001dB,-9.00000772755302e+001°)
1.73780082874937e+001	(-4.10667215378359e+001dB,-9.00000790755085e+001°)
1.77827941003892e+001	(-4.08667215329103e+001dB,-9.00000809174137e+001°)
1.81970085860998e+001	(-4.06667215277526e+001dB,-9.00000828022225e+001°)
1.86208713666287e+001	(-4.04667215223518e+001dB,-9.00000847309340e+001°)
1.90546071796325e+001	(-4.02667215166965e+001dB,-9.00000867045710e+001°)
1.94984459975804e+001	(-4.00667215107746e+001dB,-9.00000887241799e+001°)
1.99526231496888e+001	(-3.98667215045737e+001dB,-9.00000907908315e+001°)
2.04173794466953e+001	(-3.96667214980805e+001dB,-9.00000929056216e+001°)
2.08929613085404e+001	(-3.94667214912813e+001dB,-9.00000950696716e+001°)
2.13796208950223e+001	(-3.92667214841617e+001dB,-9.00000972841287e+001°)
2.18776162394955e+001	(-3.90667214767065e+001dB,-9.00000995501672e+001°)
2.23872113856834e+001	(-3.88667214689000e+001dB,-9.00001018689885e+001°)
2.29086765276777e+001	(-3.86667214607255e+001dB,-9.00001042418220e+001°)
2.34422881531992e+001	(-3.84667214521658e+001dB,-9.00001066699260e+001°)
2.39883291901949e+001	(-3.82667214432027e+001dB,-9.00001091545877e+001°)
2.45470891568503e+001	(-3.80667214338172e+001dB,-9.00001116971247e+001°)
2.51188643150958e+001	(-3.78667214239894e+001dB,-9.00001142988850e+001°)
2.57039578276886e+001	(-3.76667214136984e+001dB,-9.00001169612480e+001°)
2.63026799189538e+001	(-3.74667214029224e+001dB,-9.00001196856255e+001°)
2.69153480392691e+001	(-3.72667213916385e+001dB,-9.00001224734618e+001°)
2.75422870333816e+001	(-3.70667213798229e+001dB,-9.00001253262352e+001°)
2.81838293126445e+001	(-3.68667213674504e+001dB,-9.00001282454582e+001°)
2.88403150312660e+001	(-3.66667213544947e+001dB,-9.00001312326787e+001°)
2.95120922666638e+001	(-3.64667213409286e+001dB,-9.00001342894805e+001°)
3.01995172040201e+001	(-3.62667213267230e+001dB,-9.00001374174843e+001°)
3.09029543251359e+001	(-3.60667213118480e+001dB,-9.00001406183487e+001°)
3.16227766016838e+001	(-3.58667212962719e+001dB,-9.00001438937709e+001°)
3.23593656929628e+001	(-3.56667212799618e+001dB,-9.00001472454874e+001°)
3.31131121482591e+001	(-3.54667212628830e+001dB,-9.00001506752754e+001°)
3.38844156139202e+001	(-3.52667212449992e+001dB,-9.00001541849534e+001°)
3.46736850452531e+001	(-3.50667212262727e+001dB,-9.00001577763823e+001°)
3.54813389233575e+001	(-3.48667212066636e+001dB,-9.00001614514664e+001°)
3.63078054770101e+001	(-3.46667211861303e+001dB,-9.00001652121542e+001°)
3.71535229097172e+001	(-3.44667211646294e+001dB,-9.00001690604396e+001°)
3.80189396320561e+001	(-3.42667211421151e+001dB,-9.00001729983631e+001°)
3.89045144994280e+001	(-3.40667211185398e+001dB,-9.00001770280127e+001°)
3.98107170553497e+001	(-3.38667210938534e+001dB,-9.00001811515248e+001°)
4.07380277804112e+001	(-3.36667210680035e+001dB,-9.00001853710859e+001°)
4.16869383470335e+001	(-3.34667210409354e+001dB,-9.00001896889332e+001°)
4.26579518801592e+001	(-3.32667210125916e+001dB,-9.00001941073561e+001°)
4.36515832240165e+001	(-3.30667209829121e+001dB,-9.00001986286972e+001°)
4.46683592150962e+001	(-3.28667209518337e+001dB,-9.00002032553539e+001°)
4.57088189614874e+001	(-3.26667209192907e+001dB,-9.00002079897793e+001°)
4.67735141287197e+001	(-3.24667208852140e+001dB,-9.00002128344837e+001°)
4.78630092322638e+001	(-3.22667208495313e+001dB,-9.00002177920357e+001°)
4.89778819368445e+001	(-3.20667208121669e+001dB,-9.00002228650639e+001°)
5.01187233627271e+001	(-3.18667207730416e+001dB,-9.00002280562582e+001°)
5.12861383991364e+001	(-3.16667207320723e+001dB,-9.00002333683708e+001°)
5.24807460249772e+001	(-3.14667206891723e+001dB,-9.00002388042185e+001°)
5.37031796370252e+001	(-3.12667206442504e+001dB,-9.00002443666834e+001°)
5.49540873857624e+001	(-3.10667205972114e+001dB,-9.00002500587147e+001°)
5.62341325190348e+001	(-3.08667205479556e+001dB,-9.00002558833304e+001°)
5.75439937337156e+001	(-3.06667204963783e+001dB,-9.00002618436189e+001°)
5.88843655355588e+001	(-3.04667204423704e+001dB,-9.00002679427403e+001°)
6.02559586074357e+001	(-3.02667203858171e+001dB,-9.00002741839285e+001°)
6.16595001861481e+001	(-3.00667203265985e+001dB,-9.00002805704927e+001°)
6.30957344480192e+001	(-2.98667202645891e+001dB,-9.00002871058191e+001°)
6.45654229034654e+001	(-2.96667201996572e+001dB,-9.00002937933727e+001°)
6.60693448007595e+001	(-2.94667201316652e+001dB,-9.00003006366995e+001°)
6.76082975391980e+001	(-2.92667200604688e+001dB,-9.00003076394279e+001°)
6.91830970918935e+001	(-2.90667199859171e+001dB,-9.00003148052708e+001°)
7.07945784384136e+001	(-2.88667199078518e+001dB,-9.00003221380276e+001°)
7.24435960074988e+001	(-2.86667198261074e+001dB,-9.00003296415862e+001°)
7.41310241300916e+001	(-2.84667197405105e+001dB,-9.00003373199252e+001°)
7.58577575029182e+001	(-2.82667196508796e+001dB,-9.00003451771157e+001°)
7.76247116628690e+001	(-2.80667195570245e+001dB,-9.00003532173237e+001°)
7.94328234724279e+001	(-2.78667194587461e+001dB,-9.00003614448122e+001°)
8.12830516164097e+001	(-2.76667193558361e+001dB,-9.00003698639435e+001°)
8.31763771102669e+001	(-2.74667192480760e+001dB,-9.00003784791815e+001°)
8.51138038202374e+001	(-2.72667191352373e+001dB,-9.00003872950943e+001°)
8.70963589956078e+001	(-2.70667190170807e+001dB,-9.00003963163560e+001°)
8.91250938133743e+001	(-2.68667188933556e+001dB,-9.00004055477500e+001°)
9.12010839355907e+001	(-2.66667187637994e+001dB,-9.00004149941707e+001°)
9.33254300796988e+001	(-2.64667186281375e+001dB,-9.00004246606269e+001°)
9.54992586021433e+001	(-2.62667184860821e+001dB,-9.00004345522437e+001°)
9.77237220955808e+001	(-2.60667183373317e+001dB,-9.00004446742659e+001°)
9.99999999999997e+001	(-2.58667181815710e+001dB,-9.00004550320603e+001°)
1.02329299228075e+002	(-2.56667180184695e+001dB,-9.00004656311188e+001°)
1.04712854805090e+002	(-2.54667178476812e+001dB,-9.00004764770610e+001°)
1.07151930523760e+002	(-2.52667176688440e+001dB,-9.00004875756377e+001°)
1.09647819614318e+002	(-2.50667174815784e+001dB,-9.00004989327335e+001°)
1.12201845430196e+002	(-2.48667172854872e+001dB,-9.00005105543701e+001°)
1.14815362149688e+002	(-2.46667170801545e+001dB,-9.00005224467093e+001°)
1.17489755493953e+002	(-2.44667168651448e+001dB,-9.00005346160568e+001°)
1.20226443461741e+002	(-2.42667166400020e+001dB,-9.00005470688647e+001°)
1.23026877081238e+002	(-2.40667164042486e+001dB,-9.00005598117359e+001°)
1.25892541179416e+002	(-2.38667161573844e+001dB,-9.00005728514267e+001°)
1.28824955169313e+002	(-2.36667158988859e+001dB,-9.00005861948509e+001°)
1.31825673855640e+002	(-2.34667156282046e+001dB,-9.00005998490834e+001°)
1.34896288259165e+002	(-2.32667153447666e+001dB,-9.00006138213639e+001°)
1.38038426460288e+002	(-2.30667150479706e+001dB,-9.00006281191006e+001°)
1.41253754462275e+002	(-2.28667147371869e+001dB,-9.00006427498744e+001°)
1.44543977074592e+002	(-2.26667144117565e+001dB,-9.00006577214428e+001°)
1.47910838816820e+002	(-2.24667140709890e+001dB,-9.00006730417438e+001°)
1.51356124843620e+002	(-2.22667137141616e+001dB,-9.00006887189005e+001°)
1.54881661891248e+002	(-2.20667133405174e+001dB,-9.00007047612252e+001°)
1.58489319246111e+002	(-2.18667129492639e+001dB,-9.00007211772236e+001°)
1.62181009735892e+002	(-2.16667125395712e+001dB,-9.00007379755998e+001°)
1.65958690743755e+002	(-2.14667121105702e+001dB,-9.00007551652605e+001°)
1.69824365246174e+002	(-2.12667116613510e+001dB,-9.00007727553199e+001°)
1.73780082874937e+002	(-2.10667111909607e+001dB,-9.00007907551045e+001°)
1.77827941003892e+002	(-2.08667106984016e+001dB,-9.00008091741580e+001°)
1.81970085860998e+002	(-2.06667101826289e+001dB,-9.00008280222464e+001°)
1.86208713666286e+002	(-2.04667096425485e+001dB,-9.00008473093633e+001°)
1.90546071796324e+002	(-2.02667090770149e+001dB,-9.00008670457349e+001°)
1.94984459975804e+002	(-2.00667084848285e+001dB,-9.00008872418257e+001°)
1.99526231496887e+002	(-1.98667078647331e+001dB,-9.00009079083440e+001°)
2.04173794466952e+002	(-1.96667072154135e+001dB,-9.00009290562475e+001°)
2.08929613085403e+002	(-1.94667065354924e+001dB,-9.00009506967490e+001°)
2.13796208950222e+002	(-1.92667058235275e+001dB,-9.00009728413226e+001°)
2.18776162394954e+002	(-1.90667050780086e+001dB,-9.00009955017098e+001°)
2.23872113856833e+002	(-1.88667042973545e+001dB,-9.00010186899253e+001°)
2.29086765276776e+002	(-1.86667034799092e+001dB,-9.00010424182639e+001°)
2.34422881531991e+002	(-1.84667026239388e+001dB,-9.00010666993066e+001°)
2.39883291901948e+002	(-1.82667017276277e+001dB,-9.00010915459276e+001°)
2.45470891568502e+002	(-1.80667007890746e+001dB,-9.00011169713009e+001°)
2.51188643150957e+002	(-1.78666998062888e+001dB,-9.00011429889074e+001°)
2.57039578276885e+002	(-1.76666987771856e+001dB,-9.00011696125420e+001°)
2.63026799189537e+002	(-1.74666976995821e+001dB,-9.00011968563210e+001°)
2.69153480392690e+002	(-1.72666965711926e+001dB,-9.00012247346892e+001°)
2.75422870333816e+002	(-1.70666953896236e+001dB,-9.00012532624284e+001°)
2.81838293126444e+002	(-1.68666941523688e+001dB,-9.00012824546642e+001°)
2.88403150312659e+002	(-1.66666928568037e+001dB,-9.00013123268747e+001°)
2.95120922666637e+002	(-1.64666915001804e+001dB,-9.00013428948987e+001°)
3.01995172040200e+002	(-1.62666900796211e+001dB,-9.00013741749438e+001°)
3.09029543251358e+002	(-1.60666885921127e+001dB,-9.00014061835951e+001°)
3.16227766016837e+002	(-1.58666870345000e+001dB,-9.00014389378239e+001°)
3.23593656929627e+002	(-1.56666854034788e+001dB,-9.00014724549972e+001°)
3.31131121482590e+002	(-1.54666836955897e+001dB,-9.00015067528861e+001°)
3.38844156139201e+002	(-1.52666819072099e+001dB,-9.00015418496759e+001°)
3.46736850452530e+002	(-1.50666800345460e+001dB,-9.00015777639754e+001°)
3.54813389233574e+002	(-1.48666780736257e+001dB,-9.00016145148269e+001°)
3.63078054770100e+002	(-1.46666760202896e+001dB,-9.00016521217163e+001°)
3.71535229097171e+002	(-1.44666738701822e+001dB,-9.00016906045831e+001°)
3.80189396320559e+002	(-1.42666716187429e+001dB,-9.00017299838318e+001°)
3.89045144994279e+002	(-1.40666692611958e+001dB,-9.00017702803416e+001°)
3.98107170553495e+002	(-1.38666667925403e+001dB,-9.00018115154784e+001°)
4.07380277804111e+002	(-1.36666642075398e+001dB,-9.00018537111056e+001°)
4.16869383470333e+002	(-1.34666615007113e+001dB,-9.00018968895961e+001°)
4.26579518801591e+002	(-1.32666586663129e+001dB,-9.00019410738437e+001°)
4.36515832240164e+002	(-1.30666556983324e+001dB,-9.00019862872756e+001°)
4.46683592150961e+002	(-1.28666525904743e+001dB,-9.00020325538645e+001°)
4.57088189614873e+002	(-1.26666493361461e+001dB,-9.00020798981418e+001°)
4.67735141287196e+002	(-1.24666459284449e+001dB,-9.00021283452102e+001°)
4.78630092322636e+002	(-1.22666423601422e+001dB,-9.00021779207569e+001°)
4.89778819368444e+002	(-1.20666386236690e+001dB,-9.00022286510678e+001°)
5.01187233627270e+002	(-1.18666347110995e+001dB,-9.00022805630408e+001°)
5.12861383991362e+002	(-1.16666306141345e+001dB,-9.00023336842005e+001°)
5.24807460249770e+002	(-1.14666263240833e+001dB,-9.00023880427125e+001°)
5.37031796370250e+002	(-1.12666218318460e+001dB,-9.00024436673987e+001°)
5.49540873857622e+002	(-1.10666171278935e+001dB,-9.00025005877520e+001°)
5.62341325190346e+002	(-1.08666122022479e+001dB,-9.00025588339527e+001°)
5.75439937337154e+002	(-1.06666070444608e+001dB,-9.00026184368839e+001°)
