Freq.	V(outder)
1.00000000000000e+001	(-3.63242965954303e+001dB,8.99892611950778e+001°)
1.02329299228075e+001	(-3.61242965976676e+001dB,8.99890110561775e+001°)
1.04712854805090e+001	(-3.59242966000104e+001dB,8.99887550907936e+001°)
1.07151930523761e+001	(-3.57242966024637e+001dB,8.99884931632101e+001°)
1.09647819614319e+001	(-3.55242966050325e+001dB,8.99882251345494e+001°)
1.12201845430196e+001	(-3.53242966077224e+001dB,8.99879508626991e+001°)
1.14815362149688e+001	(-3.51242966105391e+001dB,8.99876702022367e+001°)
1.17489755493953e+001	(-3.49242966134885e+001dB,8.99873830043523e+001°)
1.20226443461741e+001	(-3.47242966165770e+001dB,8.99870891167698e+001°)
1.23026877081238e+001	(-3.45242966198109e+001dB,8.99867883836661e+001°)
1.25892541179417e+001	(-3.43242966231973e+001dB,8.99864806455884e+001°)
1.28824955169313e+001	(-3.41242966267433e+001dB,8.99861657393701e+001°)
1.31825673855641e+001	(-3.39242966304564e+001dB,8.99858434980437e+001°)
1.34896288259165e+001	(-3.37242966343445e+001dB,8.99855137507525e+001°)
1.38038426460288e+001	(-3.35242966384159e+001dB,8.99851763226602e+001°)
1.41253754462275e+001	(-3.33242966426791e+001dB,8.99848310348579e+001°)
1.44543977074593e+001	(-3.31242966471433e+001dB,8.99844777042694e+001°)
1.47910838816821e+001	(-3.29242966518178e+001dB,8.99841161435542e+001°)
1.51356124843621e+001	(-3.27242966567126e+001dB,8.99837461610081e+001°)
1.54881661891248e+001	(-3.25242966618381e+001dB,8.99833675604613e+001°)
1.58489319246111e+001	(-3.23242966672052e+001dB,8.99829801411749e+001°)
1.62181009735893e+001	(-3.21242966728252e+001dB,8.99825836977340e+001°)
1.65958690743756e+001	(-3.19242966787101e+001dB,8.99821780199390e+001°)
1.69824365246174e+001	(-3.17242966848723e+001dB,8.99817628926942e+001°)
1.73780082874937e+001	(-3.15242966913250e+001dB,8.99813380958936e+001°)
1.77827941003892e+001	(-3.13242966980817e+001dB,8.99809034043044e+001°)
1.81970085860998e+001	(-3.11242967051569e+001dB,8.99804585874473e+001°)
1.86208713666287e+001	(-3.09242967125656e+001dB,8.99800034094745e+001°)
1.90546071796325e+001	(-3.07242967203233e+001dB,8.99795376290446e+001°)
1.94984459975804e+001	(-3.05242967284467e+001dB,8.99790609991947e+001°)
1.99526231496888e+001	(-3.03242967369530e+001dB,8.99785732672092e+001°)
2.04173794466953e+001	(-3.01242967458601e+001dB,8.99780741744864e+001°)
2.08929613085404e+001	(-2.99242967551870e+001dB,8.99775634564004e+001°)
2.13796208950223e+001	(-2.97242967649535e+001dB,8.99770408421620e+001°)
2.18776162394955e+001	(-2.95242967751803e+001dB,8.99765060546739e+001°)
2.23872113856834e+001	(-2.93242967858890e+001dB,8.99759588103850e+001°)
2.29086765276777e+001	(-2.91242967971024e+001dB,8.99753988191389e+001°)
2.34422881531992e+001	(-2.89242968088443e+001dB,8.99748257840209e+001°)
2.39883291901949e+001	(-2.87242968211396e+001dB,8.99742394012001e+001°)
2.45470891568503e+001	(-2.85242968340143e+001dB,8.99736393597687e+001°)
2.51188643150958e+001	(-2.83242968474958e+001dB,8.99730253415767e+001°)
2.57039578276886e+001	(-2.81242968616126e+001dB,8.99723970210635e+001°)
2.63026799189538e+001	(-2.79242968763948e+001dB,8.99717540650852e+001°)
2.69153480392691e+001	(-2.77242968918736e+001dB,8.99710961327381e+001°)
2.75422870333816e+001	(-2.75242969080819e+001dB,8.99704228751776e+001°)
2.81838293126445e+001	(-2.73242969250541e+001dB,8.99697339354338e+001°)
2.88403150312660e+001	(-2.71242969428261e+001dB,8.99690289482216e+001°)
2.95120922666638e+001	(-2.69242969614358e+001dB,8.99683075397474e+001°)
3.01995172040201e+001	(-2.67242969809225e+001dB,8.99675693275108e+001°)
3.09029543251359e+001	(-2.65242970013275e+001dB,8.99668139201020e+001°)
3.16227766016838e+001	(-2.63242970226943e+001dB,8.99660409169940e+001°)
3.23593656929628e+001	(-2.61242970450679e+001dB,8.99652499083301e+001°)
3.31131121482591e+001	(-2.59242970684961e+001dB,8.99644404747071e+001°)
3.38844156139202e+001	(-2.57242970930284e+001dB,8.99636121869526e+001°)
3.46736850452531e+001	(-2.55242971187168e+001dB,8.99627646058973e+001°)
