Freq.	V(outder)/V(VIN)
1.00000000000000e+001	(-3.63242964441384e+001dB,-9.00000468049186e+001°)
1.02329299228075e+001	(-3.61242964392456e+001dB,-9.00000478951452e+001°)
1.04712854805090e+001	(-3.59242964341222e+001dB,-9.00000490107665e+001°)
1.07151930523761e+001	(-3.57242964287574e+001dB,-9.00000501523739e+001°)
1.09647819614319e+001	(-3.55242964231397e+001dB,-9.00000513205727e+001°)
1.12201845430196e+001	(-3.53242964172573e+001dB,-9.00000525159824e+001°)
1.14815362149688e+001	(-3.51242964110976e+001dB,-9.00000537392368e+001°)
1.17489755493953e+001	(-3.49242964046476e+001dB,-9.00000549909844e+001°)
1.20226443461741e+001	(-3.47242963978937e+001dB,-9.00000562718890e+001°)
1.23026877081238e+001	(-3.45242963908215e+001dB,-9.00000575826297e+001°)
1.25892541179417e+001	(-3.43242963834159e+001dB,-9.00000589239014e+001°)
1.28824955169313e+001	(-3.41242963756614e+001dB,-9.00000602964154e+001°)
1.31825673855641e+001	(-3.39242963675413e+001dB,-9.00000617008994e+001°)
1.34896288259165e+001	(-3.37242963590386e+001dB,-9.00000631380979e+001°)
1.38038426460288e+001	(-3.35242963501352e+001dB,-9.00000646087732e+001°)
1.41253754462275e+001	(-3.33242963408122e+001dB,-9.00000661137048e+001°)
1.44543977074593e+001	(-3.31242963310498e+001dB,-9.00000676536909e+001°)
1.47910838816821e+001	(-3.29242963208273e+001dB,-9.00000692295478e+001°)
1.51356124843621e+001	(-3.27242963101230e+001dB,-9.00000708421111e+001°)
1.54881661891248e+001	(-3.25242962989143e+001dB,-9.00000724922358e+001°)
1.58489319246111e+001	(-3.23242962871773e+001dB,-9.00000741807969e+001°)
1.62181009735893e+001	(-3.21242962748871e+001dB,-9.00000759086897e+001°)
1.65958690743756e+001	(-3.19242962620177e+001dB,-9.00000776768302e+001°)
1.69824365246174e+001	(-3.17242962485419e+001dB,-9.00000794861560e+001°)
1.73780082874937e+001	(-3.15242962344309e+001dB,-9.00000813376264e+001°)
1.77827941003892e+001	(-3.13242962196549e+001dB,-9.00000832322231e+001°)
1.81970085860998e+001	(-3.11242962041825e+001dB,-9.00000851709507e+001°)
1.86208713666287e+001	(-3.09242961879809e+001dB,-9.00000871548370e+001°)
1.90546071796325e+001	(-3.07242961710158e+001dB,-9.00000891849339e+001°)
1.94984459975804e+001	(-3.05242961532511e+001dB,-9.00000912623179e+001°)
1.99526231496888e+001	(-3.03242961346493e+001dB,-9.00000933880904e+001°)
2.04173794466953e+001	(-3.01242961151707e+001dB,-9.00000955633785e+001°)
2.08929613085404e+001	(-2.99242960947741e+001dB,-9.00000977893355e+001°)
2.13796208950223e+001	(-2.97242960734163e+001dB,-9.00001000671418e+001°)
2.18776162394955e+001	(-2.95242960510519e+001dB,-9.00001023980050e+001°)
2.23872113856834e+001	(-2.93242960276335e+001dB,-9.00001047831609e+001°)
2.29086765276777e+001	(-2.91242960031114e+001dB,-9.00001072238743e+001°)
2.34422881531992e+001	(-2.89242959774337e+001dB,-9.00001097214392e+001°)
2.39883291901949e+001	(-2.87242959505458e+001dB,-9.00001122771798e+001°)
2.45470891568503e+001	(-2.85242959223907e+001dB,-9.00001148924513e+001°)
2.51188643150958e+001	(-2.83242958929087e+001dB,-9.00001175686403e+001°)
2.57039578276886e+001	(-2.81242958620372e+001dB,-9.00001203071658e+001°)
2.63026799189538e+001	(-2.79242958297108e+001dB,-9.00001231094797e+001°)
2.69153480392691e+001	(-2.77242957958609e+001dB,-9.00001259770679e+001°)
2.75422870333816e+001	(-2.75242957604158e+001dB,-9.00001289114508e+001°)
2.81838293126445e+001	(-2.73242957233001e+001dB,-9.00001319141842e+001°)
