Freq.	V(outint)
1.00000000000000e+001	(1.99885495545665e+001dB,-2.91391345299989e+000°)
1.02329299228075e+001	(1.99880206684865e+001dB,-2.98166613695054e+000°)
1.04712854805090e+001	(1.99874669257976e+001dB,-3.05098834352211e+000°)
1.07151930523761e+001	(1.99868871616838e+001dB,-3.12191601601931e+000°)
1.09647819614319e+001	(1.99862801570709e+001dB,-3.19448589123573e+000°)
1.12201845430196e+001	(1.99856446361304e+001dB,-3.26873551484333e+000°)
1.14815362149688e+001	(1.99849792636718e+001dB,-3.34470325692334e+000°)
1.17489755493953e+001	(1.99842826424178e+001dB,-3.42242832762697e+000°)
1.20226443461741e+001	(1.99835533101591e+001dB,-3.50195079295274e+000°)
1.23026877081238e+001	(1.99827897367822e+001dB,-3.58331159062635e+000°)
1.25892541179417e+001	(1.99819903211653e+001dB,-3.66655254606691e+000°)
1.28824955169313e+001	(1.99811533879372e+001dB,-3.75171638842225e+000°)
1.31825673855641e+001	(1.99802771840940e+001dB,-3.83884676665418e+000°)
1.34896288259165e+001	(1.99793598754667e+001dB,-3.92798826565261e+000°)
1.38038426460288e+001	(1.99783995430348e+001dB,-4.01918642235573e+000°)
1.41253754462275e+001	(1.99773941790788e+001dB,-4.11248774185106e+000°)
1.44543977074593e+001	(1.99763416831661e+001dB,-4.20793971343035e+000°)
1.47910838816821e+001	(1.99752398579641e+001dB,-4.30559082656849e+000°)
1.51356124843621e+001	(1.99740864048717e+001dB,-4.40549058679436e+000°)
1.54881661891248e+001	(1.99728789194650e+001dB,-4.50768953141877e+000°)
1.58489319246111e+001	(1.99716148867489e+001dB,-4.61223924508159e+000°)
1.62181009735893e+001	(1.99702916762066e+001dB,-4.71919237507724e+000°)
1.65958690743756e+001	(1.99689065366413e+001dB,-4.82860264641451e+000°)
1.69824365246174e+001	(1.99674565908015e+001dB,-4.94052487656293e+000°)
1.73780082874937e+001	(1.99659388297821e+001dB,-5.05501498983441e+000°)
1.77827941003892e+001	(1.99643501071939e+001dB,-5.17213003134488e+000°)
1.81970085860998e+001	(1.99626871330944e+001dB,-5.29192818049646e+000°)
1.86208713666287e+001	(1.99609464676693e+001dB,-5.41446876391626e+000°)
1.90546071796325e+001	(1.99591245146597e+001dB,-5.53981226778326e+000°)
1.94984459975804e+001	(1.99572175145245e+001dB,-5.66802034946974e+000°)
1.99526231496888e+001	(1.99552215373309e+001dB,-5.79915584841837e+000°)
2.04173794466953e+001	(1.99531324753647e+001dB,-5.93328279617077e+000°)
2.08929613085404e+001	(1.99509460354511e+001dB,-6.07046642545726e+000°)
2.13796208950223e+001	(1.99486577309800e+001dB,-6.21077317825148e+000°)
2.18776162394955e+001	(1.99462628736252e+001dB,-6.35427071268707e+000°)
2.23872113856834e+001	(1.99437565647514e+001dB,-6.50102790872675e+000°)
2.29086765276777e+001	(1.99411336865011e+001dB,-6.65111487246700e+000°)
2.34422881531992e+001	(1.99383888925524e+001dB,-6.80460293895404e+000°)
2.39883291901949e+001	(1.99355165985426e+001dB,-6.96156467337895e+000°)
2.45470891568503e+001	(1.99325109721494e+001dB,-7.12207387051168e+000°)
2.51188643150958e+001	(1.99293659228238e+001dB,-7.28620555222477e+000°)
2.57039578276886e+001	(1.99260750911690e+001dB,-7.45403596294928e+000°)
2.63026799189538e+001	(1.99226318379598e+001dB,-7.62564256289570e+000°)
2.69153480392691e+001	(1.99190292327980e+001dB,-7.80110401886310e+000°)
2.75422870333816e+001	(1.99152600424008e+001dB,-7.98050019245013e+000°)
2.81838293126445e+001	(1.99113167185189e+001dB,-8.16391212547086e+000°)
2.88403150312660e+001	(1.99071913854824e+001dB,-8.35142202236814e+000°)
2.95120922666638e+001	(1.99028758273747e+001dB,-8.54311322940647e+000°)
3.01995172040201e+001	(1.98983614748356e+001dB,-8.73907021041495e+000°)
3.09029543251359e+001	(1.98936393914944e+001dB,-8.93937851884019e+000°)
3.16227766016838e+001	(1.98887002600399e+001dB,-9.14412476585714e+000°)
3.23593656929628e+001	(1.98835343679302e+001dB,-9.35339658427481e+000°)
3.31131121482591e+001	(1.98781315927527e+001dB,-9.56728258796182e+000°)
3.38844156139202e+001	(1.98724813872441e+001dB,-9.78587232650607e+000°)
3.46736850452531e+001	(1.98665727639825e+001dB,-1.00092562348104e+001°)
3.54813389233575e+001	(1.98603942797684e+001dB,-1.02375255773159e+001°)
3.63078054770101e+001	(1.98539340197121e+001dB,-1.04707723865335e+001°)
3.71535229097172e+001	(1.98471795810507e+001dB,-1.07090893955539e+001°)
3.80189396320561e+001	(1.98401180567192e+001dB,-1.09525699641966e+001°)
3.89045144994280e+001	(1.98327360187044e+001dB,-1.12013079984487e+001°)
3.98107170553497e+001	(1.98250195012176e+001dB,-1.14553978628389e+001°)
4.07380277804112e+001	(1.98169539837208e+001dB,-1.17149342853816e+001°)
4.16869383470335e+001	(1.98085243738512e+001dB,-1.19800122547221e+001°)
4.26579518801592e+001	(1.97997149902907e+001dB,-1.22507269091116e+001°)
4.36515832240165e+001	(1.97905095456349e+001dB,-1.25271734168349e+001°)
4.46683592150962e+001	(1.97808911293189e+001dB,-1.28094468477168e+001°)
4.57088189614874e+001	(1.97708421906662e+001dB,-1.30976420353336e+001°)
4.67735141287197e+001	(1.97603445221319e+001dB,-1.33918534295611e+001°)
4.78630092322638e+001	(1.97493792428193e+001dB,-1.36921749391011e+001°)
4.89778819368445e+001	(1.97379267823542e+001dB,-1.39986997636348e+001°)
5.01187233627271e+001	(1.97259668652104e+001dB,-1.43115202152722e+001°)
5.12861383991364e+001	(1.97134784955878e+001dB,-1.46307275289820e+001°)
5.24807460249772e+001	(1.97004399429501e+001dB,-1.49564116617128e+001°)
5.37031796370252e+001	(1.96868287283406e+001dB,-1.52886610799425e+001°)
5.49540873857624e+001	(1.96726216115987e+001dB,-1.56275625354326e+001°)
5.62341325190348e+001	(1.96577945796136e+001dB,-1.59732008289964e+001°)
5.75439937337156e+001	(1.96423228357542e+001dB,-1.63256585621453e+001°)
5.88843655355588e+001	(1.96261807906270e+001dB,-1.66850158765233e+001°)
6.02559586074357e+001	(1.96093420543200e+001dB,-1.70513501811054e+001°)
