Freq.	V(outint)/V(Vin)
1.00000000000000e+001	(1.98997022179460e+001dB,1.71318749015700e+002°)
1.02329299228075e+001	(1.98950418061740e+001dB,1.71119723714007e+002°)
1.04712854805090e+001	(1.98901671102164e+001dB,1.70916285948434e+002°)
1.07151930523761e+001	(1.98850685345663e+001dB,1.70708348381962e+002°)
1.09647819614319e+001	(1.98797360781616e+001dB,1.70495822684200e+002°)
1.12201845430196e+001	(1.98741593195026e+001dB,1.70278619575299e+002°)
1.14815362149688e+001	(1.98683274014393e+001dB,1.70056648874849e+002°)
1.17489755493953e+001	(1.98622290156409e+001dB,1.69829819556047e+002°)
1.20226443461741e+001	(1.98558523867673e+001dB,1.69598039805476e+002°)
1.23026877081238e+001	(1.98491852563623e+001dB,1.69361217088795e+002°)
1.25892541179417e+001	(1.98422148664942e+001dB,1.69119258222697e+002°)
1.28824955169313e+001	(1.98349279431695e+001dB,1.68872069453476e+002°)
1.31825673855641e+001	(1.98273106795552e+001dB,1.68619556542547e+002°)
1.34896288259165e+001	(1.98193487190431e+001dB,1.68361624859294e+002°)
1.38038426460288e+001	(1.98110271382001e+001dB,1.68098179481609e+002°)
1.41253754462275e+001	(1.98023304296480e+001dB,1.67829125304489e+002°)
1.44543977074593e+001	(1.97932424849268e+001dB,1.67554367157070e+002°)
1.47910838816821e+001	(1.97837465773976e+001dB,1.67273809928480e+002°)
1.51356124843621e+001	(1.97738253452482e+001dB,1.66987358702868e+002°)
1.54881661891248e+001	(1.97634607746722e+001dB,1.66694918903996e+002°)
1.58489319246111e+001	(1.97526341832965e+001dB,1.66396396449747e+002°)
1.62181009735893e+001	(1.97413262039422e+001dB,1.66091697916904e+002°)
1.65958690743756e+001	(1.97295167688079e+001dB,1.65780730716542e+002°)
1.69824365246174e+001	(1.97171850941757e+001dB,1.65463403280344e+002°)
1.73780082874937e+001	(1.97043096657440e+001dB,1.65139625258147e+002°)
1.77827941003892e+001	(1.96908682247035e+001dB,1.64809307726985e+002°)
1.81970085860998e+001	(1.96768377546769e+001dB,1.64472363411869e+002°)
1.86208713666287e+001	(1.96621944696553e+001dB,1.64128706918495e+002°)
1.90546071796325e+001	(1.96469138030687e+001dB,1.63778254978050e+002°)
1.94984459975804e+001	(1.96309703981401e+001dB,1.63420926704196e+002°)
1.99526231496888e+001	(1.96143380996779e+001dB,1.63056643862303e+002°)
2.04173794466953e+001	(1.95969899474721e+001dB,1.62685331150887e+002°)
2.08929613085404e+001	(1.95788981714657e+001dB,1.62306916495173e+002°)
2.13796208950223e+001	(1.95600341888808e+001dB,1.61921331352601e+002°)
2.18776162394955e+001	(1.95403686034863e+001dB,1.61528511030010e+002°)
2.23872113856834e+001	(1.95198712071991e+001dB,1.61128395012138e+002°)
2.29086765276777e+001	(1.94985109842174e+001dB,1.60720927300958e+002°)
2.34422881531992e+001	(1.94762561178868e+001dB,1.60306056765281e+002°)
2.39883291901949e+001	(1.94530740005059e+001dB,1.59883737499892e+002°)
2.45470891568503e+001	(1.94289312462775e+001dB,1.59453929193392e+002°)
2.51188643150958e+001	(1.94037937076110e+001dB,1.59016597503754e+002°)
2.57039578276886e+001	(1.93776264949828e+001dB,1.58571714440474e+002°)
2.63026799189538e+001	(1.93503940005543e+001dB,1.58119258752005e+002°)
2.69153480392691e+001	(1.93220599257422e+001dB,1.57659216317066e+002°)
2.75422870333816e+001	(1.92925873129290e+001dB,1.57191580538182e+002°)
2.81838293126445e+001	(1.92619385814870e+001dB,1.56716352735703e+002°)
2.88403150312660e+001	(1.92300755682765e+001dB,1.56233542540355e+002°)
2.95120922666638e+001	(1.91969595727644e+001dB,1.55743168282194e+002°)
3.01995172040201e+001	(1.91625514068828e+001dB,1.55245257373714e+002°)
3.09029543251359e+001	(1.91268114497313e+001dB,1.54739846684658e+002°)
3.16227766016838e+001	(1.90896997071919e+001dB,1.54226982905939e+002°)
3.23593656929628e+001	(1.90511758765019e+001dB,1.53706722899964e+002°)
3.31131121482591e+001	(1.90111994157907e+001dB,1.53179134034486e+002°)
3.38844156139202e+001	(1.89697296185536e+001dB,1.52644294497020e+002°)
3.46736850452531e+001	(1.89267256929911e+001dB,1.52102293586779e+002°)
3.54813389233575e+001	(1.88821468461029e+001dB,1.51553231980992e+002°)
3.63078054770101e+001	(1.88359523723765e+001dB,1.50997221972437e+002°)
3.71535229097172e+001	(1.87881017468621e+001dB,1.50434387675030e+002°)
3.80189396320561e+001	(1.87385547223774e+001dB,1.49864865194296e+002°)
3.89045144994280e+001	(1.86872714305299e+001dB,1.49288802759638e+002°)
3.98107170553497e+001	(1.86342124861955e+001dB,1.48706360815406e+002°)
4.07380277804112e+001	(1.85793390950355e+001dB,1.48117712067895e+002°)
4.16869383470335e+001	(1.85226131635848e+001dB,1.47523041485604e+002°)
4.26579518801592e+001	(1.84639974113905e+001dB,1.46922546250279e+002°)
4.36515832240165e+001	(1.84034554846326e+001dB,1.46316435656558e+002°)
4.46683592150962e+001	(1.83409520706120e+001dB,1.45704930958334e+002°)
4.57088189614874e+001	(1.82764530124499e+001dB,1.45088265160285e+002°)
4.67735141287197e+001	(1.82099254233046e+001dB,1.44466682753451e+002°)
4.78630092322638e+001	(1.81413377993816e+001dB,1.43840439394113e+002°)
4.89778819368445e+001	(1.80706601309883e+001dB,1.43209801525738e+002°)
5.01187233627271e+001	(1.79978640108659e+001dB,1.42575045944198e+002°)
5.12861383991364e+001	(1.79229227390257e+001dB,1.41936459307014e+002°)
5.24807460249772e+001	(1.78458114233123e+001dB,1.41294337587875e+002°)
5.37031796370252e+001	(1.77665070749280e+001dB,1.40648985478229e+002°)
5.49540873857624e+001	(1.76849886981708e+001dB,1.40000715738269e+002°)
5.62341325190348e+001	(1.76012373736649e+001dB,1.39349848500167e+002°)
5.75439937337156e+001	(1.75152363344008e+001dB,1.38696710526915e+002°)
5.88843655355588e+001	(1.74269710339504e+001dB,1.38041634430615e+002°)
6.02559586074357e+001	(1.73364292062741e+001dB,1.37384957854521e+002°)
6.16595001861481e+001	(1.72436009166074e+001dB,1.36727022623541e+002°)
6.30957344480192e+001	(1.71484786029781e+001dB,1.36068173868273e+002°)
6.45654229034654e+001	(1.70510571079912e+001dB,1.35408759127952e+002°)
6.60693448007595e+001	(1.69513337005968e+001dB,1.34749127437954e+002°)
6.76082975391980e+001	(1.68493080876467e+001dB,1.34089628407654e+002°)
6.91830970918935e+001	(1.67449824151361e+001dB,1.33430611294589e+002°)
7.07945784384136e+001	(1.66383612591193e+001dB,1.32772424080884e+002°)
7.24435960074988e+001	(1.65294516063806e+001dB,1.32115412557898e+002°)
7.41310241300916e+001	(1.64182628250339e+001dB,1.31459919424945e+002°)
7.58577575029182e+001	(1.63048066253125e+001dB,1.30806283407757e+002°)
7.76247116628690e+001	(1.61890970108969e+001dB,1.30154838402153e+002°)
7.94328234724279e+001	(1.60711502212057e+001dB,1.29505912648055e+002°)
8.12830516164097e+001	(1.59509846651499e+001dB,1.28859827938664e+002°)
8.31763771102669e+001	(1.58286208469171e+001dB,1.28216898869187e+002°)
8.51138038202374e+001	(1.57040812844075e+001dB,1.27577432129082e+002°)
8.70963589956078e+001	(1.55773904209951e+001dB,1.26941725841285e+002°)
8.91250938133743e+001	(1.54485745313261e+001dB,1.26310068951415e+002°)
9.12010839355907e+001	(1.53176616218964e+001dB,1.25682740669390e+002°)
9.33254300796988e+001	(1.51846813271724e+001dB,1.25060009965385e+002°)
9.54992586021433e+001	(1.50496648020269e+001dB,1.24442135121519e+002°)
9.77237220955808e+001	(1.49126446112689e+001dB,1.23829363340124e+002°)
9.99999999999997e+001	(1.47736546170341e+001dB,1.23221930408957e+002°)
1.02329299228075e+002	(1.46327298647904e+001dB,1.22620060423196e+002°)
1.04712854805090e+002	(1.44899064686904e+001dB,1.22023965563619e+002°)
1.07151930523760e+002	(1.43452214969711e+001dB,1.21433845929912e+002°)
1.09647819614318e+002	(1.41987128580669e+001dB,1.20849889427676e+002°)
1.12201845430196e+002	(1.40504191880613e+001dB,1.20272271707304e+002°)
1.14815362149688e+002	(1.39003797400570e+001dB,1.19701156152632e+002°)
1.17489755493953e+002	(1.37486342759960e+001dB,1.19136693916944e+002°)
1.20226443461741e+002	(1.35952229614113e+001dB,1.18579024003698e+002°)
1.23026877081238e+002	(1.34401862635390e+001dB,1.18028273389172e+002°)
1.25892541179416e+002	(1.32835648531660e+001dB,1.17484557184029e+002°)
1.28824955169313e+002	(1.31253995105376e+001dB,1.16947978830756e+002°)
1.31825673855640e+002	(1.29657310355935e+001dB,1.16418630333802e+002°)
1.34896288259165e+002	(1.28046001627546e+001dB,1.15896592519279e+002°)
1.38038426460288e+002	(1.26420474804287e+001dB,1.15381935321016e+002°)
1.41253754462275e+002	(1.24781133553599e+001dB,1.14874718089857e+002°)
1.44543977074592e+002	(1.23128378619016e+001dB,1.14374989923121e+002°)
