Freq.	V(outint)
1.00000000000000e+001	(1.98997022179460e+001dB,-8.68125098430024e+000°)
1.02329299228075e+001	(1.98950418061740e+001dB,-8.88027628599253e+000°)
1.04712854805090e+001	(1.98901671102164e+001dB,-9.08371405156606e+000°)
1.07151930523761e+001	(1.98850685345663e+001dB,-9.29165161803810e+000°)
1.09647819614319e+001	(1.98797360781616e+001dB,-9.50417731580021e+000°)
1.12201845430196e+001	(1.98741593195026e+001dB,-9.72138042470064e+000°)
1.14815362149688e+001	(1.98683274014393e+001dB,-9.94335112515109e+000°)
1.17489755493953e+001	(1.98622290156409e+001dB,-1.01701804439526e+001°)
1.20226443461741e+001	(1.98558523867673e+001dB,-1.04019601945238e+001°)
1.23026877081238e+001	(1.98491852563623e+001dB,-1.06387829112052e+001°)
1.25892541179417e+001	(1.98422148664942e+001dB,-1.08807417773027e+001°)
1.28824955169313e+001	(1.98349279431695e+001dB,-1.11279305465236e+001°)
1.31825673855641e+001	(1.98273106795552e+001dB,-1.13804434574528e+001°)
1.34896288259165e+001	(1.98193487190431e+001dB,-1.16383751407056e+001°)
1.38038426460288e+001	(1.98110271382001e+001dB,-1.19018205183907e+001°)
1.41253754462275e+001	(1.98023304296480e+001dB,-1.21708746955113e+001°)
1.44543977074593e+001	(1.97932424849268e+001dB,-1.24456328429297e+001°)
1.47910838816821e+001	(1.97837465773976e+001dB,-1.27261900715195e+001°)
1.51356124843621e+001	(1.97738253452482e+001dB,-1.30126412971315e+001°)
1.54881661891248e+001	(1.97634607746722e+001dB,-1.33050810960039e+001°)
1.58489319246111e+001	(1.97526341832965e+001dB,-1.36036035502534e+001°)
1.62181009735893e+001	(1.97413262039422e+001dB,-1.39083020830960e+001°)
1.65958690743756e+001	(1.97295167688079e+001dB,-1.42192692834576e+001°)
1.69824365246174e+001	(1.97171850941757e+001dB,-1.45365967196555e+001°)
1.73780082874937e+001	(1.97043096657440e+001dB,-1.48603747418528e+001°)
1.77827941003892e+001	(1.96908682247035e+001dB,-1.51906922730148e+001°)
1.81970085860998e+001	(1.96768377546769e+001dB,-1.55276365881314e+001°)
1.86208713666287e+001	(1.96621944696553e+001dB,-1.58712930815050e+001°)
1.90546071796325e+001	(1.96469138030687e+001dB,-1.62217450219504e+001°)
1.94984459975804e+001	(1.96309703981401e+001dB,-1.65790732958040e+001°)
1.99526231496888e+001	(1.96143380996779e+001dB,-1.69433561376968e+001°)
2.04173794466953e+001	(1.95969899474721e+001dB,-1.73146688491127e+001°)
2.08929613085404e+001	(1.95788981714657e+001dB,-1.76930835048267e+001°)
2.13796208950223e+001	(1.95600341888808e+001dB,-1.80786686473988e+001°)
2.18776162394955e+001	(1.95403686034863e+001dB,-1.84714889699897e+001°)
2.23872113856834e+001	(1.95198712071991e+001dB,-1.88716049878624e+001°)
2.29086765276777e+001	(1.94985109842174e+001dB,-1.92790726990420e+001°)
2.34422881531992e+001	(1.94762561178868e+001dB,-1.96939432347186e+001°)
2.39883291901949e+001	(1.94530740005059e+001dB,-2.01162625001077e+001°)
2.45470891568503e+001	(1.94289312462775e+001dB,-2.05460708066084e+001°)
2.51188643150958e+001	(1.94037937076110e+001dB,-2.09834024962456e+001°)
2.57039578276886e+001	(1.93776264949828e+001dB,-2.14282855595262e+001°)
2.63026799189538e+001	(1.93503940005543e+001dB,-2.18807412479947e+001°)
2.69153480392691e+001	(1.93220599257422e+001dB,-2.23407836829340e+001°)
2.75422870333816e+001	(1.92925873129290e+001dB,-2.28084194618185e+001°)
2.81838293126445e+001	(1.92619385814870e+001dB,-2.32836472642966e+001°)
2.88403150312660e+001	(1.92300755682765e+001dB,-2.37664574596450e+001°)
