Freq.	V(outint)
1.00000000000000e+001	(1.99985361589155e+001dB,-9.72378177748249e-001°)
1.02329299228075e+001	(1.99984772190955e+001dB,-9.95023273872365e-001°)
1.04712854805090e+001	(1.99984155023847e+001dB,-1.01819552019881e+000°)
1.07151930523761e+001	(1.99983508779949e+001dB,-1.04190717262473e+000°)
1.09647819614319e+001	(1.99982832089820e+001dB,-1.06617077087941e+000°)
1.12201845430196e+001	(1.99982123519570e+001dB,-1.09099914501817e+000°)
1.14815362149688e+001	(1.99981381567823e+001dB,-1.11640542205904e+000°)
1.17489755493953e+001	(1.99980604662552e+001dB,-1.14240303276513e+000°)
1.20226443461741e+001	(1.99979791157760e+001dB,-1.16900571857528e+000°)
1.23026877081238e+001	(1.99978939330001e+001dB,-1.19622753868591e+000°)
1.25892541179417e+001	(1.99978047374743e+001dB,-1.22408287728678e+000°)
1.28824955169313e+001	(1.99977113402562e+001dB,-1.25258645095340e+000°)
1.31825673855641e+001	(1.99976135435156e+001dB,-1.28175331619904e+000°)
1.34896288259165e+001	(1.99975111401170e+001dB,-1.31159887718907e+000°)
1.38038426460288e+001	(1.99974039131827e+001dB,-1.34213889362038e+000°)
1.41253754462275e+001	(1.99972916356362e+001dB,-1.37338948876891e+000°)
1.44543977074593e+001	(1.99971740697230e+001dB,-1.40536715770780e+000°)
1.47910838816821e+001	(1.99970509665100e+001dB,-1.43808877569922e+000°)
1.51356124843621e+001	(1.99969220653611e+001dB,-1.47157160676245e+000°)
1.54881661891248e+001	(1.99967870933888e+001dB,-1.50583331242114e+000°)
1.58489319246111e+001	(1.99966457648791e+001dB,-1.54089196063230e+000°)
1.62181009735893e+001	(1.99964977806911e+001dB,-1.57676603489980e+000°)
1.65958690743756e+001	(1.99963428276276e+001dB,-1.61347444357493e+000°)
1.69824365246174e+001	(1.99961805777766e+001dB,-1.65103652934673e+000°)
1.73780082874937e+001	(1.99960106878222e+001dB,-1.68947207892444e+000°)
1.77827941003892e+001	(1.99958327983237e+001dB,-1.72880133291450e+000°)
1.81970085860998e+001	(1.99956465329608e+001dB,-1.76904499589469e+000°)
1.86208713666287e+001	(1.99954514977437e+001dB,-1.81022424668722e+000°)
1.90546071796325e+001	(1.99952472801873e+001dB,-1.85236074883336e+000°)
1.94984459975804e+001	(1.99950334484458e+001dB,-1.89547666127125e+000°)
1.99526231496888e+001	(1.99948095504086e+001dB,-1.93959464921893e+000°)
2.04173794466953e+001	(1.99945751127531e+001dB,-1.98473789526431e+000°)
2.08929613085404e+001	(1.99943296399545e+001dB,-2.03093011066341e+000°)
2.13796208950223e+001	(1.99940726132493e+001dB,-2.07819554684848e+000°)
2.18776162394955e+001	(1.99938034895514e+001dB,-2.12655900714681e+000°)
2.23872113856834e+001	(1.99935217003178e+001dB,-2.17604585871142e+000°)
2.29086765276777e+001	(1.99932266503620e+001dB,-2.22668204466390e+000°)
