Freq.	V(outint)/V(Vin)
1.00000000000000e+001	(1.00772887999134e+001dB,1.76329616776232e+002°)
1.02329299228075e+001	(1.00764505049964e+001dB,1.76244364295000e+002°)
1.04712854805090e+001	(1.00755728756288e+001dB,1.76157143255084e+002°)
1.07151930523761e+001	(1.00746540757125e+001dB,1.76067909027367e+002°)
1.09647819614319e+001	(1.00736921819919e+001dB,1.75976616030360e+002°)
1.12201845430196e+001	(1.00726851838814e+001dB,1.75883217712775e+002°)
1.14815362149688e+001	(1.00716309781474e+001dB,1.75787666538926e+002°)
1.17489755493953e+001	(1.00705273632616e+001dB,1.75689913971065e+002°)
1.20226443461741e+001	(1.00693720369879e+001dB,1.75589910456706e+002°)
1.23026877081238e+001	(1.00681625905264e+001dB,1.75487605408356e+002°)
1.25892541179417e+001	(1.00668965064894e+001dB,1.75382947191683e+002°)
1.28824955169313e+001	(1.00655711487907e+001dB,1.75275883109520e+002°)
1.31825673855641e+001	(1.00641837625261e+001dB,1.75166359383668e+002°)
1.34896288259165e+001	(1.00627314648146e+001dB,1.75054321145515e+002°)
1.38038426460288e+001	(1.00612112439865e+001dB,1.74939712416693e+002°)
1.41253754462275e+001	(1.00596199466938e+001dB,1.74822476098896e+002°)
1.44543977074593e+001	(1.00579542782624e+001dB,1.74702553956696e+002°)
1.47910838816821e+001	(1.00562107946248e+001dB,1.74579886608623e+002°)
1.51356124843621e+001	(1.00543858930141e+001dB,1.74454413511696e+002°)
1.54881661891248e+001	(1.00524758071414e+001dB,1.74326072951552e+002°)
1.58489319246111e+001	(1.00504766018583e+001dB,1.74194802031209e+002°)
1.62181009735893e+001	(1.00483841636031e+001dB,1.74060536660493e+002°)
1.65958690743756e+001	(1.00461941909113e+001dB,1.73923211546564e+002°)
1.69824365246174e+001	(1.00439021914734e+001dB,1.73782760188597e+002°)
1.73780082874937e+001	(1.00415034691390e+001dB,1.73639114866998e+002°)
1.77827941003892e+001	(1.00389931170549e+001dB,1.73492206641031e+002°)
1.81970085860998e+001	(1.00363660112042e+001dB,1.73341965343897e+002°)
1.86208713666287e+001	(1.00336167953658e+001dB,1.73188319576237e+002°)
1.90546071796325e+001	(1.00307398767171e+001dB,1.73031196712329e+002°)
1.94984459975804e+001	(1.00277294144571e+001dB,1.72870522893181e+002°)
1.99526231496888e+001	(1.00245793084442e+001dB,1.72706223033936e+002°)
2.04173794466953e+001	(1.00212831900718e+001dB,1.72538220827233e+002°)
2.08929613085404e+001	(1.00178344090148e+001dB,1.72366438747829e+002°)
2.13796208950223e+001	(1.00142260259152e+001dB,1.72190798066301e+002°)
2.18776162394955e+001	(1.00104507942626e+001dB,1.72011218856305e+002°)
2.23872113856834e+001	(1.00065011562924e+001dB,1.71827620012873e+002°)
2.29086765276777e+001	(1.00023692237487e+001dB,1.71639919267048e+002°)
2.34422881531992e+001	(9.99804676843068e+000dB,1.71448033209385e+002°)
2.39883291901949e+001	(9.99352520851247e+000dB,1.71251877313239e+002°)
2.45470891568503e+001	(9.98879559398771e+000dB,1.71051365963259e+002°)
2.51188643150958e+001	(9.98384859419007e+000dB,1.70846412484272e+002°)
2.57039578276886e+001	(9.97867448194128e+000dB,1.70636929185854e+002°)
2.63026799189538e+001	(9.97326311987712e+000dB,1.70422827389999e+002°)
2.69153480392691e+001	(9.96760394622785e+000dB,1.70204017490609e+002°)
2.75422870333816e+001	(9.96168595666087e+000dB,1.69980408993779e+002°)
2.81838293126445e+001	(9.95549769210839e+000dB,1.69751910579466e+002°)
2.88403150312660e+001	(9.94902722071786e+000dB,1.69518430161195e+002°)
2.95120922666638e+001	(9.94226212198276e+000dB,1.69279874948342e+002°)
3.01995172040201e+001	(9.93518947057853e+000dB,1.69036151536445e+002°)
3.09029543251359e+001	(9.92779581961736e+000dB,1.68787165967218e+002°)
3.16227766016838e+001	(9.92006718472135e+000dB,1.68532823830565e+002°)
3.23593656929628e+001	(9.91198902402472e+000dB,1.68273030355616e+002°)
3.31131121482591e+001	(9.90354622608031e+000dB,1.68007690513962e+002°)
3.38844156139202e+001	(9.89472308697333e+000dB,1.67736709128130e+002°)
3.46736850452531e+001	(9.88550329850994e+000dB,1.67459990999783e+002°)
3.54813389233575e+001	(9.87586992768489e+000dB,1.67177441027492e+002°)
3.63078054770101e+001	(9.86580540014075e+000dB,1.66888964352160e+002°)
3.71535229097172e+001	(9.85529148477018e+000dB,1.66594466505028e+002°)
3.80189396320561e+001	(9.84430927739761e+000dB,1.66293853559602e+002°)
3.89045144994280e+001	(9.83283918221135e+000dB,1.65987032307854e+002°)
3.98107170553497e+001	(9.82086089894322e+000dB,1.65673910431295e+002°)
4.07380277804112e+001	(9.80835340509262e+000dB,1.65354396697245e+002°)
4.16869383470335e+001	(9.79529494506173e+000dB,1.65028401156085e+002°)
4.26579518801592e+001	(9.78166301242300e+000dB,1.64695835355236e+002°)
4.36515832240165e+001	(9.76743433927706e+000dB,1.64356612563040e+002°)
4.46683592150962e+001	(9.75258488559738e+000dB,1.64010648010348e+002°)
4.57088189614874e+001	(9.73708982710715e+000dB,1.63657859133291e+002°)
4.67735141287197e+001	(9.72092354561907e+000dB,1.63298165831365e+002°)
4.78630092322638e+001	(9.70405962222071e+000dB,1.62931490753813e+002°)
4.89778819368445e+001	(9.68647083280627e+000dB,1.62557759571715e+002°)
5.01187233627271e+001	(9.66812914064394e+000dB,1.62176901280401e+002°)
5.12861383991364e+001	(9.64900569681543e+000dB,1.61788848513302e+002°)
5.24807460249772e+001	(9.62907083736050e+000dB,1.61393537852977e+002°)
5.37031796370252e+001	(9.60829409024172e+000dB,1.60990910168743e+002°)
5.49540873857624e+001	(9.58664417589114e+000dB,1.60580910964742e+002°)
5.62341325190348e+001	(9.56408901597127e+000dB,1.60163490722933e+002°)
5.75439937337156e+001	(9.54059574884947e+000dB,1.59738605271081e+002°)
5.88843655355588e+001	(9.51613073442508e+000dB,1.59306216151573e+002°)
6.02559586074357e+001	(9.49065958080642e+000dB,1.58866290998054e+002°)
6.16595001861481e+001	(9.46414715962313e+000dB,1.58418803922415e+002°)
6.30957344480192e+001	(9.43655763378698e+000dB,1.57963735902990e+002°)
6.45654229034654e+001	(9.40785448519123e+000dB,1.57501075169894e+002°)
6.60693448007595e+001	(9.37800054712650e+000dB,1.57030817610563e+002°)
6.76082975391980e+001	(9.34695804391982e+000dB,1.56552967155673e+002°)
6.91830970918935e+001	(9.31468863161212e+000dB,1.56067536173419e+002°)
7.07945784384136e+001	(9.28115344280644e+000dB,1.55574545854393e+002°)
7.24435960074988e+001	(9.24631314213665e+000dB,1.55074026593866e+002°)
7.41310241300916e+001	(9.21012797986926e+000dB,1.54566018365971e+002°)
7.58577575029182e+001	(9.17255785275006e+000dB,1.54050571076086e+002°)
7.76247116628690e+001	(9.13356237133766e+000dB,1.53527744917931e+002°)
7.94328234724279e+001	(9.09310093270338e+000dB,1.52997610682279e+002°)
8.12830516164097e+001	(9.05113279218423e+000dB,1.52460250089336e+002°)
8.31763771102669e+001	(9.00761714841945e+000dB,1.51915756045460e+002°)
8.51138038202374e+001	(8.96251322732171e+000dB,1.51364232929548e+002°)
8.70963589956078e+001	(8.91578037191989e+000dB,1.50805796793274e+002°)
8.91250938133743e+001	(8.86737813714206e+000dB,1.50240575575067e+002°)
9.12010839355907e+001	(8.81726638983735e+000dB,1.49668709243898e+002°)
9.33254300796988e+001	(8.76540540681692e+000dB,1.49090349922573e+002°)
9.54992586021433e+001	(8.71175598513861e+000dB,1.48505661979219e+002°)
9.77237220955808e+001	(8.65627954816602e+000dB,1.47914822037237e+002°)
9.99999999999997e+001	(8.59893825660932e+000dB,1.47318018971918e+002°)
1.02329299228075e+002	(8.53969512097708e+000dB,1.46715453843773e+002°)
1.04712854805090e+002	(8.47851411521858e+000dB,1.46107339778650e+002°)
1.07151930523760e+002	(8.41536029422279e+000dB,1.45493901791844e+002°)
1.09647819614318e+002	(8.35019990416343e+000dB,1.44875376571927e+002°)
1.12201845430196e+002	(8.28300049882754e+000dB,1.44252012191495e+002°)
1.14815362149688e+002	(8.21373105203494e+000dB,1.43624067766398e+002°)
1.17489755493953e+002	(8.14236206851093e+000dB,1.42991813063860e+002°)
1.20226443461741e+002	(8.06886568865419e+000dB,1.42355528042937e+002°)
1.23026877081238e+002	(7.99321579303946e+000dB,1.41715502348331e+002°)
1.25892541179416e+002	(7.91538810527978e+000dB,1.41072034747895e+002°)
1.28824955169313e+002	(7.83536027822610e+000dB,1.40425432519191e+002°)
1.31825673855640e+002	(7.75311198899901e+000dB,1.39776010778576e+002°)
1.34896288259165e+002	(7.66862501554009e+000dB,1.39124091775761e+002°)
1.38038426460288e+002	(7.58188331133627e+000dB,1.38470004131247e+002°)
1.41253754462275e+002	(7.49287307103481e+000dB,1.37814082061798e+002°)
