Freq.	V(vin)/I(V3)
1.00000000000000e-002	(1.84951552444051e+002dB,-8.99999893223227e+001°)
1.02329299228075e-002	(1.84751552444051e+002dB,-8.99999890500862e+001°)
1.04712854805090e-002	(1.84551552444051e+002dB,-8.99999887957761e+001°)
1.07151930523761e-002	(1.84351552444051e+002dB,-8.99999885587171e+001°)
1.09647819614318e-002	(1.84151552444051e+002dB,-8.99999882981812e+001°)
1.12201845430196e-002	(1.83951552444051e+002dB,-8.99999880162719e+001°)
1.14815362149688e-002	(1.83751552444051e+002dB,-8.99999877149889e+001°)
1.17489755493953e-002	(1.83551552444051e+002dB,-8.99999874336313e+001°)
1.20226443461741e-002	(1.83351552444051e+002dB,-8.99999871714481e+001°)
1.23026877081238e-002	(1.83151552444051e+002dB,-8.99999868562788e+001°)
1.25892541179417e-002	(1.82951552444051e+002dB,-8.99999865272012e+001°)
1.28824955169313e-002	(1.82751552444051e+002dB,-8.99999862199154e+001°)
1.31825673855641e-002	(1.82551552444051e+002dB,-8.99999859002671e+001°)
1.34896288259165e-002	(1.82351552444051e+002dB,-8.99999855697370e+001°)
1.38038426460288e-002	(1.82151552444051e+002dB,-8.99999851978953e+001°)
1.41253754462275e-002	(1.81951552444051e+002dB,-8.99999849126746e+001°)
1.44543977074593e-002	(1.81751552444051e+002dB,-8.99999845569090e+001°)
1.47910838816821e-002	(1.81551552444051e+002dB,-8.99999841954494e+001°)
1.51356124843621e-002	(1.81351552444051e+002dB,-8.99999838294156e+001°)
1.54881661891248e-002	(1.81151552444051e+002dB,-8.99999834598641e+001°)
1.58489319246111e-002	(1.80951552444051e+002dB,-8.99999830600654e+001°)
1.62181009735893e-002	(1.80751552444051e+002dB,-8.99999826599441e+001°)
1.65958690743756e-002	(1.80551552444051e+002dB,-8.99999822603388e+001°)
1.69824365246174e-002	(1.80351552444051e+002dB,-8.99999818361615e+001°)
1.73780082874937e-002	(1.80151552444051e+002dB,-8.99999814152014e+001°)
