Freq.	V(N006)/V(Vin)
2.00000000000000e+001	(9.25457519220640e-001dB,9.06325933228440e+001°)
2.51785082358833e+001	(2.94413668637829e+000dB,8.93408902154721e+001°)
3.16978638492223e+001	(4.95348573026210e+000dB,8.79801793856178e+001°)
3.99052462993776e+001	(6.95377123660917e+000dB,8.64938180061232e+001°)
5.02377286301916e+001	(8.94426184008839e+000dB,8.48139535345696e+001°)
6.32455532033676e+001	(1.09226307520017e+001dB,8.28607011303176e+001°)
7.96214341106995e+001	(1.28842866847911e+001dB,8.05414365238017e+001°)
1.00237446725454e+002	(1.48214660969373e+001dB,7.77507727715147e+001°)
1.26191468896039e+002	(1.67219856939067e+001dB,7.43727532929213e+001°)
1.58865646944856e+002	(1.85676990317383e+001dB,7.02877485763733e+001°)
2.00000000000000e+002	(2.03330056364063e+001dB,6.53872617632967e+001°)
2.51785082358834e+002	(2.19842966159146e+001dB,5.95991016394708e+001°)
3.16978638492223e+002	(2.34818308842344e+001dB,5.29207414299596e+001°)
3.99052462993776e+002	(2.47854986474578e+001dB,4.54485107145274e+001°)
5.02377286301916e+002	(2.58641041591363e+001dB,3.73797052278474e+001°)
6.32455532033676e+002	(2.67043111767559e+001dB,2.89690173343601e+001°)
7.96214341106995e+002	(2.73134926482694e+001dB,2.04491912762856e+001°)
1.00237446725455e+003	(2.77138957778757e+001dB,1.19563422000005e+001°)
1.26191468896039e+003	(2.79313989897891e+001dB,3.49785161330761e+000°)
1.58865646944856e+003	(2.79845932598073e+001dB,-5.03081674558153e+000°)
2.00000000000000e+003	(2.78777647891012e+001dB,-1.37982519969174e+001°)
2.51785082358834e+003	(2.75985375979447e+001dB,-2.29774428884340e+001°)
3.16978638492223e+003	(2.71200560862271e+001dB,-3.26867823783807e+001°)
3.99052462993776e+003	(2.64076710012930e+001dB,-4.29447074726580e+001°)
5.02377286301917e+003	(2.54288849821359e+001dB,-5.36569590492302e+001°)
6.32455532033677e+003	(2.41624315947254e+001dB,-6.46494642079785e+001°)
7.96214341106995e+003	(2.26011007341976e+001dB,-7.57311627354986e+001°)
1.00237446725455e+004	(2.07468342932603e+001dB,-8.67428021722530e+001°)
1.26191468896039e+004	(1.86030938142943e+001dB,-9.75566816849755e+001°)
1.58865646944857e+004	(1.61717978978784e+001dB,-1.08035262045829e+002°)
2.00000000000000e+004	(1.34579918162520e+001dB,-1.17992544067687e+002°)
2.51785082358834e+004	(1.04786525617528e+001dB,-1.27200761994124e+002°)
3.16978638492223e+004	(7.26827361424554e+000dB,-1.35447619598070e+002°)
3.99052462993777e+004	(3.87652750312402e+000dB,-1.42608449964737e+002°)
5.02377286301917e+004	(3.59506240520486e-001dB,-1.48692204078929e+002°)
6.32455532033677e+004	(-3.23085453748761e+000dB,-1.53847481287401e+002°)
7.96214341106996e+004	(-6.85609656644906e+000dB,-1.58336103630452e+002°)
1.00237446725455e+005	(-1.04979203211017e+001dB,-1.62480597675774e+002°)
1.26191468896039e+005	(-1.41599764776285e+001dB,-1.66591056126970e+002°)
1.58865646944857e+005	(-1.78623076439331e+001dB,-1.70895650947303e+002°)
2.00000000000000e+005	(-2.16303279472291e+001dB,-1.75514187541522e+002°)
