time	V(p001)	V(vi_op)	V(vin)	V(vo)	V(vo_op)
0.000000000000000e+000	1.508414e-013	4.500000e+000	0.000000e+000	8.973242e-014	4.499994e+000
5.292635347654471e-008	1.631573e-006	4.500033e+000	3.325461e-005	-1.642330e-008	4.499996e+000
1.058527069530894e-007	7.842769e-006	4.500066e+000	6.650922e-005	4.154363e-009	4.500002e+000
1.587790604296341e-007	1.863359e-005	4.500100e+000	9.976381e-005	6.173308e-008	4.500013e+000
2.117054139061788e-007	3.400403e-005	4.500133e+000	1.330184e-004	1.563129e-007	4.500028e+000
2.646317673827235e-007	5.395410e-005	4.500166e+000	1.662730e-004	2.878937e-007	4.500048e+000
3.175581208592683e-007	7.848379e-005	4.500199e+000	1.995275e-004	4.564756e-007	4.500073e+000
3.704844743358128e-007	1.075931e-004	4.500233e+000	2.327821e-004	6.620585e-007	4.500102e+000
5.581505865759654e-007	2.365632e-004	4.500350e+000	3.506956e-004	2.087567e-006	4.500231e+000
7.492774446576717e-007	4.156185e-004	4.500471e+000	4.707832e-004	4.866209e-006	4.500410e+000
9.428981491705221e-007	6.438846e-004	4.500592e+000	5.924369e-004	9.605130e-006	4.500638e+000
1.178461821838793e-006	9.796764e-004	4.500741e+000	7.404427e-004	1.874305e-005	4.500974e+000
1.494535795261445e-006	1.514518e-003	4.500939e+000	9.390307e-004	3.775688e-005	4.501509e+000
1.916717878223993e-006	2.356885e-003	4.501204e+000	1.204280e-003	7.716358e-005	4.502351e+000
2.494647538361732e-006	3.711359e-003	4.501567e+000	1.567369e-003	1.611722e-004	4.503706e+000
3.293493365959420e-006	5.908000e-003	4.502069e+000	2.069215e-003	3.428639e-004	4.505903e+000
4.432394834535468e-006	9.600390e-003	4.502784e+000	2.784596e-003	7.505516e-004	4.509596e+000
6.082216074071444e-006	1.599069e-002	4.503819e+000	3.820639e-003	1.686901e-003	4.515988e+000
8.517572613880818e-006	2.749775e-002	4.505345e+000	5.349195e-003	3.893431e-003	4.527499e+000
1.213537276214200e-005	4.887676e-002	4.507609e+000	7.617493e-003	9.161221e-003	4.548887e+000
1.766827108949224e-005	9.093651e-002	4.511058e+000	1.107851e-002	2.227017e-002	4.590972e+000
