time	V(vin)
0.000000000000000e+000	0.000000e+000
5.937913226178369e-008	3.730902e-005
1.187582645235674e-007	7.461803e-005
1.781373967853511e-007	1.119270e-004
2.375165290471348e-007	1.492360e-004
2.968956613089185e-007	1.865449e-004
3.562747935707021e-007	2.238538e-004
4.156539258324857e-007	2.611628e-004
5.219624034783151e-007	3.279581e-004
6.370082757436243e-007	4.002430e-004
7.675093728619732e-007	4.822385e-004
9.365607519197397e-007	5.884551e-004
1.144624482852178e-006	7.191826e-004
1.414146148972949e-006	8.885225e-004
1.752972134950416e-006	1.101403e-003
2.194043070779091e-006	1.378514e-003
2.760422129390348e-006	1.734337e-003
3.506132951501676e-006	2.202790e-003
4.485718614609461e-006	2.818087e-003
5.802360401793925e-006	3.644923e-003
7.592692609389658e-006	4.768820e-003
1.011555552763926e-005	6.351513e-003
1.385342266844780e-005	8.693375e-003
2.013931233399036e-005	1.262016e-002
2.859665233192515e-005	1.787128e-002
3.836227733192516e-005	2.387101e-002
4.812790233192516e-005	2.978089e-002
5.789352733192516e-005	3.557868e-002
6.619465794990041e-005	4.040255e-002
7.500389726839434e-005	4.540123e-002
8.476952226839433e-005	5.077944e-002
9.453514726839433e-005	5.596653e-002
1.043007722683943e-004	6.094297e-002
1.140663972683943e-004	6.569003e-002
1.238320222683943e-004	7.018986e-002
1.335976472683943e-004	7.442550e-002
1.433632722683943e-004	7.838103e-002
1.531288972683943e-004	8.204155e-002
1.628945222683944e-004	8.539327e-002
1.726601472683944e-004	8.842360e-002
1.824257722683944e-004	9.112112e-002
1.921913972683944e-004	9.347568e-002
2.019570222683944e-004	9.547843e-002
2.117226472683944e-004	9.712181e-002
2.214882722683944e-004	9.839965e-002
2.312538972683944e-004	9.930713e-002
2.410195222683944e-004	9.984085e-002
2.507851472683944e-004	9.999878e-002
2.605507722683944e-004	9.978034e-002
2.703163972683944e-004	9.918636e-002
2.800820222683945e-004	9.821905e-002
2.898476472683945e-004	9.688208e-002
2.996132722683945e-004	9.518046e-002
3.093788972683945e-004	9.312060e-002
3.191445222683945e-004	9.071026e-002
3.289101472683945e-004	8.795851e-002
3.386757722683945e-004	8.487570e-002
3.484413972683945e-004	8.147343e-002
3.582070222683945e-004	7.776452e-002
3.679726472683945e-004	7.376292e-002
3.777382722683945e-004	6.948369e-002
3.875038972683946e-004	6.494294e-002
3.972695222683946e-004	6.015776e-002
4.070351472683946e-004	5.514617e-002
4.168007722683946e-004	4.992701e-002
4.265663972683946e-004	4.451994e-002
4.363320222683946e-004	3.894531e-002
4.460976472683946e-004	3.322409e-002
4.558632722683946e-004	2.737783e-002
4.641061161518860e-004	2.236209e-002
4.726574255284670e-004	1.709546e-002
4.798669036006259e-004	1.261629e-002
4.877378928687326e-004	7.696889e-003
4.975035178687327e-004	1.568522e-003
5.072691428687327e-004	-4.565749e-003
5.170347678687327e-004	-1.068284e-002
5.268003928687327e-004	-1.675971e-002
5.365660178687327e-004	-2.277351e-002
5.380043630966554e-004	-2.365298e-002
5.394427083245781e-004	-2.453026e-002
5.408810535525009e-004	-2.540534e-002
5.423193987804235e-004	-2.627824e-002
5.437577440083462e-004	-2.714895e-002
5.451960892362689e-004	-2.801746e-002
5.466344344641917e-004	-2.888379e-002
5.469396102454417e-004	-2.906731e-002
5.475499618079417e-004	-2.943403e-002
5.487706649329417e-004	-3.016618e-002
5.502863493808304e-004	-3.107276e-002
5.518725864107041e-004	-3.201853e-002
5.527217455715653e-004	-3.252352e-002
5.533788772019481e-004	-3.291369e-002
5.540650034938470e-004	-3.332047e-002
5.549822840073401e-004	-3.386332e-002
5.556882987067767e-004	-3.428038e-002
