time	V(vi_op)
0.000000000000000e+000	4.500000e+000
5.937913226178369e-008	4.500037e+000
1.187582645235674e-007	4.500075e+000
1.781373967853511e-007	4.500112e+000
2.375165290471348e-007	4.500149e+000
2.968956613089185e-007	4.500187e+000
3.562747935707021e-007	4.500224e+000
4.156539258324857e-007	4.500261e+000
5.219624034783151e-007	4.500328e+000
6.370082757436243e-007	4.500400e+000
7.675093728619732e-007	4.500482e+000
9.365607519197397e-007	4.500588e+000
1.144624482852178e-006	4.500719e+000
1.414146148972949e-006	4.500888e+000
1.752972134950416e-006	4.501101e+000
2.194043070779091e-006	4.501379e+000
2.760422129390348e-006	4.501734e+000
3.506132951501676e-006	4.502203e+000
4.485718614609461e-006	4.502818e+000
5.802360401793925e-006	4.503644e+000
7.592692609389658e-006	4.504767e+000
1.011555552763926e-005	4.506349e+000
1.385342266844780e-005	4.508687e+000
2.013931233399036e-005	4.512605e+000
2.859665233192515e-005	4.517840e+000
3.836227733192516e-005	4.523820e+000
4.812790233192516e-005	4.529708e+000
5.789352733192516e-005	4.535487e+000
6.619465794990041e-005	4.540290e+000
7.500389726839434e-005	4.545257e+000
8.476952226839433e-005	4.550597e+000
9.453514726839433e-005	4.555748e+000
1.043007722683943e-004	4.560685e+000
1.140663972683943e-004	4.565391e+000
1.238320222683943e-004	4.569846e+000
1.335976472683943e-004	4.574035e+000
1.433632722683943e-004	4.577942e+000
1.531288972683943e-004	4.581552e+000
1.628945222683944e-004	4.584851e+000
1.726601472683944e-004	4.587828e+000
1.824257722683944e-004	4.590470e+000
1.921913972683944e-004	4.592768e+000
2.019570222683944e-004	4.594713e+000
2.117226472683944e-004	4.596299e+000
2.214882722683944e-004	4.597518e+000
2.312538972683944e-004	4.598367e+000
2.410195222683944e-004	4.598842e+000
2.507851472683944e-004	4.598941e+000
2.605507722683944e-004	4.598664e+000
2.703163972683944e-004	4.598012e+000
2.800820222683945e-004	4.596988e+000
2.898476472683945e-004	4.595595e+000
2.996132722683945e-004	4.593840e+000
3.093788972683945e-004	4.591727e+000
3.191445222683945e-004	4.589265e+000
3.289101472683945e-004	4.586464e+000
3.386757722683945e-004	4.583333e+000
3.484413972683945e-004	4.579886e+000
3.582070222683945e-004	4.576135e+000
3.679726472683945e-004	4.572093e+000
3.777382722683945e-004	4.567776e+000
3.875038972683946e-004	4.563201e+000
3.972695222683946e-004	4.558385e+000
4.070351472683946e-004	4.553345e+000
4.168007722683946e-004	4.548100e+000
4.265663972683946e-004	4.542672e+000
4.363320222683946e-004	4.537079e+000
4.460976472683946e-004	4.531343e+000
4.558632722683946e-004	4.525488e+000
4.641061161518860e-004	4.520468e+000
4.726574255284670e-004	4.515197e+000
4.798669036006259e-004	4.510715e+000
4.877378928687326e-004	4.505794e+000
4.975035178687327e-004	4.499668e+000
5.072691428687327e-004	4.493542e+000
5.170347678687327e-004	4.487436e+000
5.268003928687327e-004	4.481374e+000
5.365660178687327e-004	4.475379e+000
5.380043630966554e-004	4.474496e+000
5.394427083245781e-004	4.473616e+000
5.408810535525009e-004	4.472739e+000
5.423193987804235e-004	4.471865e+000
5.437577440083462e-004	4.470995e+000
5.451960892362689e-004	4.470127e+000
5.466344344641917e-004	4.469263e+000
5.469396102454417e-004	4.469080e+000
5.475499618079417e-004	4.468715e+000
5.487706649329417e-004	4.467985e+000
5.502863493808304e-004	4.467082e+000
5.518725864107041e-004	4.466139e+000
5.527217455715653e-004	4.465636e+000
5.533788772019481e-004	4.465247e+000
5.540650034938470e-004	4.464842e+000
5.549822840073401e-004	4.464301e+000
5.556882987067767e-004	4.463885e+000
5.566231305973057e-004	4.463336e+000
5.574984454801855e-004	4.462823e+000
5.584215879998020e-004	4.462284e+000
5.602678730390349e-004	4.461209e+000
5.633423616245628e-004	4.459430e+000
5.666486134474926e-004	4.457533e+000
5.704881141554526e-004	4.455356e+000
5.761823274635244e-004	4.452174e+000
5.820862945219061e-004	4.448939e+000
5.900066014790934e-004	4.444692e+000
5.941970081952315e-004	4.442495e+000
5.984183217261242e-004	4.440328e+000
6.024191835172640e-004	4.438313e+000
6.066646169594058e-004	4.436219e+000
6.110857328698576e-004	4.434094e+000
6.189629620566119e-004	4.430445e+000
6.287285870566119e-004	4.426135e+000
6.384942120566119e-004	4.422086e+000
6.482598370566120e-004	4.418327e+000
6.580254620566120e-004	4.414873e+000
6.775567120566120e-004	4.408926e+000
6.970879620566120e-004	4.404335e+000
7.166192120566120e-004	4.401169e+000
7.361504620566120e-004	4.399476e+000
7.459160870566120e-004	4.399190e+000
7.556817120566120e-004	4.399281e+000
7.654473370566121e-004	4.399747e+000
7.752129620566121e-004	4.400558e+000
7.819474408631575e-004	4.401342e+000
7.899613562652261e-004	4.402523e+000
7.974706432497587e-004	4.403836e+000
8.040747679928612e-004	4.405148e+000
8.072105352893590e-004	4.405829e+000
8.096345525574856e-004	4.406387e+000
8.120394204648905e-004	4.406962e+000
8.135382750516305e-004	4.407331e+000
8.146642886390665e-004	4.407615e+000
8.158353310138548e-004	4.407914e+000
8.168472976533742e-004	4.408177e+000
8.178099569759906e-004	4.408431e+000
8.186243045273687e-004	4.408648e+000
8.193417075076575e-004	4.408841e+000
8.200901464793340e-004	4.409045e+000
8.211184467991237e-004	4.409328e+000
8.223225988234072e-004	4.409664e+000
8.235388665765673e-004	4.410009e+000
8.250554517328611e-004	4.410447e+000
8.263223614611178e-004	4.410818e+000
8.302984126304596e-004	4.412026e+000
8.346505350340434e-004	4.413427e+000
8.433547798412110e-004	4.416410e+000
8.531204048412110e-004	4.420015e+000
8.628860298412110e-004	4.423908e+000
8.726516548412110e-004	4.428085e+000
8.824172798412110e-004	4.432528e+000
8.921829048412110e-004	4.437222e+000
9.019485298412110e-004	4.442150e+000
9.117141548412110e-004	4.447291e+000
9.214797798412110e-004	4.452627e+000
9.312454048412110e-004	4.458138e+000
9.410110298412111e-004	4.463804e+000
9.507766548412111e-004	4.469602e+000
9.605422798412111e-004	4.475511e+000
9.703079048412111e-004	4.481509e+000
9.800735298412110e-004	4.487573e+000
9.898391548412110e-004	4.493680e+000
9.982870916897071e-004	4.498981e+000
1.005754437893775e-003	4.503668e+000
1.013658433873735e-003	4.508617e+000
1.023424058873735e-003	4.514696e+000
1.033189683873735e-003	4.520718e+000
1.042955308873735e-003	4.526659e+000
1.052720933873735e-003	4.532496e+000
1.062486558873735e-003	4.538207e+000
1.072252183873735e-003	4.543771e+000
1.082017808873735e-003	4.549196e+000
1.085733451696233e-003	4.551217e+000
1.087722117106163e-003	4.552280e+000
1.089671577821001e-003	4.553314e+000
1.091673793758804e-003	4.554367e+000
1.093620823147880e-003	4.555382e+000
