time	V(n005)
0.000000000000000e+000	5.033724e-013
5.937913226178369e-008	-1.387532e-007
1.187582645235674e-007	1.436294e-006
1.781373967853511e-007	4.725141e-006
2.375165290471348e-007	9.727789e-006
2.968956613089185e-007	1.644424e-005
3.562747935707021e-007	2.487449e-005
4.156539258324857e-007	3.501854e-005
5.219624034783151e-007	6.008673e-005
6.370082757436243e-007	9.587977e-005
7.675093728619732e-007	1.476051e-004
9.365607519197397e-007	2.315427e-004
1.144624482852178e-006	3.602035e-004
1.414146148972949e-006	5.672581e-004
1.752972134950416e-006	8.900992e-004
2.194043070779091e-006	1.411164e-003
2.760422129390348e-006	2.241506e-003
3.506132951501676e-006	3.601651e-003
4.485718614609461e-006	5.833609e-003
5.802360401793925e-006	9.602427e-003
7.592692609389658e-006	1.608793e-002
1.011555552763926e-005	2.776724e-002
1.385342266844780e-005	5.024025e-002
2.013931233399036e-005	9.893966e-002
2.859665233192515e-005	1.799978e-001
3.836227733192516e-005	2.851285e-001
4.812790233192516e-005	3.805433e-001
5.789352733192516e-005	4.451424e-001
6.619465794990041e-005	4.741194e-001
7.500389726839434e-005	4.898326e-001
8.476952226839433e-005	5.005859e-001
9.453514726839433e-005	5.080792e-001
1.043007722683943e-004	5.137373e-001
1.140663972683943e-004	5.183110e-001
1.238320222683943e-004	5.220743e-001
1.335976472683943e-004	5.251771e-001
1.433632722683943e-004	5.277243e-001
1.531288972683943e-004	5.297908e-001
1.628945222683944e-004	5.314308e-001
1.726601472683944e-004	5.326840e-001
1.824257722683944e-004	5.335791e-001
1.921913972683944e-004	5.341364e-001
2.019570222683944e-004	5.343692e-001
2.117226472683944e-004	5.342851e-001
2.214882722683944e-004	5.338858e-001
2.312538972683944e-004	5.331680e-001
2.410195222683944e-004	5.321231e-001
2.507851472683944e-004	5.307361e-001
2.605507722683944e-004	5.289857e-001
2.703163972683944e-004	5.268419e-001
2.800820222683945e-004	5.242643e-001
2.898476472683945e-004	5.211987e-001
2.996132722683945e-004	5.175722e-001
3.093788972683945e-004	5.132841e-001
3.191445222683945e-004	5.081945e-001
3.289101472683945e-004	5.021039e-001
3.386757722683945e-004	4.947164e-001
3.484413972683945e-004	4.855698e-001
3.582070222683945e-004	4.739007e-001
3.679726472683945e-004	4.583612e-001
3.777382722683945e-004	4.362976e-001
3.875038972683946e-004	4.029701e-001
3.972695222683946e-004	3.521605e-001
4.070351472683946e-004	2.794750e-001
4.168007722683946e-004	1.854810e-001
4.265663972683946e-004	7.426194e-002
4.363320222683946e-004	-4.982025e-002
4.460976472683946e-004	-1.823035e-001
4.558632722683946e-004	-3.122857e-001
4.641061161518860e-004	-3.997901e-001
4.726574255284670e-004	-4.550050e-001
4.798669036006259e-004	-4.789215e-001
4.877378928687326e-004	-4.928340e-001
4.975035178687327e-004	-5.039667e-001
5.072691428687327e-004	-5.121133e-001
5.170347678687327e-004	-5.185199e-001
5.268003928687327e-004	-5.238572e-001
5.365660178687327e-004	-5.284406e-001
5.380043630966554e-004	-5.290950e-001
5.394427083245781e-004	-5.297320e-001
5.408810535525009e-004	-5.303518e-001
5.423193987804235e-004	-5.309543e-001
5.437577440083462e-004	-5.315394e-001
5.451960892362689e-004	-5.321073e-001
5.466344344641917e-004	-5.326578e-001
5.469396102454417e-004	-5.327723e-001
5.475499618079417e-004	-5.329993e-001
5.487706649329417e-004	-5.334473e-001
5.502863493808304e-004	-5.339942e-001
5.518725864107041e-004	-5.345561e-001
5.527217455715653e-004	-5.348517e-001
5.533788772019481e-004	-5.350777e-001
5.540650034938470e-004	-5.353114e-001
5.549822840073401e-004	-5.356114e-001
5.556882987067767e-004	-5.358044e-001
5.566231305973057e-004	-5.359953e-001
5.574984454801855e-004	-5.361422e-001
5.584215879998020e-004	-5.362824e-001
5.602678730390349e-004	-5.365441e-001
5.633423616245628e-004	-5.369868e-001
5.666486134474926e-004	-5.375398e-001
5.704881141554526e-004	-5.383176e-001
