time	V(p001)
0.000000000000000e+000	8.633719e-013
5.937913226178369e-008	-2.352546e-008
1.187582645235674e-007	1.317966e-005
1.781373967853511e-007	3.960957e-005
2.375165290471348e-007	7.926618e-005
2.968956613089185e-007	1.321495e-004
3.562747935707021e-007	1.982596e-004
4.156539258324857e-007	2.775963e-004
5.219624034783151e-007	4.701762e-004
6.370082757436243e-007	7.421495e-004
7.675093728619732e-007	1.131040e-003
9.365607519197397e-007	1.755070e-003
1.144624482852178e-006	2.699333e-003
1.414146148972949e-006	4.195873e-003
1.752972134950416e-006	6.486036e-003
2.194043070779091e-006	1.009776e-002
2.760422129390348e-006	1.568827e-002
3.506132951501676e-006	2.451622e-002
4.485718614609461e-006	3.834419e-002
5.802360401793925e-006	6.035212e-002
7.592692609389658e-006	9.545517e-002
1.011555552763926e-005	1.527221e-001
1.385342266844780e-005	2.491033e-001
2.013931233399036e-005	4.268629e-001
2.859665233192515e-005	6.773183e-001
3.836227733192516e-005	9.676046e-001
4.812790233192516e-005	1.249850e+000
5.789352733192516e-005	1.520070e+000
6.619465794990041e-005	1.738671e+000
7.500389726839434e-005	1.958382e+000
8.476952226839433e-005	2.187678e+000
9.453514726839433e-005	2.401431e+000
1.043007722683943e-004	2.598620e+000
1.140663972683943e-004	2.778714e+000
1.238320222683943e-004	2.941244e+000
1.335976472683943e-004	3.085761e+000
1.433632722683943e-004	3.211889e+000
1.531288972683943e-004	3.319353e+000
1.628945222683944e-004	3.407948e+000
1.726601472683944e-004	3.477539e+000
1.824257722683944e-004	3.528053e+000
1.921913972683944e-004	3.559484e+000
2.019570222683944e-004	3.571893e+000
2.117226472683944e-004	3.565404e+000
2.214882722683944e-004	3.540209e+000
2.312538972683944e-004	3.496564e+000
2.410195222683944e-004	3.434792e+000
2.507851472683944e-004	3.355277e+000
2.605507722683944e-004	3.258467e+000
2.703163972683944e-004	3.144874e+000
2.800820222683945e-004	3.015067e+000
2.898476472683945e-004	2.869671e+000
2.996132722683945e-004	2.709360e+000
