Freq.	V(vo)
2.00000000000000e+001	(1.57790542051248e+001dB,7.71485836268525e+001°)
2.51785082358833e+001	(1.76758529975741e+001dB,7.46054853950511e+001°)
3.16978638492223e+001	(1.95266597400519e+001dB,7.13582318083899e+001°)
3.99052462993776e+001	(2.13059647747239e+001dB,6.73301542541574e+001°)
5.02377286301916e+001	(2.29810101525243e+001dB,6.24774553245356e+001°)
6.32455532033676e+001	(2.45130088058556e+001dB,5.68230193549194e+001°)
7.96214341106995e+001	(2.58621993794251e+001dB,5.04894479048738e+001°)
1.00237446725454e+002	(2.69968620772469e+001dB,4.37095669628881e+001°)
1.26191468896039e+002	(2.79031045984331e+001dB,3.67930397547332e+001°)
1.58865646944856e+002	(2.85897300557412e+001dB,3.00523232119991e+001°)
2.00000000000000e+002	(2.90847414301696e+001dB,2.37239361765905e+001°)
2.51785082358834e+002	(2.94258650442661e+001dB,1.79249904684935e+001°)
3.16978638492223e+002	(2.96507465230646e+001dB,1.26551831932986e+001°)
3.99052462993776e+002	(2.97906539002187e+001dB,7.82584780839275e+000°)
5.02377286301916e+002	(2.98680270761701e+001dB,3.29309125807459e+000°)
6.32455532033676e+002	(2.98963430962501e+001dB,-1.11729894381645e+000°)
7.96214341106995e+002	(2.98807002086869e+001dB,-5.59490815902565e+000°)
1.00237446725455e+003	(2.98181407322334e+001dB,-1.03361624882374e+001°)
1.26191468896039e+003	(2.96973376674041e+001dB,-1.55370687472809e+001°)
1.58865646944856e+003	(2.94977697503869e+001dB,-2.13818957925741e+001°)
2.00000000000000e+003	(2.91890565241137e+001dB,-2.80232341462009e+001°)
2.51785082358834e+003	(2.87317696149708e+001dB,-3.55522183880602e+001°)
3.16978638492223e+003	(2.80813594197214e+001dB,-4.39659888218758e+001°)
3.99052462993776e+003	(2.71957942986683e+001dB,-5.31510071800371e+001°)
5.02377286301917e+003	(2.60444893994131e+001dB,-6.29037131544262e+001°)
6.32455532033677e+003	(2.46132080663706e+001dB,-7.29893808536019e+001°)
7.96214341106995e+003	(2.29010836485076e+001dB,-8.32054132057595e+001°)
1.00237446725455e+004	(2.09120283204350e+001dB,-9.34046823852078e+001°)
1.26191468896039e+004	(1.86475954954500e+001dB,-1.03465355987627e+002°)
1.58865646944857e+004	(1.61071398361250e+001dB,-1.13236586011925e+002°)
2.00000000000000e+004	(1.32953812142311e+001dB,-1.22508331934942e+002°)
2.51785082358834e+004	(1.02316528586272e+001dB,-1.31036162115165e+002°)
3.16978638492223e+004	(6.95363506890004e+000dB,-1.38609694491053e+002°)
3.99052462993777e+004	(3.51285239453194e+000dB,-1.45121786616249e+002°)
5.02377286301917e+004	(-3.49211334963911e-002dB,-1.50603980086619e+002°)
6.32455532033677e+004	(-3.63983247681816e+000dB,-1.55224284643556e+002°)
7.96214341106996e+004	(-7.26659688666310e+000dB,-1.59257567147314e+002°)
1.00237446725455e+005	(-1.09007279804403e+001dB,-1.63031845626669e+002°)
1.26191468896039e+005	(-1.45498828613307e+001dB,-1.66853700389603e+002°)
1.58865646944857e+005	(-1.82376178592892e+001dB,-1.70938474567905e+002°)
2.00000000000000e+005	(-2.19916909982509e+001dB,-1.75386683663613e+002°)
