Freq.	V(vo)
Step Information: X=25K  (Run: 1/6)
2.00000000000000e+001	(1.00480772137844e+001dB,7.17569410090416e+001°)
2.51785082358833e+001	(1.19005158385921e+001dB,7.02888279382609e+001°)
3.16978638492223e+001	(1.37225564248180e+001dB,6.79138590845774e+001°)
3.99052462993776e+001	(1.54830091412545e+001dB,6.45895198505596e+001°)
5.02377286301916e+001	(1.71453628698930e+001dB,6.03038293647209e+001°)
6.32455532033676e+001	(1.86684091894505e+001dB,5.51078684776115e+001°)
7.96214341106995e+001	(2.00108987469200e+001dB,4.91485680000197e+001°)
1.00237446725454e+002	(2.11402885224018e+001dB,4.26792454563281e+001°)
1.26191468896039e+002	(2.20423087848346e+001dB,3.60263110713369e+001°)
1.58865646944856e+002	(2.27256230648578e+001dB,2.95155908207230e+001°)
2.00000000000000e+002	(2.32181648839960e+001dB,2.33944202937840e+001°)
2.51785082358834e+002	(2.35575777877903e+001dB,1.77892598871949e+001°)
3.16978638492223e+002	(2.37814073984896e+001dB,1.27086485522807e+001°)
3.99052462993776e+002	(2.39208373274449e+001dB,8.07292399695736e+000°)
5.02377286301916e+002	(2.39982739397333e+001dB,3.74782204204488e+000°)
6.32455532033676e+002	(2.40272411976264e+001dB,-4.30206178011368e-001°)
7.96214341106995e+002	(2.40129966739736e+001dB,-4.63858384049348e+000°)
1.00237446725455e+003	(2.39529028602837e+001dB,-9.05951085676642e+000°)
1.26191468896039e+003	(2.38361965985659e+001dB,-1.38720259743145e+001°)
1.58865646944856e+003	(2.36433062842963e+001dB,-1.92399265932788e+001°)
2.00000000000000e+003	(2.33454243871052e+001dB,-2.52910988213577e+001°)
2.51785082358834e+003	(2.29056967950954e+001dB,-3.20873455049327e+001°)
3.16978638492223e+003	(2.22837059667426e+001dB,-3.95924063694147e+001°)
3.99052462993776e+003	(2.14438392988813e+001dB,-4.76577673585502e+001°)
5.02377286301917e+003	(2.03650324379085e+001dB,-5.60489974550251e+001°)
6.32455532033677e+003	(1.90463651096563e+001dB,-6.45149320074093e+001°)
7.96214341106995e+003	(1.75042151616823e+001dB,-7.28675408557852e+001°)
1.00237446725455e+004	(1.57623162503858e+001dB,-8.10283040431127e+001°)
1.26191468896039e+004	(1.38404083450672e+001dB,-8.90216148210665e+001°)
1.58865646944857e+004	(1.17465622168628e+001dB,-9.69271552403039e+001°)
2.00000000000000e+004	(9.47536426859316e+000dB,-1.04814758500352e+002°)
2.51785082358834e+004	(7.01230938129366e+000dB,-1.12683881735720e+002°)
3.16978638492223e+004	(4.34360206678399e+000dB,-1.20430930964866e+002°)
3.99052462993777e+004	(1.46812748298223e+000dB,-1.27867947764237e+002°)
5.02377286301917e+004	(-1.59471943300934e+000dB,-1.34797760324503e+002°)
6.32455532033677e+004	(-4.80731867080609e+000dB,-1.41113095892818e+002°)
7.96214341106996e+004	(-8.12654227611200e+000dB,-1.46862580732930e+002°)
1.00237446725455e+005	(-1.15204039807758e+001dB,-1.52241534782641e+002°)
1.26191468896039e+005	(-1.49792149657752e+001dB,-1.57509446459145e+002°)
1.58865646944857e+005	(-1.85146648697393e+001dB,-1.62883307622816e+002°)
2.00000000000000e+005	(-2.21484372137979e+001dB,-1.68475309725839e+002°)
Step Information: X=39.6223K  (Run: 2/6)
2.00000000000000e+001	(1.38282807787437e+001dB,7.56991048181649e+001°)
2.51785082358833e+001	(1.57158387884261e+001dB,7.34492933510167e+001°)
3.16978638492223e+001	(1.75606138194259e+001dB,7.04381274667922e+001°)
3.99052462993776e+001	(1.93358710437443e+001dB,6.65997677504842e+001°)
5.02377286301916e+001	(2.10080516366323e+001dB,6.18999128726647e+001°)
6.32455532033676e+001	(2.25378586320013e+001dB,5.63696495611273e+001°)
7.96214341106995e+001	(2.38852326881893e+001dB,5.01386106224805e+001°)
1.00237446725454e+002	(2.50183171215723e+001dB,4.34455457395058e+001°)
1.26191468896039e+002	(2.59231938153317e+001dB,3.66049452457808e+001°)
1.58865646944856e+002	(2.66086916387492e+001dB,2.99330909271242e+001°)
2.00000000000000e+002	(2.71028386144341e+001dB,2.36696030610955e+001°)
2.51785082358834e+002	(2.74433619818702e+001dB,1.79343621566688e+001°)
3.16978638492223e+002	(2.76678899893025e+001dB,1.27298488840599e+001°)
3.99052462993776e+002	(2.78076738215264e+001dB,7.97042938336788e+000°)
5.02377286301916e+002	(2.78851556925205e+001dB,3.51564774618164e+000°)
6.32455532033676e+002	(2.79138499466817e+001dB,-8.04727603632821e-001°)
7.96214341106995e+002	(2.78989442452117e+001dB,-5.17559224491350e+000°)
1.00237446725455e+003	(2.78376475297787e+001dB,-9.78776607094548e+000°)
1.26191468896039e+003	(2.77189181266224e+001dB,-1.48304844557943e+001°)
1.58865646944856e+003	(2.75227083182757e+001dB,-2.04798121215791e+001°)
2.00000000000000e+003	(2.72194133116764e+001dB,-2.68784853239709e+001°)
2.51785082358834e+003	(2.67708603887436e+001dB,-3.41061320717396e+001°)
3.16978638492223e+003	(2.61344908331385e+001dB,-4.21472725136466e+001°)
3.99052462993776e+003	(2.52713183804531e+001dB,-5.08762270078839e+001°)
5.02377286301917e+003	(2.41551751026489e+001dB,-6.00810575251960e+001°)
6.32455532033677e+003	(2.27777785933565e+001dB,-6.95280440810909e+001°)
7.96214341106995e+003	(2.11454756068195e+001dB,-7.90332740176731e+001°)
1.00237446725455e+004	(1.92694266659446e+001dB,-8.84957762726213e+001°)
1.26191468896039e+004	(1.71557796162948e+001dB,-9.78734187167285e+001°)
1.58865646944857e+004	(1.48019611089081e+001dB,-1.07120613204547e+002°)
2.00000000000000e+004	(1.22013308361703e+001dB,-1.16127641741478e+002°)
2.51785082358834e+004	(9.35379810155648e+000dB,-1.24701396743874e+002°)
3.16978638492223e+004	(6.27609728636549e+000dB,-1.32606392377268e+002°)
3.99052462993777e+004	(3.00497895981463e+000dB,-1.39647060055451e+002°)
5.02377286301917e+004	(-4.08823482291011e-001dB,-1.45745541354624e+002°)
6.32455532033677e+004	(-3.91243842845833e+000dB,-1.50978688864292e+002°)
7.96214341106996e+004	(-7.46358009982291e+000dB,-1.55565563792752e+002°)
1.00237446725455e+005	(-1.10403862550661e+001dB,-1.59811375029127e+002°)
1.26191468896039e+005	(-1.46448262227080e+001dB,-1.64021334510225e+002°)
1.58865646944857e+005	(-1.82970422143129e+001dB,-1.68417815795714e+002°)
2.00000000000000e+005	(-2.20231644032403e+001dB,-1.73106834864482e+002°)
Step Information: X=62.7972K  (Run: 3/6)
2.00000000000000e+001	(1.77094709506354e+001dB,7.82838793895687e+001°)
