time	V(vin)
0.000000000000000e+000	0.000000e+000
5.719394194538071e-008	3.593603e-005
1.143878838907614e-007	7.187203e-005
1.715818258361421e-007	1.078080e-004
2.287757677815229e-007	1.437440e-004
2.859697097269036e-007	1.796800e-004
3.431636516722843e-007	2.156159e-004
4.003575936176649e-007	2.515518e-004
4.954620598047911e-007	3.113075e-004
5.973714463071442e-007	3.753387e-004
7.224165797462920e-007	4.539062e-004
8.778550440771314e-007	5.515698e-004
1.074732815681592e-006	6.752694e-004
1.322840660691893e-006	8.311557e-004
1.639923691866604e-006	1.030376e-003
2.045482394260043e-006	1.285179e-003
2.570214584318048e-006	1.614843e-003
3.251821643406916e-006	2.043038e-003
4.147131555725097e-006	2.605425e-003
5.332885929095437e-006	3.350124e-003
6.927691734395883e-006	4.351423e-003
9.114753089710704e-006	5.723838e-003
1.222114543223829e-005	7.671228e-003
1.692671829266652e-005	1.061533e-002
2.137289141283297e-005	1.338866e-002
2.471491616487664e-005	1.546650e-002
2.842694842294711e-005	1.776636e-002
3.405052098116296e-005	2.123173e-002
3.925755206406282e-005	2.441688e-002
4.704057278073567e-005	2.912801e-002
5.680619778073567e-005	3.493936e-002
6.657182278073567e-005	4.061922e-002
7.633744778073567e-005	4.614619e-002
8.610307278073566e-005	5.149948e-002
9.586869778073566e-005	5.665893e-002
1.056343227807357e-004	6.160514e-002
1.153999477807357e-004	6.631947e-002
1.251655727807357e-004	7.078420e-002
1.294694552255854e-004	7.266826e-002
1.315578234695035e-004	7.356340e-002
1.336258370369936e-004	7.443734e-002
1.349079500550898e-004	7.497285e-002
1.366024467760911e-004	7.567313e-002
1.380130635964481e-004	7.624956e-002
1.397985538553700e-004	7.697058e-002
1.421024542620376e-004	7.788662e-002
1.449268084756733e-004	7.898731e-002
1.485962080455740e-004	8.038012e-002
1.534265637244180e-004	8.214834e-002
1.604180331189921e-004	8.457324e-002
1.685094714580247e-004	8.717566e-002
1.782750964580247e-004	9.001595e-002
1.877795222439833e-004	9.245502e-002
1.975451472439833e-004	9.461772e-002
2.073107722439833e-004	9.642430e-002
2.170763972439833e-004	9.786796e-002
2.268420222439833e-004	9.894327e-002
2.366076472439833e-004	9.964617e-002
2.463732722439833e-004	9.997404e-002
2.561388972439833e-004	9.992562e-002
2.659045222439833e-004	9.950110e-002
2.756701472439833e-004	9.870209e-002
2.854357722439833e-004	9.753158e-002
2.952013972439834e-004	9.599399e-002
3.049670222439834e-004	9.409510e-002
3.147326472439834e-004	9.184205e-002
3.244982722439834e-004	8.924333e-002
3.342638972439834e-004	8.630872e-002
3.403608509722115e-004	8.431109e-002
3.463500445135933e-004	8.222830e-002
3.504549783696813e-004	8.073334e-002
3.547535064994310e-004	7.911033e-002
3.577751838381139e-004	7.793482e-002
3.600081418144781e-004	7.704806e-002
3.620591735316720e-004	7.622019e-002
3.640795098441935e-004	7.539233e-002
3.678227365071622e-004	7.382648e-002
3.717087938928849e-004	7.215770e-002
3.787064180689194e-004	6.904493e-002
3.866934725467782e-004	6.532931e-002
3.964590975467782e-004	6.056374e-002
4.062247225467782e-004	5.557023e-002
4.159903475467782e-004	5.036756e-002
4.257559725467782e-004	4.497532e-002
4.355215975467783e-004	3.941380e-002
4.452872225467783e-004	3.370394e-002
4.550528475467783e-004	2.786722e-002
4.648184725467783e-004	2.192562e-002
4.685144769196897e-004	1.965415e-002
4.726820638551374e-004	1.708021e-002
4.745272596729858e-004	1.593675e-002
4.771466018661989e-004	1.430992e-002
4.798005572674134e-004	1.265764e-002
4.846728344854324e-004	9.615463e-003
4.910088798936139e-004	5.646283e-003
4.946855584552970e-004	3.338542e-003
4.976876727268547e-004	1.452827e-003
5.012363831208106e-004	-7.768346e-004
5.053357932668806e-004	-3.351950e-003
5.105280775212856e-004	-6.610163e-003
5.165871838398038e-004	-1.040318e-002
5.261931367318326e-004	-1.638344e-002
5.359587617318326e-004	-2.240182e-002
5.457243867318326e-004	-2.833589e-002
5.554900117318326e-004	-3.416331e-002
5.652556367318326e-004	-3.986215e-002
5.750212617318326e-004	-4.541095e-002
5.847868867318326e-004	-5.078884e-002
5.887495413207808e-004	-5.291766e-002
5.891210401884947e-004	-5.311557e-002
5.896163720121132e-004	-5.337901e-002
5.906070356593503e-004	-5.390432e-002
5.916856436750046e-004	-5.447390e-002
5.929714531417360e-004	-5.514963e-002
5.939802127390878e-004	-5.567724e-002
5.946702041998778e-004	-5.603683e-002
5.952844085775510e-004	-5.635605e-002
5.960866956515505e-004	-5.677175e-002
5.969609713249259e-004	-5.722310e-002
5.975803760026694e-004	-5.754184e-002
5.982798139715323e-004	-5.790070e-002
5.990003945623301e-004	-5.826925e-002
5.998350370454169e-004	-5.869464e-002
6.015043220115907e-004	-5.954057e-002
6.039969398477091e-004	-6.079150e-002
6.068389371549311e-004	-6.219957e-002
6.100501523847127e-004	-6.376667e-002
6.151920368469946e-004	-6.622165e-002
6.225826767340601e-004	-6.962857e-002
6.256838075324600e-004	-7.101383e-002
6.283906828420615e-004	-7.220096e-002
6.317023911893287e-004	-7.362490e-002
6.343881683315313e-004	-7.475633e-002
6.374191116129297e-004	-7.600758e-002
6.424153102586599e-004	-7.800976e-002
6.486035768674965e-004	-8.038287e-002
6.583692018674965e-004	-8.387933e-002
6.681348268674965e-004	-8.706009e-002
6.779004518674965e-004	-8.991317e-002
6.876660768674965e-004	-9.242783e-002
6.974317018674965e-004	-9.459463e-002
7.071973268674965e-004	-9.640539e-002
7.169629518674965e-004	-9.785330e-002
7.267285768674965e-004	-9.893291e-002
7.364942018674965e-004	-9.964016e-002
7.462598268674966e-004	-9.997239e-002
7.560254518674966e-004	-9.992834e-002
7.657910768674966e-004	-9.950819e-002
7.755567018674966e-004	-9.871351e-002
7.853223268674966e-004	-9.754730e-002
7.950879518674966e-004	-9.601393e-002
8.146192018674966e-004	-9.187023e-002
8.243848268674966e-004	-8.927546e-002
8.341504518674966e-004	-8.634470e-002
8.439160768674966e-004	-8.308894e-002
8.536817018674967e-004	-7.952046e-002
8.596409276220666e-004	-7.719494e-002
8.660047826358335e-004	-7.459211e-002
8.724694589022763e-004	-7.182598e-002
8.780892987574539e-004	-6.932490e-002
8.813289436187227e-004	-6.784365e-002
8.834773079179599e-004	-6.684580e-002
8.859020261574752e-004	-6.570499e-002
8.869945449000547e-004	-6.518597e-002
8.878525154490266e-004	-6.477622e-002
8.888812729207037e-004	-6.428242e-002
8.904128211365519e-004	-6.354233e-002
8.912625146622112e-004	-6.312918e-002
8.918924369394312e-004	-6.282173e-002
8.925768581298624e-004	-6.248657e-002
8.934898662137725e-004	-6.203767e-002
8.944592240552367e-004	-6.155883e-002
8.956267450045461e-004	-6.097907e-002
8.970745627848135e-004	-6.025557e-002
8.984201302465061e-004	-5.957869e-002
9.000063535745644e-004	-5.877529e-002
9.018990655081492e-004	-5.780903e-002
9.056844893753187e-004	-5.585211e-002
9.125814268413448e-004	-5.220623e-002
9.223470518413448e-004	-4.687789e-002
9.321126768413448e-004	-4.137312e-002
9.418783018413448e-004	-3.571262e-002
9.516439268413448e-004	-2.991771e-002
9.614095518413449e-004	-2.401020e-002
9.711751768413449e-004	-1.801232e-002
9.809408018413449e-004	-1.194665e-002
9.865684741038466e-004	-8.429263e-003
9.898212655244313e-004	-6.391129e-003
9.939944288912641e-004	-3.772516e-003
9.958087299739790e-004	-2.633148e-003
9.984266437524402e-004	-9.885528e-004
1.000862925021737e-003	5.421891e-004
1.005388296454185e-003	3.384920e-003
1.010904073804293e-003	6.845873e-003
1.014735881756082e-003	9.245604e-003
1.017732387562390e-003	1.111855e-002
1.020832168366409e-003	1.305189e-002
1.024035966399876e-003	1.504490e-002
1.028667185171552e-003	1.791489e-002
1.033720300485785e-003	2.102893e-002
1.041177671303011e-003	2.558501e-002
1.050943296303011e-003	3.146483e-002
1.060708921303011e-003	3.722624e-002
1.070474546303011e-003	4.284753e-002
1.080240171303011e-003	4.830755e-002
1.090005796303011e-003	5.358575e-002
1.099771421303011e-003	5.866227e-002
1.109537046303011e-003	6.351800e-002
1.119302671303011e-003	6.813466e-002
1.123053602951528e-003	6.984065e-002
1.124870324408527e-003	7.065304e-002
1.126872114867197e-003	7.153752e-002
1.128676849867005e-003	7.232524e-002
1.130447528478220e-003	7.308906e-002
1.132135927328616e-003	7.380896e-002
1.134415372972716e-003	7.476768e-002
1.137969003834183e-003	7.623165e-002
1.141979521987316e-003	7.783815e-002
1.146702077305683e-003	7.966644e-002
1.153164905657812e-003	8.205448e-002
1.161670224258062e-003	8.499045e-002
1.171290901058241e-003	8.801853e-002
1.181056526058241e-003	9.076336e-002
1.190822151058241e-003	9.316657e-002
1.200587776058241e-003	9.521913e-002
1.210353401058241e-003	9.691330e-002
1.220119026058241e-003	9.824271e-002
1.229884651058241e-003	9.920236e-002
1.239650276058241e-003	9.978864e-002
1.249415901058241e-003	9.999932e-002
1.259181526058241e-003	9.983364e-002
1.268947151058241e-003	9.929221e-002
1.278712776058241e-003	9.837706e-002
1.288478401058241e-003	9.709165e-002
1.298244026058241e-003	9.544080e-002
1.308009651058241e-003	9.343074e-002
1.317775276058241e-003	9.106901e-002
1.327540901058241e-003	8.836453e-002
1.337306526058241e-003	8.532747e-002
1.343531705856131e-003	8.322308e-002
1.350112793013571e-003	8.086003e-002
1.354494227998761e-003	7.920987e-002
1.358940209536322e-003	7.747407e-002
1.362259209828977e-003	7.613876e-002
1.365094492295459e-003	7.497183e-002
1.367335460465129e-003	7.403265e-002
1.369386296192616e-003	7.316028e-002
1.371398942236843e-003	7.229235e-002
1.374899793792572e-003	7.075518e-002
1.379174867578308e-003	6.883172e-002
1.385928737912209e-003	6.569234e-002
1.394034018878876e-003	6.176915e-002
1.403799643878876e-003	5.683052e-002
1.413565268878876e-003	5.167799e-002
1.423330893878876e-003	4.633096e-002
1.433096518878876e-003	4.080955e-002
1.442862143878876e-003	3.513454e-002
1.452627768878876e-003	2.932729e-002
1.462393393878876e-003	2.340966e-002
1.470034664376511e-003	1.871674e-002
1.473795539365721e-003	1.639046e-002
1.477676427083212e-003	1.398037e-002
1.479608062614204e-003	1.277761e-002
1.482254615693623e-003	1.112667e-002
1.484737114378095e-003	9.575262e-003
1.489108993943374e-003	6.837681e-003
1.494483356704410e-003	3.465515e-003
1.498425923588260e-003	9.890052e-004
1.501447202394636e-003	-9.092916e-004
1.504434573763793e-003	-2.785964e-003
1.507592577530632e-003	-4.768748e-003
1.512083206379295e-003	-7.584811e-003
1.517034773935142e-003	-1.068284e-002
1.523932666780719e-003	-1.498073e-002
1.533698291780719e-003	-2.101541e-002
1.543463916780719e-003	-2.697100e-002
1.553229541780719e-003	-3.282507e-002
1.562995166780719e-003	-3.855560e-002
1.572760791780719e-003	-4.414101e-002
1.582526416780719e-003	-4.956028e-002
1.592292041780719e-003	-5.479303e-002
1.595886667944946e-003	-5.666824e-002
1.595891933510616e-003	-5.667096e-002
1.596019310051592e-003	-5.673689e-002
1.596146686592567e-003	-5.680277e-002
1.596274063133543e-003	-5.686862e-002
1.596401439674519e-003	-5.693444e-002
1.596528816215494e-003	-5.700021e-002
1.596656192756470e-003	-5.706595e-002
1.596783569297446e-003	-5.713166e-002
1.597682225838502e-003	-5.759416e-002
1.598821334161224e-003	-5.817778e-002
1.599916984652018e-003	-5.873632e-002
1.600628908810023e-003	-5.909775e-002
