time	V(vo)
0.000000000000000e+000	4.492499e-013
5.719394194538071e-008	-1.821029e-008
1.143878838907614e-007	-8.059142e-009
1.715818258361421e-007	3.045389e-008
2.287757677815229e-007	9.732880e-008
2.859697097269036e-007	1.925656e-007
3.431636516722843e-007	3.161643e-007
4.003575936176649e-007	4.681249e-007
4.954620598047911e-007	9.451069e-007
5.973714463071442e-007	1.777644e-006
7.224165797462920e-007	3.379429e-006
8.778550440771314e-007	6.469155e-006
1.074732815681592e-006	1.253518e-005
1.322840660691893e-006	2.439018e-005
1.639923691866604e-006	4.788529e-005
2.045482394260043e-006	9.449699e-005
2.570214584318048e-006	1.880538e-004
3.251821643406916e-006	3.766558e-004
4.147131555725097e-006	7.612907e-004
5.332885929095437e-006	1.552773e-003
6.927691734395883e-006	3.208485e-003
9.114753089710704e-006	6.747840e-003
1.222114543223829e-005	1.462412e-002
1.692671829266652e-005	3.211571e-002
2.137289141283297e-005	5.404101e-002
2.471491616487664e-005	7.381329e-002
2.842694842294711e-005	9.749036e-002
3.405052098116296e-005	1.331408e-001
3.925755206406282e-005	1.640062e-001
4.704057278073567e-005	2.048909e-001
5.680619778073567e-005	2.485240e-001
6.657182278073567e-005	2.842654e-001
7.633744778073567e-005	3.129326e-001
8.610307278073566e-005	3.358374e-001
9.586869778073566e-005	3.541405e-001
1.056343227807357e-004	3.688058e-001
1.153999477807357e-004	3.806016e-001
1.251655727807357e-004	3.903662e-001
1.294694552255854e-004	3.940835e-001
1.315578234695035e-004	3.957050e-001
1.336258370369936e-004	3.972164e-001
1.349079500550898e-004	3.981098e-001
1.366024467760911e-004	3.992393e-001
1.380130635964481e-004	4.001401e-001
1.397985538553700e-004	4.012240e-001
1.421024542620376e-004	4.025432e-001
1.449268084756733e-004	4.040440e-001
1.485962080455740e-004	4.058152e-001
1.534265637244180e-004	4.078663e-001
1.604180331189921e-004	4.103817e-001
1.685094714580247e-004	4.127438e-001
1.782750964580247e-004	4.149695e-001
1.877795222439833e-004	4.166217e-001
1.975451472439833e-004	4.178937e-001
2.073107722439833e-004	4.188455e-001
2.170763972439833e-004	4.195536e-001
2.268420222439833e-004	4.200783e-001
2.366076472439833e-004	4.204645e-001
2.463732722439833e-004	4.207458e-001
2.561388972439833e-004	4.209473e-001
2.659045222439833e-004	4.210877e-001
2.756701472439833e-004	4.211805e-001
2.854357722439833e-004	4.212359e-001
2.952013972439834e-004	4.212606e-001
3.049670222439834e-004	4.212589e-001
3.147326472439834e-004	4.212322e-001
3.244982722439834e-004	4.211791e-001
3.342638972439834e-004	4.210981e-001
3.403608509722115e-004	4.210279e-001
3.463500445135933e-004	4.209391e-001
3.504549783696813e-004	4.208641e-001
3.547535064994310e-004	4.207692e-001
3.577751838381139e-004	4.206907e-001
3.600081418144781e-004	4.206221e-001
3.620591735316720e-004	4.205472e-001
3.640795098441935e-004	4.204552e-001
3.678227365071622e-004	4.202375e-001
3.717087938928849e-004	4.199322e-001
3.787064180689194e-004	4.191747e-001
3.866934725467782e-004	4.179928e-001
3.964590975467782e-004	4.160603e-001
4.062247225467782e-004	4.135651e-001
4.159903475467782e-004	4.104091e-001
4.257559725467782e-004	4.064537e-001
4.355215975467783e-004	4.014377e-001
4.452872225467783e-004	3.948010e-001
4.550528475467783e-004	3.848851e-001
4.648184725467783e-004	3.696768e-001
4.685144769196897e-004	3.600218e-001
4.726820638551374e-004	3.438562e-001
4.745272596729858e-004	3.344577e-001
4.771466018661989e-004	3.181659e-001
4.798005572674134e-004	2.987848e-001
4.846728344854324e-004	2.567135e-001
4.910088798936139e-004	1.940065e-001
4.946855584552970e-004	1.536199e-001
4.976876727268547e-004	1.186725e-001
5.012363831208106e-004	7.726189e-002
5.053357932668806e-004	3.139654e-002
5.105280775212856e-004	-2.215205e-002
5.165871838398038e-004	-7.702849e-002
5.261931367318326e-004	-1.501176e-001
5.359587617318326e-004	-2.103287e-001
5.457243867318326e-004	-2.575627e-001
5.554900117318326e-004	-2.944694e-001
5.652556367318326e-004	-3.233266e-001
5.750212617318326e-004	-3.459584e-001
5.847868867318326e-004	-3.642972e-001
5.887495413207808e-004	-3.706955e-001
5.891210401884947e-004	-3.712330e-001
5.896163720121132e-004	-3.719351e-001
