time	V(vo)
0.000000000000000e+000	4.499994e-013
5.735908426583725e-008	-1.843465e-008
1.147181685316745e-007	-6.754207e-009
1.720772527975118e-007	3.504178e-008
2.294363370633490e-007	1.069533e-007
2.867954213291862e-007	2.089804e-007
3.441545055950235e-007	3.411230e-007
4.015135898608607e-007	5.033812e-007
4.970601494188736e-007	1.005251e-006
5.985425236631427e-007	1.869740e-006
7.271564385300501e-007	3.581563e-006
8.845340827960930e-007	6.831141e-006
1.086624459211866e-006	1.329793e-005
1.338782094269823e-006	2.581426e-005
1.663814009662626e-006	5.083034e-005
2.077235383481702e-006	1.001909e-004
2.615011672000717e-006	1.997910e-004
3.311502144702019e-006	4.000043e-004
4.229640177495321e-006	8.097829e-004
5.444261418326315e-006	1.652152e-003
7.082858472340105e-006	3.419864e-003
9.332063090836854e-006	7.203496e-003
1.254114946589292e-005	1.567290e-002
1.742734962271932e-005	3.634560e-002
2.626271922257768e-005	9.263764e-002
3.602834422257768e-005	1.782316e-001
4.579396922257768e-005	2.862995e-001
5.555959422257768e-005	4.121178e-001
6.532521922257768e-005	5.507926e-001
7.509084422257767e-005	6.982480e-001
8.485646922257767e-005	8.511553e-001
9.462209422257766e-005	1.006798e+000
1.043877192225777e-004	1.162944e+000
1.141533442225777e-004	1.317746e+000
1.239189692225777e-004	1.469650e+000
1.336845942225777e-004	1.617244e+000
1.434502192225777e-004	1.760049e+000
1.468217002825870e-004	1.807092e+000
1.501551826813067e-004	1.851174e+000
1.517801118913600e-004	1.871612e+000
1.539424286855652e-004	1.897558e+000
1.557911464918882e-004	1.918801e+000
1.581119846977426e-004	1.944176e+000
1.637301928161069e-004	2.000261e+000
1.679836565066024e-004	2.038044e+000
1.729510675444591e-004	2.077300e+000
1.815322737888879e-004	2.135363e+000
1.909950115275662e-004	2.188354e+000
2.007606365275662e-004	2.232076e+000
2.105262615275662e-004	2.266645e+000
2.202918865275662e-004	2.293831e+000
2.300575115275662e-004	2.315132e+000
2.398231365275662e-004	2.331734e+000
2.495887615275662e-004	2.344564e+000
2.593543865275662e-004	2.354339e+000
2.691200115275662e-004	2.361603e+000
2.788856365275662e-004	2.366748e+000
2.886512615275662e-004	2.370025e+000
2.984168865275662e-004	2.371550e+000
