time	V(vo)
0.000000000000000e+000	4.499994e-013
5.767567389328221e-008	-1.895942e-008
1.153513477865644e-007	-7.739329e-009
1.730270216798466e-007	3.366071e-008
2.307026955731288e-007	1.052407e-007
2.883783694664110e-007	2.070007e-007
3.460540433596932e-007	3.389406e-007
4.037297172529753e-007	5.010604e-007
5.114551462384544e-007	1.064833e-006
6.085183394271037e-007	1.898853e-006
7.476581138250651e-007	3.765563e-006
9.038829492252430e-007	7.023280e-006
1.119138696971934e-006	1.397409e-005
1.373875225238224e-006	2.675210e-005
1.715992396850317e-006	5.334998e-005
2.137379708900160e-006	1.042111e-004
2.698536962842789e-006	2.092413e-004
3.411065503865998e-006	4.163035e-004
4.362698792479903e-006	8.455263e-004
5.606379706605975e-006	1.717164e-003
7.296746206075656e-006	3.558966e-003
9.602953929533307e-006	7.471770e-003
1.292877204161992e-005	1.586852e-002
1.666440371585698e-005	2.868594e-002
2.019224107166475e-005	4.339071e-002
2.394036962841491e-005	6.026775e-002
2.797671752676196e-005	7.829091e-002
3.222470144837480e-005	9.630372e-002
3.750153876661203e-005	1.168161e-001
4.726716376661203e-005	1.506127e-001
5.703278876661203e-005	1.798835e-001
6.679841376661203e-005	2.046484e-001
7.656403876661203e-005	2.256297e-001
8.632966376661202e-005	2.434793e-001
9.609528876661202e-005	2.587475e-001
1.058609137666120e-004	2.718857e-001
1.156265387666120e-004	2.832604e-001
1.253921637666120e-004	2.931665e-001
1.351577887666120e-004	3.018402e-001
1.449234137666120e-004	3.094690e-001
1.546890387666120e-004	3.162020e-001
1.644546637666120e-004	3.221568e-001
1.742202887666120e-004	3.274259e-001
1.839859137666121e-004	3.320820e-001
1.937515387666121e-004	3.361821e-001
2.035171637666121e-004	3.397704e-001
2.132827887666121e-004	3.428814e-001
2.230484137666121e-004	3.455416e-001
2.328140387666121e-004	3.477716e-001
2.425796637666121e-004	3.495869e-001
2.621109137666121e-004	3.520173e-001
2.816421637666121e-004	3.528934e-001
3.011734137666121e-004	3.522431e-001
3.207046637666122e-004	3.500690e-001
3.402359137666122e-004	3.463489e-001
3.597671637666122e-004	3.410273e-001
3.695327887666122e-004	3.377341e-001
3.792984137666122e-004	3.339914e-001
3.890640387666122e-004	3.297676e-001
3.988296637666122e-004	3.250163e-001
4.085952887666122e-004	3.196690e-001
4.183609137666122e-004	3.136194e-001
4.281265387666122e-004	3.066924e-001
4.378921637666123e-004	2.985632e-001
4.476577887666123e-004	2.885222e-001
4.574234137666123e-004	2.751501e-001
4.654994111663763e-004	2.594369e-001
4.711570831271113e-004	2.425586e-001
4.782246604321623e-004	2.119798e-001
4.831091729107908e-004	1.834305e-001
4.883180566040971e-004	1.457983e-001
4.919759497873810e-004	1.164103e-001
4.957491487461980e-004	8.534859e-002
4.995944131712812e-004	5.494918e-002
5.034424623147105e-004	2.658793e-002
5.079556275199720e-004	-3.530234e-003
5.164065861040458e-004	-5.301730e-002
5.261722111040458e-004	-1.016499e-001
5.359378361040458e-004	-1.418093e-001
5.457034611040458e-004	-1.747987e-001
5.554690861040458e-004	-2.020388e-001
5.652347111040458e-004	-2.246815e-001
5.750003361040458e-004	-2.436455e-001
5.847659611040459e-004	-2.596588e-001
5.945315861040459e-004	-2.732957e-001
6.042972111040459e-004	-2.850079e-001
6.140628361040459e-004	-2.951496e-001
6.238284611040459e-004	-3.039979e-001
6.335940861040459e-004	-3.117690e-001
6.433597111040459e-004	-3.186316e-001
6.531253361040459e-004	-3.247164e-001
6.628909611040459e-004	-3.301252e-001
6.726565861040459e-004	-3.349365e-001
6.824222111040459e-004	-3.392108e-001
6.921878361040460e-004	-3.429946e-001
7.019534611040460e-004	-3.463235e-001
7.117190861040460e-004	-3.492246e-001
7.312503361040460e-004	-3.538203e-001
7.507815861040460e-004	-3.568917e-001
7.703128361040460e-004	-3.584985e-001
7.898440861040460e-004	-3.586714e-001
8.093753361040461e-004	-3.574226e-001
8.289065861040461e-004	-3.547512e-001
8.484378361040461e-004	-3.506425e-001
8.679690861040461e-004	-3.450618e-001
8.875003361040461e-004	-3.379387e-001
8.972659611040461e-004	-3.337594e-001
9.070315861040461e-004	-3.291336e-001
9.167972111040462e-004	-3.240205e-001
9.265628361040462e-004	-3.183599e-001
9.363284611040462e-004	-3.120590e-001
9.460940861040462e-004	-3.049680e-001
9.558597111040462e-004	-2.968231e-001
9.656253361040462e-004	-2.870741e-001
9.753909611040462e-004	-2.742853e-001
9.851565861040462e-004	-2.563409e-001
9.910684998969883e-004	-2.398863e-001
9.974097119946842e-004	-2.140255e-001
1.002514835340456e-003	-1.856744e-001
1.007718082768331e-003	-1.495052e-001
1.011493479849662e-003	-1.196049e-001
1.014978770567783e-003	-9.067225e-002
1.018749237306241e-003	-6.009795e-002
