Freq.	V(outder)/V(VIN)
1.00000000000000e+001	(-4.33679468640409e+001dB,-9.00000457201578e+001°)
1.02329299228075e+001	(-4.31679468618663e+001dB,-9.00000467851171e+001°)
1.04712854805090e+001	(-4.29679468595891e+001dB,-9.00000478748825e+001°)
1.07151930523761e+001	(-4.27679468572047e+001dB,-9.00000489900317e+001°)
1.09647819614319e+001	(-4.25679468547078e+001dB,-9.00000501311562e+001°)
1.12201845430196e+001	(-4.23679468520933e+001dB,-9.00000512988608e+001°)
1.14815362149688e+001	(-4.21679468493556e+001dB,-9.00000524937648e+001°)
1.17489755493953e+001	(-4.19679468464889e+001dB,-9.00000537165017e+001°)
1.20226443461741e+001	(-4.17679468434871e+001dB,-9.00000549677197e+001°)
1.23026877081238e+001	(-4.15679468403437e+001dB,-9.00000562480824e+001°)
1.25892541179417e+001	(-4.13679468370523e+001dB,-9.00000575582685e+001°)
1.28824955169313e+001	(-4.11679468336057e+001dB,-9.00000588989728e+001°)
1.31825673855641e+001	(-4.09679468299967e+001dB,-9.00000602709061e+001°)
1.34896288259165e+001	(-4.07679468262176e+001dB,-9.00000616747959e+001°)
1.38038426460288e+001	(-4.05679468222604e+001dB,-9.00000631113864e+001°)
1.41253754462275e+001	(-4.03679468181167e+001dB,-9.00000645814395e+001°)
1.44543977074593e+001	(-4.01679468137777e+001dB,-9.00000660857345e+001°)
1.47910838816821e+001	(-3.99679468092342e+001dB,-9.00000676250690e+001°)
1.51356124843621e+001	(-3.97679468044766e+001dB,-9.00000692002592e+001°)
1.54881661891248e+001	(-3.95679467994948e+001dB,-9.00000708121403e+001°)
1.58489319246111e+001	(-3.93679467942782e+001dB,-9.00000724615669e+001°)
1.62181009735893e+001	(-3.91679467888157e+001dB,-9.00000741494136e+001°)
1.65958690743756e+001	(-3.89679467830958e+001dB,-9.00000758765754e+001°)
1.69824365246174e+001	(-3.87679467771064e+001dB,-9.00000776439678e+001°)
1.73780082874937e+001	(-3.85679467708346e+001dB,-9.00000794525282e+001°)
1.77827941003892e+001	(-3.83679467642673e+001dB,-9.00000813032153e+001°)
1.81970085860998e+001	(-3.81679467573905e+001dB,-9.00000831970105e+001°)
1.86208713666287e+001	(-3.79679467501895e+001dB,-9.00000851349178e+001°)
1.90546071796325e+001	(-3.77679467426492e+001dB,-9.00000871179648e+001°)
1.94984459975804e+001	(-3.75679467347536e+001dB,-9.00000891472029e+001°)
1.99526231496888e+001	(-3.73679467264858e+001dB,-9.00000912237080e+001°)
2.04173794466953e+001	(-3.71679467178284e+001dB,-9.00000933485811e+001°)
2.08929613085404e+001	(-3.69679467087630e+001dB,-9.00000955229489e+001°)
2.13796208950223e+001	(-3.67679466992703e+001dB,-9.00000977479642e+001°)
2.18776162394955e+001	(-3.65679466893303e+001dB,-9.00001000248068e+001°)
2.23872113856834e+001	(-3.63679466789218e+001dB,-9.00001023546838e+001°)
2.29086765276777e+001	(-3.61679466680227e+001dB,-9.00001047388307e+001°)
2.34422881531992e+001	(-3.59679466566100e+001dB,-9.00001071785115e+001°)
2.39883291901949e+001	(-3.57679466446594e+001dB,-9.00001096750197e+001°)
2.45470891568503e+001	(-3.55679466321457e+001dB,-9.00001122296791e+001°)
2.51188643150958e+001	(-3.53679466190422e+001dB,-9.00001148438442e+001°)
2.57039578276886e+001	(-3.51679466053211e+001dB,-9.00001175189010e+001°)
2.63026799189538e+001	(-3.49679465909533e+001dB,-9.00001202562678e+001°)
2.69153480392691e+001	(-3.47679465759085e+001dB,-9.00001230573961e+001°)
2.75422870333816e+001	(-3.45679465601546e+001dB,-9.00001259237711e+001°)
2.81838293126445e+001	(-3.43679465436582e+001dB,-9.00001288569125e+001°)
2.88403150312660e+001	(-3.41679465263844e+001dB,-9.00001318583756e+001°)
2.95120922666638e+001	(-3.39679465082965e+001dB,-9.00001349297518e+001°)
3.01995172040201e+001	(-3.37679464893561e+001dB,-9.00001380726694e+001°)
3.09029543251359e+001	(-3.35679464695231e+001dB,-9.00001412887951e+001°)
3.16227766016838e+001	(-3.33679464487554e+001dB,-9.00001445798339e+001°)
3.23593656929628e+001	(-3.31679464270090e+001dB,-9.00001479475308e+001°)
3.31131121482591e+001	(-3.29679464042376e+001dB,-9.00001513936716e+001°)
3.38844156139202e+001	(-3.27679463803931e+001dB,-9.00001549200832e+001°)
3.46736850452531e+001	(-3.25679463554249e+001dB,-9.00001585286355e+001°)
3.54813389233575e+001	(-3.23679463292799e+001dB,-9.00001622212418e+001°)
3.63078054770101e+001	(-3.21679463019027e+001dB,-9.00001659998599e+001°)
3.71535229097172e+001	(-3.19679462732353e+001dB,-9.00001698664934e+001°)
3.80189396320561e+001	(-3.17679462432169e+001dB,-9.00001738231923e+001°)
3.89045144994280e+001	(-3.15679462117837e+001dB,-9.00001778720546e+001°)
3.98107170553497e+001	(-3.13679461788691e+001dB,-9.00001820152270e+001°)
4.07380277804112e+001	(-3.11679461444033e+001dB,-9.00001862549063e+001°)
4.16869383470335e+001	(-3.09679461083132e+001dB,-9.00001905933404e+001°)
4.26579518801592e+001	(-3.07679460705222e+001dB,-9.00001950328297e+001°)
4.36515832240165e+001	(-3.05679460309502e+001dB,-9.00001995757279e+001°)
4.46683592150962e+001	(-3.03679459895132e+001dB,-9.00002042244438e+001°)
4.57088189614874e+001	(-3.01679459461233e+001dB,-9.00002089814422e+001°)
4.67735141287197e+001	(-2.99679459006885e+001dB,-9.00002138492454e+001°)
4.78630092322638e+001	(-2.97679458531125e+001dB,-9.00002188304342e+001°)
4.89778819368445e+001	(-2.95679458032943e+001dB,-9.00002239276499e+001°)
5.01187233627271e+001	(-2.93679457511282e+001dB,-9.00002291435950e+001°)
5.12861383991364e+001	(-2.91679456965035e+001dB,-9.00002344810350e+001°)
5.24807460249772e+001	(-2.89679456393046e+001dB,-9.00002399428000e+001°)
5.37031796370252e+001	(-2.87679455794099e+001dB,-9.00002455317858e+001°)
5.49540873857624e+001	(-2.85679455166924e+001dB,-9.00002512509558e+001°)
5.62341325190348e+001	(-2.83679454510192e+001dB,-9.00002571033424e+001°)
5.75439937337156e+001	(-2.81679453822509e+001dB,-9.00002630920487e+001°)
5.88843655355588e+001	(-2.79679453102416e+001dB,-9.00002692202498e+001°)
6.02559586074357e+001	(-2.77679452348386e+001dB,-9.00002754911950e+001°)
6.16595001861481e+001	(-2.75679451558821e+001dB,-9.00002819082094e+001°)
6.30957344480192e+001	(-2.73679450732044e+001dB,-9.00002884746952e+001°)
6.45654229034654e+001	(-2.71679449866302e+001dB,-9.00002951941341e+001°)
6.60693448007595e+001	(-2.69679448959759e+001dB,-9.00003020700889e+001°)
6.76082975391980e+001	(-2.67679448010492e+001dB,-9.00003091062052e+001°)
6.91830970918935e+001	(-2.65679447016487e+001dB,-9.00003163062137e+001°)
7.07945784384136e+001	(-2.63679445975637e+001dB,-9.00003236739320e+001°)
7.24435960074988e+001	(-2.61679444885732e+001dB,-9.00003312132665e+001°)
