Freq.	V(outint)
1.00000000000000e+001	(1.99798309347680e+001dB,-3.88245352627867e+000°)
1.02329299228075e+001	(1.99788926948714e+001dB,-3.97260122268158e+000°)
1.04712854805090e+001	(1.99779104542918e+001dB,-4.06482833670245e+000°)
1.07151930523761e+001	(1.99768821601883e+001dB,-4.15918185566725e+000°)
1.09647819614319e+001	(1.99758056649679e+001dB,-4.25570975897807e+000°)
1.12201845430196e+001	(1.99746787220104e+001dB,-4.35446103404298e+000°)
1.14815362149688e+001	(1.99734989812095e+001dB,-4.45548569208093e+000°)
1.17489755493953e+001	(1.99722639843234e+001dB,-4.55883478376548e+000°)
1.20226443461741e+001	(1.99709711601280e+001dB,-4.66456041466809e+000°)
1.23026877081238e+001	(1.99696178193654e+001dB,-4.77271576045842e+000°)
1.25892541179417e+001	(1.99682011494793e+001dB,-4.88335508181594e+000°)
1.28824955169313e+001	(1.99667182091316e+001dB,-4.99653373900334e+000°)
1.31825673855641e+001	(1.99651659224903e+001dB,-5.11230820604843e+000°)
1.34896288259165e+001	(1.99635410732825e+001dB,-5.23073608447743e+000°)
1.38038426460288e+001	(1.99618402986031e+001dB,-5.35187611653776e+000°)
1.41253754462275e+001	(1.99600600824729e+001dB,-5.47578819784447e+000°)
1.44543977074593e+001	(1.99581967491359e+001dB,-5.60253338937906e+000°)
1.47910838816821e+001	(1.99562464560893e+001dB,-5.73217392876476e+000°)
1.51356124843621e+001	(1.99542051868366e+001dB,-5.86477324073673e+000°)
1.54881661891248e+001	(1.99520687433570e+001dB,-6.00039594672005e+000°)
1.58489319246111e+001	(1.99498327382814e+001dB,-6.13910787342227e+000°)
1.62181009735893e+001	(1.99474925867680e+001dB,-6.28097606034099e+000°)
1.65958690743756e+001	(1.99450434980694e+001dB,-6.42606876608053e+000°)
1.69824365246174e+001	(1.99424804667822e+001dB,-6.57445547336430e+000°)
1.73780082874937e+001	(1.99397982637732e+001dB,-6.72620689262261e+000°)
1.77827941003892e+001	(1.99369914267738e+001dB,-6.88139496402769e+000°)
1.81970085860998e+001	(1.99340542506353e+001dB,-7.04009285783992e+000°)
1.86208713666287e+001	(1.99309807772403e+001dB,-7.20237497292050e+000°)
1.90546071796325e+001	(1.99277647850610e+001dB,-7.36831693325757e+000°)
1.94984459975804e+001	(1.99243997783627e+001dB,-7.53799558234335e+000°)
1.99526231496888e+001	(1.99208789760439e+001dB,-7.71148897523042e+000°)
2.04173794466953e+001	(1.99171953001119e+001dB,-7.88887636808588e+000°)
2.08929613085404e+001	(1.99133413637890e+001dB,-8.07023820505154e+000°)
2.13796208950223e+001	(1.99093094592474e+001dB,-8.25565610220836e+000°)
2.18776162394955e+001	(1.99050915449723e+001dB,-8.44521282843240e+000°)
2.23872113856834e+001	(1.99006792327528e+001dB,-8.63899228291876e+000°)
2.29086765276777e+001	(1.98960637743026e+001dB,-8.83707946913880e+000°)
2.34422881531992e+001	(1.98912360475139e+001dB,-9.03956046498472e+000°)
2.39883291901949e+001	(1.98861865423487e+001dB,-9.24652238884394e+000°)
2.45470891568503e+001	(1.98809053463761e+001dB,-9.45805336133463e+000°)
2.51188643150958e+001	(1.98753821299628e+001dB,-9.67424246242161e+000°)
2.57039578276886e+001	(1.98696061311301e+001dB,-9.89517968362110e+000°)
2.63026799189538e+001	(1.98635661400910e+001dB,-1.01209558749913e+001°)
2.69153480392691e+001	(1.98572504834840e+001dB,-1.03516626865943e+001°)
2.75422870333816e+001	(1.98506470083243e+001dB,-1.05873925041054e+001°)
2.81838293126445e+001	(1.98437430656964e+001dB,-1.08282383782351e+001°)
2.88403150312660e+001	(1.98365254942148e+001dB,-1.10742939476189e+001°)
2.95120922666638e+001	(1.98289806032838e+001dB,-1.13256533548238e+001°)
3.01995172040201e+001	(1.98210941561930e+001dB,-1.15824111551104e+001°)
3.09029543251359e+001	(1.98128513530881e+001dB,-1.18446622175847e+001°)
3.16227766016838e+001	(1.98042368138623e+001dB,-1.21125016183685e+001°)
3.23593656929628e+001	(1.97952345610177e+001dB,-1.23860245254137e+001°)
3.31131121482591e+001	(1.97858280025552e+001dB,-1.26653260745858e+001°)
3.38844156139202e+001	(1.97759999149521e+001dB,-1.29505012366410e+001°)
3.46736850452531e+001	(1.97657324262974e+001dB,-1.32416446747268e+001°)
3.54813389233575e+001	(1.97550069996592e+001dB,-1.35388505920414e+001°)
3.63078054770101e+001	(1.97438044167663e+001dB,-1.38422125692967e+001°)
3.71535229097172e+001	(1.97321047620924e+001dB,-1.41518233916436e+001°)
3.80189396320561e+001	(1.97198874074407e+001dB,-1.44677748647351e+001°)
3.89045144994280e+001	(1.97071309971325e+001dB,-1.47901576196238e+001°)
3.98107170553497e+001	(1.96938134339127e+001dB,-1.51190609062183e+001°)
4.07380277804112e+001	(1.96799118656929e+001dB,-1.54545723750523e+001°)
4.16869383470335e+001	(1.96654026732612e+001dB,-1.57967778471593e+001°)
4.26579518801592e+001	(1.96502614590966e+001dB,-1.61457610718888e+001°)
4.36515832240165e+001	(1.96344630374332e+001dB,-1.65016034725480e+001°)
4.46683592150962e+001	(1.96179814257291e+001dB,-1.68643838798135e+001°)
4.57088189614874e+001	(1.96007898377031e+001dB,-1.72341782529160e+001°)
4.67735141287197e+001	(1.95828606781084e+001dB,-1.76110593886793e+001°)
4.78630092322638e+001	(1.95641655394220e+001dB,-1.79950966185693e+001°)
4.89778819368445e+001	(1.95446752006349e+001dB,-1.83863554939991e+001°)
5.01187233627271e+001	(1.95243596283340e+001dB,-1.87848974602335e+001°)
5.12861383991364e+001	(1.95031879802727e+001dB,-1.91907795193396e+001°)
5.24807460249772e+001	(1.94811286116311e+001dB,-1.96040538827459e+001°)
5.37031796370252e+001	(1.94581490841710e+001dB,-2.00247676140915e+001°)
5.49540873857624e+001	(1.94342161784910e+001dB,-2.04529622631836e+001°)
5.62341325190348e+001	(1.94092959095905e+001dB,-2.08886734920112e+001°)
5.75439937337156e+001	(1.93833535459454e+001dB,-2.13319306939188e+001°)
5.88843655355588e+001	(1.93563536323002e+001dB,-2.17827566071884e+001°)
6.02559586074357e+001	(1.93282600163705e+001dB,-2.22411669244411e+001°)
6.16595001861481e+001	(1.92990358796465e+001dB,-2.27071698994316e+001°)
6.30957344480192e+001	(1.92686437724726e+001dB,-2.31807659529744e+001°)
6.45654229034654e+001	(1.92370456535699e+001dB,-2.36619472799089e+001°)
6.60693448007595e+001	(1.92042029341469e+001dB,-2.41506974591796e+001°)
6.76082975391980e+001	(1.91700765267288e+001dB,-2.46469910692707e+001°)
6.91830970918935e+001	(1.91346268988076e+001dB,-2.51507933113976e+001°)
7.07945784384136e+001	(1.90978141313950e+001dB,-2.56620596430096e+001°)
7.24435960074988e+001	(1.90595979825243e+001dB,-2.61807354243036e+001°)
7.41310241300916e+001	(1.90199379557192e+001dB,-2.67067555805770e+001°)
7.58577575029182e+001	(1.89787933734080e+001dB,-2.72400442833664e+001°)
7.76247116628690e+001	(1.89361234552227e+001dB,-2.77805146534086e+001°)
7.94328234724279e+001	(1.88918874010803e+001dB,-2.83280684885392e+001°)
8.12830516164097e+001	(1.88460444788971e+001dB,-2.88825960196860e+001°)
8.31763771102669e+001	(1.87985541167388e+001dB,-2.94439756981336e+001°)
8.51138038202374e+001	(1.87493759991597e+001dB,-3.00120740172220e+001°)
8.70963589956078e+001	(1.86984701674314e+001dB,-3.05867453715885e+001°)
8.91250938133743e+001	(1.86457971233099e+001dB,-3.11678319569779e+001°)
9.12010839355907e+001	(1.85913179359359e+001dB,-3.17551637135137e+001°)
9.33254300796988e+001	(1.85349943514111e+001dB,-3.23485583151570e+001°)
9.54992586021433e+001	(1.84767889045415e+001dB,-3.29478212078627e+001°)
9.77237220955808e+001	(1.84166650321891e+001dB,-3.35527456986899e+001°)
9.99999999999997e+001	(1.83545871876272e+001dB,-3.41631130978209e+001°)
1.02329299228075e+002	(1.82905209552519e+001dB,-3.47786929151025e+001°)
1.04712854805090e+002	(1.82244331649625e+001dB,-3.53992431123432e+001°)
1.07151930523760e+002	(1.81562920054949e+001dB,-3.60245104121776e+001°)
1.09647819614318e+002	(1.80860671359614e+001dB,-3.66542306638602e+001°)
1.12201845430196e+002	(1.80137297948350e+001dB,-3.72881292658680e+001°)
1.14815362149688e+002	(1.79392529056044e+001dB,-3.79259216446864e+001°)
1.17489755493953e+002	(1.78626111783229e+001dB,-3.85673137886334e+001°)
1.20226443461741e+002	(1.77837812062829e+001dB,-3.92120028350452e+001°)
1.23026877081238e+002	(1.77027415570626e+001dB,-3.98596777086096e+001°)
1.25892541179416e+002	(1.76194728572174e+001dB,-4.05100198081134e+001°)
1.28824955169313e+002	(1.75339578699257e+001dB,-4.11627037383469e+001°)
1.31825673855640e+002	(1.74461815649400e+001dB,-4.18173980834258e+001°)
1.34896288259165e+002	(1.73561311802528e+001dB,-4.24737662173253e+001°)
1.38038426460288e+002	(1.72637962749443e+001dB,-4.31314671470019e+001°)
1.41253754462275e+002	(1.71691687727530e+001dB,-4.37901563831031e+001°)
1.44543977074592e+002	(1.70722429959842e+001dB,-4.44494868329454e+001°)
1.47910838816820e+002	(1.69730156894555e+001dB,-4.51091097101732e+001°)
1.51356124843620e+002	(1.68714860342662e+001dB,-4.57686754553207e+001°)
1.54881661891248e+002	(1.67676556512650e+001dB,-4.64278346613624e+001°)
1.58489319246111e+002	(1.66615285941873e+001dB,-4.70862389982803e+001°)
1.62181009735892e+002	(1.65531113325218e+001dB,-4.77435421306893e+001°)
1.65958690743755e+002	(1.64424127242611e+001dB,-4.83994006226414e+001°)
1.69824365246174e+002	(1.63294439787790e+001dB,-4.90534748238867e+001°)
1.73780082874937e+002	(1.62142186101632e+001dB,-4.97054297320858e+001°)
1.77827941003892e+002	(1.60967523814137e+001dB,-5.03549358257526e+001°)
1.81970085860998e+002	(1.59770632399912e+001dB,-5.10016698630442e+001°)
1.86208713666286e+002	(1.58551712452672e+001dB,-5.16453156419084e+001°)
1.90546071796324e+002	(1.57310984884884e+001dB,-5.22855647175319e+001°)
1.94984459975804e+002	(1.56048690059167e+001dB,-5.29221170735045e+001°)
1.99526231496887e+002	(1.54765086858513e+001dB,-5.35546817436142e+001°)
2.04173794466952e+002	(1.53460451702666e+001dB,-5.41829773817073e+001°)
2.08929613085403e+002	(1.52135077518280e+001dB,-5.48067327775770e+001°)
2.13796208950222e+002	(1.50789272670569e+001dB,-5.54256873173800e+001°)
2.18776162394954e+002	(1.49423359864204e+001dB,-5.60395913876068e+001°)
2.23872113856833e+002	(1.48037675021191e+001dB,-5.66482067221490e+001°)
2.29086765276776e+002	(1.46632566143278e+001dB,-5.72513066925053e+001°)
2.34422881531991e+002	(1.45208392166288e+001dB,-5.78486765416382e+001°)
2.39883291901948e+002	(1.43765521813436e+001dB,-5.84401135624369e+001°)
2.45470891568502e+002	(1.42304332454378e+001dB,-5.90254272221479e+001°)
2.51188643150957e+002	(1.40825208976340e+001dB,-5.96044392345044e+001°)
2.57039578276885e+002	(1.39328542673217e+001dB,-6.01769835816129e+001°)
2.63026799189537e+002	(1.37814730158072e+001dB,-6.07429064879416e+001°)
2.69153480392690e+002	(1.36284172303956e+001dB,-6.13020663489964e+001°)
2.75422870333816e+002	(1.34737273217450e+001dB,-6.18543336174709e+001°)
2.81838293126444e+002	(1.33174439248805e+001dB,-6.23995906498101e+001°)
2.88403150312659e+002	(1.31596078042020e+001dB,-6.29377315162466e+001°)
2.95120922666637e+002	(1.30002597627680e+001dB,-6.34686617774382e+001°)
3.01995172040200e+002	(1.28394405560847e+001dB,-6.39922982308799e+001°)
3.09029543251358e+002	(1.26771908105838e+001dB,-6.45085686302618e+001°)
3.16227766016837e+002	(1.25135509469198e+001dB,-6.50174113809213e+001°)
3.23593656929627e+002	(1.23485611081771e+001dB,-6.55187752144807e+001°)
3.31131121482590e+002	(1.21822610930346e+001dB,-6.60126188456791e+001°)
3.38844156139201e+002	(1.20146902938937e+001dB,-6.64989106143097e+001°)
3.46736850452530e+002	(1.18458876399450e+001dB,-6.69776281150483e+001°)
3.54813389233574e+002	(1.16758915451129e+001dB,-6.74487578178280e+001°)
3.63078054770100e+002	(1.15047398607910e+001dB,-6.79122946812634e+001°)
3.71535229097171e+002	(1.13324698332548e+001dB,-6.83682417614763e+001°)
3.80189396320559e+002	(1.11591180656178e+001dB,-6.88166098185069e+001°)
3.89045144994279e+002	(1.09847204841758e+001dB,-6.92574169223321e+001°)
3.98107170553495e+002	(1.08093123089729e+001dB,-6.96906880603428e+001°)
4.07380277804111e+002	(1.06329280284054e+001dB,-7.01164547479641e+001°)
4.16869383470333e+002	(1.04556013776742e+001dB,-7.05347546439377e+001°)
4.26579518801591e+002	(1.02773653208857e+001dB,-7.09456311716245e+001°)
4.36515832240164e+002	(1.00982520365989e+001dB,-7.13491331475266e+001°)
4.46683592150961e+002	(9.91829290661254e+000dB,-7.17453144180808e+001°)
4.57088189614873e+002	(9.73751850778434e+000dB,-7.21342335056286e+001°)
4.67735141287196e+002	(9.55595860667784e+000dB,-7.25159532643339e+001°)
4.78630092322636e+002	(9.37364215683199e+000dB,-7.28905405466907e+001°)
4.89778819368444e+002	(9.19059729845437e+000dB,-7.32580658811443e+001°)
5.01187233627270e+002	(9.00685136034252e+000dB,-7.36186031612374e+001°)
5.12861383991362e+002	(8.82243086384443e+000dB,-7.39722293465917e+001°)
5.24807460249770e+002	(8.63736152867519e+000dB,-7.43190241759395e+001°)
5.37031796370250e+002	(8.45166828041458e+000dB,-7.46590698923385e+001°)
5.49540873857622e+002	(8.26537525951732e+000dB,-7.49924509806198e+001°)
5.62341325190346e+002	(8.07850583167638e+000dB,-7.53192539170574e+001°)
5.75439937337154e+002	(7.89108259938768e+000dB,-7.56395669311780e+001°)
5.88843655355586e+002	(7.70312741457288e+000dB,-7.59534797795832e+001°)
6.02559586074355e+002	(7.51466139212547e+000dB,-7.62610835316006e+001°)
6.16595001861479e+002	(7.32570492425399e+000dB,-7.65624703665474e+001°)
6.30957344480190e+002	(7.13627769550398e+000dB,-7.68577333823469e+001°)
6.45654229034652e+002	(6.94639869834924e+000dB,-7.71469664152145e+001°)
6.60693448007592e+002	(6.75608624925008e+000dB,-7.74302638701016e+001°)
6.76082975391978e+002	(6.56535800508467e+000dB,-7.77077205615674e+001°)
6.91830970918933e+002	(6.37423097986669e+000dB,-7.79794315647316e+001°)
7.07945784384134e+002	(6.18272156166975e+000dB,-7.82454920759501e+001°)
7.24435960074986e+002	(5.99084552968579e+000dB,-7.85059972828463e+001°)
7.41310241300914e+002	(5.79861807135148e+000dB,-7.87610422433263e+001°)
7.58577575029180e+002	(5.60605379948238e+000dB,-7.90107217732020e+001°)
7.76247116628688e+002	(5.41316676936103e+000dB,-7.92551303420473e+001°)
7.94328234724277e+002	(5.21997049572991e+000dB,-7.94943619769141e+001°)
8.12830516164095e+002	(5.02647796964620e+000dB,-7.97285101735380e+001°)
8.31763771102666e+002	(4.83270167515937e+000dB,-7.99576678146691e+001°)
8.51138038202372e+002	(4.63865360577775e+000dB,-8.01819270951709e+001°)
8.70963589956076e+002	(4.44434528069380e+000dB,-8.04013794535377e+001°)
8.91250938133741e+002	(4.24978776074232e+000dB,-8.06161155094874e+001°)
9.12010839355905e+002	(4.05499166406897e+000dB,-8.08262250073019e+001°)
9.33254300796986e+002	(3.85996718148994e+000dB,-8.10317967645906e+001°)
9.54992586021431e+002	(3.66472409152669e+000dB,-8.12329186261682e+001°)
9.77237220955805e+002	(3.46927177510253e+000dB,-8.14296774227478e+001°)
9.99999999999994e+002	(3.27361922989001e+000dB,-8.16221589341596e+001°)
1.02329299228075e+003	(3.07777508430094e+000dB,-8.18104478568206e+001°)
1.04712854805089e+003	(2.88174761111252e+000dB,-8.19946277751882e+001°)
1.07151930523760e+003	(2.68554474072519e+000dB,-8.21747811369460e+001°)
1.09647819614318e+003	(2.48917407404954e+000dB,-8.23509892316780e+001°)
1.12201845430196e+003	(2.29264289502096e+000dB,-8.25233321728006e+001°)
1.14815362149688e+003	(2.09595818274241e+000dB,-8.26918888825332e+001°)
1.17489755493952e+003	(1.89912662325663e+000dB,-8.28567370796977e+001°)
1.20226443461741e+003	(1.70215462095041e+000dB,-8.30179532701485e+001°)
1.23026877081237e+003	(1.50504830959434e+000dB,-8.31756127396443e+001°)
1.25892541179416e+003	(1.30781356302247e+000dB,-8.33297895489843e+001°)
1.28824955169313e+003	(1.11045600545691e+000dB,-8.34805565312401e+001°)
1.31825673855640e+003	(9.12981021483132e-001dB,-8.36279852909230e+001°)
1.34896288259165e+003	(7.15393765682201e-001dB,-8.37721462049378e+001°)
1.38038426460288e+003	(5.17699171926709e-001dB,-8.39131084251803e+001°)
1.41253754462275e+003	(3.19901962347519e-001dB,-8.40509398826452e+001°)
1.44543977074592e+003	(1.22006655978760e-001dB,-8.41857072929201e+001°)
1.47910838816820e+003	(-7.59824229112937e-002dB,-8.43174761629451e+001°)
1.51356124843620e+003	(-2.74061136795414e-001dB,-8.44463107989302e+001°)
1.54881661891247e+003	(-4.72225527160811e-001dB,-8.45722743153244e+001°)
1.58489319246110e+003	(-6.70471807072471e-001dB,-8.46954286447399e+001°)
1.62181009735892e+003	(-8.68796354018247e-001dB,-8.48158345487406e+001°)
1.65958690743755e+003	(-1.06719570302753e+000dB,-8.49335516294090e+001°)
1.69824365246173e+003	(-1.26566654005517e+000dB,-8.50486383416121e+001°)
1.73780082874936e+003	(-1.46420569562252e+000dB,-8.51611520058926e+001°)
1.77827941003891e+003	(-1.66281013870745e+000dB,-8.52711488219144e+001°)
1.81970085860997e+003	(-1.86147697087531e+000dB,-8.53786838824000e+001°)
1.86208713666286e+003	(-2.06020342064282e+000dB,-8.54838111874978e+001°)
1.90546071796323e+003	(-2.25898683806704e+000dB,-8.55865836595242e+001°)
1.94984459975803e+003	(-2.45782468955190e+000dB,-8.56870531580283e+001°)
1.99526231496887e+003	(-2.65671455286447e+000dB,-8.57852704951319e+001°)
2.04173794466952e+003	(-2.85565411235369e+000dB,-8.58812854510985e+001°)
2.08929613085403e+003	(-3.05464115436438e+000dB,-8.59751467900909e+001°)
2.13796208950222e+003	(-3.25367356283930e+000dB,-8.60669022760799e+001°)
2.18776162394954e+003	(-3.45274931510251e+000dB,-8.61565986888673e+001°)
2.23872113856832e+003	(-3.65186647781718e+000dB,-8.62442818401908e+001°)
