Freq.	V(outint)
1.00000000000000e+001	(1.00931239658475e+001dB,-1.22747454228077e+000°)
1.02329299228075e+001	(1.00930301798383e+001dB,-1.25605706180412e+000°)
1.04712854805090e+001	(1.00929319755436e+001dB,-1.28530470776848e+000°)
1.07151930523761e+001	(1.00928291457790e+001dB,-1.31523292682937e+000°)
1.09647819614319e+001	(1.00927214716174e+001dB,-1.34585752201667e+000°)
1.12201845430196e+001	(1.00926087267890e+001dB,-1.37719466112036e+000°)
1.14815362149688e+001	(1.00924906705764e+001dB,-1.40926088454099e+000°)
1.17489755493953e+001	(1.00923670547829e+001dB,-1.44207311402539e+000°)
1.20226443461741e+001	(1.00922376165146e+001dB,-1.47564866119146e+000°)
1.23026877081238e+001	(1.00921020825098e+001dB,-1.51000523607791e+000°)
1.25892541179417e+001	(1.00919601649705e+001dB,-1.54516095643600e+000°)
1.28824955169313e+001	(1.00918115649936e+001dB,-1.58113435627714e+000°)
1.31825673855641e+001	(1.00916559665633e+001dB,-1.61794439624579e+000°)
1.34896288259165e+001	(1.00914930406665e+001dB,-1.65561047201273e+000°)
1.38038426460288e+001	(1.00913224429726e+001dB,-1.69415242456418e+000°)
1.41253754462275e+001	(1.00911438121718e+001dB,-1.73359055019328e+000°)
1.44543977074593e+001	(1.00909567713450e+001dB,-1.77394561024979e+000°)
1.47910838816821e+001	(1.00907609239985e+001dB,-1.81523884145708e+000°)
1.51356124843621e+001	(1.00905558562946e+001dB,-1.85749196688910e+000°)
1.54881661891248e+001	(1.00903411344197e+001dB,-1.90072720630990e+000°)
1.58489319246111e+001	(1.00901163037254e+001dB,-1.94496728658020e+000°)
1.62181009735893e+001	(1.00898808898145e+001dB,-1.99023545422014e+000°)
1.65958690743756e+001	(1.00896343949130e+001dB,-2.03655548485274e+000°)
1.69824365246174e+001	(1.00893762980942e+001dB,-2.08395169651121e+000°)
1.73780082874937e+001	(1.00891060545834e+001dB,-2.13244896013021e+000°)
1.77827941003892e+001	(1.00888230921171e+001dB,-2.18207271207105e+000°)
1.81970085860998e+001	(1.00885268142978e+001dB,-2.23284896609149e+000°)
1.86208713666287e+001	(1.00882165946813e+001dB,-2.28480432619124e+000°)
1.90546071796325e+001	(1.00878917781763e+001dB,-2.33796599854402e+000°)
1.94984459975804e+001	(1.00875516806083e+001dB,-2.39236180438414e+000°)
1.99526231496888e+001	(1.00871955829700e+001dB,-2.44802019380770e+000°)
2.04173794466953e+001	(1.00868227337756e+001dB,-2.50497025758847e+000°)
2.08929613085404e+001	(1.00864323469163e+001dB,-2.56324174259359e+000°)
2.13796208950223e+001	(1.00860236001852e+001dB,-2.62286506365683e+000°)
2.18776162394955e+001	(1.00855956304053e+001dB,-2.68387131804027e+000°)
2.23872113856834e+001	(1.00851475358954e+001dB,-2.74629229973339e+000°)
2.29086765276777e+001	(1.00846783734699e+001dB,-2.81016051341104e+000°)
2.34422881531992e+001	(1.00841871548777e+001dB,-2.87550918867395e+000°)
2.39883291901949e+001	(1.00836728447512e+001dB,-2.94237229594770e+000°)
2.45470891568503e+001	(1.00831343616106e+001dB,-3.01078455888572e+000°)
2.51188643150958e+001	(1.00825705712405e+001dB,-3.08078147246380e+000°)
2.57039578276886e+001	(1.00819802894339e+001dB,-3.15239931498330e+000°)
2.63026799189538e+001	(1.00813622745811e+001dB,-3.22567516555723e+000°)
2.69153480392691e+001	(1.00807152279189e+001dB,-3.30064691903618e+000°)
2.75422870333816e+001	(1.00800377892783e+001dB,-3.37735330059783e+000°)
2.81838293126445e+001	(1.00793285375436e+001dB,-3.45583388362106e+000°)
2.88403150312660e+001	(1.00785859840465e+001dB,-3.53612910330887e+000°)
2.95120922666638e+001	(1.00778085713101e+001dB,-3.61828027357951e+000°)
3.01995172040201e+001	(1.00769946693561e+001dB,-3.70232960332659e+000°)
3.09029543251359e+001	(1.00761425727410e+001dB,-3.78832021191379e+000°)
3.16227766016838e+001	(1.00752504972342e+001dB,-3.87629614582446e+000°)
3.23593656929628e+001	(1.00743165761253e+001dB,-3.96630239484845e+000°)
3.31131121482591e+001	(1.00733388553555e+001dB,-4.05838490662701e+000°)
3.38844156139202e+001	(1.00723152919825e+001dB,-4.15259060590937e+000°)
3.46736850452531e+001	(1.00712437480915e+001dB,-4.24896740709250e+000°)
3.54813389233575e+001	(1.00701219871076e+001dB,-4.34756423291899e+000°)
3.63078054770101e+001	(1.00689476698560e+001dB,-4.44843102822108e+000°)
3.71535229097172e+001	(1.00677183492051e+001dB,-4.55161877817298e+000°)
3.80189396320561e+001	(1.00664314647559e+001dB,-4.65717952018770e+000°)
3.89045144994280e+001	(1.00650843399562e+001dB,-4.76516636275633e+000°)
3.98107170553497e+001	(1.00636741748200e+001dB,-4.87563349831409e+000°)
4.07380277804112e+001	(1.00621980421236e+001dB,-4.98863621799001e+000°)
4.16869383470335e+001	(1.00606528778520e+001dB,-5.10423092717096e+000°)
4.26579518801592e+001	(1.00590354818975e+001dB,-5.22247515798489e+000°)
4.36515832240165e+001	(1.00573425056829e+001dB,-5.34342758225039e+000°)
4.46683592150962e+001	(1.00555704488210e+001dB,-5.46714802581997e+000°)
4.57088189614874e+001	(1.00537156523400e+001dB,-5.59369747966712e+000°)
4.67735141287197e+001	(1.00517742905939e+001dB,-5.72313811202190e+000°)
4.78630092322638e+001	(1.00497423649623e+001dB,-5.85553327657149e+000°)
4.89778819368445e+001	(1.00476156959803e+001dB,-5.99094752661783e+000°)
5.01187233627271e+001	(1.00453899150628e+001dB,-6.12944661837902e+000°)
5.12861383991364e+001	(1.00430604593074e+001dB,-6.27109752292551e+000°)
5.24807460249772e+001	(1.00406225585772e+001dB,-6.41596843035734e+000°)
5.37031796370252e+001	(1.00380712284179e+001dB,-6.56412875699192e+000°)
5.49540873857624e+001	(1.00354012630658e+001dB,-6.71564914621662e+000°)
5.62341325190348e+001	(1.00326072244010e+001dB,-6.87060147434533e+000°)
5.75439937337156e+001	(1.00296834321515e+001dB,-7.02905884637569e+000°)
5.88843655355588e+001	(1.00266239542270e+001dB,-7.19109560055043e+000°)
6.02559586074357e+001	(1.00234225958034e+001dB,-7.35678730010836e+000°)
6.16595001861481e+001	(1.00200728890676e+001dB,-7.52621073071918e+000°)
6.30957344480192e+001	(1.00165680825879e+001dB,-7.69944389249116e+000°)
