Freq.	V(outder)/V(VIN)
1.00000000000000e+001	(-4.33679468939257e+001dB,-9.00047977201722e+001°)
1.02329299228075e+001	(-4.31679468931595e+001dB,-9.00049094734318e+001°)
1.04712854805090e+001	(-4.29679468923572e+001dB,-9.00050238297593e+001°)
1.07151930523761e+001	(-4.27679468915170e+001dB,-9.00051408497879e+001°)
1.09647819614319e+001	(-4.25679468906373e+001dB,-9.00052605955632e+001°)
1.12201845430196e+001	(-4.23679468897161e+001dB,-9.00053831305759e+001°)
1.14815362149688e+001	(-4.21679468887515e+001dB,-9.00055085197959e+001°)
1.17489755493953e+001	(-4.19679468877414e+001dB,-9.00056368297060e+001°)
1.20226443461741e+001	(-4.17679468866837e+001dB,-9.00057681283379e+001°)
1.23026877081238e+001	(-4.15679468855762e+001dB,-9.00059024853080e+001°)
1.25892541179417e+001	(-4.13679468844165e+001dB,-9.00060399718540e+001°)
1.28824955169313e+001	(-4.11679468832021e+001dB,-9.00061806608731e+001°)
1.31825673855641e+001	(-4.09679468819305e+001dB,-9.00063246269606e+001°)
1.34896288259165e+001	(-4.07679468805990e+001dB,-9.00064719464492e+001°)
1.38038426460288e+001	(-4.05679468792047e+001dB,-9.00066226974496e+001°)
1.41253754462275e+001	(-4.03679468777447e+001dB,-9.00067769598920e+001°)
1.44543977074593e+001	(-4.01679468762159e+001dB,-9.00069348155684e+001°)
1.47910838816821e+001	(-3.99679468746151e+001dB,-9.00070963481759e+001°)
1.51356124843621e+001	(-3.97679468729388e+001dB,-9.00072616433615e+001°)
1.54881661891248e+001	(-3.95679468711835e+001dB,-9.00074307887666e+001°)
1.58489319246111e+001	(-3.93679468693454e+001dB,-9.00076038740746e+001°)
1.62181009735893e+001	(-3.91679468674208e+001dB,-9.00077809910575e+001°)
1.65958690743756e+001	(-3.89679468654054e+001dB,-9.00079622336250e+001°)
1.69824365246174e+001	(-3.87679468632951e+001dB,-9.00081476978746e+001°)
1.73780082874937e+001	(-3.85679468610853e+001dB,-9.00083374821417e+001°)
1.77827941003892e+001	(-3.83679468587714e+001dB,-9.00085316870525e+001°)
1.81970085860998e+001	(-3.81679468563484e+001dB,-9.00087304155770e+001°)
1.86208713666287e+001	(-3.79679468538112e+001dB,-9.00089337730838e+001°)
1.90546071796325e+001	(-3.77679468511544e+001dB,-9.00091418673958e+001°)
1.94984459975804e+001	(-3.75679468483725e+001dB,-9.00093548088472e+001°)
1.99526231496888e+001	(-3.73679468454594e+001dB,-9.00095727103426e+001°)
2.04173794466953e+001	(-3.71679468424090e+001dB,-9.00097956874162e+001°)
2.08929613085404e+001	(-3.69679468392149e+001dB,-9.00100238582935e+001°)
2.13796208950223e+001	(-3.67679468358702e+001dB,-9.00102573439537e+001°)
2.18776162394955e+001	(-3.65679468323680e+001dB,-9.00104962681940e+001°)
2.23872113856834e+001	(-3.63679468287006e+001dB,-9.00107407576952e+001°)
2.29086765276777e+001	(-3.61679468248604e+001dB,-9.00109909420891e+001°)
2.34422881531992e+001	(-3.59679468208393e+001dB,-9.00112469540266e+001°)
2.39883291901949e+001	(-3.57679468166286e+001dB,-9.00115089292489e+001°)
2.45470891568503e+001	(-3.55679468122195e+001dB,-9.00117770066586e+001°)
2.51188643150958e+001	(-3.53679468076026e+001dB,-9.00120513283940e+001°)
2.57039578276886e+001	(-3.51679468027681e+001dB,-9.00123320399042e+001°)
2.63026799189538e+001	(-3.49679467977057e+001dB,-9.00126192900263e+001°)
2.69153480392691e+001	(-3.47679467924048e+001dB,-9.00129132310640e+001°)
2.75422870333816e+001	(-3.45679467868540e+001dB,-9.00132140188690e+001°)
2.81838293126445e+001	(-3.43679467810417e+001dB,-9.00135218129230e+001°)
2.88403150312660e+001	(-3.41679467749554e+001dB,-9.00138367764225e+001°)
2.95120922666638e+001	(-3.39679467685823e+001dB,-9.00141590763655e+001°)
3.01995172040201e+001	(-3.37679467619088e+001dB,-9.00144888836398e+001°)
3.09029543251359e+001	(-3.35679467549209e+001dB,-9.00148263731136e+001°)
3.16227766016838e+001	(-3.33679467476035e+001dB,-9.00151717237285e+001°)
3.23593656929628e+001	(-3.31679467399414e+001dB,-9.00155251185941e+001°)
3.31131121482591e+001	(-3.29679467319181e+001dB,-9.00158867450851e+001°)
3.38844156139202e+001	(-3.27679467235167e+001dB,-9.00162567949409e+001°)
3.46736850452531e+001	(-3.25679467147194e+001dB,-9.00166354643668e+001°)
3.54813389233575e+001	(-3.23679467055074e+001dB,-9.00170229541388e+001°)
3.63078054770101e+001	(-3.21679466958613e+001dB,-9.00174194697090e+001°)
3.71535229097172e+001	(-3.19679466857606e+001dB,-9.00178252213156e+001°)
3.80189396320561e+001	(-3.17679466751839e+001dB,-9.00182404240936e+001°)
3.89045144994280e+001	(-3.15679466641087e+001dB,-9.00186652981892e+001°)
3.98107170553497e+001	(-3.13679466525115e+001dB,-9.00191000688766e+001°)
4.07380277804112e+001	(-3.11679466403678e+001dB,-9.00195449666772e+001°)
4.16869383470335e+001	(-3.09679466276518e+001dB,-9.00200002274819e+001°)
4.26579518801592e+001	(-3.07679466143364e+001dB,-9.00204660926764e+001°)
4.36515832240165e+001	(-3.05679466003936e+001dB,-9.00209428092688e+001°)
4.46683592150962e+001	(-3.03679465857936e+001dB,-9.00214306300210e+001°)
4.57088189614874e+001	(-3.01679465705056e+001dB,-9.00219298135823e+001°)
4.67735141287197e+001	(-2.99679465544971e+001dB,-9.00224406246269e+001°)
4.78630092322638e+001	(-2.97679465377341e+001dB,-9.00229633339939e+001°)
4.89778819368445e+001	(-2.95679465201810e+001dB,-9.00234982188312e+001°)
5.01187233627271e+001	(-2.93679465018008e+001dB,-9.00240455627424e+001°)
5.12861383991364e+001	(-2.91679464825543e+001dB,-9.00246056559368e+001°)
5.24807460249772e+001	(-2.89679464624007e+001dB,-9.00251787953840e+001°)
5.37031796370252e+001	(-2.87679464412974e+001dB,-9.00257652849705e+001°)
5.49540873857624e+001	(-2.85679464191995e+001dB,-9.00263654356616e+001°)
5.62341325190348e+001	(-2.83679463960601e+001dB,-9.00269795656657e+001°)
5.75439937337156e+001	(-2.81679463718302e+001dB,-9.00276080006036e+001°)
5.88843655355588e+001	(-2.79679463464584e+001dB,-9.00282510736804e+001°)
6.02559586074357e+001	(-2.77679463198908e+001dB,-9.00289091258628e+001°)
