Freq.	V(vin)/I(V3)
1.00000000000000e+001	(1.24951552491528e+002dB,-8.99893060474407e+001°)
1.02329299228075e+001	(1.24751552493765e+002dB,-8.99890569532755e+001°)
1.04712854805090e+001	(1.24551552496108e+002dB,-8.99888020569606e+001°)
1.07151930523761e+001	(1.24351552498561e+002dB,-8.99885412233603e+001°)
1.09647819614319e+001	(1.24151552501130e+002dB,-8.99882743141745e+001°)
1.12201845430196e+001	(1.23951552503820e+002dB,-8.99880011878893e+001°)
1.14815362149688e+001	(1.23751552506637e+002dB,-8.99877216995966e+001°)
1.17489755493953e+001	(1.23551552509587e+002dB,-8.99874357012288e+001°)
1.20226443461741e+001	(1.23351552512675e+002dB,-8.99871430411628e+001°)
1.23026877081238e+001	(1.23151552515910e+002dB,-8.99868435641520e+001°)
1.25892541179417e+001	(1.22951552519296e+002dB,-8.99865371112970e+001°)
1.28824955169313e+001	(1.22751552522842e+002dB,-8.99862235203961e+001°)
1.31825673855641e+001	(1.22551552526556e+002dB,-8.99859026249512e+001°)
1.34896288259165e+001	(1.22351552530444e+002dB,-8.99855742548790e+001°)
1.38038426460288e+001	(1.22151552534516e+002dB,-8.99852382361226e+001°)
1.41253754462275e+001	(1.21951552538779e+002dB,-8.99848943904885e+001°)
1.44543977074593e+001	(1.21751552543243e+002dB,-8.99845425356188e+001°)
1.47910838816821e+001	(1.21551552547918e+002dB,-8.99841824850247e+001°)
1.51356124843621e+001	(1.21351552552813e+002dB,-8.99838140477999e+001°)
1.54881661891248e+001	(1.21151552557939e+002dB,-8.99834370285500e+001°)
1.58489319246111e+001	(1.20951552563307e+002dB,-8.99830512273743e+001°)
1.62181009735893e+001	(1.20751552568927e+002dB,-8.99826564397337e+001°)
1.65958690743756e+001	(1.20551552574812e+002dB,-8.99822524563083e+001°)
1.69824365246174e+001	(1.20351552580975e+002dB,-8.99818390629041e+001°)
1.73780082874937e+001	(1.20151552587428e+002dB,-8.99814160403329e+001°)
1.77827941003892e+001	(1.19951552594185e+002dB,-8.99809831642994e+001°)
1.81970085860998e+001	(1.19751552601260e+002dB,-8.99805402053028e+001°)
1.86208713666287e+001	(1.19551552608669e+002dB,-8.99800869284383e+001°)
1.90546071796325e+001	(1.19351552616428e+002dB,-8.99796230934219e+001°)
1.94984459975804e+001	(1.19151552624551e+002dB,-8.99791484542921e+001°)
1.99526231496888e+001	(1.18951552633058e+002dB,-8.99786627594193e+001°)
2.04173794466953e+001	(1.18751552641966e+002dB,-8.99781657512439e+001°)
2.08929613085404e+001	(1.18551552651293e+002dB,-8.99776571662358e+001°)
2.13796208950223e+001	(1.18351552661060e+002dB,-8.99771367347813e+001°)
2.18776162394955e+001	(1.18151552671288e+002dB,-8.99766041809362e+001°)
2.23872113856834e+001	(1.17951552681997e+002dB,-8.99760592222897e+001°)
2.29086765276777e+001	(1.17751552693211e+002dB,-8.99755015699511e+001°)
2.34422881531992e+001	(1.17551552704953e+002dB,-8.99749309281797e+001°)
2.39883291901949e+001	(1.17351552717249e+002dB,-8.99743469944911e+001°)
2.45470891568503e+001	(1.17151552730125e+002dB,-8.99737494592446e+001°)
2.51188643150958e+001	(1.16951552743607e+002dB,-8.99731380055892e+001°)
2.57039578276886e+001	(1.16751552757725e+002dB,-8.99725123093630e+001°)
2.63026799189538e+001	(1.16551552772508e+002dB,-8.99718720387955e+001°)
2.69153480392691e+001	(1.16351552787987e+002dB,-8.99712168543812e+001°)
2.75422870333816e+001	(1.16151552804197e+002dB,-8.99705464088106e+001°)
2.81838293126445e+001	(1.15951552821170e+002dB,-8.99698603465412e+001°)
2.88403150312660e+001	(1.15751552838943e+002dB,-8.99691583038203e+001°)
2.95120922666638e+001	(1.15551552857553e+002dB,-8.99684399084018e+001°)
3.01995172040201e+001	(1.15351552877041e+002dB,-8.99677047794373e+001°)
3.09029543251359e+001	(1.15151552897447e+002dB,-8.99669525271131e+001°)
3.16227766016838e+001	(1.14951552918815e+002dB,-8.99661827525716e+001°)
3.23593656929628e+001	(1.14751552941190e+002dB,-8.99653950476907e+001°)
3.31131121482591e+001	(1.14551552964620e+002dB,-8.99645889947827e+001°)
3.38844156139202e+001	(1.14351552989153e+002dB,-8.99637641665097e+001°)
3.46736850452531e+001	(1.14151553014843e+002dB,-8.99629201255133e+001°)
3.54813389233575e+001	(1.13951553041744e+002dB,-8.99620564242747e+001°)
3.63078054770101e+001	(1.13751553069912e+002dB,-8.99611726048562e+001°)
3.71535229097172e+001	(1.13551553099408e+002dB,-8.99602681986393e+001°)
3.80189396320561e+001	(1.13351553130294e+002dB,-8.99593427260853e+001°)
3.89045144994280e+001	(1.13151553162636e+002dB,-8.99583956965073e+001°)
3.98107170553497e+001	(1.12951553196502e+002dB,-8.99574266077671e+001°)
4.07380277804112e+001	(1.12751553231963e+002dB,-8.99564349460755e+001°)
4.16869383470335e+001	(1.12551553269097e+002dB,-8.99554201855885e+001°)
4.26579518801592e+001	(1.12351553307980e+002dB,-8.99543817883021e+001°)
4.36515832240165e+001	(1.12151553348696e+002dB,-8.99533192036301e+001°)
4.46683592150962e+001	(1.11951553391330e+002dB,-8.99522318681947e+001°)
4.57088189614874e+001	(1.11751553435974e+002dB,-8.99511192054572e+001°)
4.67735141287197e+001	(1.11551553482722e+002dB,-8.99499806254659e+001°)
4.78630092322638e+001	(1.11351553531673e+002dB,-8.99488155245478e+001°)
4.89778819368445e+001	(1.11151553582931e+002dB,-8.99476232849337e+001°)
5.01187233627271e+001	(1.10951553636605e+002dB,-8.99464032745044e+001°)
