time	V(p001)	V(vi_op)	V(vin)	V(vo_op)	V(n005)	V(n006)
0.000000000000000e+000	8.633719e-013	4.500000e+000	0.000000e+000	4.499994e+000	5.033724e-013	4.494396e-013
5.937929760009887e-008	-2.340667e-008	4.500037e+000	3.730913e-005	4.499994e+000	-1.387383e-007	-2.154032e-008
1.187585952001977e-007	1.317995e-005	4.500075e+000	7.461823e-005	4.500007e+000	1.436330e-006	-9.610914e-009
1.781378928002966e-007	3.961006e-005	4.500112e+000	1.119273e-004	4.500034e+000	4.725205e-006	3.578868e-008
2.375171904003955e-007	7.926694e-005	4.500149e+000	1.492364e-004	4.500073e+000	9.727886e-006	1.146585e-007
2.968964880004944e-007	1.321506e-004	4.500187e+000	1.865454e-004	4.500126e+000	1.644438e-005	2.269984e-007
3.562757856005932e-007	1.982610e-004	4.500224e+000	2.238545e-004	4.500192e+000	2.487467e-005	3.728086e-007
4.156550832006920e-007	2.775981e-004	4.500261e+000	2.611635e-004	4.500272e+000	3.501877e-005	5.520889e-007
5.219635974443801e-007	4.701786e-004	4.500328e+000	3.279588e-004	4.500464e+000	6.008705e-005	1.166614e-006
6.370094020296115e-007	7.421526e-004	4.500400e+000	4.002437e-004	4.500737e+000	9.588017e-005	2.265471e-006
7.675108350157276e-007	1.131045e-003	4.500482e+000	4.822394e-004	4.501125e+000	1.476058e-004	4.240067e-006
9.365625648547818e-007	1.755078e-003	4.500588e+000	5.884562e-004	4.501750e+000	2.315437e-004	8.212054e-006
1.144626904761213e-006	2.699345e-003	4.500719e+000	7.191841e-004	4.502694e+000	3.602052e-004	1.579189e-005
1.414149114187283e-006	4.195891e-003	4.500888e+000	8.885244e-004	4.504190e+000	5.672606e-004	3.100884e-005
1.752976061751629e-006	6.486065e-003	4.501101e+000	1.101405e-003	4.506481e+000	8.901033e-004	6.068366e-005
2.194047997775116e-006	1.009781e-002	4.501379e+000	1.378517e-003	4.510092e+000	1.411170e-003	1.205860e-004
2.760428665479233e-006	1.568834e-002	4.501734e+000	1.734341e-003	4.515683e+000	2.241517e-003	2.399411e-004
3.506141406006700e-006	2.451633e-002	4.502203e+000	2.202795e-003	4.524511e+000	3.601668e-003	4.838068e-004
4.485729976449996e-006	3.834436e-002	4.502818e+000	2.818094e-003	4.538340e+000	5.833638e-003	9.813542e-004
5.802375592460038e-006	6.035239e-002	4.503644e+000	3.644933e-003	4.560348e+000	9.602477e-003	2.020865e-003
7.592713718377462e-006	9.545561e-002	4.504767e+000	4.768834e-003	4.595453e+000	1.608801e-002	4.222471e-003
1.011558564237771e-005	1.527229e-001	4.506349e+000	6.351531e-003	4.652724e+000	2.776740e-002	9.075790e-003
1.385346930645148e-005	2.491046e-001	4.508687e+000	8.693404e-003	4.749114e+000	5.024057e-002	2.048166e-002
2.013939907122881e-005	4.268654e-001	4.512605e+000	1.262022e-002	4.926898e+000	9.894041e-002	4.987784e-002
2.859674620081780e-005	6.773211e-001	4.517840e+000	1.787134e-002	5.177399e+000	1.799987e-001	1.059725e-001
3.836237120081780e-005	9.676074e-001	4.523820e+000	2.387106e-002	5.467758e+000	2.851295e-001	1.880161e-001
4.812799620081780e-005	1.249853e+000	4.529708e+000	2.978094e-002	5.750098e+000	3.805441e-001	2.756201e-001
5.789362120081781e-005	1.520073e+000	4.535487e+000	3.557873e-002	6.020435e+000	4.451429e-001	3.509538e-001
6.619473246258666e-005	1.738673e+000	4.540290e+000	4.040260e-002	6.239157e+000	4.741196e-001	3.945589e-001
7.500395644200921e-005	1.958384e+000	4.545257e+000	4.540126e-002	6.459018e+000	4.898326e-001	4.211620e-001
8.476958144200921e-005	2.187679e+000	4.550597e+000	5.077947e-002	6.688507e+000	5.005860e-001	4.378173e-001
9.453520644200920e-005	2.401432e+000	4.555748e+000	5.596656e-002	6.902479e+000	5.080793e-001	4.478326e-001
1.043008314420092e-004	2.598621e+000	4.560685e+000	6.094300e-002	7.099911e+000	5.137373e-001	4.545221e-001
1.140664564420092e-004	2.778715e+000	4.565391e+000	6.569006e-002	7.280270e+000	5.183110e-001	4.595088e-001
1.238320814420092e-004	2.941245e+000	4.569846e+000	7.018989e-002	7.443085e+000	5.220743e-001	4.634805e-001
1.335977064420092e-004	3.085762e+000	4.574035e+000	7.442553e-002	7.587906e+000	5.251771e-001	4.667247e-001
1.433633314420092e-004	3.211890e+000	4.577942e+000	7.838105e-002	7.714355e+000	5.277243e-001	4.693896e-001
1.531289564420092e-004	3.319353e+000	4.581552e+000	8.204157e-002	7.822152e+000	5.297908e-001	4.715688e-001
1.628945814420092e-004	3.407948e+000	4.584851e+000	8.539329e-002	7.911093e+000	5.314308e-001	4.733270e-001
1.726602064420092e-004	3.477539e+000	4.587828e+000	8.842362e-002	7.981039e+000	5.326840e-001	4.747108e-001
1.824258314420092e-004	3.528053e+000	4.590470e+000	9.112114e-002	8.031916e+000	5.335791e-001	4.757537e-001
1.921914564420093e-004	3.559485e+000	4.592768e+000	9.347570e-002	8.063715e+000	5.341364e-001	4.764800e-001
2.019570814420093e-004	3.571893e+000	4.594713e+000	9.547844e-002	8.076493e+000	5.343692e-001	4.769065e-001
2.117227064420093e-004	3.565404e+000	4.596299e+000	9.712182e-002	8.070374e+000	5.342851e-001	4.770440e-001
2.214883314420093e-004	3.540209e+000	4.597518e+000	9.839965e-002	8.045547e+000	5.338857e-001	4.768979e-001
2.312539564420093e-004	3.496564e+000	4.598367e+000	9.930713e-002	8.002267e+000	5.331680e-001	4.764688e-001
2.410195814420093e-004	3.434791e+000	4.598842e+000	9.984085e-002	7.940852e+000	5.321231e-001	4.757526e-001
2.507852064420093e-004	3.355276e+000	4.598941e+000	9.999878e-002	7.861687e+000	5.307361e-001	4.747399e-001
2.605508314420093e-004	3.258467e+000	4.598664e+000	9.978034e-002	7.765216e+000	5.289857e-001	4.734159e-001
2.703164564420093e-004	3.144874e+000	4.598012e+000	9.918635e-002	7.651949e+000	5.268419e-001	4.717592e-001
