time	V(vo_op)
0.000000000000000e+000	4.499994e+000
5.937913226178369e-008	4.499994e+000
1.187582645235674e-007	4.500007e+000
1.781373967853511e-007	4.500034e+000
2.375165290471348e-007	4.500073e+000
2.968956613089185e-007	4.500126e+000
3.562747935707021e-007	4.500192e+000
4.156539258324857e-007	4.500272e+000
5.219624034783151e-007	4.500464e+000
6.370082757436243e-007	4.500737e+000
7.675093728619732e-007	4.501125e+000
9.365607519197397e-007	4.501750e+000
1.144624482852178e-006	4.502694e+000
1.414146148972949e-006	4.504190e+000
1.752972134950416e-006	4.506481e+000
2.194043070779091e-006	4.510092e+000
2.760422129390348e-006	4.515683e+000
3.506132951501676e-006	4.524511e+000
4.485718614609461e-006	4.538340e+000
5.802360401793925e-006	4.560348e+000
7.592692609389658e-006	4.595453e+000
1.011555552763926e-005	4.652723e+000
1.385342266844780e-005	4.749113e+000
2.013931233399036e-005	4.926895e+000
2.859665233192515e-005	5.177396e+000
3.836227733192516e-005	5.467755e+000
4.812790233192516e-005	5.750095e+000
5.789352733192516e-005	6.020432e+000
6.619465794990041e-005	6.239155e+000
7.500389726839434e-005	6.459017e+000
8.476952226839433e-005	6.688506e+000
9.453514726839433e-005	6.902477e+000
1.043007722683943e-004	7.099909e+000
1.140663972683943e-004	7.280269e+000
1.238320222683943e-004	7.443084e+000
1.335976472683943e-004	7.587905e+000
1.433632722683943e-004	7.714354e+000
1.531288972683943e-004	7.822151e+000
1.628945222683944e-004	7.911092e+000
1.726601472683944e-004	7.981039e+000
1.824257722683944e-004	8.031915e+000
1.921913972683944e-004	8.063714e+000
2.019570222683944e-004	8.076492e+000
2.117226472683944e-004	8.070374e+000
2.214882722683944e-004	8.045547e+000
2.312538972683944e-004	8.002267e+000
2.410195222683944e-004	7.940852e+000
2.507851472683944e-004	7.861687e+000
2.605507722683944e-004	7.765217e+000
2.703163972683944e-004	7.651950e+000
2.800820222683945e-004	7.522454e+000
2.898476472683945e-004	7.377354e+000
2.996132722683945e-004	7.217320e+000
3.093788972683945e-004	7.043044e+000
3.191445222683945e-004	6.855267e+000
3.289101472683945e-004	6.654823e+000
3.386757722683945e-004	6.442602e+000
3.484413972683945e-004	6.219515e+000
3.582070222683945e-004	5.986505e+000
3.679726472683945e-004	5.744540e+000
3.777382722683945e-004	5.494607e+000
3.875038972683946e-004	5.237701e+000
3.972695222683946e-004	4.974850e+000
4.070351472683946e-004	4.707161e+000
4.168007722683946e-004	4.435824e+000
4.265663972683946e-004	4.162029e+000
4.363320222683946e-004	3.886909e+000
4.460976472683946e-004	3.611585e+000
4.558632722683946e-004	3.337197e+000
4.641061161518860e-004	3.107424e+000
4.726574255284670e-004	2.871511e+000
4.798669036006259e-004	2.674812e+000
4.877378928687326e-004	2.462999e+000
4.975035178687327e-004	2.204883e+000
5.072691428687327e-004	1.952816e+000
5.170347678687327e-004	1.708093e+000
5.268003928687327e-004	1.471715e+000
5.365660178687327e-004	1.244716e+000
5.380043630966554e-004	1.211360e+000
5.394427083245781e-004	1.178361e+000
5.408810535525009e-004	1.145719e+000
5.423193987804235e-004	1.113435e+000
5.437577440083462e-004	1.081509e+000
5.451960892362689e-004	1.049940e+000
5.466344344641917e-004	1.018728e+000
5.469396102454417e-004	1.012151e+000
5.475499618079417e-004	9.990517e-001
5.487706649329417e-004	9.730139e-001
5.502863493808304e-004	9.409235e-001
5.518725864107041e-004	9.076216e-001
5.527217455715653e-004	8.899447e-001
5.533788772019481e-004	8.763385e-001
5.540650034938470e-004	8.621817e-001
5.549822840073401e-004	8.440077e-001
5.556882987067767e-004	8.325386e-001
5.566231305973057e-004	8.215698e-001
5.574984454801855e-004	8.132737e-001
5.584215879998020e-004	8.053518e-001
5.602678730390349e-004	7.903337e-001
5.633423616245628e-004	7.640014e-001
5.666486134474926e-004	7.293854e-001
5.704881141554526e-004	6.786540e-001
5.761823274635244e-004	5.920802e-001
5.820862945219061e-004	4.980274e-001
5.900066014790934e-004	3.772917e-001
5.941970081952315e-004	3.285741e-001
5.984183217261242e-004	3.014828e-001
6.024191835172640e-004	2.898298e-001
6.066646169594058e-004	2.838877e-001
6.110857328698576e-004	2.802512e-001
6.189629620566119e-004	2.762993e-001
6.287285870566119e-004	2.734442e-001
6.384942120566119e-004	2.719377e-001
6.482598370566120e-004	2.711508e-001
6.580254620566120e-004	2.707184e-001
6.775567120566120e-004	2.703534e-001
6.970879620566120e-004	2.702951e-001
7.166192120566120e-004	2.705745e-001
7.361504620566120e-004	2.719979e-001
7.459160870566120e-004	2.740226e-001
7.556817120566120e-004	2.784726e-001
7.654473370566121e-004	2.893340e-001
7.752129620566121e-004	3.159897e-001
7.819474408631575e-004	3.614248e-001
7.899613562652261e-004	4.601373e-001
7.974706432497587e-004	5.869090e-001
8.040747679928612e-004	7.130550e-001
8.072105352893590e-004	7.676724e-001
8.096345525574856e-004	7.985826e-001
8.120394204648905e-004	8.201450e-001
8.135382750516305e-004	8.323543e-001
8.146642886390665e-004	8.440314e-001
8.158353310138548e-004	8.595853e-001
8.168472976533742e-004	8.746411e-001
8.178099569759906e-004	8.900318e-001
8.186243045273687e-004	9.038187e-001
8.193417075076575e-004	9.165315e-001
8.200901464793340e-004	9.303291e-001
8.211184467991237e-004	9.499989e-001
8.223225988234072e-004	9.739153e-001
8.235388665765673e-004	9.990288e-001
8.250554517328611e-004	1.031442e+000
8.263223614611178e-004	1.059373e+000
8.302984126304596e-004	1.151362e+000
8.346505350340434e-004	1.258010e+000
8.433547798412110e-004	1.481064e+000
8.531204048412110e-004	1.741999e+000
8.628860298412110e-004	2.012624e+000
8.726516548412110e-004	2.291258e+000
8.824172798412110e-004	2.576555e+000
8.921829048412110e-004	2.867359e+000
9.019485298412110e-004	3.162605e+000
9.117141548412110e-004	3.461259e+000
9.214797798412110e-004	3.762301e+000
9.312454048412110e-004	4.064692e+000
9.410110298412111e-004	4.367293e+000
9.507766548412111e-004	4.668881e+000
9.605422798412111e-004	4.968271e+000
9.703079048412111e-004	5.264363e+000
9.800735298412110e-004	5.556032e+000
9.898391548412110e-004	5.842200e+000
9.982870916897071e-004	6.084383e+000
1.005754437893775e-003	6.293648e+000
1.013658433873735e-003	6.509816e+000
1.023424058873735e-003	6.769308e+000
1.033189683873735e-003	7.019736e+000
1.042955308873735e-003	7.259715e+000
1.052720933873735e-003	7.488340e+000
1.062486558873735e-003	7.704699e+000
1.072252183873735e-003	7.907924e+000
1.082017808873735e-003	8.097307e+000
1.085733451696233e-003	8.158772e+000
1.087722117106163e-003	8.181667e+000
1.089671577821001e-003	8.195857e+000
1.091673793758804e-003	8.206103e+000
1.093620823147880e-003	8.213733e+000
1.095878448640997e-003	8.221169e+000
1.098105414547983e-003	8.227394e+000
1.100514363591402e-003	8.233243e+000
1.103198353746253e-003	8.239035e+000
1.108566334055955e-003	8.249073e+000
1.113698315575905e-003	8.256975e+000
1.121487596571113e-003	8.266506e+000
1.129060963135320e-003	8.273702e+000
1.138826588135320e-003	8.280624e+000
1.148592213135320e-003	8.285753e+000
1.158357838135320e-003	8.289448e+000
1.168123463135320e-003	8.292054e+000
1.187654713135320e-003	8.294688e+000
1.207185963135320e-003	8.294284e+000
1.226717213135320e-003	8.290558e+000
1.236482838135320e-003	8.287053e+000
1.246248463135320e-003	8.281982e+000
1.256014088135320e-003	8.274703e+000
1.265779713135320e-003	8.264224e+000
1.275545338135320e-003	8.249124e+000
1.285310963135320e-003	8.226593e+000
1.293835196705025e-003	8.196524e+000
1.300080659784420e-003	8.162107e+000
1.303800602342870e-003	8.127961e+000
1.307327937682958e-003	8.079935e+000
1.310790818495117e-003	8.020727e+000
1.315652987320430e-003	7.925218e+000
1.321793256612675e-003	7.792029e+000
1.330919700144843e-003	7.578617e+000
1.340685325144843e-003	7.337157e+000
1.350450950144843e-003	7.084620e+000
1.360216575144843e-003	6.822741e+000
1.369982200144843e-003	6.552766e+000
1.379747825144843e-003	6.275809e+000
1.389513450144843e-003	5.992921e+000
1.399279075144843e-003	5.705138e+000
1.409044700144843e-003	5.413482e+000
1.418810325144843e-003	5.118970e+000
1.428575950144843e-003	4.822680e+000
1.438341575144843e-003	4.525789e+000
1.448107200144843e-003	4.229517e+000
1.457872825144843e-003	3.935017e+000
1.467638450144843e-003	3.643379e+000
1.477404075144843e-003	3.355591e+000
1.485842211826330e-003	3.111255e+000
1.494658341033255e-003	2.860909e+000
1.501636469128721e-003	2.666623e+000
1.509308842678893e-003	2.457740e+000
