Freq.	V(v4)
1.00000000000000e+005	(-6.05460224169261e+000dB,2.41428054081718e+000°)
1.00230523807790e+005	(-6.05443007764200e+000dB,2.41704118409170e+000°)
1.00461579027840e+005	(-6.05425730074326e+000dB,2.41981423834485e+000°)
1.00693166885180e+005	(-6.05408390736679e+000dB,2.42259971535510e+000°)
1.00925288607668e+005	(-6.05390989386931e+000dB,2.42539762694589e+000°)
1.01157945425990e+005	(-6.05373525659600e+000dB,2.42820798498925e+000°)
1.01391138573668e+005	(-6.05355999187848e+000dB,2.43103080140169e+000°)
1.01624869287070e+005	(-6.05338409603479e+000dB,2.43386608814820e+000°)
1.01859138805412e+005	(-6.05320756537148e+000dB,2.43671385723836e+000°)
1.02093948370768e+005	(-6.05303039618040e+000dB,2.43957412072914e+000°)
1.02329299228075e+005	(-6.05285258474133e+000dB,2.44244689072389e+000°)
1.02565192625141e+005	(-6.05267412732037e+000dB,2.44533217937036e+000°)
1.02801629812647e+005	(-6.05249502017040e+000dB,2.44822999886501e+000°)
1.03038612044162e+005	(-6.05231525953065e+000dB,2.45114036144827e+000°)
1.03276140576140e+005	(-6.05213484162715e+000dB,2.45406327940703e+000°)
1.03514216667934e+005	(-6.05195376267220e+000dB,2.45699876507420e+000°)
1.03752841581801e+005	(-6.05177201886462e+000dB,2.45994683082820e+000°)
1.03992016582906e+005	(-6.05158960638917e+000dB,2.46290748909342e+000°)
1.04231742939330e+005	(-6.05140652141744e+000dB,2.46588075233979e+000°)
1.04472021922080e+005	(-6.05122276010648e+000dB,2.46886663308169e+000°)
1.04712854805090e+005	(-6.05103831859982e+000dB,2.47186514388088e+000°)
1.04954242865232e+005	(-6.05085319302663e+000dB,2.47487629734235e+000°)
1.05196187382322e+005	(-6.05066737950259e+000dB,2.47790010611852e+000°)
1.05438689639126e+005	(-6.05048087412825e+000dB,2.48093658290364e+000°)
1.05681750921366e+005	(-6.05029367299069e+000dB,2.48398574044100e+000°)
1.05925372517729e+005	(-6.05010577216223e+000dB,2.48704759151596e+000°)
1.06169555719872e+005	(-6.04991716770125e+000dB,2.49012214896023e+000°)
1.06414301822431e+005	(-6.04972785565106e+000dB,2.49320942564919e+000°)
1.06659612123026e+005	(-6.04953783204062e+000dB,2.49630943450406e+000°)
1.06905487922266e+005	(-6.04934709288428e+000dB,2.49942218848961e+000°)
1.07151930523760e+005	(-6.04915563418135e+000dB,2.50254770061596e+000°)
1.07398941234124e+005	(-6.04896345191670e+000dB,2.50568598393688e+000°)
1.07646521362983e+005	(-6.04877054206005e+000dB,2.50883705155074e+000°)
1.07894672222983e+005	(-6.04857690056658e+000dB,2.51200091660093e+000°)
1.08143395129794e+005	(-6.04838252337558e+000dB,2.51517759227356e+000°)
1.08392691402120e+005	(-6.04818740641198e+000dB,2.51836709179982e+000°)
1.08642562361706e+005	(-6.04799154558495e+000dB,2.52156942845476e+000°)
1.08893009333343e+005	(-6.04779493678856e+000dB,2.52478461555603e+000°)
1.09144033644875e+005	(-6.04759757590136e+000dB,2.52801266646677e+000°)
1.09395636627209e+005	(-6.04739945878662e+000dB,2.53125359459247e+000°)
1.09647819614318e+005	(-6.04720058129194e+000dB,2.53450741338276e+000°)
1.09900583943252e+005	(-6.04700093924913e+000dB,2.53777413633066e+000°)
1.10153930954141e+005	(-6.04680052847442e+000dB,2.54105377697155e+000°)
1.10407861990207e+005	(-6.04659934476834e+000dB,2.54434634888582e+000°)
1.10662378397766e+005	(-6.04639738391495e+000dB,2.54765186569517e+000°)
1.10917481526240e+005	(-6.04619464168312e+000dB,2.55097034106534e+000°)
1.11173172728159e+005	(-6.04599111382500e+000dB,2.55430178870497e+000°)
1.11429453359173e+005	(-6.04578679607689e+000dB,2.55764622236501e+000°)
1.11686324778056e+005	(-6.04558168415879e+000dB,2.56100365583876e+000°)
1.11943788346715e+005	(-6.04537577377444e+000dB,2.56437410296388e+000°)
1.12201845430196e+005	(-6.04516906061089e+000dB,2.56775757761819e+000°)
1.12460497396692e+005	(-6.04496154033883e+000dB,2.57115409372277e+000°)
1.12719745617551e+005	(-6.04475320861228e+000dB,2.57456366524197e+000°)
1.12979591467279e+005	(-6.04454406106903e+000dB,2.57798630618009e+000°)
1.13240036323555e+005	(-6.04433409332937e+000dB,2.58142203058513e+000°)
1.13501081567231e+005	(-6.04412330099734e+000dB,2.58487085254691e+000°)
1.13762728582343e+005	(-6.04391167965951e+000dB,2.58833278619596e+000°)
1.14024978756117e+005	(-6.04369922488591e+000dB,2.59180784570558e+000°)
1.14287833478977e+005	(-6.04348593222931e+000dB,2.59529604528997e+000°)
1.14551294144553e+005	(-6.04327179722488e+000dB,2.59879739920436e+000°)
1.14815362149688e+005	(-6.04305681539098e+000dB,2.60231192174614e+000°)
1.15080038894443e+005	(-6.04284098222825e+000dB,2.60583962725360e+000°)
1.15345325782109e+005	(-6.04262429322004e+000dB,2.60938053010546e+000°)
1.15611224219210e+005	(-6.04240674383189e+000dB,2.61293464472224e+000°)
1.15877735615512e+005	(-6.04218832951216e+000dB,2.61650198556443e+000°)
1.16144861384034e+005	(-6.04196904569092e+000dB,2.62008256713366e+000°)
1.16412602941049e+005	(-6.04174888778043e+000dB,2.62367640397268e+000°)
1.16680961706096e+005	(-6.04152785117533e+000dB,2.62728351066291e+000°)
1.16949939101987e+005	(-6.04130593125201e+000dB,2.63090390182718e+000°)
1.17219536554813e+005	(-6.04108312336874e+000dB,2.63453759212916e+000°)
1.17489755493953e+005	(-6.04085942286572e+000dB,2.63818459627078e+000°)
1.17760597352080e+005	(-6.04063482506448e+000dB,2.64184492899537e+000°)
1.18032063565173e+005	(-6.04040932526843e+000dB,2.64551860508483e+000°)
1.18304155572516e+005	(-6.04018291876293e+000dB,2.64920563936199e+000°)
1.18576874816716e+005	(-6.03995560081359e+000dB,2.65290604668757e+000°)
1.18850222743701e+005	(-6.03972736666813e+000dB,2.65661984196311e+000°)
1.19124200802737e+005	(-6.03949821155537e+000dB,2.66034704012780e+000°)
1.19398810446427e+005	(-6.03926813068531e+000dB,2.66408765616146e+000°)
1.19674053130724e+005	(-6.03903711924885e+000dB,2.66784170508140e+000°)
1.19949930314937e+005	(-6.03880517241758e+000dB,2.67160920194509e+000°)
1.20226443461741e+005	(-6.03857228534453e+000dB,2.67539016184686e+000°)
1.20503594037179e+005	(-6.03833845316282e+000dB,2.67918459992168e+000°)
1.20781383510678e+005	(-6.03810367098643e+000dB,2.68299253133997e+000°)
1.21059813355048e+005	(-6.03786793391012e+000dB,2.68681397131329e+000°)
1.21338885046497e+005	(-6.03763123700874e+000dB,2.69064893508935e+000°)
1.21618600064636e+005	(-6.03739357533788e+000dB,2.69449743795460e+000°)
1.21898959892486e+005	(-6.03715494393278e+000dB,2.69835949523279e+000°)
1.22179966016487e+005	(-6.03691533780940e+000dB,2.70223512228406e+000°)
1.22461619926504e+005	(-6.03667475196333e+000dB,2.70612433450863e+000°)
1.22743923115840e+005	(-6.03643318137068e+000dB,2.71002714734246e+000°)
1.23026877081238e+005	(-6.03619062098646e+000dB,2.71394357625766e+000°)
1.23310483322890e+005	(-6.03594706574640e+000dB,2.71787363676531e+000°)
1.23594743344450e+005	(-6.03570251056520e+000dB,2.72181734441159e+000°)
1.23879658653036e+005	(-6.03545695033751e+000dB,2.72577471477951e+000°)
1.24165230759240e+005	(-6.03521037993717e+000dB,2.72974576348956e+000°)
1.24451461177138e+005	(-6.03496279421734e+000dB,2.73373050619718e+000°)
1.24738351424294e+005	(-6.03471418801055e+000dB,2.73772895859455e+000°)
1.25025903021771e+005	(-6.03446455612868e+000dB,2.74174113641056e+000°)
1.25314117494141e+005	(-6.03421389336225e+000dB,2.74576705540841e+000°)
1.25602996369487e+005	(-6.03396219448053e+000dB,2.74980673138744e+000°)
1.25892541179416e+005	(-6.03370945423236e+000dB,2.75386018018263e+000°)
1.26182753459066e+005	(-6.03345566734461e+000dB,2.75792741766475e+000°)
1.26473634747114e+005	(-6.03320082852303e+000dB,2.76200845973687e+000°)
1.26765186585784e+005	(-6.03294493245204e+000dB,2.76610332234152e+000°)
1.27057410520853e+005	(-6.03268797379413e+000dB,2.77021202145253e+000°)
1.27350308101665e+005	(-6.03242994719016e+000dB,2.77433457307840e+000°)
1.27643880881134e+005	(-6.03217084725936e+000dB,2.77847099326347e+000°)
1.27938130415752e+005	(-6.03191066859914e+000dB,2.78262129808546e+000°)
1.28233058265601e+005	(-6.03164940578432e+000dB,2.78678550365655e+000°)
1.28528665994361e+005	(-6.03138705336837e+000dB,2.79096362612181e+000°)
1.28824955169313e+005	(-6.03112360588191e+000dB,2.79515568166044e+000°)
1.29121927361353e+005	(-6.03085905783316e+000dB,2.79936168648461e+000°)
1.29419584144998e+005	(-6.03059340370832e+000dB,2.80358165684092e+000°)
1.29717927098395e+005	(-6.03032663797116e+000dB,2.80781560900729e+000°)
1.30016957803328e+005	(-6.03005875506206e+000dB,2.81206355929617e+000°)
1.30316677845229e+005	(-6.02978974939931e+000dB,2.81632552405130e+000°)
1.30617088813183e+005	(-6.02951961537773e+000dB,2.82060151964935e+000°)
1.30918192299940e+005	(-6.02924834736976e+000dB,2.82489156250002e+000°)
1.31219989901919e+005	(-6.02897593972398e+000dB,2.82919566904321e+000°)
1.31522483219223e+005	(-6.02870238676654e+000dB,2.83351385575215e+000°)
1.31825673855640e+005	(-6.02842768279968e+000dB,2.83784613913134e+000°)
1.32129563418657e+005	(-6.02815182210224e+000dB,2.84219253571640e+000°)
1.32434153519466e+005	(-6.02787479893007e+000dB,2.84655306207522e+000°)
1.32739445772973e+005	(-6.02759660751444e+000dB,2.85092773480452e+000°)
1.33045441797808e+005	(-6.02731724206342e+000dB,2.85531657053328e+000°)
1.33352143216332e+005	(-6.02703669676108e+000dB,2.85971958592131e+000°)
1.33659551654643e+005	(-6.02675496576764e+000dB,2.86413679765880e+000°)
1.33967668742593e+005	(-6.02647204321871e+000dB,2.86856822246451e+000°)
1.34276496113785e+005	(-6.02618792322606e+000dB,2.87301387708889e+000°)
1.34586035405594e+005	(-6.02590259987687e+000dB,2.87747377831099e+000°)
1.34896288259164e+005	(-6.02561606723404e+000dB,2.88194794294030e+000°)
