Freq.	V(vi)/((-1)*I(Vii))
1.00000000000000e+001	(1.30539806853179e+002dB,-8.87440598784462e+001°)
1.00230523807790e+001	(1.30519820173396e+002dB,-8.87483445560544e+001°)
1.00461579027840e+001	(1.30499833419028e+002dB,-8.87526226134972e+001°)
1.00693166885180e+001	(1.30479846590355e+002dB,-8.87568940732968e+001°)
1.00925288607668e+001	(1.30459859687654e+002dB,-8.87611589580539e+001°)
1.01157945425990e+001	(1.30439872711203e+002dB,-8.87654172902029e+001°)
1.01391138573668e+001	(1.30419885661278e+002dB,-8.87696690922807e+001°)
1.01624869287070e+001	(1.30399898538153e+002dB,-8.87739143866728e+001°)
1.01859138805412e+001	(1.30379911342099e+002dB,-8.87781531957630e+001°)
1.02093948370768e+001	(1.30359924073389e+002dB,-8.87823855419324e+001°)
1.02329299228075e+001	(1.30339936732290e+002dB,-8.87866114475535e+001°)
1.02565192625141e+001	(1.30319949319072e+002dB,-8.87908309348772e+001°)
1.02801629812647e+001	(1.30299961834000e+002dB,-8.87950440261859e+001°)
1.03038612044162e+001	(1.30279974277339e+002dB,-8.87992507436703e+001°)
1.03276140576140e+001	(1.30259986649352e+002dB,-8.88034511095917e+001°)
1.03514216667934e+001	(1.30239998950302e+002dB,-8.88076451460632e+001°)
1.03752841581801e+001	(1.30220011180448e+002dB,-8.88118328753069e+001°)
1.03992016582906e+001	(1.30200023340049e+002dB,-8.88160143192808e+001°)
1.04231742939330e+001	(1.30180035429363e+002dB,-8.88201895001812e+001°)
1.04472021922080e+001	(1.30160047448645e+002dB,-8.88243584399297e+001°)
1.04712854805090e+001	(1.30140059398150e+002dB,-8.88285211606591e+001°)
1.04954242865232e+001	(1.30120071278130e+002dB,-8.88326776842271e+001°)
1.05196187382322e+001	(1.30100083088837e+002dB,-8.88368280326509e+001°)
1.05438689639126e+001	(1.30080094830521e+002dB,-8.88409722277624e+001°)
1.05681750921366e+001	(1.30060106503429e+002dB,-8.88451102914863e+001°)
1.05925372517729e+001	(1.30040118107810e+002dB,-8.88492422456604e+001°)
1.06169555719872e+001	(1.30020129643909e+002dB,-8.88533681120803e+001°)
1.06414301822431e+001	(1.30000141111969e+002dB,-8.88574879125331e+001°)
1.06659612123026e+001	(1.29980152512234e+002dB,-8.88616016687623e+001°)
1.06905487922266e+001	(1.29960163844944e+002dB,-8.88657094024821e+001°)
1.07151930523761e+001	(1.29940175110340e+002dB,-8.88698111353670e+001°)
1.07398941234124e+001	(1.29920186308660e+002dB,-8.88739068891247e+001°)
1.07646521362983e+001	(1.29900197440141e+002dB,-8.88779966852804e+001°)
1.07894672222983e+001	(1.29880208505018e+002dB,-8.88820805454791e+001°)
1.08143395129794e+001	(1.29860219503526e+002dB,-8.88861584913088e+001°)
1.08392691402120e+001	(1.29840230435896e+002dB,-8.88902305442429e+001°)
1.08642562361706e+001	(1.29820241302362e+002dB,-8.88942967258563e+001°)
1.08893009333343e+001	(1.29800252103152e+002dB,-8.88983570575361e+001°)
1.09144033644875e+001	(1.29780262838495e+002dB,-8.89024115607363e+001°)
1.09395636627209e+001	(1.29760273508618e+002dB,-8.89064602568948e+001°)
1.09647819614318e+001	(1.29740284113748e+002dB,-8.89105031673707e+001°)
1.09900583943252e+001	(1.29720294654108e+002dB,-8.89145403135304e+001°)
1.10153930954141e+001	(1.29700305129921e+002dB,-8.89185717166746e+001°)
1.10407861990207e+001	(1.29680315541410e+002dB,-8.89225973980673e+001°)
1.10662378397766e+001	(1.29660325888794e+002dB,-8.89266173790055e+001°)
1.10917481526240e+001	(1.29640336172293e+002dB,-8.89306316806770e+001°)
1.11173172728159e+001	(1.29620346392125e+002dB,-8.89346403243344e+001°)
1.11429453359173e+001	(1.29600356548504e+002dB,-8.89386433311203e+001°)
1.11686324778056e+001	(1.29580366641647e+002dB,-8.89426407221699e+001°)
1.11943788346715e+001	(1.29560376671767e+002dB,-8.89466325185594e+001°)
1.12201845430196e+001	(1.29540386639076e+002dB,-8.89506187413941e+001°)
1.12460497396692e+001	(1.29520396543786e+002dB,-8.89545994117883e+001°)
1.12719745617551e+001	(1.29500406386105e+002dB,-8.89585745506977e+001°)
1.12979591467279e+001	(1.29480416166243e+002dB,-8.89625441791515e+001°)
1.13240036323555e+001	(1.29460425884405e+002dB,-8.89665083180473e+001°)
1.13501081567231e+001	(1.29440435540799e+002dB,-8.89704669884283e+001°)
1.13762728582343e+001	(1.29420445135627e+002dB,-8.89744202111085e+001°)
1.14024978756117e+001	(1.29400454669094e+002dB,-8.89783680070317e+001°)
1.14287833478977e+001	(1.29380464141401e+002dB,-8.89823103970086e+001°)
1.14551294144553e+001	(1.29360473552748e+002dB,-8.89862474019002e+001°)
1.14815362149688e+001	(1.29340482903335e+002dB,-8.89901790424424e+001°)
1.15080038894443e+001	(1.29320492193360e+002dB,-8.89941053394839e+001°)
1.15345325782109e+001	(1.29300501423018e+002dB,-8.89980263137064e+001°)
1.15611224219210e+001	(1.29280510592506e+002dB,-8.90019419858254e+001°)
1.15877735615512e+001	(1.29260519702018e+002dB,-8.90058523765432e+001°)
1.16144861384034e+001	(1.29240528751746e+002dB,-8.90097575065215e+001°)
1.16412602941049e+001	(1.29220537741882e+002dB,-8.90136573963761e+001°)
1.16680961706096e+001	(1.29200546672616e+002dB,-8.90175520667349e+001°)
1.16949939101987e+001	(1.29180555544138e+002dB,-8.90214415381164e+001°)
1.17219536554813e+001	(1.29160564356634e+002dB,-8.90253258311346e+001°)
1.17489755493953e+001	(1.29140573110292e+002dB,-8.90292049662660e+001°)
1.17760597352080e+001	(1.29120581805297e+002dB,-8.90330789640411e+001°)
1.18032063565173e+001	(1.29100590441832e+002dB,-8.90369478449010e+001°)
1.18304155572516e+001	(1.29080599020081e+002dB,-8.90408116292815e+001°)
1.18576874816716e+001	(1.29060607540226e+002dB,-8.90446703376122e+001°)
1.18850222743701e+001	(1.29040616002446e+002dB,-8.90485239902849e+001°)
1.19124200802737e+001	(1.29020624406920e+002dB,-8.90523726076792e+001°)
1.19398810446427e+001	(1.29000632753827e+002dB,-8.90562162100702e+001°)
1.19674053130724e+001	(1.28980641043343e+002dB,-8.90600548177857e+001°)
1.19949930314937e+001	(1.28960649275644e+002dB,-8.90638884511696e+001°)
1.20226443461741e+001	(1.28940657450904e+002dB,-8.90677171304030e+001°)
1.20503594037179e+001	(1.28920665569296e+002dB,-8.90715408757563e+001°)
1.20781383510678e+001	(1.28900673630992e+002dB,-8.90753597074491e+001°)
1.21059813355048e+001	(1.28880681636162e+002dB,-8.90791736455977e+001°)
1.21338885046497e+001	(1.28860689584975e+002dB,-8.90829827104265e+001°)
1.21618600064636e+001	(1.28840697477602e+002dB,-8.90867869220426e+001°)
1.21898959892486e+001	(1.28820705314207e+002dB,-8.90905863005300e+001°)
1.22179966016487e+001	(1.28800713094957e+002dB,-8.90943808659710e+001°)
1.22461619926504e+001	(1.28780720820017e+002dB,-8.90981706384659e+001°)
1.22743923115840e+001	(1.28760728489550e+002dB,-8.91019556379621e+001°)
1.23026877081238e+001	(1.28740736103719e+002dB,-8.91057358844967e+001°)
1.23310483322890e+001	(1.28720743662685e+002dB,-8.91095113981056e+001°)
1.23594743344450e+001	(1.28700751166608e+002dB,-8.91132821986747e+001°)
1.23879658653036e+001	(1.28680758615646e+002dB,-8.91170483061472e+001°)
1.24165230759240e+001	(1.28660766009958e+002dB,-8.91208097404842e+001°)
1.24451461177138e+001	(1.28640773349699e+002dB,-8.91245665214327e+001°)
1.24738351424294e+001	(1.28620780635026e+002dB,-8.91283186690086e+001°)
1.25025903021771e+001	(1.28600787866092e+002dB,-8.91320662029286e+001°)
1.25314117494141e+001	(1.28580795043050e+002dB,-8.91358091430590e+001°)
1.25602996369487e+001	(1.28560802166053e+002dB,-8.91395475091714e+001°)
1.25892541179416e+001	(1.28540809235251e+002dB,-8.91432813209637e+001°)
1.26182753459066e+001	(1.28520816250794e+002dB,-8.91470105982840e+001°)
1.26473634747114e+001	(1.28500823212831e+002dB,-8.91507353607966e+001°)
1.26765186585784e+001	(1.28480830121508e+002dB,-8.91544556281529e+001°)
1.27057410520853e+001	(1.28460836976972e+002dB,-8.91581714200438e+001°)
1.27350308101665e+001	(1.28440843779368e+002dB,-8.91618827561324e+001°)
1.27643880881134e+001	(1.28420850528840e+002dB,-8.91655896560169e+001°)
1.27938130415752e+001	(1.28400857225531e+002dB,-8.91692921392996e+001°)
1.28233058265601e+001	(1.28380863869583e+002dB,-8.91729902255450e+001°)
1.28528665994361e+001	(1.28360870461136e+002dB,-8.91766839343325e+001°)
1.28824955169313e+001	(1.28340877000330e+002dB,-8.91803732851699e+001°)
1.29121927361353e+001	(1.28320883487304e+002dB,-8.91840582975295e+001°)
1.29419584144998e+001	(1.28300889922194e+002dB,-8.91877389909407e+001°)
1.29717927098395e+001	(1.28280896305137e+002dB,-8.91914153848149e+001°)
1.30016957803328e+001	(1.28260902636268e+002dB,-8.91950874986553e+001°)
1.30316677845229e+001	(1.28240908915721e+002dB,-8.91987553518137e+001°)
1.30617088813183e+001	(1.28220915143628e+002dB,-8.92024189637117e+001°)
1.30918192299940e+001	(1.28200921320123e+002dB,-8.92060783536951e+001°)
1.31219989901920e+001	(1.28180927445335e+002dB,-8.92097335411416e+001°)
1.31522483219223e+001	(1.28160933519394e+002dB,-8.92133845453477e+001°)
1.31825673855640e+001	(1.28140939542430e+002dB,-8.92170313856678e+001°)
1.32129563418657e+001	(1.28120945514568e+002dB,-8.92206740813305e+001°)
1.32434153519466e+001	(1.28100951435936e+002dB,-8.92243126516324e+001°)
1.32739445772973e+001	(1.28080957306659e+002dB,-8.92279471157593e+001°)
1.33045441797808e+001	(1.28060963126862e+002dB,-8.92315774930025e+001°)
1.33352143216332e+001	(1.28040968896667e+002dB,-8.92352038024820e+001°)
1.33659551654643e+001	(1.28020974616196e+002dB,-8.92388260634569e+001°)
1.33967668742593e+001	(1.28000980285572e+002dB,-8.92424442949868e+001°)
1.34276496113785e+001	(1.27980985904913e+002dB,-8.92460585162800e+001°)
1.34586035405594e+001	(1.27960991474339e+002dB,-8.92496687464186e+001°)
1.34896288259164e+001	(1.27940996993967e+002dB,-8.92532750044677e+001°)
1.35207256319427e+001	(1.27921002463915e+002dB,-8.92568773095711e+001°)
1.35518941235103e+001	(1.27901007884299e+002dB,-8.92604756806987e+001°)
1.35831344658714e+001	(1.27881013255232e+002dB,-8.92640701369287e+001°)
1.36144468246594e+001	(1.27861018576829e+002dB,-8.92676606972338e+001°)
1.36458313658891e+001	(1.27841023849202e+002dB,-8.92712473806274e+001°)
1.36772882559584e+001	(1.27821029072464e+002dB,-8.92748302060776e+001°)
1.37088176616484e+001	(1.27801034246723e+002dB,-8.92784091925187e+001°)
1.37404197501251e+001	(1.27781039372091e+002dB,-8.92819843588541e+001°)
1.37720946889394e+001	(1.27761044448676e+002dB,-8.92855557240579e+001°)
1.38038426460287e+001	(1.27741049476585e+002dB,-8.92891233069504e+001°)
1.38356637897177e+001	(1.27721054455924e+002dB,-8.92926871264626e+001°)
1.38675582887188e+001	(1.27701059386799e+002dB,-8.92962472013969e+001°)
1.38995263121334e+001	(1.27681064269314e+002dB,-8.92998035505853e+001°)
1.39315680294529e+001	(1.27661069103573e+002dB,-8.93033561928282e+001°)
1.39636836105593e+001	(1.27641073889678e+002dB,-8.93069051469387e+001°)
1.39958732257261e+001	(1.27621078627730e+002dB,-8.93104504317114e+001°)
1.40281370456195e+001	(1.27601083317830e+002dB,-8.93139920658285e+001°)
1.40604752412990e+001	(1.27581087960077e+002dB,-8.93175300680909e+001°)
1.40928879842186e+001	(1.27561092554569e+002dB,-8.93210644571298e+001°)
1.41253754462274e+001	(1.27541097101403e+002dB,-8.93245952517372e+001°)
1.41579377995707e+001	(1.27521101600676e+002dB,-8.93281224705160e+001°)
1.41905752168908e+001	(1.27501106052483e+002dB,-8.93316461321575e+001°)
1.42232878712281e+001	(1.27481110456918e+002dB,-8.93351662552556e+001°)
1.42560759360218e+001	(1.27461114814074e+002dB,-8.93386828585083e+001°)
1.42889395851109e+001	(1.27441119124045e+002dB,-8.93421959604416e+001°)
1.43218789927353e+001	(1.27421123386919e+002dB,-8.93457055796803e+001°)
1.43548943335364e+001	(1.27401127602789e+002dB,-8.93492117347600e+001°)
1.43879857825583e+001	(1.27381131771744e+002dB,-8.93527144442510e+001°)
1.44211535152486e+001	(1.27361135893871e+002dB,-8.93562137266768e+001°)
1.44543977074592e+001	(1.27341139969258e+002dB,-8.93597096005501e+001°)
1.44877185354475e+001	(1.27321143997990e+002dB,-8.93632020843430e+001°)
1.45211161758773e+001	(1.27301147980155e+002dB,-8.93666911965543e+001°)
1.45545908058195e+001	(1.27281151915835e+002dB,-8.93701769556265e+001°)
1.45881426027534e+001	(1.27261155805114e+002dB,-8.93736593799591e+001°)
1.46217717445671e+001	(1.27241159648074e+002dB,-8.93771384880727e+001°)
1.46554784095590e+001	(1.27221163444797e+002dB,-8.93806142983249e+001°)
1.46892627764385e+001	(1.27201167195363e+002dB,-8.93840868290427e+001°)
1.47231250243271e+001	(1.27181170899852e+002dB,-8.93875560986746e+001°)
1.47570653327588e+001	(1.27161174558341e+002dB,-8.93910221255472e+001°)
1.47910838816819e+001	(1.27141178170909e+002dB,-8.93944849280001e+001°)
1.48251808514594e+001	(1.27121181737631e+002dB,-8.93979445243246e+001°)
1.48593564228699e+001	(1.27101185258584e+002dB,-8.94014009328791e+001°)
1.48936107771090e+001	(1.27081188733841e+002dB,-8.94048541719195e+001°)
1.49279440957898e+001	(1.27061192163477e+002dB,-8.94083042597072e+001°)
1.49623565609442e+001	(1.27041195547564e+002dB,-8.94117512144770e+001°)
1.49968483550236e+001	(1.27021198886173e+002dB,-8.94151950544919e+001°)
1.50314196609001e+001	(1.27001202179376e+002dB,-8.94186357980002e+001°)
1.50660706618673e+001	(1.26981205427241e+002dB,-8.94220734631375e+001°)
1.51008015416413e+001	(1.26961208629838e+002dB,-8.94255080681413e+001°)
1.51356124843619e+001	(1.26941211787235e+002dB,-8.94289396311697e+001°)
