Freq.	V(v4)/I(I1)
1.00000000000000e+001	(-9.39277140963839e+001dB,1.08343793231912e+002°)
1.00230523807790e+001	(-9.39057265057195e+001dB,1.08383476079944e+002°)
1.00461579027840e+001	(-9.38837309936003e+001dB,1.08423225013402e+002°)
1.00693166885180e+001	(-9.38617263702729e+001dB,1.08463062834573e+002°)
1.00925288607668e+001	(-9.38397134280609e+001dB,1.08502973197093e+002°)
1.01157945425990e+001	(-9.38176930043140e+001dB,1.08542940029038e+002°)
1.01391138573668e+001	(-9.37956631377556e+001dB,1.08583000435096e+002°)
1.01624869287070e+001	(-9.37736251314308e+001dB,1.08623128535695e+002°)
1.01859138805412e+001	(-9.37515797767561e+001dB,1.08663308310434e+002°)
1.02093948370768e+001	(-9.37295256773248e+001dB,1.08703567135877e+002°)
1.02329299228075e+001	(-9.37074618296331e+001dB,1.08743922286043e+002°)
1.02565192625141e+001	(-9.36853903592677e+001dB,1.08784333995636e+002°)
1.02801629812647e+001	(-9.36633097660129e+001dB,1.08824829113787e+002°)
1.03038612044162e+001	(-9.36412203970287e+001dB,1.08865401262078e+002°)
1.03276140576140e+001	(-9.36191222973264e+001dB,1.08906048729217e+002°)
1.03514216667934e+001	(-9.35970170130638e+001dB,1.08946741579980e+002°)
1.03752841581801e+001	(-9.35749021457531e+001dB,1.08987525420266e+002°)
1.03992016582906e+001	(-9.35527781834515e+001dB,1.09028388920642e+002°)
1.04231742939330e+001	(-9.35306470115636e+001dB,1.09069297874720e+002°)
1.04472021922080e+001	(-9.35085051402571e+001dB,1.09110315879424e+002°)
1.04712854805090e+001	(-9.34863551629947e+001dB,1.09151394643470e+002°)
1.04954242865232e+001	(-9.34641961152032e+001dB,1.09192551049528e+002°)
1.05196187382322e+001	(-9.34420290523271e+001dB,1.09233764922500e+002°)
1.05438689639126e+001	(-9.34198518440581e+001dB,1.09275076249795e+002°)
1.05681750921366e+001	(-9.33976659868458e+001dB,1.09316455476983e+002°)
1.05925372517729e+001	(-9.33754718188524e+001dB,1.09357896453752e+002°)
1.06169555719872e+001	(-9.33532686524300e+001dB,1.09399411272493e+002°)
1.06414301822431e+001	(-9.33310555579066e+001dB,1.09441016443082e+002°)
1.06659612123026e+001	(-9.33088336131597e+001dB,1.09482692026339e+002°)
1.06905487922266e+001	(-9.32866035911938e+001dB,1.09524422696458e+002°)
1.07151930523761e+001	(-9.32643635678742e+001dB,1.09566242997790e+002°)
1.07398941234124e+001	(-9.32421141445358e+001dB,1.09608142185423e+002°)
1.07646521362983e+001	(-9.32198558308047e+001dB,1.09650109414927e+002°)
1.07894672222983e+001	(-9.31975884753374e+001dB,1.09692147570297e+002°)
1.08143395129794e+001	(-9.31753109017468e+001dB,1.09734277256102e+002°)
1.08392691402120e+001	(-9.31530249007051e+001dB,1.09776465444958e+002°)
1.08642562361706e+001	(-9.31307300785861e+001dB,1.09818719501722e+002°)
1.08893009333343e+001	(-9.31084242068257e+001dB,1.09861077410582e+002°)
1.09144033644875e+001	(-9.30861101202736e+001dB,1.09903488785632e+002°)
1.09395636627209e+001	(-9.30637866574056e+001dB,1.09945974076140e+002°)
1.09647819614318e+001	(-9.30414531028978e+001dB,1.09988544600888e+002°)
1.09900583943252e+001	(-9.30191105280950e+001dB,1.10031181069803e+002°)
1.10153930954141e+001	(-9.29967582917427e+001dB,1.10073894963286e+002°)
1.10407861990207e+001	(-9.29743966810365e+001dB,1.10116680090539e+002°)
1.10662378397766e+001	(-9.29520250208903e+001dB,1.10159547719476e+002°)
1.10917481526240e+001	(-9.29296436310104e+001dB,1.10202491709054e+002°)
1.11173172728159e+001	(-9.29072533345662e+001dB,1.10245497387146e+002°)
1.11429453359173e+001	(-9.28848531861905e+001dB,1.10288580218138e+002°)
1.11686324778056e+001	(-9.28624430490141e+001dB,1.10331742790462e+002°)
1.11943788346715e+001	(-9.28400221925718e+001dB,1.10374995951009e+002°)
1.12201845430196e+001	(-9.28175922614864e+001dB,1.10418312459786e+002°)
1.12460497396692e+001	(-9.27951529672054e+001dB,1.10461694606162e+002°)
1.12719745617551e+001	(-9.27727039988980e+001dB,1.10505149424739e+002°)
1.12979591467279e+001	(-9.27502438574854e+001dB,1.10548700248453e+002°)
1.13240036323555e+001	(-9.27277741457351e+001dB,1.10592319971031e+002°)
1.13501081567231e+001	(-9.27052949452004e+001dB,1.10636006872026e+002°)
1.13762728582343e+001	(-9.26828052919628e+001dB,1.10679775829598e+002°)
1.14024978756117e+001	(-9.26603063054171e+001dB,1.10723608440266e+002°)
1.14287833478977e+001	(-9.26377965289077e+001dB,1.10767527823753e+002°)
1.14551294144553e+001	(-9.26152763227308e+001dB,1.10811528016173e+002°)
1.14815362149688e+001	(-9.25927454932424e+001dB,1.10855611231275e+002°)
1.15080038894443e+001	(-9.25702065817589e+001dB,1.10899734364849e+002°)
1.15345325782109e+001	(-9.25476559853807e+001dB,1.10943957599440e+002°)
1.15611224219210e+001	(-9.25250962256508e+001dB,1.10988237866475e+002°)
1.15877735615512e+001	(-9.25025249081732e+001dB,1.11032614332785e+002°)
1.16144861384034e+001	(-9.24799441227221e+001dB,1.11077052500229e+002°)
1.16412602941049e+001	(-9.24573521720578e+001dB,1.11121578952109e+002°)
1.16680961706096e+001	(-9.24347501594642e+001dB,1.11166175638790e+002°)
1.16949939101987e+001	(-9.24121376336604e+001dB,1.11210848740842e+002°)
1.17219536554813e+001	(-9.23895151808088e+001dB,1.11255588389895e+002°)
1.17489755493953e+001	(-9.23668804541626e+001dB,1.11300433029481e+002°)
1.17760597352080e+001	(-9.23442362014406e+001dB,1.11345336433050e+002°)
1.18032063565173e+001	(-9.23215822644746e+001dB,1.11390300900574e+002°)
1.18304155572516e+001	(-9.22989177154261e+001dB,1.11435340542656e+002°)
1.18576874816716e+001	(-9.22762419524739e+001dB,1.11480465531285e+002°)
1.18850222743701e+001	(-9.22535547848733e+001dB,1.11525677792358e+002°)
1.19124200802737e+001	(-9.22308582403140e+001dB,1.11570943765363e+002°)
1.19398810446427e+001	(-9.22081492359827e+001dB,1.11616312923615e+002°)
1.19674053130724e+001	(-9.21854302978319e+001dB,1.11661743927730e+002°)
1.19949930314937e+001	(-9.21627010172844e+001dB,1.11707242826776e+002°)
1.20226443461741e+001	(-9.21399605183068e+001dB,1.11752823435408e+002°)
1.20503594037179e+001	(-9.21172086055530e+001dB,1.11798487598048e+002°)
1.20781383510678e+001	(-9.20944465969165e+001dB,1.11844214011390e+002°)
1.21059813355048e+001	(-9.20716733644398e+001dB,1.11890020225707e+002°)
1.21338885046497e+001	(-9.20488885156315e+001dB,1.11935912025801e+002°)
1.21618600064636e+001	(-9.20260930810611e+001dB,1.11981871977065e+002°)
1.21898959892486e+001	(-9.20032871862645e+001dB,1.12027898340920e+002°)
1.22179966016487e+001	(-9.19804686886167e+001dB,1.12074023529868e+002°)
1.22461619926504e+001	(-9.19576396178834e+001dB,1.12120214963035e+002°)
1.22743923115840e+001	(-9.19347993851194e+001dB,1.12166482325347e+002°)
1.23026877081238e+001	(-9.19119489923513e+001dB,1.12212808404972e+002°)
1.23310483322890e+001	(-9.18890858887986e+001dB,1.12259232991134e+002°)
1.23594743344450e+001	(-9.18662123359804e+001dB,1.12305720072309e+002°)
1.23879658653036e+001	(-9.18433267012592e+001dB,1.12352294003491e+002°)
1.24165230759240e+001	(-9.18204303484023e+001dB,1.12398934221714e+002°)
1.24451461177138e+001	(-9.17975223437428e+001dB,1.12445653622773e+002°)
1.24738351424294e+001	(-9.17746027793306e+001dB,1.12492450227082e+002°)
1.25025903021771e+001	(-9.17516712789189e+001dB,1.12539329517567e+002°)
1.25314117494141e+001	(-9.17287286781637e+001dB,1.12586278445855e+002°)
1.25602996369487e+001	(-9.17057745486367e+001dB,1.12633302367257e+002°)
1.25892541179416e+001	(-9.16828090017196e+001dB,1.12680399373975e+002°)
1.26182753459066e+001	(-9.16598316423113e+001dB,1.12727574823779e+002°)
1.26473634747114e+001	(-9.16368423150090e+001dB,1.12774830343884e+002°)
1.26765186585784e+001	(-9.16138423133712e+001dB,1.12822145716582e+002°)
1.27057410520853e+001	(-9.15908286437227e+001dB,1.12869566363538e+002°)
1.27350308101665e+001	(-9.15678042553218e+001dB,1.12917046550210e+002°)
1.27643880881134e+001	(-9.15447682560151e+001dB,1.12964598783668e+002°)
1.27938130415752e+001	(-9.15217200712319e+001dB,1.13012232024713e+002°)
1.28233058265601e+001	(-9.14986597448988e+001dB,1.13059944079946e+002°)
1.28528665994361e+001	(-9.14755879143341e+001dB,1.13107725945199e+002°)
1.28824955169313e+001	(-9.14525041333360e+001dB,1.13155582613323e+002°)
1.29121927361353e+001	(-9.14294080555378e+001dB,1.13203519280944e+002°)
1.29419584144998e+001	(-9.14062995467782e+001dB,1.13251537453049e+002°)
1.29717927098395e+001	(-9.13831798769144e+001dB,1.13299617345398e+002°)
1.30016957803328e+001	(-9.13600469910567e+001dB,1.13347788719208e+002°)
1.30316677845229e+001	(-9.13369026859523e+001dB,1.13396024921609e+002°)
1.30617088813183e+001	(-9.13137461011791e+001dB,1.13444337995089e+002°)
1.30918192299940e+001	(-9.12905765941580e+001dB,1.13492736272043e+002°)
1.31219989901920e+001	(-9.12673950017583e+001dB,1.13541207257838e+002°)
1.31522483219223e+001	(-9.12442009306664e+001dB,1.13589755813632e+002°)
1.31825673855640e+001	(-9.12209947554080e+001dB,1.13638376520247e+002°)
1.32129563418657e+001	(-9.11977760763858e+001dB,1.13687074171127e+002°)
1.32434153519466e+001	(-9.11745449893434e+001dB,1.13735846678035e+002°)
1.32739445772973e+001	(-9.11513013848376e+001dB,1.13784695482434e+002°)
1.33045441797808e+001	(-9.11280458113470e+001dB,1.13833611605749e+002°)
1.33352143216332e+001	(-9.11047774624956e+001dB,1.13882606773432e+002°)
1.33659551654643e+001	(-9.10814966340793e+001dB,1.13931675357422e+002°)
1.33967668742593e+001	(-9.10582027528460e+001dB,1.13980825534675e+002°)
1.34276496113785e+001	(-9.10348958952440e+001dB,1.14030055081360e+002°)
1.34586035405594e+001	(-9.10115762184843e+001dB,1.14079362025650e+002°)
1.34896288259164e+001	(-9.09882444862008e+001dB,1.14128734064363e+002°)
1.35207256319427e+001	(-9.09648989371967e+001dB,1.14178195969491e+002°)
1.35518941235103e+001	(-9.09415415678864e+001dB,1.14227718887858e+002°)
1.35831344658714e+001	(-9.09181722425391e+001dB,1.14277304153139e+002°)
1.36144468246594e+001	(-9.08947875457363e+001dB,1.14326999420088e+002°)
1.36458313658891e+001	(-9.08713908583732e+001dB,1.14376756018245e+002°)
1.36772882559584e+001	(-9.08479816312798e+001dB,1.14426581970145e+002°)
1.37088176616484e+001	(-9.08245587605797e+001dB,1.14476491482284e+002°)
1.37404197501251e+001	(-9.08011228171560e+001dB,1.14526475791561e+002°)
1.37720946889394e+001	(-9.07776734927385e+001dB,1.14576539437731e+002°)
1.38038426460287e+001	(-9.07542127279631e+001dB,1.14626654147342e+002°)
1.38356637897177e+001	(-9.07307373657128e+001dB,1.14676863350551e+002°)
1.38675582887188e+001	(-9.07072484721160e+001dB,1.14727151869621e+002°)
1.38995263121334e+001	(-9.06837470795173e+001dB,1.14777504611270e+002°)
1.39315680294529e+001	(-9.06602323760629e+001dB,1.14827932384936e+002°)
1.39636836105593e+001	(-9.06367039904445e+001dB,1.14878439374065e+002°)
1.39958732257261e+001	(-9.06131618478991e+001dB,1.14929026700848e+002°)
1.40281370456195e+001	(-9.05896069502935e+001dB,1.14979679314270e+002°)
1.40604752412990e+001	(-9.05660377925434e+001dB,1.15030417330262e+002°)
1.40928879842186e+001	(-9.05424552127197e+001dB,1.15081229084507e+002°)
1.41253754462274e+001	(-9.05188595209015e+001dB,1.15132109151009e+002°)
1.41579377995707e+001	(-9.04952501866723e+001dB,1.15183064975732e+002°)
1.41905752168908e+001	(-9.04716275216763e+001dB,1.15234091126102e+002°)
1.42232878712281e+001	(-9.04479905116128e+001dB,1.15285201121757e+002°)
1.42560759360218e+001	(-9.04243401743280e+001dB,1.15336380174209e+002°)
1.42889395851109e+001	(-9.04006764033678e+001dB,1.15387629259503e+002°)
1.43218789927353e+001	(-9.03769979652993e+001dB,1.15438964848951e+002°)
1.43548943335364e+001	(-9.03533054011562e+001dB,1.15490378338919e+002°)
1.43879857825583e+001	(-9.03296002485845e+001dB,1.15541849189823e+002°)
1.44211535152486e+001	(-9.03058810097133e+001dB,1.15593396746377e+002°)
1.44543977074592e+001	(-9.02821463944968e+001dB,1.15645036959457e+002°)
1.44877185354475e+001	(-9.02583981795063e+001dB,1.15696746297768e+002°)
1.45211161758773e+001	(-9.02346371564911e+001dB,1.15748513441422e+002°)
1.45545908058195e+001	(-9.02108613911742e+001dB,1.15800363524094e+002°)
1.45881426027534e+001	(-9.01870712190798e+001dB,1.15852291159229e+002°)
1.46217717445671e+001	(-9.01632674488734e+001dB,1.15904285066461e+002°)
1.46554784095590e+001	(-9.01394491092389e+001dB,1.15956358187877e+002°)
1.46892627764385e+001	(-9.01156160569379e+001dB,1.16008511078094e+002°)
1.47231250243271e+001	(-9.00917700384480e+001dB,1.16060720700582e+002°)
1.47570653327588e+001	(-9.00679088781030e+001dB,1.16113014526716e+002°)
1.47910838816819e+001	(-9.00440329508505e+001dB,1.16165387303623e+002°)
1.48251808514594e+001	(-9.00201432945674e+001dB,1.16217824943479e+002°)
1.48593564228699e+001	(-8.99962379724532e+001dB,1.16270351611484e+002°)
1.48936107771090e+001	(-8.99723194194976e+001dB,1.16322935749272e+002°)
1.49279440957898e+001	(-8.99483865922582e+001dB,1.16375589697636e+002°)
1.49623565609442e+001	(-8.99244373986780e+001dB,1.16428340414596e+002°)
1.49968483550236e+001	(-8.99004755368638e+001dB,1.16481138856689e+002°)
1.50314196609001e+001	(-8.98764973753148e+001dB,1.16534032347486e+002°)
1.50660706618673e+001	(-8.98525054317374e+001dB,1.16586986390197e+002°)
1.51008015416413e+001	(-8.98284992638958e+001dB,1.16640007761480e+002°)
1.51356124843619e+001	(-8.98044775886817e+001dB,1.16693111168798e+002°)
1.51705036745932e+001	(-8.97804412248962e+001dB,1.16746285695291e+002°)
1.52054752973248e+001	(-8.97563898801385e+001dB,1.16799534810353e+002°)
1.52405275379728e+001	(-8.97323230044123e+001dB,1.16852864643056e+002°)
1.52756605823806e+001	(-8.97082427282170e+001dB,1.16906247307875e+002°)
1.53108746168202e+001	(-8.96841463156465e+001dB,1.16959717408052e+002°)
1.53461698279928e+001	(-8.96600354465808e+001dB,1.17013252751876e+002°)
