Freq.	V(v4)
1.00000000000000e+005	(-6.05507433332496e+000dB,2.41489240009943e+000°)
1.00230523807790e+005	(-6.05490435635936e+000dB,2.41765467543281e+000°)
1.00461579027840e+005	(-6.05473377666024e+000dB,2.42042936706492e+000°)
1.00693166885180e+005	(-6.05456259064389e+000dB,2.42321648679460e+000°)
1.00925288607668e+005	(-6.05439079471550e+000dB,2.42601604647083e+000°)
1.01157945425990e+005	(-6.05421838526644e+000dB,2.42882805798776e+000°)
1.01391138573668e+005	(-6.05404535867618e+000dB,2.43165253328565e+000°)
1.01624869287070e+005	(-6.05387171131086e+000dB,2.43448948435254e+000°)
1.01859138805412e+005	(-6.05369743952440e+000dB,2.43733892322357e+000°)
1.02093948370768e+005	(-6.05352253965736e+000dB,2.44020086197798e+000°)
1.02329299228075e+005	(-6.05334700803785e+000dB,2.44307531274257e+000°)
1.02565192625141e+005	(-6.05317084098043e+000dB,2.44596228769148e+000°)
1.02801629812647e+005	(-6.05299403478666e+000dB,2.44886179904322e+000°)
1.03038612044162e+005	(-6.05281658574515e+000dB,2.45177385906437e+000°)
1.03276140576140e+005	(-6.05263849013146e+000dB,2.45469848006541e+000°)
1.03514216667934e+005	(-6.05245974420692e+000dB,2.45763567440407e+000°)
1.03752841581801e+005	(-6.05228034422025e+000dB,2.46058545448396e+000°)
1.03992016582906e+005	(-6.05210028640663e+000dB,2.46354783275397e+000°)
1.04231742939330e+005	(-6.05191956698744e+000dB,2.46652282170925e+000°)
1.04472021922080e+005	(-6.05173818217043e+000dB,2.46951043389015e+000°)
1.04712854805090e+005	(-6.05155612814961e+000dB,2.47251068188316e+000°)
1.04954242865232e+005	(-6.05137340110551e+000dB,2.47552357831895e+000°)
1.05196187382322e+005	(-6.05118999720448e+000dB,2.47854913587450e+000°)
1.05438689639126e+005	(-6.05100591259912e+000dB,2.48158736727301e+000°)
1.05681750921366e+005	(-6.05082114342770e+000dB,2.48463828528062e+000°)
1.05925372517729e+005	(-6.05063568581474e+000dB,2.48770190271035e+000°)
1.06169555719872e+005	(-6.05044953587013e+000dB,2.49077823241970e+000°)
1.06414301822431e+005	(-6.05026268969016e+000dB,2.49386728731103e+000°)
1.06659612123026e+005	(-6.05007514335630e+000dB,2.49696908033172e+000°)
1.06905487922266e+005	(-6.04988689293550e+000dB,2.50008362447288e+000°)
1.07151930523760e+005	(-6.04969793448098e+000dB,2.50321093277243e+000°)
1.07398941234124e+005	(-6.04950826403004e+000dB,2.50635101831059e+000°)
1.07646521362983e+005	(-6.04931787760690e+000dB,2.50950389421380e+000°)
1.07894672222983e+005	(-6.04912677121955e+000dB,2.51266957365166e+000°)
1.08143395129794e+005	(-6.04893494086218e+000dB,2.51584806983903e+000°)
1.08392691402120e+005	(-6.04874238251392e+000dB,2.51903939603319e+000°)
1.08642562361706e+005	(-6.04854909213841e+000dB,2.52224356553773e+000°)
1.08893009333343e+005	(-6.04835506568483e+000dB,2.52546059169927e+000°)
