Freq.	V(out)
1.00000000000000e+001	(-4.60235759087860e+001dB,3.19848460757929e+001°)
1.00230523807790e+001	(-4.60179048146696e+001dB,3.20439444303716e+001°)
1.00461579027840e+001	(-4.60122149886574e+001dB,3.21031011318447e+001°)
1.00693166885180e+001	(-4.60065063935151e+001dB,3.21623159800209e+001°)
1.00925288607668e+001	(-4.60007789920916e+001dB,3.22215887734753e+001°)
1.01157945425990e+001	(-4.59950327473316e+001dB,3.22809193095881e+001°)
1.01391138573668e+001	(-4.59892676222658e+001dB,3.23403073844970e+001°)
1.01624869287070e+001	(-4.59834835800184e+001dB,3.23997527931368e+001°)
1.01859138805412e+001	(-4.59776805838066e+001dB,3.24592553292172e+001°)
1.02093948370768e+001	(-4.59718585969415e+001dB,3.25188147852364e+001°)
1.02329299228075e+001	(-4.59660175828305e+001dB,3.25784309524829e+001°)
1.02565192625141e+001	(-4.59601575049757e+001dB,3.26381036210319e+001°)
1.02801629812647e+001	(-4.59542783269791e+001dB,3.26978325797442e+001°)
1.03038612044162e+001	(-4.59483800125376e+001dB,3.27576176162669e+001°)
1.03276140576140e+001	(-4.59424625254534e+001dB,3.28174585170559e+001°)
1.03514216667934e+001	(-4.59365258296234e+001dB,3.28773550673441e+001°)
1.03752841581801e+001	(-4.59305698890522e+001dB,3.29373070511695e+001°)
1.03992016582906e+001	(-4.59245946678451e+001dB,3.29973142513658e+001°)
1.04231742939330e+001	(-4.59186001302118e+001dB,3.30573764495654e+001°)
1.04472021922080e+001	(-4.59125862404677e+001dB,3.31174934262018e+001°)
1.04712854805090e+001	(-4.59065529630360e+001dB,3.31776649605080e+001°)
1.04954242865232e+001	(-4.59005002624462e+001dB,3.32378908305289e+001°)
1.05196187382322e+001	(-4.58944281033386e+001dB,3.32981708131157e+001°)
1.05438689639126e+001	(-4.58883364504624e+001dB,3.33585046839231e+001°)
1.05681750921366e+001	(-4.58822252686775e+001dB,3.34188922174173e+001°)
1.05925372517729e+001	(-4.58760945229589e+001dB,3.34793331868846e+001°)
1.06169555719872e+001	(-4.58699441783932e+001dB,3.35398273644188e+001°)
1.06414301822431e+001	(-4.58637742001808e+001dB,3.36003745209352e+001°)
1.06659612123026e+001	(-4.58575845536417e+001dB,3.36609744261764e+001°)
1.06905487922266e+001	(-4.58513752042088e+001dB,3.37216268486936e+001°)
1.07151930523761e+001	(-4.58451461174366e+001dB,3.37823315558718e+001°)
1.07398941234124e+001	(-4.58388972589958e+001dB,3.38430883139159e+001°)
1.07646521362983e+001	(-4.58326285946816e+001dB,3.39038968878812e+001°)
1.07894672222983e+001	(-4.58263400904063e+001dB,3.39647570416304e+001°)
1.08143395129794e+001	(-4.58200317122088e+001dB,3.40256685378746e+001°)
1.08392691402120e+001	(-4.58137034262502e+001dB,3.40866311381619e+001°)
1.08642562361706e+001	(-4.58073551988165e+001dB,3.41476446028841e+001°)
1.08893009333343e+001	(-4.58009869963198e+001dB,3.42087086912667e+001°)
1.09144033644875e+001	(-4.57945987853013e+001dB,3.42698231613939e+001°)
1.09395636627209e+001	(-4.57881905324283e+001dB,3.43309877701919e+001°)
1.09647819614318e+001	(-4.57817622044996e+001dB,3.43922022734411e+001°)
1.09900583943252e+001	(-4.57753137684432e+001dB,3.44534664257795e+001°)
1.10153930954141e+001	(-4.57688451913210e+001dB,3.45147799807061e+001°)
1.10407861990207e+001	(-4.57623564403250e+001dB,3.45761426905695e+001°)
1.10662378397766e+001	(-4.57558474827853e+001dB,3.46375543066082e+001°)
1.10917481526240e+001	(-4.57493182861642e+001dB,3.46990145789047e+001°)
1.11173172728159e+001	(-4.57427688180608e+001dB,3.47605232564227e+001°)
1.11429453359173e+001	(-4.57361990462126e+001dB,3.48220800870081e+001°)
1.11686324778056e+001	(-4.57296089384951e+001dB,3.48836848173735e+001°)
1.11943788346715e+001	(-4.57229984629244e+001dB,3.49453371931207e+001°)
1.12201845430196e+001	(-4.57163675876572e+001dB,3.50070369587424e+001°)
1.12460497396692e+001	(-4.57097162809904e+001dB,3.50687838576080e+001°)
1.12719745617551e+001	(-4.57030445113673e+001dB,3.51305776319936e+001°)
1.12979591467279e+001	(-4.56963522473731e+001dB,3.51924180230650e+001°)
1.13240036323555e+001	(-4.56896394577394e+001dB,3.52543047708907e+001°)
1.13501081567231e+001	(-4.56829061113430e+001dB,3.53162376144432e+001°)
1.13762728582343e+001	(-4.56761521772096e+001dB,3.53782162916050e+001°)
1.14024978756117e+001	(-4.56693776245135e+001dB,3.54402405391718e+001°)
1.14287833478977e+001	(-4.56625824225780e+001dB,3.55023100928566e+001°)
1.14551294144553e+001	(-4.56557665408768e+001dB,3.55644246872895e+001°)
1.14815362149688e+001	(-4.56489299490379e+001dB,3.56265840560333e+001°)
1.15080038894443e+001	(-4.56420726168396e+001dB,3.56887879315720e+001°)
1.15345325782109e+001	(-4.56351945142158e+001dB,3.57510360453245e+001°)
1.15611224219210e+001	(-4.56282956112553e+001dB,3.58133281276519e+001°)
1.15877735615512e+001	(-4.56213758782032e+001dB,3.58756639078563e+001°)
1.16144861384034e+001	(-4.56144352854628e+001dB,3.59380431141866e+001°)
1.16412602941049e+001	(-4.56074738035944e+001dB,3.60004654738417e+001°)
1.16680961706096e+001	(-4.56004914033180e+001dB,3.60629307129733e+001°)
1.16949939101987e+001	(-4.55934880555154e+001dB,3.61254385567002e+001°)
1.17219536554813e+001	(-4.55864637312294e+001dB,3.61879887291031e+001°)
1.17489755493953e+001	(-4.55794184016642e+001dB,3.62505809532283e+001°)
1.17760597352080e+001	(-4.55723520381907e+001dB,3.63132149511079e+001°)
1.18032063565173e+001	(-4.55652646123424e+001dB,3.63758904437432e+001°)
1.18304155572516e+001	(-4.55581560958191e+001dB,3.64386071511231e+001°)
1.18576874816716e+001	(-4.55510264604872e+001dB,3.65013647922223e+001°)
1.18850222743701e+001	(-4.55438756783819e+001dB,3.65641630850186e+001°)
1.19124200802737e+001	(-4.55367037217075e+001dB,3.66270017464824e+001°)
1.19398810446427e+001	(-4.55295105628366e+001dB,3.66898804925898e+001°)
1.19674053130724e+001	(-4.55222961743155e+001dB,3.67527990383280e+001°)
1.19949930314937e+001	(-4.55150605288600e+001dB,3.68157570976920e+001°)
1.20226443461741e+001	(-4.55078035993612e+001dB,3.68787543837094e+001°)
1.20503594037179e+001	(-4.55005253588826e+001dB,3.69417906084238e+001°)
