Freq.	V(n003)
1.00000000000000e+001	(-5.20425703919631e+001dB,8.98549949368660e+001°)
1.00230523807790e+001	(-5.20225695154564e+001dB,8.98546688846448e+001°)
1.00461579027840e+001	(-5.20025686349036e+001dB,8.98543420617524e+001°)
1.00693166885180e+001	(-5.19825677502862e+001dB,8.98540144664551e+001°)
1.00925288607668e+001	(-5.19625668615853e+001dB,8.98536860970149e+001°)
1.01157945425990e+001	(-5.19425659687821e+001dB,8.98533569516900e+001°)
1.01391138573668e+001	(-5.19225650718576e+001dB,8.98530270287342e+001°)
1.01624869287070e+001	(-5.19025641707930e+001dB,8.98526963263973e+001°)
1.01859138805412e+001	(-5.18825632655689e+001dB,8.98523648429249e+001°)
1.02093948370768e+001	(-5.18625623561663e+001dB,8.98520325765586e+001°)
1.02329299228075e+001	(-5.18425614425658e+001dB,8.98516995255357e+001°)
1.02565192625141e+001	(-5.18225605247481e+001dB,8.98513656880894e+001°)
1.02801629812647e+001	(-5.18025596026938e+001dB,8.98510310624486e+001°)
1.03038612044162e+001	(-5.17825586763831e+001dB,8.98506956468382e+001°)
1.03276140576140e+001	(-5.17625577457966e+001dB,8.98503594394787e+001°)
1.03514216667934e+001	(-5.17425568109145e+001dB,8.98500224385866e+001°)
1.03752841581801e+001	(-5.17225558717168e+001dB,8.98496846423742e+001°)
1.03992016582906e+001	(-5.17025549281839e+001dB,8.98493460490492e+001°)
1.04231742939330e+001	(-5.16825539802955e+001dB,8.98490066568155e+001°)
1.04472021922080e+001	(-5.16625530280316e+001dB,8.98486664638726e+001°)
1.04712854805090e+001	(-5.16425520713721e+001dB,8.98483254684157e+001°)
1.04954242865232e+001	(-5.16225511102965e+001dB,8.98479836686357e+001°)
1.05196187382322e+001	(-5.16025501447846e+001dB,8.98476410627195e+001°)
1.05438689639126e+001	(-5.15825491748159e+001dB,8.98472976488493e+001°)
1.05681750921366e+001	(-5.15625482003697e+001dB,8.98469534252034e+001°)
1.05925372517729e+001	(-5.15425472214255e+001dB,8.98466083899556e+001°)
1.06169555719872e+001	(-5.15225462379625e+001dB,8.98462625412754e+001°)
1.06414301822431e+001	(-5.15025452499597e+001dB,8.98459158773279e+001°)
1.06659612123026e+001	(-5.14825442573963e+001dB,8.98455683962741e+001°)
1.06905487922266e+001	(-5.14625432602512e+001dB,8.98452200962705e+001°)
1.07151930523761e+001	(-5.14425422585032e+001dB,8.98448709754692e+001°)
1.07398941234124e+001	(-5.14225412521312e+001dB,8.98445210320182e+001°)
1.07646521362983e+001	(-5.14025402411137e+001dB,8.98441702640607e+001°)
1.07894672222983e+001	(-5.13825392254293e+001dB,8.98438186697359e+001°)
1.08143395129794e+001	(-5.13625382050565e+001dB,8.98434662471785e+001°)
1.08392691402120e+001	(-5.13425371799737e+001dB,8.98431129945188e+001°)
1.08642562361706e+001	(-5.13225361501590e+001dB,8.98427589098826e+001°)
1.08893009333343e+001	(-5.13025351155907e+001dB,8.98424039913914e+001°)
1.09144033644875e+001	(-5.12825340762468e+001dB,8.98420482371621e+001°)
1.09395636627209e+001	(-5.12625330321052e+001dB,8.98416916453074e+001°)
1.09647819614318e+001	(-5.12425319831439e+001dB,8.98413342139355e+001°)
1.09900583943252e+001	(-5.12225309293406e+001dB,8.98409759411499e+001°)
1.10153930954141e+001	(-5.12025298706729e+001dB,8.98406168250499e+001°)
1.10407861990207e+001	(-5.11825288071184e+001dB,8.98402568637301e+001°)
1.10662378397766e+001	(-5.11625277386544e+001dB,8.98398960552809e+001°)
1.10917481526240e+001	(-5.11425266652585e+001dB,8.98395343977880e+001°)
1.11173172728159e+001	(-5.11225255869077e+001dB,8.98391718893326e+001°)
1.11429453359173e+001	(-5.11025245035793e+001dB,8.98388085279914e+001°)
1.11686324778056e+001	(-5.10825234152502e+001dB,8.98384443118365e+001°)
1.11943788346715e+001	(-5.10625223218973e+001dB,8.98380792389355e+001°)
1.12201845430196e+001	(-5.10425212234975e+001dB,8.98377133073517e+001°)
1.12460497396692e+001	(-5.10225201200275e+001dB,8.98373465151434e+001°)
1.12719745617551e+001	(-5.10025190114639e+001dB,8.98369788603647e+001°)
1.12979591467279e+001	(-5.09825178977832e+001dB,8.98366103410648e+001°)
1.13240036323555e+001	(-5.09625167789617e+001dB,8.98362409552885e+001°)
1.13501081567231e+001	(-5.09425156549757e+001dB,8.98358707010761e+001°)
1.13762728582343e+001	(-5.09225145258013e+001dB,8.98354995764630e+001°)
1.14024978756117e+001	(-5.09025133914147e+001dB,8.98351275794801e+001°)
