Freq.	V(out)
1.00000000000000e+000	(-9.34903912573079e+001dB,9.00556612909337e+001°)
1.00230523807790e+000	(-9.34703912245983e+001dB,9.00557896032689e+001°)
1.00461579027840e+000	(-9.34503911917378e+001dB,9.00559182113932e+001°)
1.00693166885180e+000	(-9.34303911587255e+001dB,9.00560471159886e+001°)
1.00925288607668e+000	(-9.34103911255608e+001dB,9.00561763177384e+001°)
1.01157945425990e+000	(-9.33903910922431e+001dB,9.00563058173276e+001°)
1.01391138573668e+000	(-9.33703910587716e+001dB,9.00564356154428e+001°)
1.01624869287070e+000	(-9.33503910251456e+001dB,9.00565657127723e+001°)
1.01859138805412e+000	(-9.33303909913644e+001dB,9.00566961100056e+001°)
1.02093948370768e+000	(-9.33103909574272e+001dB,9.00568268078342e+001°)
1.02329299228075e+000	(-9.32903909233334e+001dB,9.00569578069510e+001°)
1.02565192625141e+000	(-9.32703908890822e+001dB,9.00570891080506e+001°)
1.02801629812647e+000	(-9.32503908546730e+001dB,9.00572207118290e+001°)
1.03038612044162e+000	(-9.32303908201049e+001dB,9.00573526189840e+001°)
1.03276140576140e+000	(-9.32103907853773e+001dB,9.00574848302150e+001°)
1.03514216667934e+000	(-9.31903907504893e+001dB,9.00576173462229e+001°)
1.03752841581801e+000	(-9.31703907154404e+001dB,9.00577501677102e+001°)
1.03992016582906e+000	(-9.31503906802296e+001dB,9.00578832953812e+001°)
1.04231742939330e+000	(-9.31303906448563e+001dB,9.00580167299418e+001°)
1.04472021922080e+000	(-9.31103906093198e+001dB,9.00581504720992e+001°)
1.04712854805090e+000	(-9.30903905736192e+001dB,9.00582845225627e+001°)
1.04954242865232e+000	(-9.30703905377538e+001dB,9.00584188820429e+001°)
1.05196187382322e+000	(-9.30503905017229e+001dB,9.00585535512521e+001°)
1.05438689639126e+000	(-9.30303904655257e+001dB,9.00586885309044e+001°)
1.05681750921366e+000	(-9.30103904291614e+001dB,9.00588238217154e+001°)
1.05925372517729e+000	(-9.29903903926292e+001dB,9.00589594244023e+001°)
1.06169555719872e+000	(-9.29703903559284e+001dB,9.00590953396841e+001°)
1.06414301822431e+000	(-9.29503903190582e+001dB,9.00592315682815e+001°)
1.06659612123026e+000	(-9.29303902820179e+001dB,9.00593681109166e+001°)
1.06905487922266e+000	(-9.29103902448065e+001dB,9.00595049683133e+001°)
1.07151930523761e+000	(-9.28903902074235e+001dB,9.00596421411974e+001°)
1.07398941234124e+000	(-9.28703901698678e+001dB,9.00597796302960e+001°)
1.07646521362983e+000	(-9.28503901321388e+001dB,9.00599174363380e+001°)
1.07894672222983e+000	(-9.28303900942357e+001dB,9.00600555600541e+001°)
1.08143395129794e+000	(-9.28103900561576e+001dB,9.00601940021766e+001°)
1.08392691402120e+000	(-9.27903900179037e+001dB,9.00603327634395e+001°)
1.08642562361706e+000	(-9.27703899794733e+001dB,9.00604718445785e+001°)
1.08893009333343e+000	(-9.27503899408655e+001dB,9.00606112463309e+001°)
1.09144033644876e+000	(-9.27303899020794e+001dB,9.00607509694358e+001°)
