Freq.	V(n004)
1.00000000000000e+000	(-9.32346442308158e+001dB,9.00509783112861e+001°)
1.00230523807790e+000	(-9.32146442016623e+001dB,9.00510958282664e+001°)
1.00461579027840e+000	(-9.31946441723742e+001dB,9.00512136161501e+001°)
1.00693166885180e+000	(-9.31746441429509e+001dB,9.00513316755617e+001°)
1.00925288607668e+000	(-9.31546441133918e+001dB,9.00514500071273e+001°)
1.01157945425990e+000	(-9.31346440836963e+001dB,9.00515686114741e+001°)
1.01391138573668e+000	(-9.31146440538637e+001dB,9.00516874892310e+001°)
1.01624869287070e+000	(-9.30946440238934e+001dB,9.00518066410283e+001°)
1.01859138805412e+000	(-9.30746439937848e+001dB,9.00519260674977e+001°)
1.02093948370768e+000	(-9.30546439635372e+001dB,9.00520457692723e+001°)
1.02329299228075e+000	(-9.30346439331500e+001dB,9.00521657469867e+001°)
1.02565192625141e+000	(-9.30146439026225e+001dB,9.00522860012772e+001°)
1.02801629812647e+000	(-9.29946438719541e+001dB,9.00524065327812e+001°)
1.03038612044162e+000	(-9.29746438411441e+001dB,9.00525273421378e+001°)
1.03276140576140e+000	(-9.29546438101920e+001dB,9.00526484299875e+001°)
1.03514216667934e+000	(-9.29346437790969e+001dB,9.00527697969723e+001°)
1.03752841581801e+000	(-9.29146437478584e+001dB,9.00528914437356e+001°)
1.03992016582906e+000	(-9.28946437164756e+001dB,9.00530133709224e+001°)
1.04231742939330e+000	(-9.28746436849480e+001dB,9.00531355791792e+001°)
1.04472021922080e+000	(-9.28546436532749e+001dB,9.00532580691537e+001°)
1.04712854805090e+000	(-9.28346436214556e+001dB,9.00533808414956e+001°)
1.04954242865232e+000	(-9.28146435894894e+001dB,9.00535038968556e+001°)
1.05196187382322e+000	(-9.27946435573756e+001dB,9.00536272358862e+001°)
1.05438689639126e+000	(-9.27746435251136e+001dB,9.00537508592414e+001°)
1.05681750921366e+000	(-9.27546434927027e+001dB,9.00538747675764e+001°)
1.05925372517729e+000	(-9.27346434601423e+001dB,9.00539989615484e+001°)
1.06169555719872e+000	(-9.27146434274315e+001dB,9.00541234418157e+001°)
1.06414301822431e+000	(-9.26946433945697e+001dB,9.00542482090383e+001°)
1.06659612123026e+000	(-9.26746433615562e+001dB,9.00543732638776e+001°)
1.06905487922266e+000	(-9.26546433283904e+001dB,9.00544986069968e+001°)
1.07151930523761e+000	(-9.26346432950715e+001dB,9.00546242390604e+001°)
1.07398941234124e+000	(-9.26146432615988e+001dB,9.00547501607343e+001°)
1.07646521362983e+000	(-9.25946432279716e+001dB,9.00548763726863e+001°)
1.07894672222983e+000	(-9.25746431941891e+001dB,9.00550028755855e+001°)
1.08143395129794e+000	(-9.25546431602508e+001dB,9.00551296701026e+001°)
1.08392691402120e+000	(-9.25346431261557e+001dB,9.00552567569098e+001°)
1.08642562361706e+000	(-9.25146430919033e+001dB,9.00553841366809e+001°)
1.08893009333343e+000	(-9.24946430574929e+001dB,9.00555118100912e+001°)
1.09144033644876e+000	(-9.24746430229235e+001dB,9.00556397778177e+001°)
1.09395636627209e+000	(-9.24546429881946e+001dB,9.00557680405388e+001°)
1.09647819614318e+000	(-9.24346429533054e+001dB,9.00558965989345e+001°)
1.09900583943252e+000	(-9.24146429182552e+001dB,9.00560254536865e+001°)
1.10153930954141e+000	(-9.23946428830432e+001dB,9.00561546054778e+001°)
1.10407861990207e+000	(-9.23746428476686e+001dB,9.00562840549933e+001°)
1.10662378397766e+000	(-9.23546428121308e+001dB,9.00564138029191e+001°)
1.10917481526240e+000	(-9.23346427764290e+001dB,9.00565438499434e+001°)
1.11173172728159e+000	(-9.23146427405623e+001dB,9.00566741967554e+001°)
1.11429453359173e+000	(-9.22946427045301e+001dB,9.00568048440463e+001°)
1.11686324778056e+000	(-9.22746426683316e+001dB,9.00569357925087e+001°)
1.11943788346715e+000	(-9.22546426319660e+001dB,9.00570670428370e+001°)
1.12201845430196e+000	(-9.22346425954325e+001dB,9.00571985957269e+001°)
1.12460497396692e+000	(-9.22146425587304e+001dB,9.00573304518760e+001°)
1.12719745617551e+000	(-9.21946425218589e+001dB,9.00574626119832e+001°)
1.12979591467280e+000	(-9.21746424848172e+001dB,9.00575950767494e+001°)
1.13240036323556e+000	(-9.21546424476045e+001dB,9.00577278468768e+001°)
1.13501081567231e+000	(-9.21346424102201e+001dB,9.00578609230692e+001°)
1.13762728582343e+000	(-9.21146423726631e+001dB,9.00579943060324e+001°)
1.14024978756117e+000	(-9.20946423349327e+001dB,9.00581279964733e+001°)
1.14287833478977e+000	(-9.20746422970282e+001dB,9.00582619951009e+001°)
1.14551294144553e+000	(-9.20546422589487e+001dB,9.00583963026255e+001°)
1.14815362149688e+000	(-9.20346422206935e+001dB,9.00585309197592e+001°)
1.15080038894443e+000	(-9.20146421822617e+001dB,9.00586658472158e+001°)
1.15345325782109e+000	(-9.19946421436525e+001dB,9.00588010857106e+001°)
1.15611224219210e+000	(-9.19746421048651e+001dB,9.00589366359605e+001°)
1.15877735615512e+000	(-9.19546420658987e+001dB,9.00590724986843e+001°)
1.16144861384034e+000	(-9.19346420267524e+001dB,9.00592086746023e+001°)
1.16412602941049e+000	(-9.19146419874254e+001dB,9.00593451644365e+001°)
1.16680961706096e+000	(-9.18946419479168e+001dB,9.00594819689103e+001°)
1.16949939101987e+000	(-9.18746419082259e+001dB,9.00596190887493e+001°)
1.17219536554813e+000	(-9.18546418683518e+001dB,9.00597565246804e+001°)
1.17489755493953e+000	(-9.18346418282937e+001dB,9.00598942774322e+001°)
1.17760597352080e+000	(-9.18146417880507e+001dB,9.00600323477350e+001°)
1.18032063565173e+000	(-9.17946417476219e+001dB,9.00601707363209e+001°)
1.18304155572516e+000	(-9.17746417070065e+001dB,9.00603094439236e+001°)
1.18576874816716e+000	(-9.17546416662036e+001dB,9.00604484712784e+001°)
1.18850222743702e+000	(-9.17346416252124e+001dB,9.00605878191226e+001°)
1.19124200802737e+000	(-9.17146415840320e+001dB,9.00607274881948e+001°)
1.19398810446427e+000	(-9.16946415426615e+001dB,9.00608674792355e+001°)
1.19674053130724e+000	(-9.16746415011000e+001dB,9.00610077929870e+001°)
1.19949930314938e+000	(-9.16546414593467e+001dB,9.00611484301932e+001°)
1.20226443461741e+000	(-9.16346414174007e+001dB,9.00612893915996e+001°)
1.20503594037179e+000	(-9.16146413752611e+001dB,9.00614306779537e+001°)
1.20781383510678e+000	(-9.15946413329269e+001dB,9.00615722900045e+001°)
1.21059813355048e+000	(-9.15746412903974e+001dB,9.00617142285029e+001°)
1.21338885046497e+000	(-9.15546412476715e+001dB,9.00618564942012e+001°)
1.21618600064636e+000	(-9.15346412047485e+001dB,9.00619990878538e+001°)
1.21898959892486e+000	(-9.15146411616273e+001dB,9.00621420102167e+001°)
1.22179966016487e+000	(-9.14946411183070e+001dB,9.00622852620476e+001°)
1.22461619926504e+000	(-9.14746410747869e+001dB,9.00624288441061e+001°)
1.22743923115840e+000	(-9.14546410310658e+001dB,9.00625727571533e+001°)
1.23026877081238e+000	(-9.14346409871430e+001dB,9.00627170019522e+001°)
1.23310483322890e+000	(-9.14146409430173e+001dB,9.00628615792677e+001°)
1.23594743344451e+000	(-9.13946408986881e+001dB,9.00630064898661e+001°)
1.23879658653036e+000	(-9.13746408541542e+001dB,9.00631517345159e+001°)
1.24165230759241e+000	(-9.13546408094147e+001dB,9.00632973139870e+001°)
1.24451461177138e+000	(-9.13346407644688e+001dB,9.00634432290513e+001°)
1.24738351424294e+000	(-9.13146407193153e+001dB,9.00635894804824e+001°)
1.25025903021771e+000	(-9.12946406739535e+001dB,9.00637360690556e+001°)
1.25314117494141e+000	(-9.12746406283823e+001dB,9.00638829955482e+001°)
1.25602996369487e+000	(-9.12546405826007e+001dB,9.00640302607391e+001°)
1.25892541179416e+000	(-9.12346405366078e+001dB,9.00641778654091e+001°)
1.26182753459066e+000	(-9.12146404904026e+001dB,9.00643258103408e+001°)
1.26473634747115e+000	(-9.11946404439842e+001dB,9.00644740963185e+001°)
1.26765186585784e+000	(-9.11746403973515e+001dB,9.00646227241284e+001°)
1.27057410520854e+000	(-9.11546403505035e+001dB,9.00647716945584e+001°)
1.27350308101666e+000	(-9.11346403034393e+001dB,9.00649210083985e+001°)
1.27643880881134e+000	(-9.11146402561579e+001dB,9.00650706664401e+001°)
1.27938130415752e+000	(-9.10946402086582e+001dB,9.00652206694769e+001°)
1.28233058265602e+000	(-9.10746401609393e+001dB,9.00653710183039e+001°)
1.28528665994361e+000	(-9.10546401130001e+001dB,9.00655217137185e+001°)
1.28824955169313e+000	(-9.10346400648397e+001dB,9.00656727565194e+001°)
1.29121927361353e+000	(-9.10146400164569e+001dB,9.00658241475076e+001°)
1.29419584144998e+000	(-9.09946399678508e+001dB,9.00659758874856e+001°)
1.29717927098395e+000	(-9.09746399190204e+001dB,9.00661279772579e+001°)
1.30016957803328e+000	(-9.09546398699646e+001dB,9.00662804176309e+001°)
1.30316677845229e+000	(-9.09346398206823e+001dB,9.00664332094127e+001°)
1.30617088813183e+000	(-9.09146397711726e+001dB,9.00665863534135e+001°)
1.30918192299940e+000	(-9.08946397214343e+001dB,9.00667398504452e+001°)
1.31219989901920e+000	(-9.08746396714665e+001dB,9.00668937013215e+001°)
1.31522483219223e+000	(-9.08546396212680e+001dB,9.00670479068582e+001°)
1.31825673855640e+000	(-9.08346395708379e+001dB,9.00672024678727e+001°)
1.32129563418657e+000	(-9.08146395201749e+001dB,9.00673573851847e+001°)
1.32434153519466e+000	(-9.07946394692781e+001dB,9.00675126596152e+001°)
1.32739445772973e+000	(-9.07746394181464e+001dB,9.00676682919878e+001°)
1.33045441797808e+000	(-9.07546393667786e+001dB,9.00678242831273e+001°)
1.33352143216332e+000	(-9.07346393151738e+001dB,9.00679806338609e+001°)
1.33659551654643e+000	(-9.07146392633307e+001dB,9.00681373450174e+001°)
1.33967668742593e+000	(-9.06946392112484e+001dB,9.00682944174279e+001°)
1.34276496113786e+000	(-9.06746391589256e+001dB,9.00684518519248e+001°)
1.34586035405594e+000	(-9.06546391063614e+001dB,9.00686096493431e+001°)
1.34896288259164e+000	(-9.06346390535545e+001dB,9.00687678105192e+001°)
1.35207256319427e+000	(-9.06146390005039e+001dB,9.00689263362917e+001°)
1.35518941235103e+000	(-9.05946389472084e+001dB,9.00690852275010e+001°)
1.35831344658715e+000	(-9.05746388936669e+001dB,9.00692444849897e+001°)
1.36144468246594e+000	(-9.05546388398783e+001dB,9.00694041096019e+001°)
1.36458313658892e+000	(-9.05346387858414e+001dB,9.00695641021840e+001°)
1.36772882559584e+000	(-9.05146387315550e+001dB,9.00697244635842e+001°)
1.37088176616484e+000	(-9.04946386770181e+001dB,9.00698851946527e+001°)
