Freq.	V(out)
1.00000000000000e+001	(-3.57329390449905e-004dB,-5.21475332347347e-001°)
1.00230523807790e+001	(-3.57695210053004e-004dB,-5.22677468302075e-001°)
1.00461579027840e+001	(-3.58062718375913e-004dB,-5.23882375543748e-001°)
1.00693166885180e+001	(-3.58431923192612e-004dB,-5.25090060461374e-001°)
1.00925288607668e+001	(-3.58802832360017e-004dB,-5.26300529458700e-001°)
1.01157945425990e+001	(-3.59175453719618e-004dB,-5.27513788954236e-001°)
1.01391138573668e+001	(-3.59549795192948e-004dB,-5.28729845381290e-001°)
1.01624869287070e+001	(-3.59925864728547e-004dB,-5.29948705188008e-001°)
1.01859138805412e+001	(-3.60303670285563e-004dB,-5.31170374837404e-001°)
1.02093948370768e+001	(-3.60683219876189e-004dB,-5.32394860807391e-001°)
1.02329299228075e+001	(-3.61064521569516e-004dB,-5.33622169590822e-001°)
1.02565192625141e+001	(-3.61447583444282e-004dB,-5.34852307695521e-001°)
1.02801629812647e+001	(-3.61832413638055e-004dB,-5.36085281644316e-001°)
1.03038612044162e+001	(-3.62219020299976e-004dB,-5.37321097975080e-001°)
1.03276140576140e+001	(-3.62607411638016e-004dB,-5.38559763240757e-001°)
1.03514216667934e+001	(-3.62997595888116e-004dB,-5.39801284009402e-001°)
1.03752841581801e+001	(-3.63389581332508e-004dB,-5.41045666864218e-001°)
1.03992016582906e+001	(-3.63783376295859e-004dB,-5.42292918403585e-001°)
1.04231742939330e+001	(-3.64178989101874e-004dB,-5.43543045241097e-001°)
1.04472021922080e+001	(-3.64576428172627e-004dB,-5.44796054005600e-001°)
1.04712854805090e+001	(-3.64975701934052e-004dB,-5.46051951341228e-001°)
1.04954242865232e+001	(-3.65376818842946e-004dB,-5.47310743907427e-001°)
1.05196187382322e+001	(-3.65779787429398e-004dB,-5.48572438379009e-001°)
1.05438689639126e+001	(-3.66184616217717e-004dB,-5.49837041446170e-001°)
1.05681750921366e+001	(-3.66591313821900e-004dB,-5.51104559814536e-001°)
1.05925372517729e+001	(-3.66999888846301e-004dB,-5.52375000205193e-001°)
1.06169555719872e+001	(-3.67410349968573e-004dB,-5.53648369354729e-001°)
1.06414301822431e+001	(-3.67822705896262e-004dB,-5.54924674015261e-001°)
1.06659612123026e+001	(-3.68236965388033e-004dB,-5.56203920954479e-001°)
1.06905487922266e+001	(-3.68653137215088e-004dB,-5.57486116955678e-001°)
1.07151930523761e+001	(-3.69071230208425e-004dB,-5.58771268817793e-001°)
1.07398941234124e+001	(-3.69491253246296e-004dB,-5.60059383355439e-001°)
1.07646521362983e+001	(-3.69913215237819e-004dB,-5.61350467398943e-001°)
1.07894672222983e+001	(-3.70337125132617e-004dB,-5.62644527794382e-001°)
1.08143395129794e+001	(-3.70762991926604e-004dB,-5.63941571403622e-001°)
1.08392691402120e+001	(-3.71190824648489e-004dB,-5.65241605104347e-001°)
1.08642562361706e+001	(-3.71620632369415e-004dB,-5.66544635790104e-001°)
1.08893009333343e+001	(-3.72052424224175e-004dB,-5.67850670370337e-001°)
1.09144033644875e+001	(-3.72486209366855e-004dB,-5.69159715770419e-001°)
1.09395636627209e+001	(-3.72921996983366e-004dB,-5.70471778931695e-001°)
1.09647819614318e+001	(-3.73359796348346e-004dB,-5.71786866811515e-001°)
1.09900583943252e+001	(-3.73799616722934e-004dB,-5.73104986383272e-001°)
1.10153930954141e+001	(-3.74241467463745e-004dB,-5.74426144636440e-001°)
1.10407861990207e+001	(-3.74685357926434e-004dB,-5.75750348576610e-001°)
1.10662378397766e+001	(-3.75131297525485e-004dB,-5.77077605225527e-001°)
1.10917481526240e+001	(-3.75579295732282e-004dB,-5.78407921621129e-001°)
1.11173172728159e+001	(-3.76029362051968e-004dB,-5.79741304817581e-001°)
1.11429453359173e+001	(-3.76481506021511e-004dB,-5.81077761885317e-001°)
1.11686324778056e+001	(-3.76935737237674e-004dB,-5.82417299911073e-001°)
1.11943788346715e+001	(-3.77392065343516e-004dB,-5.83759925997926e-001°)
1.12201845430196e+001	(-3.77850500017777e-004dB,-5.85105647265337e-001°)
1.12460497396692e+001	(-3.78311050986457e-004dB,-5.86454470849179e-001°)
1.12719745617551e+001	(-3.78773728007385e-004dB,-5.87806403901783e-001°)
1.12979591467279e+001	(-3.79238540914575e-004dB,-5.89161453591970e-001°)
1.13240036323555e+001	(-3.79705499560371e-004dB,-5.90519627105096e-001°)
1.13501081567231e+001	(-3.80174613846302e-004dB,-5.91880931643085e-001°)
1.13762728582343e+001	(-3.80645893738515e-004dB,-5.93245374424467e-001°)
1.14024978756117e+001	(-3.81119349227269e-004dB,-5.94612962684419e-001°)
1.14287833478977e+001	(-3.81594990354902e-004dB,-5.95983703674802e-001°)
1.14551294144553e+001	(-3.82072827214869e-004dB,-5.97357604664199e-001°)
1.14815362149688e+001	(-3.82552869948845e-004dB,-5.98734672937955e-001°)
1.15080038894443e+001	(-3.83035128737088e-004dB,-6.00114915798216e-001°)
1.15345325782109e+001	(-3.83519613814825e-004dB,-6.01498340563965e-001°)
1.15611224219210e+001	(-3.84006335454899e-004dB,-6.02884954571063e-001°)
1.15877735615512e+001	(-3.84495303977411e-004dB,-6.04274765172288e-001°)
1.16144861384034e+001	(-3.84986529774794e-004dB,-6.05667779737371e-001°)
1.16412602941049e+001	(-3.85480023259736e-004dB,-6.07064005653045e-001°)
