Freq.	V(n005)
1.00000000000000e+001	(-3.16282669803337e-004dB,-6.68153693987000e-001°)
1.00230523807790e+001	(-3.17742530963901e-004dB,-6.69693904827061e-001°)
1.00461579027840e+001	(-3.19209130216261e-004dB,-6.71237665925234e-001°)
1.00693166885180e+001	(-3.20682498684793e-004dB,-6.72784985463666e-001°)
1.00925288607668e+001	(-3.22162667594200e-004dB,-6.74335871643354e-001°)
1.01157945425990e+001	(-3.23649668331236e-004dB,-6.75890332684187e-001°)
1.01391138573668e+001	(-3.25143532435064e-004dB,-6.77448376824983e-001°)
1.01624869287070e+001	(-3.26644291588574e-004dB,-6.79010012323544e-001°)
1.01859138805412e+001	(-3.28151977587524e-004dB,-6.80575247456691e-001°)
1.02093948370768e+001	(-3.29666622439871e-004dB,-6.82144090520310e-001°)
1.02329299228075e+001	(-3.31188258227868e-004dB,-6.83716549829398e-001°)
1.02565192625141e+001	(-3.32716917235358e-004dB,-6.85292633718102e-001°)
1.02801629812647e+001	(-3.34252631887023e-004dB,-6.86872350539770e-001°)
1.03038612044162e+001	(-3.35795434717521e-004dB,-6.88455708666990e-001°)
1.03276140576140e+001	(-3.37345358463102e-004dB,-6.90042716491634e-001°)
1.03514216667934e+001	(-3.38902435994106e-004dB,-6.91633382424905e-001°)
1.03752841581801e+001	(-3.40466700302423e-004dB,-6.93227714897383e-001°)
1.03992016582906e+001	(-3.42038184581536e-004dB,-6.94825722359064e-001°)
1.04231742939330e+001	(-3.43616922145516e-004dB,-6.96427413279407e-001°)
1.04472021922080e+001	(-3.45202946470492e-004dB,-6.98032796147382e-001°)
1.04712854805090e+001	(-3.46796291184038e-004dB,-6.99641879471512e-001°)
1.04954242865232e+001	(-3.48396990077716e-004dB,-7.01254671779916e-001°)
1.05196187382322e+001	(-3.50005077092607e-004dB,-7.02871181620358e-001°)
1.05438689639126e+001	(-3.51620586325098e-004dB,-7.04491417560292e-001°)
1.05681750921366e+001	(-3.53243552030743e-004dB,-7.06115388186901e-001°)
1.05925372517729e+001	(-3.54874008618473e-004dB,-7.07743102107153e-001°)
1.06169555719872e+001	(-3.56511990676639e-004dB,-7.09374567947836e-001°)
1.06414301822431e+001	(-3.58157532927682e-004dB,-7.11009794355612e-001°)
1.06659612123026e+001	(-3.59810670263818e-004dB,-7.12648789997055e-001°)
1.06905487922266e+001	(-3.61471437738361e-004dB,-7.14291563558702e-001°)
1.07151930523761e+001	(-3.63139870567648e-004dB,-7.15938123747101e-001°)
1.07398941234124e+001	(-3.64816004131042e-004dB,-7.17588479288849e-001°)
1.07646521362983e+001	(-3.66499873970932e-004dB,-7.19242638930646e-001°)
1.07894672222983e+001	(-3.68191515784054e-004dB,-7.20900611439335e-001°)
1.08143395129794e+001	(-3.69890965451388e-004dB,-7.22562405601953e-001°)
1.08392691402120e+001	(-3.71598259015974e-004dB,-7.24228030225775e-001°)
1.08642562361706e+001	(-3.73313432651095e-004dB,-7.25897494138363e-001°)
1.08893009333343e+001	(-3.75036522748994e-004dB,-7.27570806187610e-001°)
1.09144033644875e+001	(-3.76767565834083e-004dB,-7.29247975241785e-001°)
1.09395636627209e+001	(-3.78506598629485e-004dB,-7.30929010189586e-001°)
1.09647819614318e+001	(-3.80253657982778e-004dB,-7.32613919940181e-001°)
1.09900583943252e+001	(-3.82008780960505e-004dB,-7.34302713423260e-001°)
1.10153930954141e+001	(-3.83772004775845e-004dB,-7.35995399589077e-001°)
1.10407861990207e+001	(-3.85543366818508e-004dB,-7.37691987408501e-001°)
1.10662378397766e+001	(-3.87322904634487e-004dB,-7.39392485873063e-001°)
1.10917481526240e+001	(-3.89110655966559e-004dB,-7.41096903995002e-001°)
1.11173172728159e+001	(-3.90906658722466e-004dB,-7.42805250807314e-001°)
1.11429453359173e+001	(-3.92710950984552e-004dB,-7.44517535363798e-001°)
1.11686324778056e+001	(-3.94523571013627e-004dB,-7.46233766739107e-001°)
1.11943788346715e+001	(-3.96344557231606e-004dB,-7.47953954028792e-001°)
1.12201845430196e+001	(-3.98173948262980e-004dB,-7.49678106349353e-001°)
1.12460497396692e+001	(-4.00011782911668e-004dB,-7.51406232838286e-001°)
1.12719745617551e+001	(-4.01858100109909e-004dB,-7.53138342654131e-001°)
1.12979591467279e+001	(-4.03712939039772e-004dB,-7.54874444976521e-001°)
1.13240036323555e+001	(-4.05576339008753e-004dB,-7.56614549006231e-001°)
1.13501081567231e+001	(-4.07448339552963e-004dB,-7.58358663965223e-001°)
