frequency,MAG,PHA
100.0,0.0,-6.0
112.36548001387504,0.0,-7.0
126.26001098748564,-0.0999999999999999,-7.0
141.87266741165962,-0.0999999999999999,-9.0
159.41590374559996,-0.0999999999999999,-9.0
179.1284454622004,-0.0999999999999999,-10.0
201.27853758499384,-0.0999999999999998,-11.6279069767442
226.16759492228644,-0.0999999999999997,-14.0
254.13430367026365,-0.2,-14.3157894736842
285.5592301990106,-0.2,-17.0
320.869999737045,-0.2,-19.0
360.5471154250502,-0.3,-22.0
405.1304969235382,-0.299999999999999,-24.0
455.22682755073095,-0.399999999999999,-27.0
511.5178099293145,-0.5,-30.0
574.7694424835353,-0.599999999999998,-33.0
645.8424430196978,-0.799999999999998,-37.0
725.7039612324216,-1.0,-42.0
815.4407395185161,-1.19999999999999,-47.225181598063
916.2739011886731,-1.5,-52.1908045977012
1029.5755673125127,-1.79999999999999,-59.0
1156.887528316282,-2.29999999999998,-64.1285714285714
1299.942224413245,-2.9,-71.0
1460.686320364989,-3.59999999999998,-78.0
1641.30719537513,-4.40000000000002,-85.6893203883495
1844.2627085855347,-5.29999999999999,-94.0
2072.3146452190294,-6.40000000000005,-101.543859649123
2328.5662984981964,-7.69999999999994,-109.0
2616.504698748821,-9.09999999999996,-117.0
2940.0480643347078,-10.5,-122.568181818182
3303.5991201283396,-12.1999999999999,-128.022883295195
3712.105009066361,-13.8999999999999,-134.344370860927
4171.1246120565165,-15.6999999999999,-140.41605839416
4686.904192314192,-17.5,-145.115
5266.462393484281,-19.3999999999999,-148.049504950495
5917.685748188818,-21.2997474747476,-151.906329113924
6649.435996665045,-23.2,-154.938461538462
7471.670675868082,-25.2,-158.004914004914
8395.578619995113,-27.127403846154,-160.899038461538
9433.732216299773,-29.1005037783377,-162.858585858586
10600.258488068825,-31.1000000000002,-164.70895522388
11911.03133283008,-33.1000000000002,-166.441102756892
13383.887531737564,-35.1000000000002,-168.156171284635
15038.869469554102,-37.0895522388062,-169.01246882793
16898.497868124552,-39.0756281407037,-171.571788413098
18988.078244652614,-41.0417754569192,-173.7967914438503
21336.04526501411,-42.9988338192419,-174.96
23974.349678010785,-44.9320699708454,-179.7310126582279
26938.893095901753,-46.8162790697673,-179.504731861199
30270.016537634616,-48.7363636363637,-180.980842911877
34013.04938279253,-50.3286135693216,-180.769516728625
38218.92620633115,-52,-180.7089947089946
42944.87988789272,-53,-180.3260869565217
