frequency;MAG;PHA
100.0;-53.1416666666666;0
112.36548001387504;-52.1095238095238;0
126.26001098748564;-51.1046875;0
141.87266741165962;-50.0758064516129;0
159.41590374559996;-49.0433333333333;95.96
179.1284454622004;-47.9966666666667;98.05
201.27853758499384;-46.9526717557252;99.2615384615385
226.16759492228644;-45.8829787234042;100.54609929078
254.13430367026365;-44.7955223880597;101.60447761194
285.5592301990106;-43.7007518796992;102.616541353383
320.869999737045;-42.5706766917293;104.654135338346
360.5471154250502;-41.4068181818182;105.757575757576
405.1304969235382;-40.2245714285714;107.754285714286
455.22682755073095;-39.0186046511628;109.308139534884
511.5178099293145;-37.7613095238096;110.89880952381
574.7694424835353;-36.4469879518072;112.753012048193
645.8424430196978;-35.0957055214724;114.515337423313
725.7039612324216;-33.6987499999999;116.425
815.4407395185161;-32.2341346153846;118.271634615385
916.2739011886731;-30.7368181818182;119.622727272727
1029.5755673125127;-29.2000000000002;120.509259259259
1156.887528316282;-27.6000000000002;121.596736596737
1299.942224413245;-26.0;122.832935560859
1460.686320364989;-24.3002398081534;122.865707434053
1641.30719537513;-22.7;121.114634146341
1844.2627085855347;-21.0059382422803;119.857482185273
2072.3146452190294;-19.3889370932753;119.750542299349
2328.5662984981964;-17.6999999999999;117.030837004405
2616.504698748821;-16.1000000000001;114.541019955654
2940.0480643347078;-14.522972972973;111.067567567568
3303.5991201283396;-13.0;107.995444191344
3712.105009066361;-11.6;103.813186813187
4171.1246120565165;-10.1999999999999;98.7384987893463
4686.904192314192;-8.90000000000004;93.2121951219512
5266.462393484281;-7.69999999999996;88.0
5917.685748188818;-6.6081885856079;82.0199004975124
6649.435996665045;-5.70000000000001;76.1363636363637
7471.670675868082;-4.79999999999998;70.5647921760391
8395.578619995113;-4.09999999999998;64.0216867469879
9433.732216299773;-3.5;58.516290726817
10600.258488068825;-2.9;53.0
11911.03133283008;-2.49751861042184;48.0
13383.887531737564;-2.10000000000001;42.7543859649123
15038.869469554102;-1.79999999999999;36.9553349875931
16898.497868124552;-1.50125313283208;33.0
18988.078244652614;-1.38295165394401;29.0
21336.04526501411;-1.19999999999999;-3.64788732394366
23974.349678010785;-1.1;7.95774647887324
26938.893095901753;-1.0;18.5580736543909
30270.016537634616;-0.899999999999999;14.0596590909091
34013.04938279253;-0.899999999999998;11.9750692520776
38218.92620633115;-0.892351274787535;9.02266288951841
42944.87988789272;-0.817191977077369;4.65902578796561
48255.22042741279;-0.899999999999999;2.66860465116279
54222.21006501592;-0.899999999999999;0.306122448979592
60927.04661368674;-0.932248520710059;0.584569732937685
68460.96838574657;-1.01596385542169;30.6132930513595
76926.4957487913;-1.1;20.9447852760736
86438.82620598261;-1.20092879256965;34.8850931677019
97127.40198471167;-1.39999999999999;33.8031746031746
109137.67146512738;-1.3820895522388;-13.952380952381
122633.06841775644;-1.72058823529412;-16.1090909090909
137797.23598335567;-2.34242424242424;-18.3636363636364
154836.52565854992;-2.55757575757576;-20.9464285714286
173982.80529303622;-2.7703125;-22.8269230769231
195496.61430912596;-3.68571428571428;-19.0
219670.7090793235;-3.52741935483871;-22.6333333333333
246834.0467068651;-3.98833333333333;-26.3396226415094
277356.2614198418;-4.60338983050848;-27.8392857142857
311652.694492943;-4.85344827586207;-27.0196078431373
350190.04614317056;-5.3719298245614;-28.7735849056604
393492.7263095845;-6.10545454545455;-29.6444444444444
442149.9907374487;-6.56363636363636;-30.9268292682927
496823.95947343874;-6.98490566037736;-32.28
558258.62688627;-7.63396226415094;-33.5094339622642
627289.9858196244;-8.09411764705882;-29.1176470588235
704857.4036451903;-8.442;-27.68
792016.4050192541;-8.75000000000001;-27.22
889953.0352885225;-8.90000000000001;-26.4166666666667
1000000.0;-9.23541666666666;-26.2083333333333
