frequency;MAG;PHA
100.0;0.0;-5.73333333333333
126.63801734674034;0.0;-6.921875
160.3718743751331;0.0;-9.0
203.09176209047348;-0.0999999999999998;-12.0
257.19138090593447;-0.0999999999999998;-14.0
325.7020655659783;-0.0999999999999998;-18.5639097744361
412.4626382901352;-0.2;-22.0171428571429
522.3345074266844;-0.299999999999999;-28.7278106508876
661.4740641230146;-0.52962962962963;-36.0
837.6776400682916;-0.899999999999996;-45.9927710843374
1000.0;-1.3;-55.0
1060.8183551394482;-1.5;-57.9726651480638
1343.3993325989002;-2.39999999999999;-71.0
1701.2542798525892;-4.0;-87.3396674584323
2154.4346900318824;-6.19999999999997;-103.991341991342
2728.3333764867693;-9.0;-118.878103837472
3455.1072945922183;-12.3461363636364;-131.481818181818
4375.479375074185;-16.0408212560387;-141.968599033817
5541.020330009492;-19.9019950124687;-151.4125
7017.038286703822;-23.8817721518986;-155.529113924051
8886.238162743408;-27.765974025974;-122.132791327913
11253.355826007646;-31.4375959079284;49.9707602339181
14251.026703029964;-34.1711779448622;79.4536082474227
18047.217668271704;-35.5853365384616;49.0058823529411
22854.63864134993;-35.822102425876;86.2798507462687
28942.661247167518;-35.4;38.6984126984127
36652.41237079626;-34.6035040431267;299.335849056604
3500.0;-12.5;-131.856164383562
46415.888336127726;-34.253825136612;631.676567656765
58780.16072274912;-33.6686980609418;150.435483870968
74438.03013251696;-33.1143266475644;83.2
94266.84551178855;-32.7320588235294;95.4668989547039
119377.66417144358;-43.0544117647059;216.8
151177.507061566;-41.9507692307692;-23.8333333333333
191448.19761699575;-41.8888888888889;3.53846153846155
242446.20170823307;-40.2508196721312;-73.2857142857143
307029.062975785;-40.5034482758621;48.0217391304348
388815.51803080854;-40.8035714285714;120.076923076923
492388.26317067316;-38.9907407407407;-69.5681818181818
623550.7341273912;-36.1461538461539;611.702127659574
789652.2868499733;-34.432;84.8709677419355
1000000.0;-33.1875;183.47619047619
