Freq.	V(out)
1.00000000000000e+000	(-1.52268156965973e-006dB,-3.38399992371329e-002°)
1.00230523807790e+000	(-1.52970995012939e-006dB,-3.39180084884011e-002°)
1.00461579027840e+000	(-1.53677077058646e-006dB,-3.39961975695413e-002°)
1.00693166885180e+000	(-1.54386418243045e-006dB,-3.40745668951039e-002°)
1.00925288607668e+000	(-1.55099033513223e-006dB,-3.41531168805952e-002°)
1.01157945425990e+000	(-1.55814938105563e-006dB,-3.42318479424791e-002°)
1.01391138573668e+000	(-1.56534147256451e-006dB,-3.43107604981796e-002°)
1.01624869287070e+000	(-1.57256676202273e-006dB,-3.43898549660830e-002°)
1.01859138805412e+000	(-1.57982539986546e-006dB,-3.44691317655400e-002°)
1.02093948370768e+000	(-1.58711754231389e-006dB,-3.45485913168682e-002°)
1.02329299228075e+000	(-1.59444334366050e-006dB,-3.46282340413539e-002°)
1.02565192625141e+000	(-1.60180295916215e-006dB,-3.47080603612547e-002°)
1.02801629812647e+000	(-1.60919654793297e-006dB,-3.47880706998015e-002°)
1.03038612044162e+000	(-1.61662426040817e-006dB,-3.48682654812010e-002°)
1.03276140576140e+000	(-1.62408625859487e-006dB,-3.49486451306376e-002°)
1.03514216667934e+000	(-1.63158269967858e-006dB,-3.50292100742760e-002°)
1.03752841581801e+000	(-1.63911374470210e-006dB,-3.51099607392633e-002°)
1.03992016582906e+000	(-1.64667955085093e-006dB,-3.51908975537312e-002°)
1.04231742939330e+000	(-1.65428027820354e-006dB,-3.52720209467984e-002°)
1.04472021922080e+000	(-1.66191608876708e-006dB,-3.53533313485728e-002°)
1.04712854805090e+000	(-1.66958714647733e-006dB,-3.54348291901538e-002°)
1.04954242865232e+000	(-1.67729360851981e-006dB,-3.55165149036346e-002°)
1.05196187382322e+000	(-1.68503564461626e-006dB,-3.55983889221044e-002°)
1.05438689639126e+000	(-1.69281341580951e-006dB,-3.56804516796509e-002°)
