Freq.	V(n004)
1.00000000000000e+000	(-2.08212727215294e-006dB,-3.96719980611945e-002°)
1.00230523807790e+000	(-2.09173793557268e-006dB,-3.97634514527818e-002°)
1.00461579027840e+000	(-2.10139295904157e-006dB,-3.98551156661475e-002°)
1.00693166885180e+000	(-2.11109254796157e-006dB,-3.99469911872857e-002°)
1.00925288607668e+000	(-2.12083690773462e-006dB,-4.00390785033106e-002°)
1.01157945425990e+000	(-2.13062624472700e-006dB,-4.01313781024594e-002°)
1.01391138573668e+000	(-2.14046077012663e-006dB,-4.02238904740948e-002°)
1.01624869287070e+000	(-2.15034068740681e-006dB,-4.03166161087076e-002°)
1.01859138805412e+000	(-2.16026620871980e-006dB,-4.04095554979193e-002°)
1.02093948370768e+000	(-2.17023754332485e-006dB,-4.05027091344847e-002°)
1.02329299228075e+000	(-2.18025490530289e-006dB,-4.05960775122946e-002°)
1.02565192625141e+000	(-2.19031850487750e-006dB,-4.06896611263780e-002°)
1.02801629812647e+000	(-2.20042855516527e-006dB,-4.07834604729055e-002°)
1.03038612044162e+000	(-2.21058527121145e-006dB,-4.08774760491912e-002°)
1.03276140576140e+000	(-2.22078886998994e-006dB,-4.09717083536957e-002°)
1.03514216667934e+000	(-2.23103956461732e-006dB,-4.10661578860287e-002°)
1.03752841581801e+000	(-2.24133757688914e-006dB,-4.11608251469516e-002°)
1.03992016582906e+000	(-2.25168311992198e-006dB,-4.12557106383801e-002°)
1.04231742939330e+000	(-2.26207641647573e-006dB,-4.13508148633871e-002°)
1.04472021922080e+000	(-2.27251768641728e-006dB,-4.14461383262050e-002°)
1.04712854805090e+000	(-2.28300715250649e-006dB,-4.15416815322287e-002°)
1.04954242865232e+000	(-2.29354503461027e-006dB,-4.16374449880182e-002°)
1.05196187382322e+000	(-2.30413155741715e-006dB,-4.17334292013010e-002°)
1.05438689639126e+000	(-2.31476694561566e-006dB,-4.18296346809752e-002°)
1.05681750921366e+000	(-2.32545142293003e-006dB,-4.19260619371121e-002°)
1.05925372517729e+000	(-2.33618521694177e-006dB,-4.20227114809587e-002°)
1.06169555719872e+000	(-2.34696856005405e-006dB,-4.21195838249407e-002°)
1.06414301822431e+000	(-2.35780167406243e-006dB,-4.22166794826647e-002°)
1.06659612123026e+000	(-2.36868479137008e-006dB,-4.23139989689218e-002°)
1.06905487922266e+000	(-2.37961814341585e-006dB,-4.24115427996894e-002°)
1.07151930523761e+000	(-2.39060196163857e-006dB,-4.25093114921345e-002°)
1.07398941234124e+000	(-2.40163647940576e-006dB,-4.26073055646162e-002°)
1.07646521362983e+000	(-2.41272192912058e-006dB,-4.27055255366888e-002°)
1.07894672222983e+000	(-2.42385854704354e-006dB,-4.28039719291040e-002°)
1.08143395129794e+000	(-2.43504656943511e-006dB,-4.29026452638140e-002°)
1.08392691402120e+000	(-2.44628623352013e-006dB,-4.30015460639744e-002°)
1.08642562361706e+000	(-2.45757777845208e-006dB,-4.31006748539466e-002°)
1.08893009333343e+000	(-2.46892144145577e-006dB,-4.32000321593009e-002°)
1.09144033644876e+000	(-2.48031746457768e-006dB,-4.32996185068191e-002°)
1.09395636627209e+000	(-2.49176608986428e-006dB,-4.33994344244974e-002°)
1.09647819614318e+000	(-2.50326755936204e-006dB,-4.34994804415490e-002°)
1.09900583943252e+000	(-2.51482211608176e-006dB,-4.35997570884073e-002°)
1.10153930954141e+000	(-2.52643000785589e-006dB,-4.37002648967283e-002°)
1.10407861990207e+000	(-2.53809147865955e-006dB,-4.38010043993936e-002°)
1.10662378397766e+000	(-2.54980677632520e-006dB,-4.39019761305133e-002°)
1.10917481526240e+000	(-2.56157614964961e-006dB,-4.40031806254287e-002°)
1.11173172728159e+000	(-2.57339984646523e-006dB,-4.41046184207152e-002°)
1.11429453359173e+000	(-2.58527812039050e-006dB,-4.42062900541850e-002°)
1.11686324778056e+000	(-2.59721122215083e-006dB,-4.43081960648904e-002°)
1.11943788346715e+000	(-2.60919940536468e-006dB,-4.44103369931259e-002°)
1.12201845430196e+000	(-2.62124292075746e-006dB,-4.45127133804320e-002°)
1.12460497396692e+000	(-2.63334202869792e-006dB,-4.46153257695971e-002°)
1.12719745617551e+000	(-2.64549698376882e-006dB,-4.47181747046611e-002°)
1.12979591467280e+000	(-2.65770804151724e-006dB,-4.48212607309181e-002°)
1.13240036323556e+000	(-2.66997546616923e-006dB,-4.49245843949191e-002°)
1.13501081567231e+000	(-2.68229951037890e-006dB,-4.50281462444750e-002°)
1.13762728582343e+000	(-2.69468044319393e-006dB,-4.51319468286596e-002°)
1.14024978756117e+000	(-2.70711852209010e-006dB,-4.52359866978125e-002°)
1.14287833478977e+000	(-2.71961401515075e-006dB,-4.53402664035418e-002°)
1.14551294144553e+000	(-2.73216718081599e-006dB,-4.54447864987274e-002°)
1.14815362149688e+000	(-2.74477829295515e-006dB,-4.55495475375235e-002°)
1.15080038894443e+000	(-2.75744761193698e-006dB,-4.56545500753618e-002°)
1.15345325782109e+000	(-2.77017541163081e-006dB,-4.57597946689545e-002°)
1.15611224219210e+000	(-2.78296196108437e-006dB,-4.58652818762972e-002°)
1.15877735615512e+000	(-2.79580752838103e-006dB,-4.59710122566715e-002°)
1.16144861384034e+000	(-2.80871239028312e-006dB,-4.60769863706485e-002°)
1.16412602941049e+000	(-2.82167681776701e-006dB,-4.61832047800916e-002°)
1.16680961706096e+000	(-2.83470108470207e-006dB,-4.62896680481594e-002°)
1.16949939101987e+000	(-2.84778546977929e-006dB,-4.63963767393085e-002°)
1.17219536554813e+000	(-2.86093025072534e-006dB,-4.65033314192969e-002°)
1.17489755493953e+000	(-2.87413570430257e-006dB,-4.66105326551867e-002°)
1.17760597352080e+000	(-2.88740211209498e-006dB,-4.67179810153474e-002°)
1.18032063565173e+000	(-2.90072975279356e-006dB,-4.68256770694585e-002°)
1.18304155572516e+000	(-2.91411891280397e-006dB,-4.69336213885128e-002°)
1.18576874816716e+000	(-2.92756987563885e-006dB,-4.70418145448195e-002°)
1.18850222743702e+000	(-2.94108292481086e-006dB,-4.71502571120070e-002°)
1.19124200802737e+000	(-2.95465834576132e-006dB,-4.72589496650259e-002°)
1.19398810446427e+000	(-2.96829642682453e-006dB,-4.73678927801524e-002°)
1.19674053130724e+000	(-2.98199746019211e-006dB,-4.74770870349911e-002°)
1.19949930314938e+000	(-2.99576173516270e-006dB,-4.75865330084782e-002°)
1.20226443461741e+000	(-3.00958954392792e-006dB,-4.76962312808842e-002°)
1.20503594037179e+000	(-3.02348117675075e-006dB,-4.78061824338176e-002°)
1.20781383510678e+000	(-3.03743693257310e-006dB,-4.79163870502274e-002°)
1.21059813355048e+000	(-3.05145710358662e-006dB,-4.80268457144064e-002°)
1.21338885046497e+000	(-3.06554198776891e-006dB,-4.81375590119947e-002°)
1.21618600064636e+000	(-3.07969188888353e-006dB,-4.82485275299819e-002°)
1.21898959892486e+000	(-3.09390710008647e-006dB,-4.83597518567112e-002°)
1.22179966016487e+000	(-3.10818792610564e-006dB,-4.84712325818818e-002°)
1.22461619926504e+000	(-3.12253466877596e-006dB,-4.85829702965524e-002°)
1.22743923115840e+000	(-3.13694763282534e-006dB,-4.86949655931442e-002°)
1.23026877081238e+000	(-3.15142712394604e-006dB,-4.88072190654440e-002°)
1.23310483322890e+000	(-3.16597345072330e-006dB,-4.89197313086076e-002°)
1.23594743344451e+000	(-3.18058691981368e-006dB,-4.90325029191626e-002°)
1.23879658653036e+000	(-3.19526784365975e-006dB,-4.91455344950118e-002°)
1.24165230759241e+000	(-3.21001652698944e-006dB,-4.92588266354362e-002°)
1.24451461177138e+000	(-3.22483328995994e-006dB,-4.93723799410985e-002°)
