Freq.	V(out)
1.00000000000000e+003	(-2.94227703023886e+001dB,1.23861044536235e+002°)
1.00230523807790e+003	(-2.93912084271092e+001dB,1.23882828944490e+002°)
1.00461579027840e+003	(-2.93596295185186e+001dB,1.23904483485447e+002°)
1.00693166885180e+003	(-2.93280336218247e+001dB,1.23926007684385e+002°)
1.00925288607668e+003	(-2.92964207824995e+001dB,1.23947401067296e+002°)
1.01157945425990e+003	(-2.92647910462788e+001dB,1.23968663160887e+002°)
1.01391138573668e+003	(-2.92331444591615e+001dB,1.23989793492586e+002°)
1.01624869287070e+003	(-2.92014810674089e+001dB,1.24010791590555e+002°)
1.01859138805412e+003	(-2.91698009175438e+001dB,1.24031656983688e+002°)
1.02093948370768e+003	(-2.91381040563502e+001dB,1.24052389201625e+002°)
1.02329299228075e+003	(-2.91063905308722e+001dB,1.24072987774752e+002°)
1.02565192625141e+003	(-2.90746603884137e+001dB,1.24093452234211e+002°)
1.02801629812647e+003	(-2.90429136765372e+001dB,1.24113782111907e+002°)
1.03038612044162e+003	(-2.90111504430636e+001dB,1.24133976940510e+002°)
1.03276140576140e+003	(-2.89793707360711e+001dB,1.24154036253465e+002°)
1.03514216667934e+003	(-2.89475746038949e+001dB,1.24173959584997e+002°)
1.03752841581801e+003	(-2.89157620951259e+001dB,1.24193746470116e+002°)
1.03992016582906e+003	(-2.88839332586106e+001dB,1.24213396444625e+002°)
1.04231742939330e+003	(-2.88520881434499e+001dB,1.24232909045124e+002°)
1.04472021922080e+003	(-2.88202267989986e+001dB,1.24252283809019e+002°)
1.04712854805090e+003	(-2.87883492748647e+001dB,1.24271520274522e+002°)
1.04954242865232e+003	(-2.87564556209084e+001dB,1.24290617980663e+002°)
1.05196187382322e+003	(-2.87245458872418e+001dB,1.24309576467295e+002°)
1.05438689639126e+003	(-2.86926201242278e+001dB,1.24328395275094e+002°)
1.05681750921366e+003	(-2.86606783824793e+001dB,1.24347073945572e+002°)
1.05925372517729e+003	(-2.86287207128589e+001dB,1.24365612021079e+002°)
1.06169555719872e+003	(-2.85967471664777e+001dB,1.24384009044808e+002°)
1.06414301822431e+003	(-2.85647577946947e+001dB,1.24402264560804e+002°)
1.06659612123026e+003	(-2.85327526491162e+001dB,1.24420378113965e+002°)
1.06905487922266e+003	(-2.85007317815947e+001dB,1.24438349250050e+002°)
1.07151930523761e+003	(-2.84686952442285e+001dB,1.24456177515686e+002°)
1.07398941234124e+003	(-2.84366430893607e+001dB,1.24473862458369e+002°)
1.07646521362983e+003	(-2.84045753695786e+001dB,1.24491403626475e+002°)
1.07894672222983e+003	(-2.83724921377128e+001dB,1.24508800569260e+002°)
1.08143395129794e+003	(-2.83403934468364e+001dB,1.24526052836867e+002°)
1.08392691402120e+003	(-2.83082793502644e+001dB,1.24543159980335e+002°)
1.08642562361706e+003	(-2.82761499015528e+001dB,1.24560121551597e+002°)
1.08893009333343e+003	(-2.82440051544979e+001dB,1.24576937103490e+002°)
1.09144033644875e+003	(-2.82118451631354e+001dB,1.24593606189762e+002°)
1.09395636627209e+003	(-2.81796699817397e+001dB,1.24610128365071e+002°)
1.09647819614318e+003	(-2.81474796648233e+001dB,1.24626503184993e+002°)
1.09900583943252e+003	(-2.81152742671355e+001dB,1.24642730206029e+002°)
1.10153930954141e+003	(-2.80830538436622e+001dB,1.24658808985607e+002°)
1.10407861990207e+003	(-2.80508184496248e+001dB,1.24674739082088e+002°)
1.10662378397766e+003	(-2.80185681404795e+001dB,1.24690520054769e+002°)
1.10917481526240e+003	(-2.79863029719165e+001dB,1.24706151463891e+002°)
1.11173172728159e+003	(-2.79540229998591e+001dB,1.24721632870643e+002°)
1.11429453359173e+003	(-2.79217282804630e+001dB,1.24736963837164e+002°)
1.11686324778056e+003	(-2.78894188701157e+001dB,1.24752143926548e+002°)
1.11943788346715e+003	(-2.78570948254353e+001dB,1.24767172702854e+002°)
1.12201845430196e+003	(-2.78247562032701e+001dB,1.24782049731103e+002°)
1.12460497396692e+003	(-2.77924030606974e+001dB,1.24796774577288e+002°)
1.12719745617551e+003	(-2.77600354550232e+001dB,1.24811346808374e+002°)
1.12979591467279e+003	(-2.77276534437809e+001dB,1.24825765992308e+002°)
1.13240036323555e+003	(-2.76952570847310e+001dB,1.24840031698018e+002°)
1.13501081567231e+003	(-2.76628464358597e+001dB,1.24854143495419e+002°)
1.13762728582343e+003	(-2.76304215553786e+001dB,1.24868100955421e+002°)
1.14024978756117e+003	(-2.75979825017239e+001dB,1.24881903649925e+002°)
1.14287833478977e+003	(-2.75655293335551e+001dB,1.24895551151837e+002°)
1.14551294144553e+003	(-2.75330621097549e+001dB,1.24909043035065e+002°)
1.14815362149688e+003	(-2.75005808894276e+001dB,1.24922378874524e+002°)
1.15080038894443e+003	(-2.74680857318991e+001dB,1.24935558246144e+002°)
1.15345325782109e+003	(-2.74355766967156e+001dB,1.24948580726871e+002°)
1.15611224219210e+003	(-2.74030538436429e+001dB,1.24961445894669e+002°)
1.15877735615512e+003	(-2.73705172326657e+001dB,1.24974153328531e+002°)
1.16144861384034e+003	(-2.73379669239865e+001dB,1.24986702608473e+002°)
