Freq.	V(N004)/V(N002)
1.00000000000000e+003	(-3.16333355040587e+001dB,1.61773274709245e+002°)
1.00230523807790e+003	(-3.15942985927900e+001dB,1.61731876717306e+002°)
1.00461579027840e+003	(-3.15552660398034e+001dB,1.61690387487774e+002°)
1.00693166885180e+003	(-3.15162378644199e+001dB,1.61648806838832e+002°)
1.00925288607668e+003	(-3.14772140860427e+001dB,1.61607134588437e+002°)
1.01157945425990e+003	(-3.14381947241571e+001dB,1.61565370554317e+002°)
1.01391138573668e+003	(-3.13991797983310e+001dB,1.61523514553969e+002°)
1.01624869287070e+003	(-3.13601693282153e+001dB,1.61481566404667e+002°)
1.01859138805412e+003	(-3.13211633335440e+001dB,1.61439525923456e+002°)
1.02093948370768e+003	(-3.12821618341348e+001dB,1.61397392927157e+002°)
1.02329299228075e+003	(-3.12431648498891e+001dB,1.61355167232364e+002°)
1.02565192625141e+003	(-3.12041724007926e+001dB,1.61312848655449e+002°)
1.02801629812647e+003	(-3.11651845069155e+001dB,1.61270437012560e+002°)
1.03038612044162e+003	(-3.11262011884126e+001dB,1.61227932119621e+002°)
1.03276140576140e+003	(-3.10872224655241e+001dB,1.61185333792336e+002°)
1.03514216667934e+003	(-3.10482483585756e+001dB,1.61142641846188e+002°)
1.03752841581801e+003	(-3.10092788879784e+001dB,1.61099856096439e+002°)
1.03992016582906e+003	(-3.09703140742300e+001dB,1.61056976358131e+002°)
1.04231742939330e+003	(-3.09313539379143e+001dB,1.61014002446089e+002°)
1.04472021922080e+003	(-3.08923984997020e+001dB,1.60970934174919e+002°)
1.04712854805090e+003	(-3.08534477803507e+001dB,1.60927771359011e+002°)
1.04954242865232e+003	(-3.08145018007056e+001dB,1.60884513812539e+002°)
1.05196187382322e+003	(-3.07755605816997e+001dB,1.60841161349460e+002°)
1.05438689639126e+003	(-3.07366241443539e+001dB,1.60797713783520e+002°)
1.05681750921366e+003	(-3.06976925097775e+001dB,1.60754170928249e+002°)
1.05925372517729e+003	(-3.06587656991688e+001dB,1.60710532596965e+002°)
1.06169555719872e+003	(-3.06198437338148e+001dB,1.60666798602776e+002°)
1.06414301822431e+003	(-3.05809266350921e+001dB,1.60622968758577e+002°)
1.06659612123026e+003	(-3.05420144244671e+001dB,1.60579042877054e+002°)
1.06905487922266e+003	(-3.05031071234960e+001dB,1.60535020770686e+002°)
1.07151930523761e+003	(-3.04642047538257e+001dB,1.60490902251741e+002°)
