Freq.	V(n004)
1.00000000000000e+001	(8.88747466733319e-005dB,-3.74409375606599e-001°)
1.00230523807790e+001	(8.92849579973161e-005dB,-3.75272508407468e-001°)
1.00461579027840e+001	(8.96970626159221e-005dB,-3.76137631143243e-001°)
1.00693166885180e+001	(9.01110692790970e-005dB,-3.77004748402641e-001°)
1.00925288607668e+001	(9.05269867599288e-005dB,-3.77873864784970e-001°)
1.01157945425990e+001	(9.09448238816468e-005dB,-3.78744984900145e-001°)
1.01391138573668e+001	(9.13645894964071e-005dB,-3.79618113368724e-001°)
1.01624869287070e+001	(9.17862925065071e-005dB,-3.80493254821924e-001°)
1.01859138805412e+001	(9.22099418547427e-005dB,-3.81370413901647e-001°)
1.02093948370768e+001	(9.26355465224793e-005dB,-3.82249595260508e-001°)
1.02329299228075e+001	(9.30631155335093e-005dB,-3.83130803561858e-001°)
1.02565192625141e+001	(9.34926579579089e-005dB,-3.84014043479807e-001°)
1.02801629812647e+001	(9.39241828966097e-005dB,-3.84899319699253e-001°)
1.03038612044162e+001	(9.43576994987559e-005dB,-3.85786636915901e-001°)
1.03276140576140e+001	(9.47932169578468e-005dB,-3.86675999836295e-001°)
1.03514216667934e+001	(9.52307445155948e-005dB,-3.87567413177837e-001°)
1.03752841581801e+001	(9.56702914368521e-005dB,-3.88460881668816e-001°)
1.03992016582906e+001	(9.61118670443271e-005dB,-3.89356410048431e-001°)
1.04231742939330e+001	(9.65554807070119e-005dB,-3.90254003066817e-001°)
1.04472021922080e+001	(9.70011418228247e-005dB,-3.91153665485071e-001°)
1.04712854805090e+001	(9.74488598456108e-005dB,-3.92055402075276e-001°)
1.04954242865232e+001	(9.78986442619988e-005dB,-3.92959217620528e-001°)
1.05196187382322e+001	(9.83505046164728e-005dB,-3.93865116914958e-001°)
1.05438689639126e+001	(9.88044504805145e-005dB,-3.94773104763764e-001°)
1.05681750921366e+001	(9.92604914853895e-005dB,-3.95683185983228e-001°)
1.05925372517729e+001	(9.97186372990040e-005dB,-3.96595365400751e-001°)
1.06169555719872e+001	(1.00178897633619e-004dB,-3.97509647854870e-001°)
1.06414301822431e+001	(1.00641282253566e-004dB,-3.98426038195290e-001°)
1.06659612123026e+001	(1.01105800952100e-004dB,-3.99344541282907e-001°)
1.06905487922266e+001	(1.01572463586119e-004dB,-4.00265161989834e-001°)
1.07151930523761e+001	(1.02041280045305e-004dB,-4.01187905199428e-001°)
1.07398941234124e+001	(1.02512260271408e-004dB,-4.02112775806314e-001°)
1.07646521362983e+001	(1.02985414248603e-004dB,-4.03039778716414e-001°)
1.07894672222983e+001	(1.03460752011207e-004dB,-4.03968918846972e-001°)
1.08143395129794e+001	(1.03938283637892e-004dB,-4.04900201126577e-001°)
1.08392691402120e+001	(1.04418019243970e-004dB,-4.05833630495195e-001°)
1.08642562361706e+001	(1.04899969018036e-004dB,-4.06769211904190e-001°)
1.08893009333343e+001	(1.05384143162183e-004dB,-4.07706950316355e-001°)
1.09144033644875e+001	(1.05870551947929e-004dB,-4.08646850705933e-001°)
1.09395636627209e+001	(1.06359205693077e-004dB,-4.09588918058649e-001°)
1.09647819614318e+001	(1.06850114750140e-004dB,-4.10533157371733e-001°)
1.09900583943252e+001	(1.07343289529487e-004dB,-4.11479573653949e-001°)
1.10153930954141e+001	(1.07838740487769e-004dB,-4.12428171925618e-001°)
1.10407861990207e+001	(1.08336478133705e-004dB,-4.13378957218650e-001°)
1.10662378397766e+001	(1.08836513008799e-004dB,-4.14331934576566e-001°)
1.10917481526240e+001	(1.09338855727837e-004dB,-4.15287109054528e-001°)
1.11173172728159e+001	(1.09843516928744e-004dB,-4.16244485719363e-001°)
1.11429453359173e+001	(1.10350507324659e-004dB,-4.17204069649594e-001°)
1.11686324778056e+001	(1.10859837653787e-004dB,-4.18165865935462e-001°)
1.11943788346715e+001	(1.11371518721831e-004dB,-4.19129879678959e-001°)
1.12201845430196e+001	(1.11885561369207e-004dB,-4.20096115993851e-001°)
1.12460497396692e+001	(1.12401976501897e-004dB,-4.21064580005703e-001°)
1.12719745617551e+001	(1.12920775064452e-004dB,-4.22035276851916e-001°)
1.12979591467279e+001	(1.13441968059278e-004dB,-4.23008211681741e-001°)
1.13240036323555e+001	(1.13965566531206e-004dB,-4.23983389656319e-001°)
1.13501081567231e+001	(1.14491581590636e-004dB,-4.24960815948700e-001°)
1.13762728582343e+001	(1.15020024378819e-004dB,-4.25940495743874e-001°)
1.14024978756117e+001	(1.15550906102579e-004dB,-4.26922434238799e-001°)
1.14287833478977e+001	(1.16084238022734e-004dB,-4.27906636642425e-001°)
1.14551294144553e+001	(1.16620031442526e-004dB,-4.28893108175729e-001°)
1.14815362149688e+001	(1.17158297721126e-004dB,-4.29881854071734e-001°)
1.15080038894443e+001	(1.17699048271697e-004dB,-4.30872879575543e-001°)
1.15345325782109e+001	(1.18242294559474e-004dB,-4.31866189944366e-001°)
1.15611224219210e+001	(1.18788048097901e-004dB,-4.32861790447546e-001°)
1.15877735615512e+001	(1.19336320460205e-004dB,-4.33859686366588e-001°)
1.16144861384034e+001	(1.19887123271680e-004dB,-4.34859882995189e-001°)
1.16412602941049e+001	(1.20440468205831e-004dB,-4.35862385639262e-001°)
1.16680961706096e+001	(1.20996367001731e-004dB,-4.36867199616970e-001°)
1.16949939101987e+001	(1.21554831437022e-004dB,-4.37874330258748e-001°)
1.17219536554813e+001	(1.22115873356839e-004dB,-4.38883782907338e-001°)
1.17489755493953e+001	(1.22679504654530e-004dB,-4.39895562917810e-001°)
1.17760597352080e+001	(1.23245737275512e-004dB,-4.40909675657599e-001°)
1.18032063565173e+001	(1.23814583228837e-004dB,-4.41926126506526e-001°)
1.18304155572516e+001	(1.24386054573699e-004dB,-4.42944920856831e-001°)
1.18576874816716e+001	(1.24960163427145e-004dB,-4.43966064113201e-001°)
1.18850222743701e+001	(1.25536921954431e-004dB,-4.44989561692798e-001°)
1.19124200802737e+001	(1.26116342392166e-004dB,-4.46015419025287e-001°)
1.19398810446427e+001	(1.26698437019386e-004dB,-4.47043641552870e-001°)
1.19674053130724e+001	(1.27283218176835e-004dB,-4.48074234730307e-001°)
1.19949930314937e+001	(1.27870698263109e-004dB,-4.49107204024952e-001°)
1.20226443461741e+001	(1.28460889730802e-004dB,-4.50142554916779e-001°)
1.20503594037179e+001	(1.29053805096147e-004dB,-4.51180292898410e-001°)
1.20781383510678e+001	(1.29649456927441e-004dB,-4.52220423475148e-001°)
1.21059813355048e+001	(1.30247857854693e-004dB,-4.53262952165004e-001°)
1.21338885046497e+001	(1.30849020561908e-004dB,-4.54307884498726e-001°)
1.21618600064636e+001	(1.31452957794800e-004dB,-4.55355226019830e-001°)
1.21898959892486e+001	(1.32059682355007e-004dB,-4.56404982284627e-001°)
1.22179966016487e+001	(1.32669207109734e-004dB,-4.57457158862257e-001°)
1.22461619926504e+001	(1.33281544976323e-004dB,-4.58511761334714e-001°)
1.22743923115840e+001	(1.33896708939614e-004dB,-4.59568795296878e-001°)
1.23026877081238e+001	(1.34514712038440e-004dB,-4.60628266356547e-001°)
1.23310483322890e+001	(1.35135567382987e-004dB,-4.61690180134461e-001°)
1.23594743344450e+001	(1.35759288125865e-004dB,-4.62754542264339e-001°)
1.23879658653036e+001	(1.36385887489107e-004dB,-4.63821358392902e-001°)
1.24165230759240e+001	(1.37015378764170e-004dB,-4.64890634179910e-001°)
1.24451461177138e+001	(1.37647775294577e-004dB,-4.65962375298187e-001°)
1.24738351424294e+001	(1.38283090489419e-004dB,-4.67036587433653e-001°)
1.25025903021771e+001	(1.38921337802136e-004dB,-4.68113276285356e-001°)
1.25314117494141e+001	(1.39562530784522e-004dB,-4.69192447565498e-001°)
1.25602996369487e+001	(1.40206683015365e-004dB,-4.70274106999472e-001°)
1.25892541179416e+001	(1.40853808158306e-004dB,-4.71358260325887e-001°)
1.26182753459066e+001	(1.41503919927121e-004dB,-4.72444913296598e-001°)
1.26473634747114e+001	(1.42157032106941e-004dB,-4.73534071676744e-001°)
1.26765186585784e+001	(1.42813158548459e-004dB,-4.74625741244769e-001°)
1.27057410520853e+001	(1.43472313152509e-004dB,-4.75719927792461e-001°)
1.27350308101665e+001	(1.44134509897059e-004dB,-4.76816637124979e-001°)
1.27643880881134e+001	(1.44799762816003e-004dB,-4.77915875060883e-001°)
1.27938130415752e+001	(1.45468086022297e-004dB,-4.79017647432168e-001°)
1.28233058265601e+001	(1.46139493677109e-004dB,-4.80121960084293e-001°)
1.28528665994361e+001	(1.46814000018741e-004dB,-4.81228818876213e-001°)
1.28824955169313e+001	(1.47491619333706e-004dB,-4.82338229680410e-001°)
1.29121927361353e+001	(1.48172366004937e-004dB,-4.83450198382925e-001°)
1.29419584144998e+001	(1.48856254450076e-004dB,-4.84564730883389e-001°)
1.29717927098395e+001	(1.49543299177403e-004dB,-4.85681833095052e-001°)
1.30016957803328e+001	(1.50233514747261e-004dB,-4.86801510944820e-001°)
1.30316677845229e+001	(1.50926915787489e-004dB,-4.87923770373281e-001°)
1.30617088813183e+001	(1.51623517001131e-004dB,-4.89048617334741e-001°)
1.30918192299940e+001	(1.52323333160655e-004dB,-4.90176057797253e-001°)
1.31219989901920e+001	(1.53026379096380e-004dB,-4.91306097742650e-001°)
1.31522483219223e+001	(1.53732669709974e-004dB,-4.92438743166576e-001°)
1.31825673855640e+001	(1.54442219982170e-004dB,-4.93574000078520e-001°)
1.32129563418657e+001	(1.55155044945768e-004dB,-4.94711874501846e-001°)
1.32434153519466e+001	(1.55871159720342e-004dB,-4.95852372473825e-001°)
1.32739445772973e+001	(1.56590579483322e-004dB,-4.96995500045671e-001°)
1.33045441797808e+001	(1.57313319479626e-004dB,-4.98141263282567e-001°)
1.33352143216332e+001	(1.58039395039024e-004dB,-4.99289668263702e-001°)
1.33659551654643e+001	(1.58768821554924e-004dB,-5.00440721082304e-001°)
1.33967668742593e+001	(1.59501614480507e-004dB,-5.01594427845667e-001°)
1.34276496113785e+001	(1.60237789357667e-004dB,-5.02750794675193e-001°)
1.34586035405594e+001	(1.60977361790001e-004dB,-5.03909827706412e-001°)
1.34896288259164e+001	(1.61720347456313e-004dB,-5.05071533089028e-001°)
1.35207256319427e+001	(1.62466762108686e-004dB,-5.06235916986942e-001°)
1.35518941235103e+001	(1.63216621568625e-004dB,-5.07402985578290e-001°)
1.35831344658714e+001	(1.63969941730911e-004dB,-5.08572745055472e-001°)
1.36144468246594e+001	(1.64726738561675e-004dB,-5.09745201625192e-001°)
1.36458313658891e+001	(1.65487028113826e-004dB,-5.10920361508483e-001°)
1.36772882559584e+001	(1.66250826492336e-004dB,-5.12098230940745e-001°)
1.37088176616484e+001	(1.67018149900526e-004dB,-5.13278816171777e-001°)
1.37404197501251e+001	(1.67789014597638e-004dB,-5.14462123465812e-001°)
1.37720946889394e+001	(1.68563436923905e-004dB,-5.15648159101546e-001°)
1.38038426460287e+001	(1.69341433298623e-004dB,-5.16836929372176e-001°)
