Freq.	V(n004)/I(R1)
1.00000000000000e+001	(3.34429042018216e+001dB,-1.79279701079193e+002°)
1.00230523807790e+001	(3.34429073680342e+001dB,-1.79278040794022e+002°)
1.00461579027840e+001	(3.34429105490966e+001dB,-1.79276376682693e+002°)
1.00693166885180e+001	(3.34429137449415e+001dB,-1.79274708736407e+002°)
1.00925288607668e+001	(3.34429169555010e+001dB,-1.79273036946342e+002°)
1.01157945425990e+001	(3.34429201807073e+001dB,-1.79271361303657e+002°)
1.01391138573668e+001	(3.34429234209452e+001dB,-1.79269681799454e+002°)
1.01624869287070e+001	(3.34429266765994e+001dB,-1.79267998424813e+002°)
1.01859138805412e+001	(3.34429299466944e+001dB,-1.79266311170908e+002°)
1.02093948370768e+001	(3.34429332320675e+001dB,-1.79264620028740e+002°)
1.02329299228075e+001	(3.34429365321958e+001dB,-1.79262924989406e+002°)
1.02565192625141e+001	(3.34429398479160e+001dB,-1.79261226043864e+002°)
1.02801629812647e+001	(3.34429431791577e+001dB,-1.79259523183132e+002°)
1.03038612044162e+001	(3.34429465253973e+001dB,-1.79257816398244e+002°)
1.03276140576140e+001	(3.34429498874703e+001dB,-1.79256105680096e+002°)
1.03514216667934e+001	(3.34429532648523e+001dB,-1.79254391019682e+002°)
1.03752841581801e+001	(3.34429566579249e+001dB,-1.79252672407898e+002°)
1.03992016582906e+001	(3.34429600661632e+001dB,-1.79250949835694e+002°)
1.04231742939330e+001	(3.34429634904014e+001dB,-1.79249223293885e+002°)
1.04472021922080e+001	(3.34429669305670e+001dB,-1.79247492773342e+002°)
1.04712854805090e+001	(3.34429703865871e+001dB,-1.79245758264914e+002°)
1.04954242865232e+001	(3.34429738588419e+001dB,-1.79244019759392e+002°)
1.05196187382322e+001	(3.34429773463512e+001dB,-1.79242277247663e+002°)
1.05438689639126e+001	(3.34429808508542e+001dB,-1.79240530720356e+002°)
1.05681750921366e+001	(3.34429843709169e+001dB,-1.79238780168355e+002°)
1.05925372517729e+001	(3.34429879073713e+001dB,-1.79237025582327e+002°)
1.06169555719872e+001	(3.34429914605958e+001dB,-1.79235266952955e+002°)
1.06414301822431e+001	(3.34429950296087e+001dB,-1.79233504271021e+002°)
1.06659612123026e+001	(3.34429986152407e+001dB,-1.79231737527126e+002°)
1.06905487922266e+001	(3.34430022169629e+001dB,-1.79229966711970e+002°)
1.07151930523761e+001	(3.34430058365118e+001dB,-1.79228191816032e+002°)
1.07398941234124e+001	(3.34430094719978e+001dB,-1.79226412830088e+002°)
1.07646521362983e+001	(3.34430131242505e+001dB,-1.79224629744654e+002°)
1.07894672222983e+001	(3.34430167931926e+001dB,-1.79222842550303e+002°)
1.08143395129794e+001	(3.34430204791995e+001dB,-1.79221051237547e+002°)
1.08392691402120e+001	(3.34430241826464e+001dB,-1.79219255796876e+002°)
1.08642562361706e+001	(3.34430279030018e+001dB,-1.79217456218840e+002°)
1.08893009333343e+001	(3.34430316401868e+001dB,-1.79215652493927e+002°)
1.09144033644875e+001	(3.34430353945756e+001dB,-1.79213844612559e+002°)
1.09395636627209e+001	(3.34430391665419e+001dB,-1.79212032565141e+002°)
1.09647819614318e+001	(3.34430429560058e+001dB,-1.79210216342093e+002°)
1.09900583943252e+001	(3.34430467628871e+001dB,-1.79208395933816e+002°)
1.10153930954141e+001	(3.34430505871051e+001dB,-1.79206571330687e+002°)
1.10407861990207e+001	(3.34430544294855e+001dB,-1.79204742522980e+002°)
1.10662378397766e+001	(3.34430582890404e+001dB,-1.79202909501110e+002°)
1.10917481526240e+001	(3.34430621665945e+001dB,-1.79201072255306e+002°)
1.11173172728159e+001	(3.34430660620657e+001dB,-1.79199230775857e+002°)
1.11429453359173e+001	(3.34430699758249e+001dB,-1.79197385052989e+002°)
1.11686324778056e+001	(3.34430739073358e+001dB,-1.79195535076988e+002°)
1.11943788346715e+001	(3.34430778569686e+001dB,-1.79193680838035e+002°)
1.12201845430196e+001	(3.34430818250928e+001dB,-1.79191822326288e+002°)
1.12460497396692e+001	(3.34430858111712e+001dB,-1.79189959531967e+002°)
1.12719745617551e+001	(3.34430898160259e+001dB,-1.79188092445141e+002°)
1.12979591467279e+001	(3.34430938386656e+001dB,-1.79186221056029e+002°)
1.13240036323555e+001	(3.34430978803649e+001dB,-1.79184345354613e+002°)
1.13501081567231e+001	(3.34431019410382e+001dB,-1.79182465330981e+002°)
1.13762728582343e+001	(3.34431060201463e+001dB,-1.79180580975239e+002°)
1.14024978756117e+001	(3.34431101180561e+001dB,-1.79178692277387e+002°)
1.14287833478977e+001	(3.34431142346808e+001dB,-1.79176799227444e+002°)
1.14551294144553e+001	(3.34431183703866e+001dB,-1.79174901815364e+002°)
1.14815362149688e+001	(3.34431225255392e+001dB,-1.79173000031076e+002°)
