Freq.	V(n004)/I(R3)
1.00000000000000e+001	(3.34428295376634e+001dB,-1.79280053365257e+002°)
1.00230523807790e+001	(3.34428327100915e+001dB,-1.79278393891530e+002°)
1.00461579027840e+001	(3.34428358860523e+001dB,-1.79276730594457e+002°)
1.00693166885180e+001	(3.34428390745434e+001dB,-1.79275063464492e+002°)
1.00925288607668e+001	(3.34428422845620e+001dB,-1.79273392492060e+002°)
1.01157945425990e+001	(3.34428455115078e+001dB,-1.79271717668701e+002°)
1.01391138573668e+001	(3.34428487462476e+001dB,-1.79270038986319e+002°)
1.01624869287070e+001	(3.34428520068427e+001dB,-1.79268356434515e+002°)
1.01859138805412e+001	(3.34428552750944e+001dB,-1.79266670005914e+002°)
1.02093948370768e+001	(3.34428585554660e+001dB,-1.79264979691220e+002°)
1.02329299228075e+001	(3.34428618478879e+001dB,-1.79263285481495e+002°)
1.02565192625141e+001	(3.34428651704200e+001dB,-1.79261587366243e+002°)
1.02801629812647e+001	(3.34428685003301e+001dB,-1.79259885338405e+002°)
1.03038612044162e+001	(3.34428718375476e+001dB,-1.79258179388987e+002°)
1.03276140576140e+001	(3.34428752001314e+001dB,-1.79256469507421e+002°)
1.03514216667934e+001	(3.34428785834781e+001dB,-1.79254755685048e+002°)
1.03752841581801e+001	(3.34428819693864e+001dB,-1.79253037914362e+002°)
1.03992016582906e+001	(3.34428853759143e+001dB,-1.79251316184727e+002°)
1.04231742939330e+001	(3.34428887939248e+001dB,-1.79249590487818e+002°)
1.04472021922080e+001	(3.34428922324102e+001dB,-1.79247860813729e+002°)
1.04712854805090e+001	(3.34428956867655e+001dB,-1.79246127153705e+002°)
1.04954242865232e+001	(3.34428991614498e+001dB,-1.79244389498185e+002°)
1.05196187382322e+001	(3.34429026518574e+001dB,-1.79242647838375e+002°)
1.05438689639126e+001	(3.34429061488495e+001dB,-1.79240902165859e+002°)
1.05681750921366e+001	(3.34429096704818e+001dB,-1.79239152469825e+002°)
1.05925372517729e+001	(3.34429132076149e+001dB,-1.79237398741813e+002°)
1.06169555719872e+001	(3.34429167601740e+001dB,-1.79235640972552e+002°)
1.06414301822431e+001	(3.34429203235515e+001dB,-1.79233879153150e+002°)
1.06659612123026e+001	(3.34429239067367e+001dB,-1.79232113273493e+002°)
1.06905487922266e+001	(3.34429275051215e+001dB,-1.79230343324646e+002°)
1.07151930523761e+001	(3.34429311231619e+001dB,-1.79228569296850e+002°)
1.07398941234124e+001	(3.34429347517166e+001dB,-1.79226791181531e+002°)
1.07646521362983e+001	(3.34429384088384e+001dB,-1.79225008967677e+002°)
1.07894672222983e+001	(3.34429420808527e+001dB,-1.79223222647074e+002°)
1.08143395129794e+001	(3.34429457631496e+001dB,-1.79221432210686e+002°)
1.08392691402120e+001	(3.34429494601834e+001dB,-1.79219637648646e+002°)
1.08642562361706e+001	(3.34429531809406e+001dB,-1.79217838950652e+002°)
1.08893009333343e+001	(3.34429569162778e+001dB,-1.79216036108011e+002°)
1.09144033644875e+001	(3.34429606661158e+001dB,-1.79214229111194e+002°)
1.09395636627209e+001	(3.34429644349077e+001dB,-1.79212417950240e+002°)
1.09647819614318e+001	(3.34429682225737e+001dB,-1.79210602615575e+002°)
1.09900583943252e+001	(3.34429720290336e+001dB,-1.79208783097601e+002°)
1.10153930954141e+001	(3.34429758542068e+001dB,-1.79206959386701e+002°)
1.10407861990207e+001	(3.34429796889478e+001dB,-1.79205131474065e+002°)
1.10662378397766e+001	(3.34429835467723e+001dB,-1.79203299348787e+002°)
1.10917481526240e+001	(3.34429874185341e+001dB,-1.79201463002015e+002°)
1.11173172728159e+001	(3.34429913222807e+001dB,-1.79199622422375e+002°)
1.11429453359173e+001	(3.34429952352676e+001dB,-1.79197777602221e+002°)
1.11686324778056e+001	(3.34429991574120e+001dB,-1.79195928531811e+002°)
1.11943788346715e+001	(3.34430031067606e+001dB,-1.79194075199694e+002°)
1.12201845430196e+001	(3.34430070741649e+001dB,-1.79192217596912e+002°)
1.12460497396692e+001	(3.34430110595409e+001dB,-1.79190355713648e+002°)
1.12719745617551e+001	(3.34430150628044e+001dB,-1.79188489540063e+002°)
1.12979591467279e+001	(3.34430190838707e+001dB,-1.79186619066293e+002°)
1.13240036323555e+001	(3.34430231181222e+001dB,-1.79184744282880e+002°)
1.13501081567231e+001	(3.34430271790707e+001dB,-1.79182865178641e+002°)
1.13762728582343e+001	(3.34430312575656e+001dB,-1.79180981744493e+002°)
1.14024978756117e+001	(3.34430353535206e+001dB,-1.79179093970486e+002°)
1.14287833478977e+001	(3.34430394623165e+001dB,-1.79177201847072e+002°)
1.14551294144553e+001	(3.34430436019960e+001dB,-1.79175305362537e+002°)
1.14815362149688e+001	(3.34430477498095e+001dB,-1.79173404509006e+002°)
1.15080038894443e+001	(3.34430519283313e+001dB,-1.79171499274282e+002°)
1.15345325782109e+001	(3.34430561148109e+001dB,-1.79169589650455e+002°)
1.15611224219210e+001	(3.34430603272894e+001dB,-1.79167675625706e+002°)
1.15877735615512e+001	(3.34430645611453e+001dB,-1.79165757190350e+002°)
