Freq.	V(vout)
1.00000000000000e+000	(4.28153112578967e+001dB,1.79998788272625e+002°)
1.00230523807790e+000	(4.28153112578883e+001dB,1.79998785479305e+002°)
1.00461579027840e+000	(4.28153112578800e+001dB,1.79998782679546e+002°)
1.00693166885180e+000	(4.28153112578716e+001dB,1.79998779873332e+002°)
1.00925288607668e+000	(4.28153112578631e+001dB,1.79998777060650e+002°)
1.01157945425990e+000	(4.28153112578546e+001dB,1.79998774241483e+002°)
1.01391138573668e+000	(4.28153112578460e+001dB,1.79998771415818e+002°)
1.01624869287070e+000	(4.28153112578374e+001dB,1.79998768583639e+002°)
1.01859138805412e+000	(4.28153112578288e+001dB,1.79998765744931e+002°)
1.02093948370768e+000	(4.28153112578202e+001dB,1.79998762899679e+002°)
1.02329299228075e+000	(4.28153112578115e+001dB,1.79998760047869e+002°)
1.02565192625141e+000	(4.28153112578027e+001dB,1.79998757189484e+002°)
1.02801629812647e+000	(4.28153112577940e+001dB,1.79998754324510e+002°)
1.03038612044162e+000	(4.28153112577851e+001dB,1.79998751452931e+002°)
1.03276140576140e+000	(4.28153112577762e+001dB,1.79998748574733e+002°)
1.03514216667934e+000	(4.28153112577674e+001dB,1.79998745689900e+002°)
1.03752841581801e+000	(4.28153112577584e+001dB,1.79998742798416e+002°)
1.03992016582906e+000	(4.28153112577495e+001dB,1.79998739900267e+002°)
1.04231742939330e+000	(4.28153112577404e+001dB,1.79998736995437e+002°)
1.04472021922080e+000	(4.28153112577313e+001dB,1.79998734083911e+002°)
1.04712854805090e+000	(4.28153112577222e+001dB,1.79998731165673e+002°)
1.04954242865232e+000	(4.28153112577131e+001dB,1.79998728240708e+002°)
1.05196187382322e+000	(4.28153112577038e+001dB,1.79998725309000e+002°)
1.05438689639126e+000	(4.28153112576947e+001dB,1.79998722370534e+002°)
1.05681750921366e+000	(4.28153112576854e+001dB,1.79998719425294e+002°)
1.05925372517729e+000	(4.28153112576761e+001dB,1.79998716473264e+002°)
1.06169555719872e+000	(4.28153112576667e+001dB,1.79998713514429e+002°)
1.06414301822431e+000	(4.28153112576573e+001dB,1.79998710548774e+002°)
1.06659612123026e+000	(4.28153112576478e+001dB,1.79998707576282e+002°)
1.06905487922266e+000	(4.28153112576383e+001dB,1.79998704596937e+002°)
1.07151930523761e+000	(4.28153112576287e+001dB,1.79998701610725e+002°)
1.07398941234124e+000	(4.28153112576192e+001dB,1.79998698617629e+002°)
1.07646521362983e+000	(4.28153112576095e+001dB,1.79998695617632e+002°)
1.07894672222983e+000	(4.28153112575999e+001dB,1.79998692610720e+002°)
1.08143395129794e+000	(4.28153112575902e+001dB,1.79998689596877e+002°)
1.08392691402120e+000	(4.28153112575804e+001dB,1.79998686576086e+002°)
1.08642562361706e+000	(4.28153112575706e+001dB,1.79998683548331e+002°)
1.08893009333343e+000	(4.28153112575608e+001dB,1.79998680513596e+002°)
1.09144033644876e+000	(4.28153112575509e+001dB,1.79998677471866e+002°)
1.09395636627209e+000	(4.28153112575409e+001dB,1.79998674423124e+002°)
1.09647819614318e+000	(4.28153112575310e+001dB,1.79998671367354e+002°)
1.09900583943252e+000	(4.28153112575209e+001dB,1.79998668304539e+002°)
1.10153930954141e+000	(4.28153112575108e+001dB,1.79998665234664e+002°)
1.10407861990207e+000	(4.28153112575007e+001dB,1.79998662157712e+002°)
1.10662378397766e+000	(4.28153112574905e+001dB,1.79998659073667e+002°)
1.10917481526240e+000	(4.28153112574803e+001dB,1.79998655982513e+002°)
1.11173172728159e+000	(4.28153112574701e+001dB,1.79998652884232e+002°)
1.11429453359173e+000	(4.28153112574596e+001dB,1.79998649778810e+002°)
1.11686324778056e+000	(4.28153112574493e+001dB,1.79998646666229e+002°)
1.11943788346715e+000	(4.28153112574389e+001dB,1.79998643546472e+002°)
1.12201845430196e+000	(4.28153112574284e+001dB,1.79998640419524e+002°)
1.12460497396692e+000	(4.28153112574179e+001dB,1.79998637285367e+002°)
1.12719745617551e+000	(4.28153112574074e+001dB,1.79998634143985e+002°)
