frequency;MAG;PHA
10.0;2.5;39.0
10.972929291203195;2.7;39.0
12.040517722974505;2.9625;39.0
13.21197496036782;3.2;39.0
14.497406703726323;3.5;37.0
15.907901866580412;3.8;37.0
17.45562823533862;4.1;37.875
19.153937435990066;4.5;39.0
21.017480113324883;4.9;39.0
23.062332316278322;5.3;39.0
25.306134179675258;5.8;39.0
27.768242098727697;6.3;40.0
30.469895709035082;6.8;39.0
33.43440111255776;7.40526315789474;39.0
36.68733193018217;8.1;37.1052631578947
40.25674991527904;8.85588235294118;36.1764705882353
44.17344703140069;9.6;35.0
48.47121108242697;10.4;32.0
53.18711718664558;11.1;27.0
58.36184760920001;11.9;23.0
64.0400427119728;12.6;17.0
70.270686048411;13.1;10.0
77.10752692535532;13.4;1.0
81.0;13.5;-3.0
84.60954407714699;13.5;-7.0
92.84145445194744;13.3;-16.0
101.87427149936809;12.8;-24.0
111.78591777554034;12.115625;-32.0
122.66189715032591;11.4;-39.0
134.59603241553643;10.5;-43.0
147.69127465721752;9.60000000000001;-48.0
162.0605913741319;8.7;-50.0655737704918
177.82794100389228;7.69999999999999;-52.0
195.12934226359621;6.88;-55.0
214.11404752974298;6.0;-56.0
234.9458303797191;5.10000000000001;-58.0
257.80439840196755;4.2;-58.0
282.88694346259695;3.39701492537313;-58.0
310.4098428019674;2.5;-58.0
340.61052563594853;1.6;-58.0
373.74952136428146;0.799999999999998;-56.0
410.11270705513;-0.0999999999999999;-55.0
450.01377359398737;-1.1;-53.0
493.7969317714344;-2.0;-50.0473372781065
541.8398816541041;-2.89999999999999;-49.1746987951807
594.5570708544394;-3.89151515151514;-47.0606060606061
652.4032698070648;-4.79999999999999;-42.9689440993789
715.8774948942679;-5.70000000000002;-36.99375
785.5273132638482;-6.60000000000002;-32.0
861.9535664753032;-7.5;-24.0225225225225
945.8155537233911;-8.19999999999997;-16.0
1037.8367193526972;-8.69999999999997;-6.0
1138.8108937271434;-8.90000000000004;5.99528301886792
1170.0;-8.90000000000004;9.0
1249.6091412919868;-8.69999999999997;16.9976525821596
1371.187274903812;-8.19999999999997;28.9473684210526
1504.594101251712;-7.40000000000005;39.0
1650.9804684996463;-6.40000000000005;48.0317848410758
1811.6091942004134;-5.20000000000001;55.0072815533981
1987.8659591254743;-4.0;60.0539215686275
2181.271260987366;-2.79999999999997;65.1978260869566
2393.4935311747986;-1.60000000000001;69.2252252252252
2626.3635276533328;-0.299999999999999;71.5723830734967
2881.890128193499;1.0;72.8198198198198
3162.2776601683795;2.29999999999998;73.1395881006865
3469.9449164179096;3.59999999999998;75.109090909091
3807.546021222372;4.91447661469936;75.0647321428572
4177.993326387516;6.30000000000001;73.0873786407766
4584.482534956903;7.69999999999995;72.1078651685393
5030.52026928381;9.09999999999996;69.2967581047382
5519.954321281568;10.6;65.2234762979684
6057.006845809419;12.0409756097561;59.0122249388753
6646.3107835400415;13.3999999999999;52.0094339622642
7292.949827514622;14.6999999999999;40.0
8002.502278161052;15.5;27.0441501103753
8781.089165095365;15.8000000000001;14.0094562647754
8900.0;15.8000000000001;13.0023529411765
9635.4270508342;15.5;1.00460829493088
10572.885971935004;14.8999999999999;-8.99029126213592
11601.553017399714;13.8999999999999;-16.9322033898305
12730.302092807233;13.0;-23.9558823529412
13968.870472002947;12.0997506234414;-28.5162094763092
15327.942796726476;11.1;-31.4381188118812
16819.24324880869;10.1999999999999;-34.6822660098522
18455.636690072435;9.40000000000004;-35.1629072681704
20251.23964243005;8.59999999999996;-35.6282722513089
22221.54206555959;7.90000000000005;-35.348167539267
24383.540982688264;7.19999999999997;-35.4318766066838
26755.8871072194;6.59999999999995;-35.1108179419525
29359.045735093354;6.09999999999996;-35.0265957446808
32215.473290837992;5.59999999999996;-33.0537634408602
35349.81105030109;5.19810810810814;-32.0108108108108
38789.09771123462;4.79536784741142;-30.1089918256131
42563.002645494984;4.40000000000002;-29.9
46704.08184503117;4.09999999999998;-28.3947368421053
51248.05876960926;3.79999999999998;-26.9792284866469
56234.13251903491;3.52102102102102;-25.8078078078078
61705.31598835199;3.29999999999998;-24.015015015015
67708.8069231536;3.10759878419454;-22.8963414634146
74296.3950759495;3.0;-21.6461538461539
81524.90897596907;2.84307692307691;-20.3507692307692
89456.70616650848;2.70000000000002;-19.332298136646
98160.21113890398;2.70000000000002;-18.7626582278481
107710.50560367691;2.6;-17.0
118189.97619088917;2.5;-17.0
129689.02516716153;2.5;-16.0149253731343
142306.85030043373;2.4;-15.8787878787879
156152.30060004964;2.4;-15.8153846153846
171344.81531430501;2.4;-15.375
188015.45428581422;2.36825396825397;-14.031746031746
206308.0285531685;2.3;-14.0
226380.34095214464;2.3;-14.0327868852459
248405.5474186358;2.3016393442623;-14.4426229508197
272573.6507367311;2.4;-16.728813559322
299093.1396179265;2.4;-16.8448275862069
328192.7872511471;2.4;-17.8620689655172
360123.62483897357;2.5;-19.0
395161.1071449842;2.5;-19.0181818181818
433607.48873354786;2.6;-20.7272727272727
475794.4314009414;2.7;-22.962962962963
522085.8652910756;2.8;-24.0
572881.1283775606;3.0;-26.3653846153846
628618.4113951669;3.19807692307692;-29.0192307692308
689778.5379387658;3.4;-32.0392156862745
756889.1123391594;3.6;-37.0
830529.0710979144;3.8;-45.0
911333.6771446099;4.0;-52.2708333333333
1000000.0;4.5;-66.8333333333333
