frequency;MAG;PHA
10.0;3.8;7.0
11.683354854432924;3.7;1.0
13.650078065460137;3.5;-3.0
15.947870582948209;3.2;-7.75
18.6324631193156;2.8;-12.75
21.76896784350983;2.3;-16.8
25.433457613046496;1.6;-20.0
29.71481104684008;0.8;-23.0
34.71686818926561;-0.2;-24.1052631578947
40.56094904897643;-1.3;-25.6764705882353
47.38879609717654;-2.58235294117647;-23.2647058823529
55.366012092767974;-3.91944444444445;-19.3333333333333
64.68607661546328;-5.2;-12.0285714285714
75.57503872394929;-6.18235294117647;-0.970588235294118
81.0;-6.4;5.50819672131148
88.29699955494092;-6.49508196721312;13.4590163934426
103.16051783820808;-5.9;27.9666666666667
120.52609368708426;-4.7;39.9508196721311
140.81491217648332;-3.13064516129032;48.9032258064516
164.51905877536623;-1.5;54.8852459016393
192.21345439899108;0.0999999999999999;57.8305084745763
224.5697995539774;1.7;59.5214285714286
262.37286577779935;3.19999999999999;59.0507246376812
306.539529505653;4.7;59.0
358.14101001254556;6.25725190839694;58.0229007633588
418.42885079015844;7.70000000000002;56.2543352601156
488.86527451139875;9.29999999999998;52.7719298245614
571.1586478126435;10.8;48.0606060606061
667.3049160573194;12.4;40.0
779.6360130405237;13.9082278481013;32.0
910.8764197647733;15.3999999999999;19.0
1064.2092440647245;16.2710706150342;1.00455580865604
1243.3534237775993;16.3000000000001;-17.055944055944
1452.6539259467813;15.3999999999999;-36.9710843373494
1697.1871297521373;13.6999999999999;-51.97668997669
1982.8839491270714;11.8000000000001;-62.958230958231
2316.6736812810896;9.69999999999992;-70.9256017505471
2706.652070033241;7.5;-76.09375
3162.2776601683795;5.324145785877;-79.5228310502283
3694.6012051993025;3.09999999999999;-81.6608315098468
4316.5336925959;0.800000000000006;-81.4615384615385
5043.159487171359;-1.60044345898006;-78.9111111111111
5892.102187612301;-4.20000000000002;-73.3952483801296
6883.952069645503;-6.80101010101012;-63.8661616161616
8042.765483057637;-9.0237885462555;-46.3942731277533
9396.6483149547;-10.0964454976303;-22.5876777251185
1170.0;16.3999999999999;-9.95271867612293
10978.437670592484;-9.29760765550246;-0.436450839328537
12826.498305280626;-7.59999999999994;13.5061425061425
14985.653124037577;-5.89878345498788;20.8053527980535
17508.27031735727;-4.30025188916873;24.9592875318066
20455.53350050195;-2.95900783289817;25.3162162162162
23898.92566231053;-1.80157068062827;25.1402116402116
27921.96291524867;-0.896632124352329;24.1349206349206
32622.220097116733;-0.103200000000001;22.096256684492
38113.69735340273;0.496216216216216;19.6340782122905
44529.5850994266;0.963157894736842;17.5508982035928
52025.49442372687;1.30504451038576;15.2030303030303
60783.23128297236;1.60574018126889;12.4723926380368
71015.20602780343;1.82896341463414;10.139751552795
82969.58520834915;2.00246913580247;7.85579937304075
96936.31061142522;2.14591194968554;5.87138263665595
113254.13151528126;2.2;4.62686567164179
132318.82072236462;2.3;3.13432835820896
154592.77364194786;2.4;0.984615384615385
180616.22323899018;2.428125;-0.453125
211020.34285685964;2.5;-2.22950819672131
246542.55471007913;2.6;-4.43333333333334
288044.4153396298;2.69827586206896;-7.25862068965517
336532.5118250557;2.77543859649123;-9.26315789473684
393182.87557057705;2.9;-12.0909090909091
459369.5057977397;3.00909090909091;-14.1090909090909
536697.6945540477;3.3;-18.1132075471698
627042.9615030991;3.58653846153846;-22.25
732596.542821523;3.9;-26.1764705882353
855918.5374914618;4.43673469387755;-31.2040816326531
8900.0;-9.94541176470591;-31.4635294117647
1000000.0;5.1;-38.5208333333333
