Freq.	V(vout)
1.00000000000000e+000	(6.15604895958673e-003dB,-1.78792702054356e+002°)
1.02329299228075e+000	(6.44665170412866e-003dB,-1.78764645718221e+002°)
1.04712854805090e+000	(6.75091690837021e-003dB,-1.78735940524591e+002°)
1.07151930523761e+000	(7.06948526584403e-003dB,-1.78706571691427e+002°)
1.09647819614318e+000	(7.40302735817614e-003dB,-1.78676524116520e+002°)
1.12201845430196e+000	(7.75224503166023e-003dB,-1.78645782370894e+002°)
1.14815362149688e+000	(8.11787284069642e-003dB,-1.78614330693929e+002°)
1.17489755493953e+000	(8.50067954828606e-003dB,-1.78582152985998e+002°)
1.20226443461741e+000	(8.90146971910782e-003dB,-1.78549232804207e+002°)
1.23026877081238e+000	(9.32108533806520e-003dB,-1.78515553355629e+002°)
1.25892541179417e+000	(9.76040753462065e-003dB,-1.78481097492185e+002°)
1.28824955169313e+000	(1.02203583857125e-002dB,-1.78445847704112e+002°)
1.31825673855641e+000	(1.07019027910207e-002dB,-1.78409786114677e+002°)
1.34896288259165e+000	(1.12060504171802e-002dB,-1.78372894474884e+002°)
1.38038426460288e+000	(1.17338577402551e-002dB,-1.78335154157135e+002°)
1.41253754462275e+000	(1.22864301950048e-002dB,-1.78296546149918e+002°)
1.44543977074593e+000	(1.28649243923195e-002dB,-1.78257051053120e+002°)
1.47910838816821e+000	(1.34705504277401e-002dB,-1.78216649071490e+002°)
1.51356124843621e+000	(1.41045743292010e-002dB,-1.78175320011208e+002°)
1.54881661891248e+000	(1.47683205832247e-002dB,-1.78133043272608e+002°)
1.58489319246111e+000	(1.54631747535935e-002dB,-1.78089797847535e+002°)
1.62181009735893e+000	(1.61905862648078e-002dB,-1.78045562313494e+002°)
1.65958690743756e+000	(1.69520712437120e-002dB,-1.78000314829891e+002°)
1.69824365246174e+000	(1.77492155254044e-002dB,-1.77954033133726e+002°)
1.73780082874937e+000	(1.85836777692514e-002dB,-1.77906694535658e+002°)
1.77827941003892e+000	(1.94571927126719e-002dB,-1.77858275916671e+002°)
1.81970085860998e+000	(2.03715745473931e-002dB,-1.77808753725316e+002°)
1.86208713666287e+000	(2.13287204576362e-002dB,-1.77758103974199e+002°)
1.90546071796325e+000	(2.23306142957127e-002dB,-1.77706302238860e+002°)
1.94984459975804e+000	(2.33793303576401e-002dB,-1.77653323654796e+002°)
1.99526231496888e+000	(2.44770374537023e-002dB,-1.77599142916914e+002°)
2.04173794466953e+000	(2.56260029484693e-002dB,-1.77543734279639e+002°)
2.08929613085404e+000	(2.68285971182159e-002dB,-1.77487071554535e+002°)
2.13796208950223e+000	(2.80872976374440e-002dB,-1.77429128113831e+002°)
2.18776162394955e+000	(2.94046941852643e-002dB,-1.77369876889863e+002°)
2.23872113856834e+000	(3.07834933058344e-002dB,-1.77309290378496e+002°)
2.29086765276777e+000	(3.22265234224297e-002dB,-1.77247340641876e+002°)
2.34422881531992e+000	(3.37367400472947e-002dB,-1.77183999311535e+002°)
2.39883291901949e+000	(3.53172311609424e-002dB,-1.77119237596002e+002°)
2.45470891568503e+000	(3.69712228452313e-002dB,-1.77053026285400e+002°)
2.51188643150958e+000	(3.87020851002219e-002dB,-1.76985335758458e+002°)
2.57039578276886e+000	(4.05133378236662e-002dB,-1.76916135992866e+002°)
2.63026799189538e+000	(4.24086570565207e-002dB,-1.76845396575365e+002°)
2.69153480392691e+000	(4.43918814358376e-002dB,-1.76773086712093e+002°)
2.75422870333816e+000	(4.64670188537654e-002dB,-1.76699175244257e+002°)
2.81838293126445e+000	(4.86382533520573e-002dB,-1.76623630661075e+002°)
2.88403150312660e+000	(5.09099521993373e-002dB,-1.76546421118885e+002°)
2.95120922666638e+000	(5.32866733290356e-002dB,-1.76467514458797e+002°)
3.01995172040201e+000	(5.57731727806749e-002dB,-1.76386878229228e+002°)
3.09029543251359e+000	(5.83744125781097e-002dB,-1.76304479708496e+002°)
3.16227766016837e+000	(6.10955686855075e-002dB,-1.76220285931437e+002°)
3.23593656929628e+000	(6.39420393328586e-002dB,-1.76134263718497e+002°)
3.31131121482591e+000	(6.69194534100367e-002dB,-1.76046379706915e+002°)
3.38844156139202e+000	(7.00336792171607e-002dB,-1.75956600384859e+002°)
3.46736850452531e+000	(7.32908333405022e-002dB,-1.75864892130126e+002°)
3.54813389233575e+000	(7.66972897020314e-002dB,-1.75771221251569e+002°)
3.63078054770101e+000	(8.02596889923862e-002dB,-1.75675554032537e+002°)
3.71535229097172e+000	(8.39849480011227e-002dB,-1.75577856780460e+002°)
3.80189396320560e+000	(8.78802694541776e-002dB,-1.75478095879575e+002°)
3.89045144994280e+000	(9.19531517658835e-002dB,-1.75376237848482e+002°)
3.98107170553496e+000	(9.62113988933820e-002dB,-1.75272249400412e+002°)
4.07380277804112e+000	(1.00663130753427e-001dB,-1.75166097510916e+002°)
4.16869383470335e+000	(1.05316793065575e-001dB,-1.75057749487478e+002°)
4.26579518801592e+000	(1.10181167862270e-001dB,-1.74947173049775e+002°)
4.36515832240165e+000	(1.15265383790765e-001dB,-1.74834336408116e+002°)
4.46683592150962e+000	(1.20578926274374e-001dB,-1.74719208354614e+002°)
4.57088189614874e+000	(1.26131648149945e-001dB,-1.74601758356501e+002°)
4.67735141287197e+000	(1.31933779707890e-001dB,-1.74481956657518e+002°)
4.78630092322637e+000	(1.37995938833898e-001dB,-1.74359774385692e+002°)
4.89778819368445e+000	(1.44329141188029e-001dB,-1.74235183668135e+002°)
5.01187233627271e+000	(1.50944809810148e-001dB,-1.74108157753768e+002°)
5.12861383991364e+000	(1.57854784743336e-001dB,-1.73978671142606e+002°)
5.24807460249771e+000	(1.65071332263007e-001dB,-1.73846699725281e+002°)
5.37031796370252e+000	(1.72607153564198e-001dB,-1.73712220926396e+002°)
5.49540873857623e+000	(1.80475393055142e-001dB,-1.73575213862689e+002°)
5.62341325190348e+000	(1.88689646166709e-001dB,-1.73435659505506e+002°)
5.75439937337156e+000	(1.97263966278107e-001dB,-1.73293540851626e+002°)
5.88843655355588e+000	(2.06212871320106e-001dB,-1.73148843107157e+002°)
6.02559586074356e+000	(2.15551348703647e-001dB,-1.73001553878591e+002°)
