Freq.	V(n004)
1.00000000000000e+002	(-3.45588313257495e-003dB,-7.67636130481780e+000°)
1.00023028502082e+002	(-3.45910027451148e-003dB,-7.67812907024013e+000°)
1.00046062307284e+002	(-3.46231889867114e-003dB,-7.67989724276227e+000°)
1.00069101416826e+002	(-3.46553900575984e-003dB,-7.68166582247801e+000°)
1.00092145831930e+002	(-3.46876059644197e-003dB,-7.68343480948110e+000°)
1.00115195553817e+002	(-3.47198367142054e-003dB,-7.68520420386536e+000°)
1.00138250583710e+002	(-3.47520823134645e-003dB,-7.68697400572461e+000°)
1.00161310922831e+002	(-3.47843427694295e-003dB,-7.68874421515268e+000°)
1.00184376572403e+002	(-3.48166180889183e-003dB,-7.69051483224344e+000°)
1.00207447533648e+002	(-3.48489082783338e-003dB,-7.69228585709077e+000°)
1.00230523807790e+002	(-3.48812133451016e-003dB,-7.69405728978860e+000°)
1.00253605396052e+002	(-3.49135332956634e-003dB,-7.69582913043082e+000°)
1.00276692299659e+002	(-3.49458681369430e-003dB,-7.69760137911141e+000°)
1.00299784519833e+002	(-3.49782178761347e-003dB,-7.69937403592432e+000°)
1.00322882057800e+002	(-3.50105825198150e-003dB,-7.70114710096359e+000°)
1.00345984914784e+002	(-3.50429620747731e-003dB,-7.70292057432319e+000°)
1.00369093092010e+002	(-3.50753565480775e-003dB,-7.70469445609717e+000°)
1.00392206590702e+002	(-3.51077659464403e-003dB,-7.70646874637957e+000°)
1.00415325412088e+002	(-3.51401902769879e-003dB,-7.70824344526451e+000°)
1.00438449557391e+002	(-3.51726295462780e-003dB,-7.71001855284606e+000°)
1.00461579027839e+002	(-3.52050837614180e-003dB,-7.71179406921835e+000°)
1.00484713824658e+002	(-3.52375529291969e-003dB,-7.71356999447553e+000°)
1.00507853949074e+002	(-3.52700370565388e-003dB,-7.71534632871177e+000°)
1.00530999402313e+002	(-3.53025361504163e-003dB,-7.71712307202126e+000°)
1.00554150185604e+002	(-3.53350502176762e-003dB,-7.71890022449820e+000°)
1.00577306300174e+002	(-3.53675792651657e-003dB,-7.72067778623683e+000°)
1.00600467747249e+002	(-3.54001232998378e-003dB,-7.72245575733141e+000°)
1.00623634528060e+002	(-3.54326823285976e-003dB,-7.72423413787620e+000°)
1.00646806643832e+002	(-3.54652563581956e-003dB,-7.72601292796549e+000°)
1.00669984095796e+002	(-3.54978453958167e-003dB,-7.72779212769363e+000°)
1.00693166885180e+002	(-3.55304494482500e-003dB,-7.72957173715494e+000°)
1.00716355013213e+002	(-3.55630685223716e-003dB,-7.73135175644378e+000°)
1.00739548481125e+002	(-3.55957026250770e-003dB,-7.73313218565454e+000°)
1.00762747290145e+002	(-3.56283517635122e-003dB,-7.73491302488164e+000°)
1.00785951441503e+002	(-3.56610159443317e-003dB,-7.73669427421947e+000°)
1.00809160936429e+002	(-3.56936951748168e-003dB,-7.73847593376254e+000°)
1.00832375776155e+002	(-3.57263894612550e-003dB,-7.74025800360525e+000°)
1.00855595961910e+002	(-3.57590988112173e-003dB,-7.74204048384213e+000°)
1.00878821494927e+002	(-3.57918232315895e-003dB,-7.74382337456771e+000°)
1.00902052376435e+002	(-3.58245627290355e-003dB,-7.74560667587649e+000°)
1.00925288607668e+002	(-3.58573173106728e-003dB,-7.74739038786307e+000°)
1.00948530189857e+002	(-3.58900869833390e-003dB,-7.74917451062198e+000°)
1.00971777124234e+002	(-3.59228717542096e-003dB,-7.75095904424786e+000°)
1.00995029412032e+002	(-3.59556716299292e-003dB,-7.75274398883532e+000°)
1.01018287054483e+002	(-3.59884866176250e-003dB,-7.75452934447901e+000°)
1.01041550052821e+002	(-3.60213167243181e-003dB,-7.75631511127359e+000°)
1.01064818408279e+002	(-3.60541619568077e-003dB,-7.75810128931376e+000°)
1.01088092122091e+002	(-3.60870223223752e-003dB,-7.75988787869422e+000°)
1.01111371195490e+002	(-3.61198978276559e-003dB,-7.76167487950970e+000°)
1.01134655629712e+002	(-3.61527884798060e-003dB,-7.76346229185497e+000°)
1.01157945425989e+002	(-3.61856942857598e-003dB,-7.76525011582480e+000°)
1.01181240585558e+002	(-3.62186152525866e-003dB,-7.76703835151397e+000°)
1.01204541109654e+002	(-3.62515513871148e-003dB,-7.76882699901732e+000°)
1.01227846999511e+002	(-3.62845026963365e-003dB,-7.77061605842968e+000°)
1.01251158256365e+002	(-3.63174691872827e-003dB,-7.77240552984592e+000°)
1.01274474881453e+002	(-3.63504508671867e-003dB,-7.77419541336095e+000°)
1.01297796876010e+002	(-3.63834477426069e-003dB,-7.77598570906963e+000°)
1.01321124241273e+002	(-3.64164598208634e-003dB,-7.77777641706692e+000°)
1.01344456978479e+002	(-3.64494871089776e-003dB,-7.77956753744775e+000°)
1.01367795088864e+002	(-3.64825296138357e-003dB,-7.78135907030712e+000°)
1.01391138573667e+002	(-3.65155873424784e-003dB,-7.78315101574002e+000°)
1.01414487434125e+002	(-3.65486603019752e-003dB,-7.78494337384144e+000°)
1.01437841671476e+002	(-3.65817484992220e-003dB,-7.78673614470645e+000°)
1.01461201286958e+002	(-3.66148519412596e-003dB,-7.78852932843008e+000°)
1.01484566281809e+002	(-3.66479706353312e-003dB,-7.79032292510743e+000°)
1.01507936657269e+002	(-3.66811045880435e-003dB,-7.79211693483361e+000°)
1.01531312414576e+002	(-3.67142538068711e-003dB,-7.79391135770374e+000°)
1.01554693554969e+002	(-3.67474182986428e-003dB,-7.79570619381295e+000°)
1.01578080079690e+002	(-3.67805980704378e-003dB,-7.79750144325645e+000°)
1.01601471989976e+002	(-3.68137931292969e-003dB,-7.79929710612940e+000°)
1.01624869287069e+002	(-3.68470034821645e-003dB,-7.80109318252702e+000°)
1.01648271972209e+002	(-3.68802291361681e-003dB,-7.80288967254454e+000°)
1.01671680046637e+002	(-3.69134700984645e-003dB,-7.80468657627724e+000°)
1.01695093511594e+002	(-3.69467263759111e-003dB,-7.80648389382037e+000°)
1.01718512368321e+002	(-3.69799979756840e-003dB,-7.80828162526925e+000°)
1.01741936618060e+002	(-3.70132849048625e-003dB,-7.81007977071922e+000°)
1.01765366262053e+002	(-3.70465871704780e-003dB,-7.81187833026559e+000°)
1.01788801301542e+002	(-3.70799047794074e-003dB,-7.81367730400374e+000°)
1.01812241737769e+002	(-3.71132377390583e-003dB,-7.81547669202907e+000°)
1.01835687571978e+002	(-3.71465860563848e-003dB,-7.81727649443698e+000°)
1.01859138805411e+002	(-3.71799497383411e-003dB,-7.81907671132291e+000°)
1.01882595439312e+002	(-3.72133287921514e-003dB,-7.82087734278231e+000°)
1.01906057474924e+002	(-3.72467232249051e-003dB,-7.82267838891066e+000°)
1.01929524913492e+002	(-3.72801330434889e-003dB,-7.82447984980346e+000°)
1.01952997756260e+002	(-3.73135582552428e-003dB,-7.82628172555622e+000°)
1.01976476004471e+002	(-3.73469988670922e-003dB,-7.82808401626451e+000°)
1.01999959659371e+002	(-3.73804548863002e-003dB,-7.82988672202388e+000°)
1.02023448722206e+002	(-3.74139263197341e-003dB,-7.83168984292990e+000°)
1.02046943194219e+002	(-3.74474131746667e-003dB,-7.83349337907820e+000°)
1.02070443076658e+002	(-3.74809154581295e-003dB,-7.83529733056441e+000°)
1.02093948370767e+002	(-3.75144331772891e-003dB,-7.83710169748419e+000°)
1.02117459077794e+002	(-3.75479663393217e-003dB,-7.83890647993318e+000°)
1.02140975198984e+002	(-3.75815149510950e-003dB,-7.84071167800712e+000°)
1.02164496735585e+002	(-3.76150790200939e-003dB,-7.84251729180173e+000°)
1.02188023688843e+002	(-3.76486585530124e-003dB,-7.84432332141270e+000°)
1.02211556060006e+002	(-3.76822535575092e-003dB,-7.84612976693585e+000°)
1.02235093850322e+002	(-3.77158640400082e-003dB,-7.84793662846692e+000°)
1.02258637061039e+002	(-3.77494900083032e-003dB,-7.84974390610177e+000°)
1.02282185693404e+002	(-3.77831314692908e-003dB,-7.85155159993618e+000°)
1.02305739748666e+002	(-3.78167884300800e-003dB,-7.85335971006604e+000°)
1.02329299228075e+002	(-3.78504608978278e-003dB,-7.85516823658719e+000°)
1.02352864132878e+002	(-3.78841488795563e-003dB,-7.85697717959555e+000°)
1.02376434464327e+002	(-3.79178523825869e-003dB,-7.85878653918703e+000°)
1.02400010223669e+002	(-3.79515714139608e-003dB,-7.86059631545756e+000°)
1.02423591412156e+002	(-3.79853059810765e-003dB,-7.86240650850313e+000°)
1.02447178031037e+002	(-3.80190560908019e-003dB,-7.86421711841970e+000°)
1.02470770081564e+002	(-3.80528217504581e-003dB,-7.86602814530329e+000°)
1.02494367564986e+002	(-3.80866029670674e-003dB,-7.86783958924990e+000°)
1.02517970482555e+002	(-3.81203997479802e-003dB,-7.86965145035563e+000°)
1.02541578835522e+002	(-3.81542121003246e-003dB,-7.87146372871652e+000°)
1.02565192625140e+002	(-3.81880400310845e-003dB,-7.87327642442866e+000°)
1.02588811852659e+002	(-3.82218835477066e-003dB,-7.87508953758819e+000°)
1.02612436519333e+002	(-3.82557426572325e-003dB,-7.87690306829122e+000°)
1.02636066626414e+002	(-3.82896173669644e-003dB,-7.87871701663395e+000°)
1.02659702175154e+002	(-3.83235076838184e-003dB,-7.88053138271253e+000°)
1.02683343166808e+002	(-3.83574136152897e-003dB,-7.88234616662318e+000°)
1.02706989602627e+002	(-3.83913351683428e-003dB,-7.88416136846212e+000°)
1.02730641483867e+002	(-3.84252723505307e-003dB,-7.88597698832562e+000°)
1.02754298811780e+002	(-3.84592251685381e-003dB,-7.88779302630993e+000°)
1.02777961587622e+002	(-3.84931936300629e-003dB,-7.88960948251136e+000°)
1.02801629812646e+002	(-3.85271777419829e-003dB,-7.89142635702621e+000°)
1.02825303488109e+002	(-3.85611775117835e-003dB,-7.89324364995084e+000°)
1.02848982615264e+002	(-3.85951929462365e-003dB,-7.89506136138158e+000°)
1.02872667195367e+002	(-3.86292240530396e-003dB,-7.89687949141485e+000°)
1.02896357229674e+002	(-3.86632708390902e-003dB,-7.89869804014702e+000°)
1.02920052719442e+002	(-3.86973333119799e-003dB,-7.90051700767455e+000°)
1.02943753665926e+002	(-3.87314114784611e-003dB,-7.90233639409386e+000°)
1.02967460070382e+002	(-3.87655053462030e-003dB,-7.90415619950144e+000°)
1.02991171934069e+002	(-3.87996149222280e-003dB,-7.90597642399380e+000°)
1.03014889258242e+002	(-3.88337402136650e-003dB,-7.90779706766741e+000°)
1.03038612044161e+002	(-3.88678812279419e-003dB,-7.90961813061886e+000°)
1.03062340293081e+002	(-3.89020379723997e-003dB,-7.91143961294468e+000°)
1.03086074006261e+002	(-3.89362104539936e-003dB,-7.91326151474144e+000°)
1.03109813184961e+002	(-3.89703986802384e-003dB,-7.91508383610578e+000°)
1.03133557830437e+002	(-3.90046026581181e-003dB,-7.91690657713432e+000°)
1.03157307943950e+002	(-3.90388223949450e-003dB,-7.91872973792368e+000°)
1.03181063526758e+002	(-3.90730578982436e-003dB,-7.92055331857057e+000°)
1.03204824580121e+002	(-3.91073091750849e-003dB,-7.92237731917167e+000°)
1.03228591105299e+002	(-3.91415762329645e-003dB,-7.92420173982371e+000°)
1.03252363103551e+002	(-3.91758590788280e-003dB,-7.92602658062339e+000°)
1.03276140576139e+002	(-3.92101577199877e-003dB,-7.92785184166750e+000°)
1.03299923524322e+002	(-3.92444721639683e-003dB,-7.92967752305283e+000°)
1.03323711949362e+002	(-3.92788024176960e-003dB,-7.93150362487617e+000°)
1.03347505852520e+002	(-3.93131484889271e-003dB,-7.93333014723434e+000°)
1.03371305235057e+002	(-3.93475103846074e-003dB,-7.93515709022422e+000°)
1.03395110098236e+002	(-3.93818881120010e-003dB,-7.93698445394267e+000°)
1.03418920443318e+002	(-3.94162816786808e-003dB,-7.93881223848657e+000°)
1.03442736271566e+002	(-3.94506910916215e-003dB,-7.94064044395286e+000°)
1.03466557584242e+002	(-3.94851163583383e-003dB,-7.94246907043846e+000°)
1.03490384382610e+002	(-3.95195574861436e-003dB,-7.94429811804034e+000°)
1.03514216667933e+002	(-3.95540144822728e-003dB,-7.94612758685549e+000°)
1.03538054441474e+002	(-3.95884873541347e-003dB,-7.94795747698091e+000°)
1.03561897704497e+002	(-3.96229761087816e-003dB,-7.94978778851363e+000°)
1.03585746458267e+002	(-3.96574807538635e-003dB,-7.95161852155071e+000°)
1.03609600704047e+002	(-3.96920012964423e-003dB,-7.95344967618921e+000°)
1.03633460443103e+002	(-3.97265377440234e-003dB,-7.95528125252622e+000°)
1.03657325676699e+002	(-3.97610901039197e-003dB,-7.95711325065888e+000°)
1.03681196406101e+002	(-3.97956583833760e-003dB,-7.95894567068433e+000°)
1.03705072632575e+002	(-3.98302425897051e-003dB,-7.96077851269971e+000°)
1.03728954357386e+002	(-3.98648427302583e-003dB,-7.96261177680223e+000°)
1.03752841581800e+002	(-3.98994588126280e-003dB,-7.96444546308907e+000°)
1.03776734307084e+002	(-3.99340908439630e-003dB,-7.96627957165750e+000°)
1.03800632534505e+002	(-3.99687388314216e-003dB,-7.96811410260474e+000°)
1.03824536265330e+002	(-4.00034027827121e-003dB,-7.96994905602808e+000°)
