Freq.	V(n008)/I(V1)
1.00000000000000e+002	(1.27603228771814e+002dB,9.08371305585663e+001°)
1.00023028502082e+002	(1.27601228060837e+002dB,9.08373237629387e+001°)
1.00046062307284e+002	(1.27599227349291e+002dB,9.08375170140821e+001°)
1.00069101416826e+002	(1.27597226637566e+002dB,9.08377103075386e+001°)
1.00092145831930e+002	(1.27595225925707e+002dB,9.08379036480736e+001°)
1.00115195553817e+002	(1.27593225213382e+002dB,9.08380970315477e+001°)
1.00138250583710e+002	(1.27591224500700e+002dB,9.08382904617409e+001°)
1.00161310922831e+002	(1.27589223787783e+002dB,9.08384839367000e+001°)
1.00184376572403e+002	(1.27587223074469e+002dB,9.08386774546039e+001°)
1.00207447533648e+002	(1.27585222360854e+002dB,9.08388710182769e+001°)
1.00230523807790e+002	(1.27583221646723e+002dB,9.08390646278288e+001°)
1.00253605396052e+002	(1.27581220932485e+002dB,9.08392582811799e+001°)
1.00276692299659e+002	(1.27579220217846e+002dB,9.08394519779972e+001°)
1.00299784519833e+002	(1.27577219502920e+002dB,9.08396457225265e+001°)
1.00322882057800e+002	(1.27575218787672e+002dB,9.08398395114600e+001°)
1.00345984914784e+002	(1.27573218072026e+002dB,9.08400333448421e+001°)
1.00369093092010e+002	(1.27571217356198e+002dB,9.08402272225897e+001°)
1.00392206590702e+002	(1.27569216639974e+002dB,9.08404211452819e+001°)
1.00415325412088e+002	(1.27567215923366e+002dB,9.08406151143520e+001°)
1.00438449557391e+002	(1.27565215206554e+002dB,9.08408091264019e+001°)
1.00461579027839e+002	(1.27563214489216e+002dB,9.08410031853898e+001°)
1.00484713824658e+002	(1.27561213771541e+002dB,9.08411972888633e+001°)
1.00507853949074e+002	(1.27559213053937e+002dB,9.08413914347542e+001°)
1.00530999402313e+002	(1.27557212335595e+002dB,9.08415856286569e+001°)
1.00554150185604e+002	(1.27555211617181e+002dB,9.08417798655368e+001°)
1.00577306300174e+002	(1.27553210898233e+002dB,9.08419741498832e+001°)
1.00600467747249e+002	(1.27551210178999e+002dB,9.08421684777975e+001°)
1.00623634528060e+002	(1.27549209459565e+002dB,9.08423628511531e+001°)
1.00646806643832e+002	(1.27547208739639e+002dB,9.08425572696152e+001°)
1.00669984095796e+002	(1.27545208019499e+002dB,9.08427517325941e+001°)
1.00693166885180e+002	(1.27543207298928e+002dB,9.08429462402027e+001°)
1.00716355013213e+002	(1.27541206578081e+002dB,9.08431407938008e+001°)
1.00739548481125e+002	(1.27539205857017e+002dB,9.08433353924256e+001°)
1.00762747290145e+002	(1.27537205135313e+002dB,9.08435300372247e+001°)
1.00785951441503e+002	(1.27535204413663e+002dB,9.08437247260029e+001°)
1.00809160936429e+002	(1.27533203691491e+002dB,9.08439194590283e+001°)
1.00832375776155e+002	(1.27531202968818e+002dB,9.08441142386710e+001°)
1.00855595961910e+002	(1.27529202246124e+002dB,9.08443090628341e+001°)
1.00878821494927e+002	(1.27527201522914e+002dB,9.08445039326948e+001°)
1.00902052376435e+002	(1.27525200799527e+002dB,9.08446988466923e+001°)
1.00925288607668e+002	(1.27523200075690e+002dB,9.08448938063787e+001°)
1.00948530189857e+002	(1.27521199351608e+002dB,9.08450888112041e+001°)
1.00971777124234e+002	(1.27519198627141e+002dB,9.08452838617098e+001°)
