Freq.	V(n004)/I(I1)
1.00000000000000e+002	(-4.68230354632659e+001dB,7.62651907990713e+001°)
1.00023028502082e+002	(-4.68211910038373e+001dB,7.62695333833494e+001°)
1.00046062307284e+002	(-4.68193464691085e+001dB,7.62738754287996e+001°)
1.00069101416826e+002	(-4.68175018589636e+001dB,7.62782169319295e+001°)
1.00092145831930e+002	(-4.68156571735633e+001dB,7.62825578954062e+001°)
1.00115195553817e+002	(-4.68138124128303e+001dB,7.62868983171293e+001°)
1.00138250583710e+002	(-4.68119675768129e+001dB,7.62912381977276e+001°)
1.00161310922831e+002	(-4.68101226655038e+001dB,7.62955775372015e+001°)
1.00184376572403e+002	(-4.68082776790201e+001dB,7.62999163368450e+001°)
1.00207447533648e+002	(-4.68064326173064e+001dB,7.63042545959583e+001°)
1.00230523807790e+002	(-4.68045874804168e+001dB,7.63085923144771e+001°)
1.00253605396052e+002	(-4.68027422684121e+001dB,7.63129294937417e+001°)
1.00276692299659e+002	(-4.68008969812786e+001dB,7.63172661330198e+001°)
1.00299784519833e+002	(-4.67990516190320e+001dB,7.63216022315577e+001°)
1.00322882057800e+002	(-4.67972061817101e+001dB,7.63259377907436e+001°)
1.00345984914784e+002	(-4.67953606692959e+001dB,7.63302728091433e+001°)
1.00369093092010e+002	(-4.67935150818639e+001dB,7.63346072880771e+001°)
1.00392206590702e+002	(-4.67916694194275e+001dB,7.63389412275137e+001°)
1.00415325412088e+002	(-4.67898236820659e+001dB,7.63432746287869e+001°)
1.00438449557391e+002	(-4.67879778696943e+001dB,7.63476074898311e+001°)
1.00461579027839e+002	(-4.67861319824355e+001dB,7.63519398126392e+001°)
1.00484713824658e+002	(-4.67842860202614e+001dB,7.63562715957850e+001°)
1.00507853949074e+002	(-4.67824399831560e+001dB,7.63606028392985e+001°)
1.00530999402313e+002	(-4.67805938712262e+001dB,7.63649335444536e+001°)
1.00554150185604e+002	(-4.67787476844783e+001dB,7.63692637112239e+001°)
1.00577306300174e+002	(-4.67769014229277e+001dB,7.63735933396143e+001°)
