Freq.	V(n003)
1.00000000000000e+003	(5.06866440347336e-004dB,1.72885432157286e+002°)
1.00023028502082e+003	(5.06085460017525e-004dB,1.72883794088377e+002°)
1.00046062307284e+003	(5.05304129824197e-004dB,1.72882155642455e+002°)
1.00069101416826e+003	(5.04522449578261e-004dB,1.72880516819433e+002°)
1.00092145831930e+003	(5.03740419165838e-004dB,1.72878877619223e+002°)
1.00115195553817e+003	(5.02958038405550e-004dB,1.72877238041740e+002°)
1.00138250583710e+003	(5.02175307160377e-004dB,1.72875598086896e+002°)
1.00161310922831e+003	(5.01392225274011e-004dB,1.72873957754604e+002°)
1.00184376572403e+003	(5.00608792615217e-004dB,1.72872317044779e+002°)
1.00207447533648e+003	(4.99825008996831e-004dB,1.72870675957333e+002°)
1.00230523807790e+003	(4.99040874276045e-004dB,1.72869034492179e+002°)
1.00253605396052e+003	(4.98256388321624e-004dB,1.72867392649230e+002°)
1.00276692299659e+003	(4.97471550946404e-004dB,1.72865750428400e+002°)
1.00299784519833e+003	(4.96686362038434e-004dB,1.72864107829602e+002°)
1.00322882057800e+003	(4.95900821410549e-004dB,1.72862464852749e+002°)
1.00345984914784e+003	(4.95114928929585e-004dB,1.72860821497753e+002°)
1.00369093092010e+003	(4.94328684429591e-004dB,1.72859177764528e+002°)
1.00392206590702e+003	(4.93542087756188e-004dB,1.72857533652988e+002°)
1.00415325412088e+003	(4.92755138766568e-004dB,1.72855889163044e+002°)
1.00438449557391e+003	(4.91967837314066e-004dB,1.72854244294611e+002°)
1.00461579027839e+003	(4.91180183228874e-004dB,1.72852599047600e+002°)
1.00484713824658e+003	(4.90392176370111e-004dB,1.72850953421925e+002°)
1.00507853949074e+003	(4.89603816569900e-004dB,1.72849307417499e+002°)
1.00530999402313e+003	(4.88815103695073e-004dB,1.72847661034235e+002°)
1.00554150185604e+003	(4.88026037566180e-004dB,1.72846014272046e+002°)
1.00577306300174e+003	(4.87236618048126e-004dB,1.72844367130844e+002°)
1.00600467747249e+003	(4.86446844984602e-004dB,1.72842719610543e+002°)
1.00623634528060e+003	(4.85656718228943e-004dB,1.72841071711055e+002°)
1.00646806643832e+003	(4.84866237620983e-004dB,1.72839423432293e+002°)
1.00669984095796e+003	(4.84075402992841e-004dB,1.72837774774170e+002°)
1.00693166885180e+003	(4.83284214222923e-004dB,1.72836125736599e+002°)
1.00716355013213e+003	(4.82492671125990e-004dB,1.72834476319492e+002°)
1.00739548481125e+003	(4.81700773559233e-004dB,1.72832826522762e+002°)
1.00762747290145e+003	(4.80908521370201e-004dB,1.72831176346322e+002°)
1.00785951441503e+003	(4.80115914400655e-004dB,1.72829525790085e+002°)
1.00809160936429e+003	(4.79322952492357e-004dB,1.72827874853963e+002°)
1.00832375776155e+003	(4.78529635515997e-004dB,1.72826223537869e+002°)
1.00855595961910e+003	(4.77735963305623e-004dB,1.72824571841716e+002°)
1.00878821494927e+003	(4.76941935679853e-004dB,1.72822919765415e+002°)
1.00902052376435e+003	(4.76147552520949e-004dB,1.72821267308881e+002°)
1.00925288607668e+003	(4.75352813662958e-004dB,1.72819614472025e+002°)
1.00948530189857e+003	(4.74557718928356e-004dB,1.72817961254760e+002°)
1.00971777124234e+003	(4.73762268193617e-004dB,1.72816307656998e+002°)
1.00995029412032e+003	(4.72966461288932e-004dB,1.72814653678652e+002°)
1.01018287054483e+003	(4.72170298075348e-004dB,1.72812999319635e+002°)
1.01041550052821e+003	(4.71373778367624e-004dB,1.72811344579859e+002°)
1.01064818408279e+003	(4.70576902040308e-004dB,1.72809689459237e+002°)
1.01088092122091e+003	(4.69779668917803e-004dB,1.72808033957680e+002°)
1.01111371195490e+003	(4.68982078876584e-004dB,1.72806378075101e+002°)
1.01134655629712e+003	(4.68184131717911e-004dB,1.72804721811413e+002°)
1.01157945425989e+003	(4.67385827322117e-004dB,1.72803065166529e+002°)
1.01181240585558e+003	(4.66587165507818e-004dB,1.72801408140359e+002°)
1.01204541109654e+003	(4.65788146143775e-004dB,1.72799750732818e+002°)
1.01227846999511e+003	(4.64988769064034e-004dB,1.72798092943816e+002°)
1.01251158256365e+003	(4.64189034112282e-004dB,1.72796434773267e+002°)
1.01274474881453e+003	(4.63388941132209e-004dB,1.72794776221083e+002°)
1.01297796876010e+003	(4.62588489973289e-004dB,1.72793117287176e+002°)
1.01321124241273e+003	(4.61787680457995e-004dB,1.72791457971457e+002°)
1.01344456978479e+003	(4.60986512464730e-004dB,1.72789798273841e+002°)
1.01367795088864e+003	(4.60184985819825e-004dB,1.72788138194237e+002°)
1.01391138573667e+003	(4.59383100380468e-004dB,1.72786477732560e+002°)
1.01414487434125e+003	(4.58580855967203e-004dB,1.72784816888720e+002°)
1.01437841671476e+003	(4.57778252450719e-004dB,1.72783155662631e+002°)
1.01461201286958e+003	(4.56975289643845e-004dB,1.72781494054203e+002°)
1.01484566281809e+003	(4.56171967421127e-004dB,1.72779832063350e+002°)
1.01507936657269e+003	(4.55368285614681e-004dB,1.72778169689984e+002°)
1.01531312414576e+003	(4.54564244064337e-004dB,1.72776506934015e+002°)
1.01554693554969e+003	(4.53759842617638e-004dB,1.72774843795357e+002°)
1.01578080079689e+003	(4.52955081125987e-004dB,1.72773180273922e+002°)
1.01601471989976e+003	(4.52149959431142e-004dB,1.72771516369621e+002°)
1.01624869287069e+003	(4.51344477347861e-004dB,1.72769852082367e+002°)
1.01648271972209e+003	(4.50538634764188e-004dB,1.72768187412071e+002°)
1.01671680046637e+003	(4.49732431485239e-004dB,1.72766522358645e+002°)
1.01695093511594e+003	(4.48925867387486e-004dB,1.72764856922002e+002°)
1.01718512368321e+003	(4.48118942281829e-004dB,1.72763191102052e+002°)
1.01741936618060e+003	(4.47311656044741e-004dB,1.72761524898709e+002°)
1.01765366262053e+003	(4.46504008508336e-004dB,1.72759858311883e+002°)
1.01788801301542e+003	(4.45695999485444e-004dB,1.72758191341488e+002°)
1.01812241737769e+003	(4.44887628869893e-004dB,1.72756523987434e+002°)
1.01835687571978e+003	(4.44078896464871e-004dB,1.72754856249633e+002°)
1.01859138805411e+003	(4.43269802137204e-004dB,1.72753188127997e+002°)
1.01882595439312e+003	(4.42460345707437e-004dB,1.72751519622438e+002°)
1.01906057474924e+003	(4.41650527053968e-004dB,1.72749850732868e+002°)
1.01929524913492e+003	(4.40840345979984e-004dB,1.72748181459198e+002°)
1.01952997756260e+003	(4.40029802350385e-004dB,1.72746511801340e+002°)
1.01976476004471e+003	(4.39218895993427e-004dB,1.72744841759205e+002°)
1.01999959659371e+003	(4.38407626781725e-004dB,1.72743171332706e+002°)
1.02023448722206e+003	(4.37595994524248e-004dB,1.72741500521754e+002°)
1.02046943194219e+003	(4.36783999091682e-004dB,1.72739829326261e+002°)
1.02070443076658e+003	(4.35971640302641e-004dB,1.72738157746138e+002°)
1.02093948370767e+003	(4.35158918000809e-004dB,1.72736485781296e+002°)
1.02117459077794e+003	(4.34345832041443e-004dB,1.72734813431648e+002°)
1.02140975198984e+003	(4.33532382266298e-004dB,1.72733140697104e+002°)
1.02164496735585e+003	(4.32718568515202e-004dB,1.72731467577577e+002°)
1.02188023688843e+003	(4.31904390622197e-004dB,1.72729794072978e+002°)
1.02211556060006e+003	(4.31089848430967e-004dB,1.72728120183218e+002°)
1.02235093850322e+003	(4.30274941802553e-004dB,1.72726445908208e+002°)
1.02258637061039e+003	(4.29459670543997e-004dB,1.72724771247861e+002°)
1.02282185693404e+003	(4.28644034543339e-004dB,1.72723096202088e+002°)
1.02305739748666e+003	(4.27828033594121e-004dB,1.72721420770799e+002°)
1.02329299228075e+003	(4.27011667570883e-004dB,1.72719744953907e+002°)
1.02352864132878e+003	(4.26194936321168e-004dB,1.72718068751323e+002°)
1.02376434464327e+003	(4.25377839640443e-004dB,1.72716392162957e+002°)
1.02400010223669e+003	(4.24560377416749e-004dB,1.72714715188722e+002°)
1.02423591412156e+003	(4.23742549466770e-004dB,1.72713037828528e+002°)
1.02447178031037e+003	(4.22924355653475e-004dB,1.72711360082288e+002°)
1.02470770081564e+003	(4.22105795803190e-004dB,1.72709681949911e+002°)
1.02494367564986e+003	(4.21286869746098e-004dB,1.72708003431310e+002°)
1.02517970482555e+003	(4.20467577356738e-004dB,1.72706324526395e+002°)
1.02541578835522e+003	(4.19647918434438e-004dB,1.72704645235079e+002°)
1.02565192625140e+003	(4.18827892853736e-004dB,1.72702965557271e+002°)
1.02588811852659e+003	(4.18007500446743e-004dB,1.72701285492883e+002°)
1.02612436519333e+003	(4.17186741032072e-004dB,1.72699605041826e+002°)
1.02636066626414e+003	(4.16365614503547e-004dB,1.72697924204012e+002°)
1.02659702175154e+003	(4.15544120650850e-004dB,1.72696242979351e+002°)
1.02683343166808e+003	(4.14722259321521e-004dB,1.72694561367754e+002°)
1.02706989602627e+003	(4.13900030386242e-004dB,1.72692879369133e+002°)
1.02730641483867e+003	(4.13077433667481e-004dB,1.72691196983399e+002°)
1.02754298811780e+003	(4.12254469005062e-004dB,1.72689514210462e+002°)
1.02777961587622e+003	(4.11431136211810e-004dB,1.72687831050233e+002°)
1.02801629812646e+003	(4.10607435196979e-004dB,1.72686147502624e+002°)
1.02825303488109e+003	(4.09783365729034e-004dB,1.72684463567546e+002°)
1.02848982615264e+003	(4.08958927707588e-004dB,1.72682779244908e+002°)
1.02872667195367e+003	(4.08134120912677e-004dB,1.72681094534623e+002°)
1.02896357229674e+003	(4.07308945234269e-004dB,1.72679409436601e+002°)
1.02920052719442e+003	(4.06483400496760e-004dB,1.72677723950753e+002°)
1.02943753665926e+003	(4.05657486534187e-004dB,1.72676038076990e+002°)
1.02967460070382e+003	(4.04831203197946e-004dB,1.72674351815222e+002°)
1.02991171934069e+003	(4.04004550312431e-004dB,1.72672665165361e+002°)
1.03014889258242e+003	(4.03177527734825e-004dB,1.72670978127317e+002°)
1.03038612044161e+003	(4.02350135276020e-004dB,1.72669290701001e+002°)
1.03062340293081e+003	(4.01522372824056e-004dB,1.72667602886324e+002°)
1.03086074006262e+003	(4.00694240178255e-004dB,1.72665914683196e+002°)
1.03109813184961e+003	(3.99865737184227e-004dB,1.72664226091528e+002°)
1.03133557830437e+003	(3.99036863704936e-004dB,1.72662537111231e+002°)
1.03157307943950e+003	(3.98207619549350e-004dB,1.72660847742216e+002°)
1.03181063526758e+003	(3.97378004578504e-004dB,1.72659157984392e+002°)
1.03204824580121e+003	(3.96548018622579e-004dB,1.72657467837672e+002°)
1.03228591105299e+003	(3.95717661519469e-004dB,1.72655777301964e+002°)
1.03252363103551e+003	(3.94886933105139e-004dB,1.72654086377180e+002°)
1.03276140576139e+003	(3.94055833236769e-004dB,1.72652395063231e+002°)
1.03299923524322e+003	(3.93224361736824e-004dB,1.72650703360027e+002°)
1.03323711949362e+003	(3.92392518447054e-004dB,1.72649011267478e+002°)
1.03347505852520e+003	(3.91560303199567e-004dB,1.72647318785495e+002°)
1.03371305235057e+003	(3.90727715861186e-004dB,1.72645625913989e+002°)
1.03395110098236e+003	(3.89894756237017e-004dB,1.72643932652869e+002°)
1.03418920443318e+003	(3.89061424199669e-004dB,1.72642239002047e+002°)
1.03442736271566e+003	(3.88227719546534e-004dB,1.72640544961433e+002°)
1.03466557584243e+003	(3.87393642144434e-004dB,1.72638850530936e+002°)
